Source_Category_Raw,Source_Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Oil,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Oil,4.00,5.00,6.00,6.00,6.00,5.00,6.00,7.00,7.00,4.00,3.00,3.00,3.00,2.00,2.00,17.00,16.00,16.00,16.00,16.00,12.00,11.00,12.00,12.00,12.00,12.00,9.00,8.00,8.00,6.00,6.00,7.00,5.00
Gas,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Gas,77.00,78.00,80.00,81.00,78.00,71.00,78.00,78.00,77.00,75.00,62.00,59.00,62.00,54.00,59.00,57.00,57.00,57.00,61.00,61.00,58.00,60.00,52.00,51.00,63.00,73.00,59.00,59.00,59.00,62.00,64.00,64.00,59.00
Other,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Other,65.00,67.00,71.00,74.00,74.00,71.00,81.00,83.00,90.00,90.00,89.00,88.00,83.00,91.00,91.00,35.00,36.00,36.00,36.00,36.00,51.00,51.00,49.00,51.00,50.00,50.00,36.00,34.00,34.00,28.00,27.00,29.00,29.00
Internal Combustion,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Inter0l Combustion, , , , , , , , , , , , , , , ,18.00,16.00,15.00,15.00,15.00,54.00,68.00,66.00,66.00,64.00,65.00,69.00,68.00,67.00,66.00,67.00,66.00,66.00
FUEL COMB. OTHER (Tier 1 - 03),FUEL COMB. OTHER (Tier 1 - 03),541.00,457.00,435.00,403.00,416.00,470.00,524.00,582.00,660.00,762.00,848.00,857.00,924.00,912.00,917.00,1403.00,1230.00,1117.00,1188.00,1200.00,776.00,835.00,884.00,762.00,748.00,823.00,893.00,893.00,889.00,1425.00,949.00,950.00,790.00
Commercial/Institutional Coal,FUEL COMB. OTHER (Tier 1 - 03)_Commercial/Institutional Coal,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Commercial/Institutional Oil,FUEL COMB. OTHER (Tier 1 - 03)_Commercial/Institutional Oil,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,3.00,3.00,2.00,2.00,2.00,2.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,3.00
Commercial/Institutional Gas,FUEL COMB. OTHER (Tier 1 - 03)_Commercial/Institutional Gas,6.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,6.00,7.00,6.00,6.00,6.00,6.00,7.00,8.00,8.00,10.00,11.00,11.00,11.00,14.00,14.00,13.00,16.00,16.00,17.00,15.00
Misc. Fuel Comb. (Except Residential),FUEL COMB. OTHER (Tier 1 - 03)_Misc. Fuel Comb. (Except Residential), , , , , , , , , , , , , , , ,4.00,4.00,4.00,4.00,4.00,8.00,8.00,8.00,9.00,9.00,8.00,6.00,6.00,6.00,6.00,6.00,6.00,5.00
Residential Wood,FUEL COMB. OTHER (Tier 1 - 03)_Residential Wood,460.00,371.00,369.00,344.00,361.00,420.00,476.00,535.00,614.00,719.00,809.00,819.00,883.00,872.00,875.00,1372.00,1199.00,1085.00,1155.00,1169.00,718.00,776.00,822.00,698.00,684.00,759.00,833.00,833.00,833.00,1371.00,895.00,895.00,745.00
        fireplaces,,460.00, , , , ,420.00, , , , ,809.00, , , , ,1372.00, , , ,1169.00,718.00,776.00,822.00,698.00,684.00,759.00,541.00,541.00,541.00,764.00,580.00,580.00,497.00
        woodstoves,, , , , , , , , , , , , , , , , , , , , , , , , , , ,292.00,292.00,292.00,330.00,315.00,315.00,248.00
        other,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,277.00, , , 
Residential Other,FUEL COMB. OTHER (Tier 1 - 03)_Residential Other,70.00,74.00,53.00,47.00,44.00,38.00,36.00,35.00,33.00,31.00,28.00,29.00,30.00,30.00,32.00,16.00,16.00,16.00,17.00,15.00,38.00,39.00,40.00,40.00,40.00,41.00,36.00,35.00,33.00,27.00,27.00,27.00,20.00
INDUSTRIAL PROCESSES TOTAL (Tier 0 - 02),INDUSTRIAL PROCESSES TOTAL (Tier 0 - 02),14311.00,13460.00,14134.00,14242.00,13551.00,12080.00,12669.00,13010.00,13619.00,13583.00,12861.00,11522.00,10391.00,10939.00,12089.00,10474.00,10320.00,10535.00,10854.00,10755.00,9995.00,10178.00,10380.00,10578.00,10738.00,10780.00,8654.00,8858.00,8413.00,7973.00,7628.00,7826.00,7419.00
CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04),CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04),1341.00,1349.00,1427.00,1520.00,1528.00,1351.00,1554.00,1658.00,1698.00,1746.00,1595.00,1587.00,1350.00,1548.00,1620.00,881.00,916.00,923.00,982.00,980.00,634.00,710.00,715.00,701.00,691.00,660.00,388.00,388.00,394.00,251.00,254.00,262.00,214.00
Organic Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Organic Chemical Mfg,629.00,698.00,764.00,811.00,850.00,751.00,876.00,923.00,944.00,965.00,884.00,850.00,706.00,843.00,909.00,349.00,361.00,356.00,387.00,387.00,192.00,216.00,211.00,215.00,217.00,210.00,132.00,133.00,136.00,74.00,76.00,78.00,48.00
        ethylene oxide mfg,,8.00,7.00,8.00,8.00,8.00,9.00,8.00,9.00,10.00,11.00,10.00,10.00,10.00,11.00,12.00,2.00,2.00,2.00,2.00,2.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        phenol mfg,, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00
        terephthalic acid mfg,,29.00,35.00,44.00,25.00,42.00,46.00,50.00,54.00,59.00,61.00,60.00,62.00,48.00,56.00,60.00,24.00,25.00,24.00,26.00,27.00,20.00,23.00,17.00,19.00,21.00,17.00,11.00,11.00,11.00,5.00,5.00,5.00,4.00
        ethylene mfg,,70.00,71.00,81.00,86.00,92.00,79.00,87.00,97.00,100.00,116.00,111.00,114.00,95.00,111.00,121.00,28.00,30.00,29.00,33.00,33.00,9.00,11.00,10.00,10.00,9.00,10.00,5.00,5.00,5.00,4.00,4.00,4.00,3.00
        charcoal mfg,,48.00,68.00,54.00,46.00,40.00,29.00,33.00,38.00,42.00,45.00,40.00,43.00,31.00,34.00,36.00,37.00,39.00,40.00,43.00,45.00,33.00,33.00,33.00,33.00,34.00,33.00,30.00,31.00,31.00,8.00,9.00,9.00,9.00
        socmi reactor,,81.00,84.00,93.00,106.00,104.00,96.00,95.00,117.00,122.00,125.00,118.00,113.00,90.00,121.00,138.00,43.00,46.00,45.00,49.00,49.00,26.00,30.00,30.00,32.00,33.00,33.00,27.00,28.00,28.00,7.00,8.00,8.00,7.00
        socmi distillation,, , , , , , , , , , , , , , , ,7.00,7.00,7.00,7.00,7.00,8.00,9.00,8.00,8.00,8.00,8.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00
        socmi air oxidation processes,, , , , , , , , , , , , , , , ,0.00,0.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
        socmi fugitives,,194.00,212.00,235.00,258.00,270.00,235.00,288.00,289.00,289.00,280.00,254.00,235.00,190.00,233.00,251.00,179.00,182.00,180.00,194.00,193.00,61.00,67.00,69.00,70.00,70.00,70.00,40.00,41.00,42.00,39.00,40.00,41.00,10.00
        other,,199.00,221.00,249.00,281.00,294.00,257.00,315.00,319.00,322.00,327.00,291.00,275.00,243.00,278.00,293.00,27.00,28.00,28.00,31.00,30.00,29.00,38.00,37.00,36.00,35.00,34.00,12.00,12.00,12.00,7.00,7.00,7.00,11.00
Inorganic Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Inorganic Chemical Mfg,65.00,69.00,72.00,72.00,75.00,78.00,79.00,84.00,81.00,88.00,93.00,90.00,75.00,67.00,77.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,5.00
Polymer & Resin Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Polymer & Resin Mfg,271.00,286.00,331.00,367.00,359.00,299.00,352.00,382.00,408.00,437.00,384.00,402.00,342.00,395.00,369.00,343.00,361.00,376.00,392.00,389.00,242.00,268.00,283.00,269.00,257.00,222.00,128.00,124.00,126.00,102.00,101.00,104.00,99.00
        polypropylene mfg,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,12.00,12.00,12.00,13.00,13.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
        polyethylene mfg,,17.00,17.00,19.00,21.00,22.00,18.00,20.00,21.00,23.00,26.00,22.00,23.00,23.00,26.00,27.00,51.00,53.00,52.00,58.00,57.00,39.00,44.00,45.00,46.00,46.00,35.00,16.00,17.00,17.00,12.00,13.00,13.00,12.00
        polystyrene resins,,10.00,10.00,13.00,14.00,14.00,11.00,14.00,15.00,17.00,17.00,15.00,15.00,13.00,15.00,17.00,6.00,6.00,6.00,7.00,7.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,3.00,2.00,1.00,1.00,2.00
        synthetic fiber,,112.00,128.00,152.00,173.00,168.00,149.00,169.00,187.00,199.00,215.00,199.00,203.00,164.00,194.00,152.00,217.00,231.00,247.00,250.00,250.00,144.00,161.00,173.00,157.00,143.00,142.00,78.00,80.00,82.00,59.00,61.00,63.00,60.00
        styrene/butadiene rubber,,77.00,79.00,86.00,91.00,87.00,68.00,80.00,84.00,86.00,88.00,70.00,70.00,64.00,67.00,73.00,45.00,47.00,46.00,50.00,50.00,15.00,15.00,16.00,17.00,18.00,16.00,11.00,7.00,7.00,9.00,6.00,6.00,7.00
        other,,55.00,52.00,62.00,67.00,68.00,54.00,68.00,74.00,82.00,90.00,77.00,89.00,77.00,92.00,99.00,12.00,12.00,12.00,14.00,13.00,37.00,41.00,42.00,42.00,43.00,22.00,16.00,16.00,16.00,19.00,18.00,19.00,17.00
Agricultural Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Agricultural Chemical Mfg, , , , , , , , , , , , , , , ,11.00,12.00,11.00,12.00,12.00,6.00,7.00,8.00,7.00,6.00,5.00,8.00,8.00,8.00,7.00,8.00,8.00,7.00
"Paint, Varnish, Lacquer, Enamel Mfg","CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Paint, Varnish, Lacquer, E0mel Mfg",61.00,65.00,68.00,67.00,69.00,66.00,68.00,72.00,75.00,68.00,65.00,66.00,65.00,69.00,74.00,8.00,8.00,8.00,8.00,8.00,14.00,16.00,17.00,18.00,17.00,18.00,7.00,8.00,8.00,7.00,8.00,8.00,7.00
        paint & varnish mfg,,61.00,65.00,68.00,67.00,69.00,66.00,68.00,72.00,75.00,68.00,65.00,66.00,65.00,69.00,74.00,8.00,8.00,8.00,8.00,8.00,13.00,15.00,16.00,16.00,16.00,16.00,6.00,6.00,6.00,5.00,6.00,6.00,5.00
        other,, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Pharmaceutical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Pharmaceutical Mfg,40.00,43.00,49.00,54.00,57.00,55.00,60.00,67.00,70.00,75.00,77.00,84.00,84.00,88.00,93.00,43.00,44.00,45.00,48.00,48.00,20.00,21.00,24.00,23.00,24.00,38.00,7.00,7.00,7.00,8.00,8.00,8.00,4.00
Other Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Other Chemical Mfg,275.00,188.00,142.00,149.00,118.00,102.00,118.00,131.00,119.00,113.00,92.00,94.00,78.00,85.00,98.00,125.00,127.00,124.00,132.00,132.00,158.00,179.00,169.00,166.00,168.00,164.00,103.00,105.00,106.00,49.00,50.00,52.00,44.00
        carbon black mfg,,275.00,188.00,142.00,149.00,118.00,102.00,118.00,131.00,119.00,113.00,92.00,94.00,78.00,85.00,98.00,26.00,25.00,24.00,26.00,26.00,17.00,17.00,16.00,16.00,21.00,24.00,32.00,32.00,33.00,4.00,4.00,5.00,3.00
        printing ink mfg,, , , , , , , , , , , , , , , ,2.00,3.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
        fugitives unclassified,, , , , , , , , , , , , , , , ,12.00,12.00,11.00,13.00,12.00,23.00,23.00,21.00,20.00,27.00,30.00,13.00,13.00,13.00,10.00,10.00,11.00,10.00
        carbon black furnace: fugitives,, , , , , , , , , , , , , , , ,4.00,4.00,4.00,5.00,5.00, ,1.00,1.00,1.00,1.00,1.00, , , , , , , 
        other,, , , , , , , , , , , , , , , ,81.00,83.00,81.00,86.00,87.00,117.00,136.00,129.00,127.00,117.00,107.00,58.00,59.00,60.00,33.00,34.00,35.00,30.00
METALS PROCESSING (Tier 1 - 05),METALS PROCESSING (Tier 1 - 05),394.00,281.00,360.00,381.00,365.00,336.00,344.00,318.00,294.00,316.00,273.00,255.00,168.00,155.00,182.00,76.00,73.00,70.00,74.00,74.00,122.00,123.00,124.00,124.00,126.00,125.00,73.00,78.00,78.00,66.00,67.00,71.00,69.00
Non-Ferrous Metals Processing,METALS PROCESSING (Tier 1 - 05)_Non-Ferrous Metals Processing, , , , , , , , , , , , , , , ,18.00,18.00,18.00,19.00,19.00,18.00,19.00,17.00,18.00,20.00,21.00,19.00,20.00,20.00,25.00,25.00,27.00,27.00
Ferrous Metals Processing,METALS PROCESSING (Tier 1 - 05)_Ferrous Metals Processing,394.00,281.00,360.00,381.00,365.00,336.00,344.00,318.00,294.00,316.00,273.00,255.00,168.00,155.00,182.00,57.00,54.00,51.00,54.00,54.00,98.00,99.00,100.00,98.00,97.00,96.00,44.00,47.00,47.00,36.00,37.00,39.00,36.00
        coke oven door & topside leaks,,216.00,151.00,198.00,210.00,201.00,187.00,191.00,176.00,161.00,174.00,152.00,141.00,93.00,85.00,101.00,12.00,12.00,11.00,12.00,12.00,87.00,22.00,27.00,27.00,26.00,26.00,32.00,35.00,35.00,18.00,19.00,21.00,19.00
        coke oven by-product plants,, , , , , , , , , , , , , , , ,3.00,3.00,3.00,3.00,3.00,11.00,9.00,9.00,9.00,9.00,9.00,11.00,11.00,11.00,17.00,17.00,18.00,16.00
        other,,177.00,129.00,162.00,171.00,164.00,149.00,154.00,142.00,133.00,142.00,121.00,114.00,75.00,70.00,81.00,41.00,39.00,37.00,39.00,39.00,1.00,68.00,63.00,62.00,62.00,61.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Metals Processing NEC,METALS PROCESSING (Tier 1 - 05)_Metals Processing NEC, , , , , , , , , , , , , , , ,1.00,1.00,1.00,1.00,1.00,7.00,6.00,8.00,8.00,8.00,8.00,10.00,11.00,11.00,5.00,5.00,5.00,6.00
PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06),PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06),1194.00,1251.00,1283.00,1307.00,1331.00,1342.00,1349.00,1410.00,1447.00,1439.00,1440.00,1439.00,1369.00,1270.00,1253.00,703.00,666.00,655.00,645.00,639.00,611.00,640.00,632.00,649.00,647.00,642.00,477.00,487.00,485.00,457.00,428.00,441.00,375.00
Oil & Gas Production,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_Oil & Gas Production,411.00,412.00,418.00,410.00,394.00,378.00,370.00,373.00,380.00,378.00,379.00,381.00,376.00,379.00,392.00,107.00,79.00,70.00,71.00,68.00,301.00,301.00,297.00,310.00,305.00,299.00,271.00,274.00,272.00,300.00,309.00,321.00,300.00
Petroleum Refineries & Related Industries,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_Petroleum Refineries & Related Industries,773.00,828.00,853.00,885.00,924.00,951.00,965.00,1022.00,1052.00,1045.00,1045.00,1042.00,977.00,877.00,847.00,592.00,584.00,582.00,571.00,568.00,307.00,337.00,332.00,336.00,339.00,339.00,201.00,208.00,208.00,148.00,110.00,110.00,65.00
        vacuum distillation,,24.00,26.00,27.00,28.00,29.00,31.00,32.00,33.00,32.00,32.00,32.00,32.00,31.00,30.00,30.00,15.00,14.00,14.00,13.00,13.00,15.00,7.00,7.00,7.00,7.00,6.00,16.00,16.00,16.00,8.00,8.00,8.00,7.00
        fluid catalytic cracking units,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_        fluid catalytic cracking units,27.00,28.00,28.00,28.00,27.00,27.00,27.00,25.00,24.00,23.00,21.00,16.00,11.00,9.00,8.00,34.00,33.00,33.00,32.00,31.00,7.00,17.00,16.00,15.00,16.00,16.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00
        process unit turnarounds,, , , , , , , , , , , , , , , ,15.00,14.00,14.00,13.00,13.00,11.00,11.00,11.00,11.00,10.00,12.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00
        petroleum refinery fugitives,, , , , , , , , , , , , , , , ,76.00,71.00,69.00,66.00,65.00,99.00,105.00,103.00,109.00,109.00,111.00,84.00,87.00,86.00,54.00,16.00,16.00,34.00
        other,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_        other,721.00,774.00,799.00,828.00,867.00,893.00,907.00,964.00,996.00,990.00,992.00,994.00,935.00,838.00,809.00,454.00,452.00,452.00,447.00,446.00,177.00,196.00,195.00,194.00,198.00,194.00,97.00,101.00,100.00,82.00,82.00,82.00,21.00
Asphalt Manufacturing,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_Asphalt Manufacturing,11.00,11.00,12.00,12.00,13.00,13.00,14.00,15.00,15.00,16.00,16.00,17.00,16.00,15.00,14.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,5.00,5.00,5.00,9.00,10.00,10.00,10.00
OTHER INDUSTRIAL PROCESSES (Tier 1 - 07),OTHER INDUSTRIAL PROCESSES (Tier 1 - 07),270.00,270.00,271.00,265.00,259.00,235.00,237.00,249.00,251.00,249.00,237.00,249.00,245.00,245.00,227.00,390.00,395.00,394.00,408.00,403.00,402.00,391.00,414.00,442.00,438.00,450.00,436.00,439.00,444.00,440.00,455.00,428.00,408.00
"Agriculture, Food, & Kindred Products","OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Agriculture, Food, & Kindred Products",208.00,209.00,206.00,201.00,199.00,182.00,183.00,183.00,188.00,190.00,191.00,197.00,194.00,191.00,168.00,169.00,171.00,175.00,177.00,175.00,139.00,130.00,127.00,146.00,145.00,147.00,104.00,108.00,109.00,121.00,124.00,133.00,93.00
        vegetable oil mfg,,59.00,60.00,60.00,58.00,63.00,61.00,65.00,69.00,77.00,79.00,81.00,84.00,86.00,85.00,85.00,46.00,47.00,49.00,50.00,49.00,0.00,18.00,19.00,19.00,16.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        whiskey fermentation: aging,,105.00,104.00,102.00,99.00,93.00,77.00,73.00,69.00,65.00,64.00,64.00,67.00,61.00,56.00,34.00,24.00,24.00,24.00,24.00,23.00,0.00,16.00,12.00,24.00,24.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        bakeries,,45.00,45.00,45.00,44.00,43.00,44.00,45.00,45.00,45.00,46.00,46.00,46.00,47.00,50.00,49.00,51.00,52.00,51.00,52.00,51.00,38.00,44.00,44.00,46.00,46.00,47.00,36.00,37.00,37.00,39.00,40.00,41.00,2.00
        other,, , , , , , , , , , , , , , , ,49.00,50.00,51.00,52.00,52.00,50.00,52.00,51.00,58.00,58.00,60.00,42.00,44.00,44.00,55.00,57.00,53.00,52.00
"Textiles, Leather, & Apparel Products","OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Textiles, Leather, & Apparel Products", , , , , , , , , , , , , , , ,10.00,10.00,10.00,10.00,10.00,20.00,18.00,19.00,19.00,19.00,19.00,10.00,10.00,10.00,7.00,8.00,8.00,7.00
"Wood, Pulp & Paper, & Publishing Products","OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Wood, Pulp & Paper, & Publishing Products", , , , , , , , , , , , , , , ,42.00,44.00,44.00,44.00,44.00,96.00,92.00,101.00,112.00,105.00,122.00,154.00,160.00,164.00,162.00,168.00,125.00,160.00
Rubber & Miscellaneous Plastic Products,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Rubber & Miscellaneous Plastic Products,60.00,60.00,63.00,62.00,58.00,51.00,52.00,64.00,62.00,57.00,44.00,50.00,49.00,52.00,58.00,41.00,43.00,43.00,46.00,46.00,58.00,59.00,64.00,62.00,61.00,60.00,49.00,51.00,52.00,57.00,59.00,61.00,58.00
        rubber tire mfg,,60.00,60.00,63.00,62.00,58.00,51.00,52.00,64.00,62.00,57.00,44.00,50.00,49.00,52.00,58.00,10.00,10.00,10.00,11.00,11.00,5.00,5.00,5.00,5.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.00
        green tire spray,, , , , , , , , , , , , , , , ,5.00,5.00,5.00,6.00,6.00,3.00,4.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
        other,, , , , , , , , , , , , , , , ,26.00,28.00,28.00,29.00,29.00,50.00,50.00,55.00,53.00,52.00,51.00,41.00,43.00,44.00,49.00,51.00,54.00,50.00
Mineral Products,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Mineral Products,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,15.00,15.00,15.00,14.00,14.00,18.00,17.00,27.00,28.00,30.00,31.00,31.00,32.00,32.00,33.00,35.00,37.00,31.00
Machinery Products,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Machinery Products, , , , , , , , , , , , , , , ,4.00,4.00,4.00,4.00,4.00,7.00,8.00,10.00,8.00,11.00,11.00,11.00,12.00,12.00,14.00,15.00,15.00,13.00
Electronic Equipment,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Electronic Equipment, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,2.00,2.00,3.00,3.00,3.00,2.00,11.00,1.00,1.00,1.00,1.00,1.00,1.00
Transportation Equipment,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Transportation Equipment, , , , , , , , , , , , , , , ,1.00,1.00,1.00,0.00,0.00,2.00,2.00,2.00,3.00,3.00,2.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00
Construction,, , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miscellaneous Industrial Processes,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Miscellaneous Industrial Processes, , , , , , , , , , , , , , , ,108.00,108.00,103.00,112.00,109.00,60.00,62.00,62.00,62.00,62.00,57.00,62.00,61.00,61.00,40.00,42.00,43.00,40.00
SOLVENT UTILIZATION (Tier 1 - 08),SOLVENT UTILIZATION (Tier 1 - 08),7174.00,6704.00,7317.00,7370.00,6857.00,5651.00,6023.00,6201.00,6729.00,6871.00,6584.00,5342.00,4726.00,5232.00,6309.00,5699.00,5626.00,5743.00,5945.00,5964.00,5750.00,5782.00,5901.00,6016.00,6162.00,6183.00,5477.00,5621.00,5149.00,5036.00,4831.00,5012.00,4692.00
