# File: iso_GCAM_regID.csv
# Title: ISO to GCAM region mapping
# Units: NA
# Description: Maps iso codes to GCAM regions (including composites as necessary)
# Column types: ccci
# ----------
iso,country_name,region_GCAM3,GCAM_region_ID
kwt,Kuwait,Middle East,21
lao,Lao Peoples Democratic Republic,Southeast Asia,29
lbn,Lebanon,Middle East,21
lbr,Liberia,Africa,5
lby,Libyan Arab Jamahiriya,Africa,3
lca,Saint Lucia,Latin America,9
lie,Liechtenstein,Western Europe,16
lka,Sri Lanka,Southeast Asia,27
lso,Lesotho,Africa,4
ltu,Lithuania,Former Soviet Union,12
lux,Luxembourg,Western Europe,13
lva,Latvia,Former Soviet Union,12
mac,Macau,Southeast Asia,11
mar,Morocco,Africa,3
mco,Monaco,Western Europe,13
mda,"Moldova, Republic of",Former Soviet Union,14
mdg,Madagascar,Africa,2
mdv,Maldives,Southeast Asia,27
mex,Mexico,Latin America,20
mhl,Marshall Islands,Southeast Asia,29
mkd,"Macedonia, the former Yugoslav Republic of",Eastern Europe,15
mli,Mali,Africa,5
mlt,Malta,Western Europe,12
mmr,Myanmar,Southeast Asia,29
mne,Montenegro,Eastern Europe,15
mng,Mongolia,China,10
mnp,Northern Mariana Islands,Southeast Asia,29
moz,Mozambique,Africa,4
mrt,Mauritania,Africa,5
msr,Montserrat,Latin America,9
mtq,Martinique,Western Europe,9
mus,Mauritius,Africa,2
mwi,Malawi,Africa,4
mys,Malaysia,Southeast Asia,29
myt,Mayotte,Africa,29
nam,Namibia,Africa,4
ncl,New Caledonia,Southeast Asia,29
ner,Niger,Africa,5
nfk,Norfolk Island,Australia_NZ,29
nga,Nigeria,Africa,5
nic,Nicaragua,Latin America,9
niu,Niue,Australia_NZ,29
nld,Netherlands,Western Europe,13
nor,Norway,Western Europe,16
npl,Nepal,Southeast Asia,27
nru,Nauru,Southeast Asia,29
nzl,New Zealand,Australia_NZ,6
omn,Oman,Middle East,21
pak,Pakistan,Southeast Asia,22
pan,Panama,Latin America,9
pci,Pacific Islands Trust Territory,Southeast Asia,29
pcn,Pitcairn Islands,Southeast Asia,29
per,Peru,Latin America,26
phl,Philippines,Southeast Asia,29
plw,Palau,Southeast Asia,29
png,Papua New Guinea,Southeast Asia,29
pol,Poland,Eastern Europe,12
pri,Puerto Rico,USA,1
prk,"Korea, Democratic Peoples Republic of",China,29
prt,Portugal,Western Europe,13
pry,Paraguay,Latin America,26
pse,"Palestinian Territory, Occupied",Middle East,21
pyf,French Polynesia,Southeast Asia,29
qat,Qatar,Middle East,21
reu,Reunion,Africa,2
rom,Romania,Eastern Europe,12
rou,Romania,Eastern Europe,12
rus,Russian Federation,Former Soviet Union,23
rwa,Rwanda,Africa,2
sau,Saudi Arabia,Middle East,21
scg,Serbia and Montenegro,Eastern Europe,15
sdn,Sudan,Africa,2
sen,Senegal,Africa,5
sgp,Singapore,Southeast Asia,29
shn,Saint Helena,Africa,13
sjm,Svalbard and Jan Mayen Islands,Western Europe,16
slb,Solomon Islands,Southeast Asia,29
sle,Sierra Leone,Africa,5
slv,El Salvador,Latin America,9
smr,San Marino,Western Europe,13
som,Somalia,Africa,2
spm,Saint Pierre and Miquelon,Canada,13
srb,Serbia,Eastern Europe,15
ssd,South Sudan,Africa,2
stp,Sao Tome and Principe,Africa,5
sur,Suriname,Latin America,25
svk,Slovakia,Eastern Europe,12
svn,Slovenia,Eastern Europe,12
swe,Sweden,Western Europe,13
swz,Swaziland,Africa,4
syc,Seychelles,Africa,29
syr,Syrian Arab Republic,Middle East,21
tca,Turks and Caicos,Latin America,13
tcd,Chad,Africa,5
tgo,Togo,Africa,5
tha,Thailand,Southeast Asia,29
tjk,Tajikistan,Former Soviet Union,10
tkl,Tokelau,Australia_NZ,29
tkm,Turkmenistan,Former Soviet Union,10
tls,Timor Leste,Southeast Asia,29
ton,Tonga,Southeast Asia,29
tto,Trinidad and Tobago,Latin America,9
tun,Tunisia,Africa,3
tur,Turkey,Western Europe,15
tuv,Tuvalu,Southeast Asia,29
twn,Taiwan,Southeast Asia,30
tza,"Tanzania, United Republic of",Africa,4
uga,Uganda,Africa,2
ukr,Ukraine,Former Soviet Union,14
ury,Uruguay,Latin America,26
usa,United States of America,USA,1
uzb,Uzbekistan,Former Soviet Union,10
vat,Vatican,Western Europe,13
vct,Saint Vincent and the Grenadines,Latin America,9
ven,Venezuela,Latin America,25
vgb,"Virgin Islands, British",Latin America,13
vir,"Virgin Islands, U.S.",Latin America,1
vnm,Viet Nam,China,29
vut,Vanuatu,Southeast Asia,29
wlf,Wallis and Futuna,Australia_NZ,13
wsm,Samoa,Southeast Asia,29
yem,Yemen,Middle East,21
yug,"Yugoslavia, Federal Republic of",Eastern Europe,15
zaf,South Africa,Africa,24
zmb,Zambia,Africa,4
zwe,Zimbabwe,Africa,4
