VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
NOWTBDHT,How many waterbed heaters do you use,3,24,Numeric
WTBEDUSE,How many heaters are used all year round,3,25,Numeric
CFAN,Does your household use any ceiling fans,3,26,Numeric
NUMCFAN,How many ceiling fans does your household use,3,27,Numeric
USECFAN,How often is the most-used ceiling fan used,3,28,Numeric
SWIMPOOL,Does your own swimming pool with filtering system,3,29,Numeric
POOL,Is it a heated pool,3,30,Numeric
FUELPOOL,What fuel is used most often to heat pool water,3,31,Numeric
RECBATH,Does your home have a heated hot tub  spa,3,32,Numeric
FUELTUB,What fuel is used to the water in hot tub  spa,3,33,Numeric
H2OLAWNSYS,Does your home have a lawn watering system,3,34,Numeric
USEH2OLAWNSYS,How often is the lawn watering system used,3,35,Numeric
TVCOLOR,How many TV sets do you use in your home,3,36,Numeric
BIGTV,How many are large screen TV sets,3,37,Numeric
PLASMANUM,Number of plasma TV sets,3,38,Numeric
TVRECEP,TV connected into cable network or satellite dish,3,39,Numeric
TYPRECEP,Which are connected to  cable or satellite dish,3,40,Numeric
CBLCON,How the cable connected the TV,3,41,Numeric
VCR,How many VCR players in your home,3,42,Numeric
DVD,How many DVD players in your home,3,43,Numeric
COMBOVCRDVD,Have any combination VCR/DVD players,3,44,Numeric
NCOMBOVCRDVD,How many combination VCR/DVD players,3,45,Numeric
PLAYSTA,Have any TV-based game systems,3,46,Numeric
PLYSTAHRS,Number of hours game systems used each week,3,47,Numeric
TVONWD,Hours TV on during weekdays,3,48,Numeric
TVONWE,Hours TV on during week end days,3,49,Numeric
NOTMOIST,Electric dehumidifier removes moisture in summer,3,50,Numeric
USENOTMOIST,Number of months dehumidifier used each year,3,51,Numeric
MOISTURE,Electric humidifier adds moisture in winter,3,52,Numeric
USEMOISTURE,Number of months humidifier used each year,3,53,Numeric
WELLPUMP,Electric pump for well water,3,54,Numeric
SWAMPCOL,Evaporative or swamp cooler,3,55,Numeric
AQUARIUM,Large heated aquariums of 20 gallons or more,3,56,Numeric
DIPSTICK,Automobile blocker heaters  dip-stick engine,3,57,Numeric
NOCORD,A portable cordless telephone,3,58,Numeric
CELLPHON,A cell or mobile phone,3,59,Numeric
ANSMACH,A telephone answering machine,3,60,Numeric
STEREO,Stereo equipment,3,61,Numeric
BOOMBOX,Portable stereo/Boom box,3,62,Numeric
COMPCTST,Compact stereo system,3,63,Numeric
COMPNTST,Component stereo system,3,64,Numeric
OTHSTER,Some other type of system,3,65,Numeric
BATTOOLS,Portable appliances  powered by recharg  battery,3,66,Numeric
BATCHRG,These portable appliances plugged in all time,3,67,Numeric
COMPUTER,A personal computer,3,68,Numeric
MULTPC,Do you use more than one computer in your home,3,69,Numeric
NUMPC,How many PCs do you use,3,70,Numeric
LAPTOPPC,How many of the PCs used are laptops,3,71,Numeric
PCTYPE1,Is most-used PC a desk-top or laptop,3,72,Numeric
MONITOR1,Type of monitor on most-used PC,3,73,Numeric
TIMEON1,Time most-used PC on each week,3,74,Numeric
PCONOFF1,Is most-used PC turned on when not in use,3,75,Numeric
PCSLEEP1,Does most-used PC sleep when not in use,3,76,Numeric
PCSCREEN1,Does most-used PC turned off when not in use,3,77,Numeric
PCTYPE2,Is 2nd most-used PC a desk-top or laptop,3,78,Numeric
MONITOR2,Type of monitor on 2nd most-used PC,3,79,Numeric
TIMEON2,Time 2nd most-used PC on each week,3,80,Numeric
PCONOFF2,Is 2nd most-used PC turned on when not in use,3,81,Numeric
PCSLEEP2,Does 2nd most-used PC sleep when not in use,3,82,Numeric
PCSCREEN2,Does 2nd most-used PC turned off when not in use,3,83,Numeric
PCTYPE3,Is 3rd most-used PC a desk-top or laptop,3,84,Numeric
MONITOR3,Type of monitor on 3rd most-used PC,3,85,Numeric
TIMEON3,Time 3rd most-used PC on each week,3,86,Numeric
PCONOFF3,Is 3rd most-used PC turned on when not in use,3,87,Numeric
PCSLEEP3,Does 3rd most-used PC sleep when not in use,3,88,Numeric
PCSCREEN3,Does 3rd most-used PC turned off when not in use,3,89,Numeric
INTERNET,Do you have access to the internet,3,90,Numeric
INDIALUP,Is internet access phone dial-up,3,91,Numeric
INDSL,Is internet access phone DSL,3,92,Numeric
INCABLE,Is internet access phone cable,3,93,Numeric
INDSLOFF,Is DSL connection turned off when not in use,3,94,Numeric
INCABLEOFF,Is cable connection turned off when not in use,3,95,Numeric
INWIRELESS,Do you have a wireless router,3,96,Numeric
INWIRELESSOFF,Is wireless router turned off when not in use,3,97,Numeric
HOWPCUSED,PCs mostly used activity,3,98,Numeric
TELLDAYS,How many days each week  is PC used for telecom,3,99,Numeric
PCPRINT,Do you have any type of printer,3,100,Numeric
FXCOPIER,Some printers have built-in fax and copier,3,101,Numeric
FAX,Do you have a separate fax machine,3,102,Numeric
COPIER,A separate photocopier,3,103,Numeric
ZCWASHER,Imputation Flag for CWASHER,3,104,Numeric
ZTOPFRONT,Imputation Flag for TOPFRONT,3,105,Numeric
ZWASHLOAD,Imputation Flag for WASHLOAD,3,106,Numeric
ZWASHTEMP,Imputation Flag for WASHTEMP,3,107,Numeric
ZRNSETEMP,Imputation Flag for RNSETEMP,3,108,Numeric
ZAGECWASH,Imputation Flag for AGECWASH,3,109,Numeric
ZESCWASH,Imputation Flag for ESCWASH,3,110,Numeric
ZDRYER,Imputation Flag for DRYER,3,111,Numeric
ZDRYRFUEL,Imputation Flag for DRYRFUEL,3,112,Numeric
ZDRYRUSE,Imputation Flag for DRYRUSE,3,113,Numeric
ZAGECDRYER,Imputation Flag for AGECDRYER,3,114,Numeric
ZWATERBED,Imputation Flag for WATERBED,3,115,Numeric
ZNOWTBDHT,Imputation Flag for NOWTBDHT,3,116,Numeric
ZWTBEDUSE,Imputation Flag for WTBEDUSE,3,117,Numeric
ZCFAN,Imputation Flag for CFAN,3,118,Numeric
ZNUMCFAN,Imputation Flag for NUMCFAN,3,119,Numeric
ZUSECFAN,Imputation Flag for USECFAN,3,120,Numeric
ZSWIMPOOL,Imputation Flag for SWIMPOOL,3,121,Numeric
ZPOOL,Imputation Flag for POOL,3,122,Numeric
ZFUELPOOL,Imputation Flag for FUELPOOL,3,123,Numeric
ZRECBATH,Imputation Flag for RECBATH,3,124,Numeric
ZFUELTUB,Imputation Flag for FUELTUB,3,125,Numeric
ZH2OLAWNSYS,Imputation Flag for H2OLAWNSYS,3,126,Numeric
ZUSEH2OLAWNSYS,Imputation Flag for USEH2OLAWNSYS,3,127,Numeric
ZTVCOLOR,Imputation Flag for TVCOLOR,3,128,Numeric
ZBIGTV,Imputation Flag for BIGTV,3,129,Numeric
ZPLASMANUM,Imputation Flag for PLASMANUM,3,130,Numeric
ZTVRECEP,Imputation Flag for TVRECEP,3,131,Numeric
ZTYPRECEP,Imputation Flag for TYPRECEP,3,132,Numeric
ZCBLCON,Imputation Flag for CBLCON,3,133,Numeric
ZVCR,Imputation Flag for VCR,3,134,Numeric
ZDVD,Imputation Flag for DVD,3,135,Numeric
ZCOMBOVCRDVD,Imputation Flag for COMBOVCRDVD,3,136,Numeric
ZNCOMBOVCRDVD,Imputation Flag for NCOMBOVCRDVD,3,137,Numeric
ZPLAYSTA,Imputation Flag for PLAYSTA,3,138,Numeric
ZPLYSTAHRS,Imputation Flag for PLYSTAHRS,3,139,Numeric
ZTVONWD,Imputation Flag for TVONWD,3,140,Numeric
ZTVONWE,Imputation Flag for TVONWE,3,141,Numeric
ZNOTMOIST,Imputation Flag for NOTMOIST,3,142,Numeric
ZUSENOTMOIST,Imputation Flag for USENOTMOIST,3,143,Numeric
ZMOISTURE,Imputation Flag for MOISTURE,3,144,Numeric
ZUSEMOISTURE,Imputation Flag for USEMOISTURE,3,145,Numeric
ZWELLPUMP,Imputation Flag for WELLPUMP,3,146,Numeric
ZSWAMPCOL,Imputation Flag for SWAMPCOL,3,147,Numeric
ZAQUARIUM,Imputation Flag for AQUARIUM,3,148,Numeric
ZDIPSTICK,Imputation Flag for DIPSTICK,3,149,Numeric
ZNOCORD,Imputation Flag for ZNOCORD,3,150,Numeric
ZCELLPHON,Imputation Flag for CELLPHON,3,151,Numeric
ZANSMACH,Imputation Flag for ANSMACH,3,152,Numeric
ZSTEREO,Imputation Flag for STEREO,3,153,Numeric
ZBOOMBOX,Imputation Flag for BOOMBOX,3,154,Numeric
ZCOMPCTST,Imputation Flag for COMPCTST,3,155,Numeric
ZCOMPNTST,Imputation Flag for COMPNTST,3,156,Numeric
ZOTHSTER,Imputation Flag for OTHSTER,3,157,Numeric
ZBATTOOLS,Imputation Flag for BATTOOLS,3,158,Numeric
ZBATCHRG,Imputation Flag for BATCHRG,3,159,Numeric
ZCOMPUTER,Imputation Flag for COMPUTER,3,160,Numeric
ZMULTPC,Imputation Flag for MULTPC,3,161,Numeric
ZNUMPC,Imputation Flag for NUMPC,3,162,Numeric
ZLAPTOPPC,Imputation Flag for LAPTOPPC,3,163,Numeric
ZPCTYPE1,Imputation Flag for PCTYPE1,3,164,Numeric
ZMONITOR1,Imputation Flag for MONITOR1,3,165,Numeric
ZTIMEON1,Imputation Flag for TIMEON1,3,166,Numeric
ZPCONOFF1,Imputation Flag for PCONOFF1,3,167,Numeric
ZPCSLEEP1,Imputation Flag for PCSLEEP1,3,168,Numeric
ZPCSCREEN1,Imputation Flag for PCSCREEN1,3,169,Numeric
ZPCTYPE2,Imputation Flag for PCTYPE2,3,170,Numeric
ZMONITOR2,Imputation Flag for MONITOR2,3,171,Numeric
ZTIMEON2,Imputation Flag for TIMEON2,3,172,Numeric
ZPCONOFF2,Imputation Flag for PCONOFF2,3,173,Numeric
ZPCSLEEP2,Imputation Flag for PCSLEEP2,3,174,Numeric
ZPCSCREEN2,Imputation Flag for PCSCREEN2,3,175,Numeric
ZPCTYPE3,Imputation Flag for PCTYPE3,3,176,Numeric
ZMONITOR3,Imputation Flag for MONITOR3,3,177,Numeric
ZTIMEON3,Imputation Flag for TIMEON3,3,178,Numeric
ZPCONOFF3,Imputation Flag for PCONOFF3,3,179,Numeric
ZPCSLEEP3,Imputation Flag for PCSLEEP3,3,180,Numeric
ZPCSCREEN3,Imputation Flag for PCSCREEN3,3,181,Numeric
ZINTERNET,Imputation Flag for INTERNET,3,182,Numeric
ZINDIALUP,Imputation Flag for INDIALUP,3,183,Numeric
ZINDSL,Imputation Flag for INDSL,3,184,Numeric
ZINCABLE,Imputation Flag for INCABLE,3,185,Numeric
ZINDSLOFF,Imputation Flag for INDSLOFF,3,186,Numeric
ZINCABLEOFF,Imputation Flag for INCABLEOFF,3,187,Numeric
ZINWIRELESS,Imputation Flag for INWIRELESS,3,188,Numeric
ZINWIRELESSOFF,Imputation Flag for INWIRELESSOFF,3,189,Numeric
ZHOWPCUSED,Imputation Flag for HOWPCUSED,3,190,Numeric
ZTELLDAYS,Imputation Flag for TELLDAYS,3,191,Numeric
ZPCPRINT,Imputation Flag for PCPRINT,3,192,Numeric
ZFXCOPIER,Imputation Flag for FXCOPIER,3,193,Numeric
ZFAX,Imputation Flag for FAX,3,194,Numeric
