INPUT_TABLE
Variable ID
LN3_NodeCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,node.carbon.calc,extra
China,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
Middle East,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
Africa,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
Latin America,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
Southeast Asia,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
Eastern Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
Korea,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
India,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
USA,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
Canada,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
Western Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
Japan,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
Australia_NZ,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
Former Soviet Union,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
China,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
Middle East,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
Africa,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
Latin America,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
Southeast Asia,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
Eastern Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
Korea,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
India,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03, ,junk
USA,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
Canada,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
Western Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
Japan,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
Australia_NZ,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
Former Soviet Union,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
China,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
Middle East,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
Africa,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
Latin America,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
Southeast Asia,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
Eastern Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
Korea,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
India,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04, ,junk
USA,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
Canada,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
Western Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
Japan,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
Australia_NZ,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
Former Soviet Union,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
China,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
Middle East,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
Africa,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
Latin America,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
Southeast Asia,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
Eastern Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
Korea,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
India,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05, ,junk
USA,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
Canada,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
Western Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
Japan,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
Australia_NZ,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
Former Soviet Union,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
China,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
Middle East,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
Africa,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
Latin America,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
Southeast Asia,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
Eastern Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
Korea,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
India,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06, ,junk
USA,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
Canada,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
Western Europe,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
Japan,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
Australia_NZ,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
Former Soviet Union,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
China,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
Middle East,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
Africa,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
Latin America,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
Southeast Asia,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
Eastern Europe,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
Korea,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
India,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07, ,junk
USA,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
Canada,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
Western Europe,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
Japan,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
Australia_NZ,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
Former Soviet Union,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
China,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
Middle East,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
Africa,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
Latin America,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
Southeast Asia,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
Eastern Europe,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
Korea,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
India,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08, ,junk
USA,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
Canada,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
Western Europe,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
Japan,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
Australia_NZ,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
Former Soviet Union,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
China,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
Middle East,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
Africa,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
Latin America,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
Southeast Asia,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
Eastern Europe,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
Korea,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
India,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09, ,junk
USA,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
Canada,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
Western Europe,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
Japan,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
Australia_NZ,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
Former Soviet Union,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
China,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
Middle East,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
Africa,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
Latin America,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
Southeast Asia,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
Eastern Europe,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
Korea,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
India,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10, ,junk
USA,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
Canada,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
Western Europe,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
Japan,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
Australia_NZ,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
Former Soviet Union,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
China,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
Middle East,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
Africa,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
Latin America,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
Southeast Asia,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
Eastern Europe,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
Korea,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
India,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11, ,junk
USA,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
Canada,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
Western Europe,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
Japan,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
Australia_NZ,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
Former Soviet Union,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
China,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
Middle East,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
Africa,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
Latin America,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
Southeast Asia,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
Eastern Europe,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
Korea,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
India,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12, ,junk
USA,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
Canada,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
Western Europe,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
Japan,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
Australia_NZ,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
Former Soviet Union,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
China,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
Middle East,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
Africa,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
Latin America,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
Southeast Asia,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
Eastern Europe,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
Korea,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
India,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13, ,junk
USA,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
Canada,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
Western Europe,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
Japan,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
Australia_NZ,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
Former Soviet Union,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
China,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
Middle East,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
Africa,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
Latin America,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
Southeast Asia,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
Eastern Europe,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
Korea,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
India,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14, ,junk
USA,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
Canada,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
Western Europe,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
Japan,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
Australia_NZ,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
Former Soviet Union,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
China,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
Middle East,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
Africa,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
Latin America,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
Southeast Asia,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
Eastern Europe,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
Korea,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
India,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15, ,junk
USA,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
Canada,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
Western Europe,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
Japan,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
Australia_NZ,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
Former Soviet Union,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
China,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
Middle East,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
Africa,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
Latin America,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
Southeast Asia,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
Eastern Europe,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
Korea,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
India,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16, ,junk
USA,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
Canada,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
Western Europe,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
Japan,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
Australia_NZ,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
Former Soviet Union,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
China,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
Middle East,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
Africa,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
Latin America,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
Southeast Asia,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
Eastern Europe,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
Korea,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
India,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17, ,junk
USA,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
Canada,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
Western Europe,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
Japan,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
Australia_NZ,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
Former Soviet Union,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
China,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
Middle East,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
Africa,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
Latin America,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
Southeast Asia,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
Eastern Europe,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
Korea,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
India,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18, ,junk
