INPUT_TABLE
Variable ID
AgTech

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,apply.to,from.year,to.year,interpolation.function,CO2,share.weight
Korea,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
India,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
China,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
India,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
China,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
India,Forest,ForestAEZ01,ForestAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
China,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
India,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
China,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
India,OilCrop,OilCropAEZ01,OilCropAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
China,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
India,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
China,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
India,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
China,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
India,Pasture,PastureAEZ01,PastureAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
China,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
India,Rice,RiceAEZ01,RiceAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
China,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
India,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
China,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
India,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
China,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
India,Wheat,WheatAEZ01,WheatAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,biomass,biomassAEZ02,biomassAEZ02,share-weight,2005,9999,fixed,CO2,1
Canada,biomass,biomassAEZ02,biomassAEZ02,share-weight,2005,9999,fixed,CO2,1
Western Europe,biomass,biomassAEZ02,biomassAEZ02,share-weight,2005,9999,fixed,CO2,1
Japan,biomass,biomassAEZ02,biomassAEZ02,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,biomass,biomassAEZ02,biomassAEZ02,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,biomass,biomassAEZ02,biomassAEZ02,share-weight,2005,9999,fixed,CO2,1
China,biomass,biomassAEZ02,biomassAEZ02,share-weight,2005,9999,fixed,CO2,1
Middle East,biomass,biomassAEZ02,biomassAEZ02,share-weight,2005,9999,fixed,CO2,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,share-weight,2005,9999,fixed,CO2,1
Latin America,biomass,eucalyptusAEZ02,eucalyptusAEZ02,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,biomass,biomassAEZ02,biomassAEZ02,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,biomass,biomassAEZ02,biomassAEZ02,share-weight,2005,9999,fixed,CO2,1
Korea,biomass,biomassAEZ02,biomassAEZ02,share-weight,2005,9999,fixed,CO2,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,share-weight,2005,9999,fixed,CO2,1
USA,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
Canada,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
Western Europe,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
Japan,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
China,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
Middle East,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
Africa,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
Latin America,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
Korea,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
India,Corn,CornAEZ02,CornAEZ02,share-weight,2005,9999,fixed,CO2,1
USA,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
Canada,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
Western Europe,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
Japan,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
China,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
Middle East,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
Africa,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
Latin America,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
Korea,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
India,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,share-weight,2005,9999,fixed,CO2,1
USA,FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,share-weight,2005,9999,fixed,CO2,1
Canada,FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,share-weight,2005,9999,fixed,CO2,1
Western Europe,FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,share-weight,2005,9999,fixed,CO2,1
Japan,FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,share-weight,2005,9999,fixed,CO2,1
China,FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,share-weight,2005,9999,fixed,CO2,1
Middle East,FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,share-weight,2005,9999,fixed,CO2,1
Africa,FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,share-weight,2005,9999,fixed,CO2,1
Latin America,FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,share-weight,2005,9999,fixed,CO2,1
