From Allison,,,,,,,,,,,,
http://www.fao.org/docrep/004/y3557e/y3557e20.htm#TopOfPage,,,,,,,,,,,,
"Use Allison's data through 2035, choose 2065 onward, 2050 is average of 2035 & 2065",,,,,,,,,,,,
final,0.25,,,,,,,,,,,

agProdChange,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2002,,,,,,,,,,,,
,,,,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange
USA,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Canada,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Western Europe,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Japan,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Australia_NZ,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Former Soviet Union,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
China,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0071,0.0048,0.0025,0.0025,0.0025,0.0025
Middle East,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0172,0.0099,0.0025,0.0025,0.0025,0.0025
Africa,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0200,0.0113,0.0025,0.0025,0.0025,0.0025
Latin America,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0111,0.0068,0.0025,0.0025,0.0025,0.0025
Southeast Asia,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0200,0.0113,0.0025,0.0025,0.0025,0.0025
Eastern Europe,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Korea,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0071,0.0048,0.0025,0.0025,0.0025,0.0025
India,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0200,0.0113,0.0025,0.0025,0.0025,0.0025
USA,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0048,0.0025,0.0025,0.0025,0.0025
Canada,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0048,0.0025,0.0025,0.0025,0.0025
Western Europe,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0048,0.0025,0.0025,0.0025,0.0025
Japan,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0048,0.0025,0.0025,0.0025,0.0025
Australia_NZ,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0048,0.0025,0.0025,0.0025,0.0025
Former Soviet Union,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0048,0.0025,0.0025,0.0025,0.0025
China,OilCrop,OilCrop,OilCrop,0,0,0,0.0190,0.0107,0.0025,0.0025,0.0025,0.0025
Middle East,OilCrop,OilCrop,OilCrop,0,0,0,0.0200,0.0113,0.0025,0.0025,0.0025,0.0025
Africa,OilCrop,OilCrop,OilCrop,0,0,0,0.0200,0.0113,0.0025,0.0025,0.0025,0.0025
Latin America,OilCrop,OilCrop,OilCrop,0,0,0,0.0117,0.0071,0.0025,0.0025,0.0025,0.0025
Southeast Asia,OilCrop,OilCrop,OilCrop,0,0,0,0.0190,0.0107,0.0025,0.0025,0.0025,0.0025
Eastern Europe,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0048,0.0025,0.0025,0.0025,0.0025
Korea,OilCrop,OilCrop,OilCrop,0,0,0,0.0199,0.0112,0.0025,0.0025,0.0025,0.0025
India,OilCrop,OilCrop,OilCrop,0,0,0,0.0190,0.0107,0.0025,0.0025,0.0025,0.0025
USA,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
Canada,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
Western Europe,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
Japan,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
Australia_NZ,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
Former Soviet Union,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
China,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0145,0.0085,0.0025,0.0025,0.0025,0.0025
Middle East,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0153,0.0089,0.0025,0.0025,0.0025,0.0025
Africa,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0176,0.0101,0.0025,0.0025,0.0025,0.0025
Latin America,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0228,0.0127,0.0025,0.0025,0.0025,0.0025
Southeast Asia,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0076,0.0051,0.0025,0.0025,0.0025,0.0025
Eastern Europe,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
Korea,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0145,0.0085,0.0025,0.0025,0.0025,0.0025
India,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0076,0.0051,0.0025,0.0025,0.0025,0.0025
USA,Rice,Rice,Rice,0,0,0,0.0060,0.0043,0.0025,0.0025,0.0025,0.0025
Canada,Rice,Rice,Rice,0,0,0,0.0060,0.0043,0.0025,0.0025,0.0025,0.0025
Western Europe,Rice,Rice,Rice,0,0,0,0.0060,0.0043,0.0025,0.0025,0.0025,0.0025
Japan,Rice,Rice,Rice,0,0,0,0.0060,0.0043,0.0025,0.0025,0.0025,0.0025
Australia_NZ,Rice,Rice,Rice,0,0,0,0.0060,0.0043,0.0025,0.0025,0.0025,0.0025
Former Soviet Union,Rice,Rice,Rice,0,0,0,0.0060,0.0043,0.0025,0.0025,0.0025,0.0025
China,Rice,Rice,Rice,0,0,0,0.0080,0.0052,0.0025,0.0025,0.0025,0.0025
Middle East,Rice,Rice,Rice,0,0,0,0.0064,0.0044,0.0025,0.0025,0.0025,0.0025
Africa,Rice,Rice,Rice,0,0,0,0.0200,0.0113,0.0025,0.0025,0.0025,0.0025
Latin America,Rice,Rice,Rice,0,0,0,0.0169,0.0097,0.0025,0.0025,0.0025,0.0025
Southeast Asia,Rice,Rice,Rice,0,0,0,0.0201,0.0113,0.0025,0.0025,0.0025,0.0025
Eastern Europe,Rice,Rice,Rice,0,0,0,0.0060,0.0043,0.0025,0.0025,0.0025,0.0025
Korea,Rice,Rice,Rice,0,0,0,0.0080,0.0052,0.0025,0.0025,0.0025,0.0025
India,Rice,Rice,Rice,0,0,0,0.0201,0.0113,0.0025,0.0025,0.0025,0.0025
USA,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Canada,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Western Europe,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Japan,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Australia_NZ,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Former Soviet Union,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
China,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0200,0.0113,0.0025,0.0025,0.0025,0.0025
Middle East,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0008,0.0016,0.0025,0.0025,0.0025,0.0025
Africa,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0179,0.0102,0.0025,0.0025,0.0025,0.0025
Latin America,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0116,0.0071,0.0025,0.0025,0.0025,0.0025
Southeast Asia,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0200,0.0113,0.0025,0.0025,0.0025,0.0025
Eastern Europe,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Korea,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0200,0.0113,0.0025,0.0025,0.0025,0.0025
India,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0200,0.0113,0.0025,0.0025,0.0025,0.0025
USA,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
Canada,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
Western Europe,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
Japan,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
Australia_NZ,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
Former Soviet Union,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
China,Wheat,Wheat,Wheat,0,0,0,0.0178,0.0101,0.0025,0.0025,0.0025,0.0025
Middle East,Wheat,Wheat,Wheat,0,0,0,0.0138,0.0082,0.0025,0.0025,0.0025,0.0025
Africa,Wheat,Wheat,Wheat,0,0,0,0.0169,0.0097,0.0025,0.0025,0.0025,0.0025
Latin America,Wheat,Wheat,Wheat,0,0,0,0.0082,0.0053,0.0025,0.0025,0.0025,0.0025
Southeast Asia,Wheat,Wheat,Wheat,0,0,0,0.0179,0.0102,0.0025,0.0025,0.0025,0.0025
Eastern Europe,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0025,0.0025,0.0025,0.0025
Korea,Wheat,Wheat,Wheat,0,0,0,0.0178,0.0101,0.0025,0.0025,0.0025,0.0025
India,Wheat,Wheat,Wheat,0,0,0,0.0179,0.0102,0.0025,0.0025,0.0025,0.0025
,,,,,,,,,,,,
,,,,,,,,,,,,
Not from Allison,,,,,,,,,,,,

agProdChange,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2002,,,,,,,,,,,,
,,,,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange
region,FoodSupplySector,FoodSupplySubsector,FoodProductionTechnology,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Canada,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Western Europe,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Japan,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Australia_NZ,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Former Soviet Union,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
China,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Middle East,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Africa,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Latin America,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Southeast Asia,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Eastern Europe,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Korea,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
India,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
USA,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Canada,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Western Europe,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Japan,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Australia_NZ,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Former Soviet Union,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
China,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Middle East,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Africa,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Latin America,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Southeast Asia,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Eastern Europe,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Korea,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
India,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
USA,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Canada,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Western Europe,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Japan,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Australia_NZ,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Former Soviet Union,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
China,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Middle East,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Africa,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Latin America,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Southeast Asia,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Eastern Europe,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
Korea,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
India,biomass,biomass,biomass,0,0,0,0.00250,0.00250,0.00250,0.00250,0.00250,0.00250
