INPUT_TABLE
Variable ID
OutputDriver_Unmgd

region,AgSupplySector,AgSupplySubsector,UnmanagedLandTechnology,year,generic.ghg
Africa,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1975,BC
Canada,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1975,BC
China,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1975,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1975,BC
Middle East,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1975,BC
USA,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1975,BC
Africa,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1975,BC
Canada,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1975,BC
China,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1975,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1975,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1975,BC
India,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1975,BC
Middle East,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1975,BC
USA,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1975,BC
Western Europe,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1975,BC
Africa,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
Canada,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
China,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
India,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
Japan,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
Middle East,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
USA,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
Western Europe,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1975,BC
Africa,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
Canada,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
China,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
India,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
Japan,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
Korea,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
USA,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
Western Europe,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1975,BC
Africa,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
Canada,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
China,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
India,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
Japan,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
Korea,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
USA,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
Western Europe,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1975,BC
Africa,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1975,BC
China,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1975,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1975,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1975,BC
India,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1975,BC
Japan,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1975,BC
USA,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1975,BC
Western Europe,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1975,BC
Canada,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1975,BC
China,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1975,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1975,BC
India,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1975,BC
USA,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1975,BC
Western Europe,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1975,BC
Canada,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1975,BC
China,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1975,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1975,BC
India,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1975,BC
USA,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1975,BC
Western Europe,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1975,BC
Canada,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1975,BC
China,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1975,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1975,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1975,BC
India,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1975,BC
Japan,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1975,BC
USA,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1975,BC
Western Europe,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1975,BC
Canada,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1975,BC
China,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1975,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1975,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1975,BC
India,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1975,BC
USA,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1975,BC
Western Europe,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ17,DeforestationAEZ17,1975,BC
China,UnmanagedLand,DeforestationAEZ17,DeforestationAEZ17,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ17,DeforestationAEZ17,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ18,DeforestationAEZ18,1975,BC
Africa,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,1990,BC
Africa,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,1990,BC
India,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,1990,BC
Africa,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1990,BC
India,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1990,BC
Africa,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1990,BC
China,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1990,BC
India,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1990,BC
Africa,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,1990,BC
China,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,1990,BC
India,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,1990,BC
Africa,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,1990,BC
China,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,1990,BC
India,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,1990,BC
Africa,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1990,BC
Canada,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1990,BC
China,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1990,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1990,BC
Middle East,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1990,BC
USA,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,1990,BC
Africa,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1990,BC
Canada,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1990,BC
China,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1990,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1990,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1990,BC
India,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1990,BC
Middle East,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1990,BC
USA,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1990,BC
Western Europe,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,1990,BC
Africa,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
Canada,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
China,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
India,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
Japan,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
Middle East,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
USA,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
Western Europe,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,1990,BC
Africa,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
Canada,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
China,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
India,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
Japan,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
Korea,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
USA,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
Western Europe,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,1990,BC
Africa,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
Canada,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
China,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
India,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
Japan,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
Korea,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
USA,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
Western Europe,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,1990,BC
Africa,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1990,BC
China,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1990,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1990,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1990,BC
India,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1990,BC
Japan,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1990,BC
USA,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1990,BC
Western Europe,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,1990,BC
Canada,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1990,BC
China,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1990,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1990,BC
India,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1990,BC
USA,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1990,BC
Western Europe,UnmanagedLand,DeforestationAEZ13,DeforestationAEZ13,1990,BC
Canada,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1990,BC
China,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1990,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1990,BC
India,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1990,BC
USA,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1990,BC
Western Europe,UnmanagedLand,DeforestationAEZ14,DeforestationAEZ14,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1990,BC
Canada,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1990,BC
China,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1990,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1990,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1990,BC
India,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1990,BC
Japan,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1990,BC
USA,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1990,BC
Western Europe,UnmanagedLand,DeforestationAEZ15,DeforestationAEZ15,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1990,BC
Canada,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1990,BC
China,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1990,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1990,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1990,BC
India,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1990,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1990,BC
USA,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1990,BC
Western Europe,UnmanagedLand,DeforestationAEZ16,DeforestationAEZ16,1990,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ17,DeforestationAEZ17,1990,BC
China,UnmanagedLand,DeforestationAEZ17,DeforestationAEZ17,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ17,DeforestationAEZ17,1990,BC
Latin America,UnmanagedLand,DeforestationAEZ18,DeforestationAEZ18,1990,BC
Africa,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,2005,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,2005,BC
Latin America,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,2005,BC
Africa,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,2005,BC
India,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,2005,BC
Latin America,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,2005,BC
Africa,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,2005,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,2005,BC
India,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,2005,BC
Latin America,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,2005,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,2005,BC
Africa,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,2005,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,2005,BC
China,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,2005,BC
India,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,2005,BC
Latin America,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,2005,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,2005,BC
Africa,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,2005,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,2005,BC
China,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,2005,BC
India,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,2005,BC
Latin America,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,2005,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,2005,BC
Africa,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,2005,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,2005,BC
China,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,2005,BC
India,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,2005,BC
Latin America,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,2005,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,2005,BC
Africa,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2005,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2005,BC
Canada,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2005,BC
China,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2005,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2005,BC
Latin America,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2005,BC
Middle East,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2005,BC
USA,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2005,BC
Africa,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2005,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2005,BC
Canada,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2005,BC
China,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2005,BC
Eastern Europe,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2005,BC
Former Soviet Union,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2005,BC
India,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2005,BC
Latin America,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2005,BC
Middle East,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2005,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2005,BC
USA,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2005,BC
Western Europe,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2005,BC
