INPUT_TABLE
Variable ID
LN3_UnmgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,UnmanagedLandLeaf3,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,3.6,6.9,3.6,6.9,40,0,0,Shrubland,AEZ01,Shrubland
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,2.7,6.9,2.7,6.9,50,0,0,Shrubland,AEZ01,Shrubland
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,3.6,6.9,3.6,6.9,40,0,0,Shrubland,AEZ01,Shrubland
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,3.6,6.9,3.6,6.9,40,0,0,Shrubland,AEZ01,Shrubland
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,3.4,6.9,3.4,6.9,42,0,0,Shrubland,AEZ01,Shrubland
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,2.7,6.9,2.7,6.9,50,0,0,Shrubland,AEZ01,Shrubland
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,20,9.8,20,9.8,40,0,0,UnmanagedForest,AEZ01,Forest
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,14.8,9.8,14.8,9.8,36,0,0,UnmanagedForest,AEZ01,Forest
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,15.3,9.8,15.3,9.8,36,0,0,UnmanagedForest,AEZ01,Forest
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,UnmanagedForestAEZ01,0,0,0,0,0,0,0,UnmanagedForest,AEZ01,Forest
USA,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,0,0,0,0,0,0,0,Grassland,AEZ02,Grassland
Canada,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,0,0,0,0,0,0,0,Grassland,AEZ02,Grassland
Western Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,0,0,0,0,0,0,0,Grassland,AEZ02,Grassland
Japan,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,0,0,0,0,0,0,0,Grassland,AEZ02,Grassland
Australia_NZ,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,2.2,9.2,2.2,9.2,26,0,0,Grassland,AEZ02,Grassland
Former Soviet Union,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,0,0,0,0,0,0,0,Grassland,AEZ02,Grassland
China,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,0,0,0,0,0,0,0,Grassland,AEZ02,Grassland
Middle East,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ02,Grassland
Africa,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,2,9,2,9,24,0,0,Grassland,AEZ02,Grassland
Latin America,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,2,8.9,2,8.9,23,0,0,Grassland,AEZ02,Grassland
Southeast Asia,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,0,0,0,0,0,0,0,Grassland,AEZ02,Grassland
Eastern Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,0,0,0,0,0,0,0,Grassland,AEZ02,Grassland
Korea,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,0,0,0,0,0,0,0,Grassland,AEZ02,Grassland
India,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,GrasslandAEZ02,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ02,Grassland
USA,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
Canada,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
Western Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
Japan,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
Australia_NZ,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
Former Soviet Union,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
China,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
Middle East,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
Africa,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
Latin America,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
Southeast Asia,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
Eastern Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
Korea,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
India,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,OtherArableLandAEZ02,0.3,4,0.3,4,1,0,0,OtherArableLand,AEZ02,Cropland
USA,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,0,0,0,0,0,0,0,Shrubland,AEZ02,Shrubland
Canada,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,0,0,0,0,0,0,0,Shrubland,AEZ02,Shrubland
Western Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,0,0,0,0,0,0,0,Shrubland,AEZ02,Shrubland
Japan,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,0,0,0,0,0,0,0,Shrubland,AEZ02,Shrubland
Australia_NZ,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,2.9,6.9,2.9,6.9,48,0,0,Shrubland,AEZ02,Shrubland
Former Soviet Union,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,0,0,0,0,0,0,0,Shrubland,AEZ02,Shrubland
China,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,0,0,0,0,0,0,0,Shrubland,AEZ02,Shrubland
Middle East,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,2.7,6.9,2.7,6.9,50,0,0,Shrubland,AEZ02,Shrubland
Africa,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,4.8,6.9,4.8,6.9,26,0,0,Shrubland,AEZ02,Shrubland
Latin America,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,5.4,6.9,5.4,6.9,19,0,0,Shrubland,AEZ02,Shrubland
Southeast Asia,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,0,0,0,0,0,0,0,Shrubland,AEZ02,Shrubland
Eastern Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,0,0,0,0,0,0,0,Shrubland,AEZ02,Shrubland
Korea,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,0,0,0,0,0,0,0,Shrubland,AEZ02,Shrubland
India,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,ShrublandAEZ02,3.4,6.9,3.4,6.9,42,0,0,Shrubland,AEZ02,Shrubland
USA,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,0,0,0,0,0,0,0,UnmanagedForest,AEZ02,Forest
Canada,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,0,0,0,0,0,0,0,UnmanagedForest,AEZ02,Forest
Western Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,0,0,0,0,0,0,0,UnmanagedForest,AEZ02,Forest
Japan,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,0,0,0,0,0,0,0,UnmanagedForest,AEZ02,Forest
Australia_NZ,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,0,0,0,0,0,0,0,UnmanagedForest,AEZ02,Forest
Former Soviet Union,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,0,0,0,0,0,0,0,UnmanagedForest,AEZ02,Forest
China,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,0,0,0,0,0,0,0,UnmanagedForest,AEZ02,Forest
Middle East,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,0,0,0,0,0,0,0,UnmanagedForest,AEZ02,Forest
Africa,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,16.8,9.8,16.8,9.8,38,0,0,UnmanagedForest,AEZ02,Forest
Latin America,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,16,9.9,16,9.9,38,0,0,UnmanagedForest,AEZ02,Forest
Southeast Asia,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,0,0,0,0,0,0,0,UnmanagedForest,AEZ02,Forest
Eastern Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,0,0,0,0,0,0,0,UnmanagedForest,AEZ02,Forest
Korea,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,0,0,0,0,0,0,0,UnmanagedForest,AEZ02,Forest
India,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,UnmanagedForestAEZ02,14.3,9.8,14.3,9.8,35,0,0,UnmanagedForest,AEZ02,Forest
USA,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,0,0,0,0,0,0,0,Grassland,AEZ03,Grassland
Canada,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,0,0,0,0,0,0,0,Grassland,AEZ03,Grassland
Western Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,0,0,0,0,0,0,0,Grassland,AEZ03,Grassland
Japan,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,0,0,0,0,0,0,0,Grassland,AEZ03,Grassland
Australia_NZ,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ03,Grassland
Former Soviet Union,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,0,0,0,0,0,0,0,Grassland,AEZ03,Grassland
China,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,0,0,0,0,0,0,0,Grassland,AEZ03,Grassland
Middle East,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ03,Grassland
Africa,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ03,Grassland
Latin America,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,2.2,9.4,2.2,9.4,25,0,0,Grassland,AEZ03,Grassland
Southeast Asia,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ03,Grassland
Eastern Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,0,0,0,0,0,0,0,Grassland,AEZ03,Grassland
Korea,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,0,0,0,0,0,0,0,Grassland,AEZ03,Grassland
India,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,GrasslandAEZ03,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ03,Grassland
USA,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
Canada,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
Western Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
Japan,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
Australia_NZ,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
Former Soviet Union,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
China,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
Middle East,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
Africa,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
Latin America,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
Southeast Asia,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
Eastern Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
Korea,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
India,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,OtherArableLandAEZ03,0.3,5,0.3,5,1,0,0,OtherArableLand,AEZ03,Cropland
USA,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,0,0,0,0,0,0,0,Shrubland,AEZ03,Shrubland
