From Allison,,,,,,,,,,,,
http://www.fao.org/docrep/004/y3557e/y3557e20.htm#TopOfPage,,,,,,,,,,,,
"Use Allison's data through 2035, choose 2065 onward, 2050 is average of 2035 & 2065",,,,,,,,,,,,
final,0.5,,,,,,,,,,,

agProdChange,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2002,,,,,,,,,,,,
,,,,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange
Australia_NZ,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Former Soviet Union,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
China,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0071,0.0100,0.0075,0.0050,0.0050,0.0050
Middle East,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0172,0.0150,0.0100,0.0050,0.0050,0.0050
Africa,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0200,0.0200,0.0125,0.0050,0.0050,0.0050
Latin America,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0111,0.0065,0.0058,0.0050,0.0050,0.0050
Southeast Asia,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0200,0.0200,0.0125,0.0050,0.0050,0.0050
Eastern Europe,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Korea,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0071,0.0100,0.0075,0.0050,0.0050,0.0050
India,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0200,0.0200,0.0125,0.0050,0.0050,0.0050
USA,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0050,0.0050,0.0050,0.0050,0.0050
Canada,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0050,0.0050,0.0050,0.0050,0.0050
Western Europe,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0050,0.0050,0.0050,0.0050,0.0050
Japan,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0050,0.0050,0.0050,0.0050,0.0050
Australia_NZ,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0050,0.0050,0.0050,0.0050,0.0050
Former Soviet Union,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0050,0.0050,0.0050,0.0050,0.0050
China,OilCrop,OilCrop,OilCrop,0,0,0,0.0190,0.0141,0.0096,0.0050,0.0050,0.0050
Middle East,OilCrop,OilCrop,OilCrop,0,0,0,0.0200,0.0200,0.0125,0.0050,0.0050,0.0050
Africa,OilCrop,OilCrop,OilCrop,0,0,0,0.0200,0.0176,0.0113,0.0050,0.0050,0.0050
Latin America,OilCrop,OilCrop,OilCrop,0,0,0,0.0117,0.0100,0.0075,0.0050,0.0050,0.0050
Southeast Asia,OilCrop,OilCrop,OilCrop,0,0,0,0.0190,0.0141,0.0096,0.0050,0.0050,0.0050
Eastern Europe,OilCrop,OilCrop,OilCrop,0,0,0,0.0070,0.0050,0.0050,0.0050,0.0050,0.0050
Korea,OilCrop,OilCrop,OilCrop,0,0,0,0.0199,0.0180,0.0115,0.0050,0.0050,0.0050
India,OilCrop,OilCrop,OilCrop,0,0,0,0.0190,0.0141,0.0096,0.0050,0.0050,0.0050
USA,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
Canada,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
Western Europe,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
Japan,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
Australia_NZ,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
Former Soviet Union,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
China,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0145,0.0143,0.0097,0.0050,0.0050,0.0050
Middle East,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0153,0.0130,0.0090,0.0050,0.0050,0.0050
Africa,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0176,0.0170,0.0110,0.0050,0.0050,0.0050
Latin America,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0228,0.0200,0.0125,0.0050,0.0050,0.0050
Southeast Asia,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0076,0.0060,0.0055,0.0050,0.0050,0.0050
Eastern Europe,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
Korea,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0145,0.0143,0.0097,0.0050,0.0050,0.0050
India,OtherGrain,OtherGrain,OtherGrain,0,0,0,0.0076,0.0060,0.0055,0.0050,0.0050,0.0050
USA,Rice,Rice,Rice,0,0,0,0.0060,0.0050,0.0050,0.0050,0.0050,0.0050
Canada,Rice,Rice,Rice,0,0,0,0.0060,0.0050,0.0050,0.0050,0.0050,0.0050
Western Europe,Rice,Rice,Rice,0,0,0,0.0060,0.0050,0.0050,0.0050,0.0050,0.0050
Japan,Rice,Rice,Rice,0,0,0,0.0060,0.0050,0.0050,0.0050,0.0050,0.0050
Australia_NZ,Rice,Rice,Rice,0,0,0,0.0060,0.0050,0.0050,0.0050,0.0050,0.0050
Former Soviet Union,Rice,Rice,Rice,0,0,0,0.0060,0.0050,0.0050,0.0050,0.0050,0.0050
China,Rice,Rice,Rice,0,0,0,0.0080,0.0062,0.0056,0.0050,0.0050,0.0050
Middle East,Rice,Rice,Rice,0,0,0,0.0064,0.0050,0.0050,0.0050,0.0050,0.0050
Africa,Rice,Rice,Rice,0,0,0,0.0200,0.0190,0.0120,0.0050,0.0050,0.0050
Latin America,Rice,Rice,Rice,0,0,0,0.0169,0.0079,0.0065,0.0050,0.0050,0.0050
Southeast Asia,Rice,Rice,Rice,0,0,0,0.0201,0.0170,0.0110,0.0050,0.0050,0.0050
Eastern Europe,Rice,Rice,Rice,0,0,0,0.0060,0.0050,0.0050,0.0050,0.0050,0.0050
Korea,Rice,Rice,Rice,0,0,0,0.0080,0.0062,0.0056,0.0050,0.0050,0.0050
India,Rice,Rice,Rice,0,0,0,0.0201,0.0170,0.0110,0.0050,0.0050,0.0050
USA,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Canada,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Western Europe,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Japan,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Australia_NZ,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Former Soviet Union,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
China,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0200,0.0180,0.0115,0.0050,0.0050,0.0050
Middle East,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0008,0.0010,0.0030,0.0050,0.0050,0.0050
Africa,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0179,0.0160,0.0105,0.0050,0.0050,0.0050
Latin America,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0116,0.0100,0.0075,0.0050,0.0050,0.0050
Southeast Asia,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0200,0.0200,0.0125,0.0050,0.0050,0.0050
Eastern Europe,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Korea,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0200,0.0180,0.0115,0.0050,0.0050,0.0050
India,SugarCrop,SugarCrop,SugarCrop,0,0,0,0.0200,0.0200,0.0125,0.0050,0.0050,0.0050
USA,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
Canada,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
Western Europe,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
Japan,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
Australia_NZ,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
Former Soviet Union,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
China,Wheat,Wheat,Wheat,0,0,0,0.0178,0.0136,0.0093,0.0050,0.0050,0.0050
Middle East,Wheat,Wheat,Wheat,0,0,0,0.0138,0.0119,0.0084,0.0050,0.0050,0.0050
Africa,Wheat,Wheat,Wheat,0,0,0,0.0169,0.0150,0.0100,0.0050,0.0050,0.0050
Latin America,Wheat,Wheat,Wheat,0,0,0,0.0082,0.0080,0.0065,0.0050,0.0050,0.0050
Southeast Asia,Wheat,Wheat,Wheat,0,0,0,0.0179,0.0130,0.0090,0.0050,0.0050,0.0050
Eastern Europe,Wheat,Wheat,Wheat,0,0,0,0.0075,0.0050,0.0050,0.0050,0.0050,0.0050
Korea,Wheat,Wheat,Wheat,0,0,0,0.0178,0.0136,0.0093,0.0050,0.0050,0.0050
India,Wheat,Wheat,Wheat,0,0,0,0.0179,0.0130,0.0090,0.0050,0.0050,0.0050
,,,,,,,,,,,,
,,,,,,,,,,,,
Not from Allison,,,,,,,,,,,,

agProdChange,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2002,,,,,,,,,,,,
,,,,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange
region,FoodSupplySector,FoodSupplySubsector,FoodProductionTechnology,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Canada,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Western Europe,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Japan,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Australia_NZ,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Former Soviet Union,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
China,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Middle East,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Africa,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Latin America,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Southeast Asia,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Eastern Europe,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Korea,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
India,FiberCrop,FiberCrop,FiberCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
USA,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Canada,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Western Europe,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Japan,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Australia_NZ,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Former Soviet Union,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
China,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Middle East,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Africa,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Latin America,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Southeast Asia,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Eastern Europe,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Korea,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
India,FodderCrop,FodderCrop,FodderCrop,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
USA,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Canada,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Western Europe,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Japan,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Australia_NZ,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Former Soviet Union,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
China,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Middle East,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Africa,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Latin America,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Southeast Asia,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Eastern Europe,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
Korea,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
India,biomass,biomass,biomass,0,0,0,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500
