INPUT_TABLE
Variable ID
LN3_LogitShare

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,logit.exponent,default.share.2020,default.share.2025,default.share.2035,ID_AEZ,ID_LN3
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
USA,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
Canada,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
Western Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
Japan,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
Australia_NZ,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
Former Soviet Union,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
China,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
Middle East,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
Africa,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
Latin America,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
Southeast Asia,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
Eastern Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
Korea,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
India,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,AllForestLand
USA,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
Canada,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
Western Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
Japan,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
Australia_NZ,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
Former Soviet Union,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
China,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
Middle East,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
Africa,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
Latin America,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
Southeast Asia,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
Eastern Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
Korea,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
India,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,1.75,0.02,0.1,0.25,AEZ02,CropLand
USA,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
Canada,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
Western Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
Japan,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
Australia_NZ,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
Former Soviet Union,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
China,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
Middle East,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
Africa,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
Latin America,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
Southeast Asia,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
Eastern Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
Korea,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
India,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,GrassShrubLandAEZ02,0.05,0.02,0.1,0.25,AEZ02,GrassShrubLand
USA,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
Canada,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
Western Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
Japan,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
Australia_NZ,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
Former Soviet Union,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
China,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
Middle East,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
Africa,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
Latin America,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
Southeast Asia,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
Eastern Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
Korea,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
India,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,AllForestLand
USA,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
Canada,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
Western Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
Japan,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
Australia_NZ,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
Former Soviet Union,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
China,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
Middle East,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
Africa,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
Latin America,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
Southeast Asia,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
Eastern Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
Korea,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
India,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,1.75,0.02,0.1,0.25,AEZ03,CropLand
USA,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
Canada,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
Western Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
Japan,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
Australia_NZ,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
Former Soviet Union,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
China,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
Middle East,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
Africa,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
Latin America,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
Southeast Asia,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
Eastern Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
Korea,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
India,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,0.05,0.02,0.1,0.25,AEZ03,GrassShrubLand
USA,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
Canada,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
Western Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
Japan,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
Australia_NZ,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
Former Soviet Union,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
China,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
Middle East,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
Africa,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
Latin America,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
Southeast Asia,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
Eastern Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
Korea,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
India,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,AllForestLand
USA,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
Canada,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
Western Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
Japan,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
Australia_NZ,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
Former Soviet Union,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
China,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
Middle East,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
Africa,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
Latin America,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
Southeast Asia,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
Eastern Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
Korea,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
India,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,1.75,0.02,0.1,0.25,AEZ04,CropLand
USA,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
Canada,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
Western Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
Japan,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
Australia_NZ,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
Former Soviet Union,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
China,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
Middle East,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
Africa,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
Latin America,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
Southeast Asia,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
Eastern Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
Korea,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
India,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,0.05,0.02,0.1,0.25,AEZ04,GrassShrubLand
USA,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
Canada,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
Western Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
Japan,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
Australia_NZ,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
Former Soviet Union,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
China,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
Middle East,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
