INPUT_TABLE
Variable ID
Supplysector

region,supplysector,output.unit,input.unit,price.unit,price,logit.exponent
India,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
India,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
India,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
India,Exports_Meat,Mt,Mt,1975$/kg,1,0
Japan,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
Japan,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
Japan,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
Japan,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
Japan,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
Japan,Exports_Meat,Mt,Mt,1975$/kg,1,0
Korea,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
Korea,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
Korea,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
Korea,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
Korea,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
Korea,Exports_Meat,Mt,Mt,1975$/kg,1,0
Latin America,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
Latin America,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
Latin America,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
Latin America,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
Latin America,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
Latin America,Exports_Meat,Mt,Mt,1975$/kg,1,0
Middle East,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
Middle East,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
Middle East,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
Middle East,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
Middle East,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
Middle East,Exports_Meat,Mt,Mt,1975$/kg,1,0
Southeast Asia,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
Southeast Asia,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
Southeast Asia,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
Southeast Asia,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
Southeast Asia,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
Southeast Asia,Exports_Meat,Mt,Mt,1975$/kg,1,0
USA,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
USA,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
USA,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
USA,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
USA,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
USA,Exports_Meat,Mt,Mt,1975$/kg,1,0
Western Europe,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
Western Europe,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
Western Europe,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
Western Europe,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
Western Europe,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
Western Europe,Exports_Meat,Mt,Mt,1975$/kg,1,0
