Food Demand,,,,,,,,,,,,,,,
Energy-final-demand drivers,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
,,,base-service,,,2020 fillout,2020 fillout,,,,,,,,
Korea,RiceDemand,1,22661128,22661128,18168127,0,0,,,,,,,,
India,RiceDemand,1,301181476,301181476,362589972,0,0,,,,,,,,
USA,SugarCropDemand,1,92759574,92759574,111415664,0,0,,,,,,,,
Canada,SugarCropDemand,1,13734342,13734342,17824468,0,0,,,,,,,,
Western Europe,SugarCropDemand,1,120518861,120518861,116302008,0,0,,,,,,,,
Japan,SugarCropDemand,1,37019289,37019289,27299988,0,0,,,,,,,,
Australia_NZ,SugarCropDemand,1,24010594,24010594,41623413,0,0,,,,,,,,
Former Soviet Union,SugarCropDemand,1,343716,343716,90948456,0,0,,,,,,,,
China,SugarCropDemand,1,159786872,159786872,254288574,0,0,,,,,,,,
Middle East,SugarCropDemand,1,27025533,27025533,52822165,0,0,,,,,,,,
Africa,SugarCropDemand,1,142723153,142723153,235557870,0,0,,,,,,,,
Latin America,SugarCropDemand,1,975519739,975519739,967570853,0,0,,,,,,,,
Southeast Asia,SugarCropDemand,1,254338522,254338522,353411171,0,0,,,,,,,,
Eastern Europe,SugarCropDemand,1,21375884,21375884,20215531,0,0,,,,,,,,
Korea,SugarCropDemand,1,8059034,8059034,19536492,0,0,,,,,,,,
India,SugarCropDemand,1,481635086,481635086,509975255,0,0,,,,,,,,
USA,WheatDemand,1,141689224,141689224,101466119,0,0,,,,,,,,
Canada,WheatDemand,1,34969991,34969991,28598901,0,0,,,,,,,,
Western Europe,WheatDemand,1,247922155,247922155,259004736,0,0,,,,,,,,
Japan,WheatDemand,1,21416646,21416646,22333671,0,0,,,,,,,,
Australia_NZ,WheatDemand,1,13329257,13329257,31174625,0,0,,,,,,,,
Former Soviet Union,WheatDemand,1,174812055,174812055,163211074,0,0,,,,,,,,
China,WheatDemand,1,395702683,395702683,367119388,0,0,,,,,,,,
Middle East,WheatDemand,1,68315043,68315043,86208588,0,0,,,,,,,,
Africa,WheatDemand,1,107478106,107478106,185846122,0,0,,,,,,,,
Latin America,WheatDemand,1,80363777,80363777,99853110,0,0,,,,,,,,
Southeast Asia,WheatDemand,1,88126844,88126844,130519239,0,0,,,,,,,,
Eastern Europe,WheatDemand,1,86024986,86024986,66960708,0,0,,,,,,,,
Korea,WheatDemand,1,6753759,6753759,10250568,0,0,,,,,,,,
India,WheatDemand,1,171753480,171753480,228968158,0,0,,,,,,,,
USA,FiberCropDemand,1,3375000000,3375000000,5201000000,0,0,,,,,,,,
Canada,FiberCropDemand,1,10,10,10,0,0,,,,,,,,
Western Europe,FiberCropDemand,1,1073939000,1073939000,1134270000,0,0,,,,,,,,
Japan,FiberCropDemand,1,10,10,10,0,0,,,,,,,,
Australia_NZ,FiberCropDemand,1,305300000,305300000,645100000,0,0,,,,,,,,
Former Soviet Union,FiberCropDemand,1,2838000000,2838000000,1990074000,0,0,,,,,,,,
China,FiberCropDemand,1,5542705300,5542705300,6551993000,0,0,,,,,,,,
Middle East,FiberCropDemand,1,341020000,341020000,152390000,0,0,,,,,,,,
Africa,FiberCropDemand,1,1461030860,1461030860,2009933000,0,0,,,,,,,,
Latin America,FiberCropDemand,1,2008541000,2008541000,749740000,0,0,,,,,,,,
Southeast Asia,FiberCropDemand,1,2827438190,2827438190,3204014000,0,0,,,,,,,,
Eastern Europe,FiberCropDemand,1,10,10,10,0,0,,,,,,,,
Korea,FiberCropDemand,1,10,10,10,0,0,,,,,,,,
India,FiberCropDemand,1,3375300000,3375300000,5283200000,0,0,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Food demand supplysectors: unit tags and sector type,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
region,supplysector,input-unit,output-unit,price-unit,sectorType,,,,,,,,,,
ALL,CornDemand,Gcal,Gcal,1975$/Gcal,agDemand,,,,,,,,,,
ALL,MiscCropDemand,Gcal,Gcal,1975$/Gcal,agDemand,,,,,,,,,,
ALL,OilCropDemand,Gcal,Gcal,1975$/Gcal,agDemand,,,,,,,,,,
ALL,OtherGrainDemand,Gcal,Gcal,1975$/Gcal,agDemand,,,,,,,,,,
ALL,RiceDemand,Gcal,Gcal,1975$/Gcal,agDemand,,,,,,,,,,
ALL,SugarCropDemand,Gcal,Gcal,1975$/Gcal,agDemand,,,,,,,,,,
ALL,WheatDemand,Gcal,Gcal,1975$/Gcal,agDemand,,,,,,,,,,
ALL,FiberCropDemand,kg,kg,1975$/kg,agDemand,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Subsector shareweight scaling,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,
,,,share-weight,interpolation-rule,,,,,,,,,,,
region,supplysector,subsector,1975 fillout,apply-to,from-year,to-year,interpolation-function,,,,,,,,
USA,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,CornDemand,CornDemand,1,share-weight,2005,2095,fixed,,,,,,,,
USA,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,MiscCropDemand,MiscCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
USA,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,OilCropDemand,OilCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
USA,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,OtherGrainDemand,OtherGrainDemand,1,share-weight,2005,2095,fixed,,,,,,,,
USA,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,RiceDemand,RiceDemand,1,share-weight,2005,2095,fixed,,,,,,,,
USA,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,SugarCropDemand,SugarCropDemand,1,share-weight,2005,2095,fixed,,,,,,,,
USA,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,WheatDemand,WheatDemand,1,share-weight,2005,2095,fixed,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nonfood Demands Subsector scaling,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,
,,,share-weight,interpolation-rule,,,,,,,,,,,
region,supplysector,subsector,1975 fillout,apply-to,from-year,to-year,interpolation-function,,,,,,,,
USA,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,CornDemand,CornNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
USA,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,MiscCropDemand,MiscCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
USA,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,OilCropDemand,OilCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
USA,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,OtherGrainDemand,OtherGrainNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
USA,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,RiceDemand,RiceNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
USA,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
