INPUT_TABLE
Variable ID
LN2_Logit

region,LandAllocatorRoot,LandNode1,LandNode2,logit.exponent,ID_AEZ,ID_LN2
Southeast Asia,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
Eastern Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
Korea,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
India,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
USA,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
Canada,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
Western Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
Japan,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
Australia_NZ,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
Former Soviet Union,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
China,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
Middle East,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
Africa,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
Latin America,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
Southeast Asia,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
Eastern Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
Korea,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
India,root,AgroForestLandAEZ02,AllPastureLandAEZ02,3,AEZ02,AllPastureLand
USA,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
Canada,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
Western Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
Japan,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
Australia_NZ,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
Former Soviet Union,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
China,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
Middle East,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
Africa,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
Latin America,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
Southeast Asia,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
Eastern Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
Korea,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
India,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,1.25,AEZ03,AgroForest_NonPasture
USA,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
Canada,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
Western Europe,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
Japan,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
Australia_NZ,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
Former Soviet Union,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
China,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
Middle East,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
Africa,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
Latin America,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
Southeast Asia,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
Eastern Europe,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
Korea,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
India,root,AgroForestLandAEZ03,AllPastureLandAEZ03,3,AEZ03,AllPastureLand
USA,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
Canada,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
Western Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
Japan,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
Australia_NZ,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
Former Soviet Union,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
China,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
Middle East,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
Africa,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
Latin America,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
Southeast Asia,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
Eastern Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
Korea,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
India,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,1.25,AEZ04,AgroForest_NonPasture
USA,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
Canada,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
Western Europe,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
Japan,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
Australia_NZ,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
Former Soviet Union,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
China,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
Middle East,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
Africa,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
Latin America,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
Southeast Asia,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
Eastern Europe,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
Korea,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
India,root,AgroForestLandAEZ04,AllPastureLandAEZ04,3,AEZ04,AllPastureLand
USA,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
Canada,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
Western Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
Japan,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
Australia_NZ,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
Former Soviet Union,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
China,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
Middle East,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
Africa,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
Latin America,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
Southeast Asia,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
Eastern Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
Korea,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
India,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,1.25,AEZ05,AgroForest_NonPasture
USA,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
Canada,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
Western Europe,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
Japan,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
Australia_NZ,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
Former Soviet Union,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
China,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
Middle East,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
Africa,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
Latin America,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
Southeast Asia,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
Eastern Europe,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
Korea,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
India,root,AgroForestLandAEZ05,AllPastureLandAEZ05,3,AEZ05,AllPastureLand
USA,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
Canada,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
Western Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
Japan,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
Australia_NZ,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
Former Soviet Union,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
China,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
Middle East,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
Africa,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
Latin America,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
Southeast Asia,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
Eastern Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
Korea,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
India,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,1.25,AEZ06,AgroForest_NonPasture
USA,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
Canada,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
Western Europe,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
Japan,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
Australia_NZ,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
Former Soviet Union,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
China,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
Middle East,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
Africa,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
Latin America,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
Southeast Asia,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
Eastern Europe,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
Korea,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
India,root,AgroForestLandAEZ06,AllPastureLandAEZ06,3,AEZ06,AllPastureLand
USA,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
Canada,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
Western Europe,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
Japan,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
Australia_NZ,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
Former Soviet Union,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
China,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
Middle East,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
Africa,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
Latin America,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
Southeast Asia,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
Eastern Europe,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
Korea,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
India,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,0.625,AEZ07,AgroForest_NonPasture
USA,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
Canada,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
Western Europe,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
Japan,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
Australia_NZ,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
Former Soviet Union,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
China,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
Middle East,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
Africa,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
Latin America,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
Southeast Asia,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
Eastern Europe,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
Korea,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
India,root,AgroForestLandAEZ07,AllPastureLandAEZ07,1.5,AEZ07,AllPastureLand
USA,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
Canada,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
Western Europe,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
Japan,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
Australia_NZ,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
Former Soviet Union,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
China,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
Middle East,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
Africa,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
Latin America,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
Southeast Asia,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
Eastern Europe,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
Korea,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
India,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,1.25,AEZ08,AgroForest_NonPasture
USA,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
Canada,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
Western Europe,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
Japan,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
Australia_NZ,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
Former Soviet Union,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
China,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
Middle East,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
Africa,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
Latin America,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
Southeast Asia,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
Eastern Europe,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
Korea,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
India,root,AgroForestLandAEZ08,AllPastureLandAEZ08,3,AEZ08,AllPastureLand
USA,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
Canada,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
Western Europe,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
Japan,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
Australia_NZ,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
Former Soviet Union,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
China,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
Middle East,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
Africa,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
Latin America,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
Southeast Asia,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
Eastern Europe,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
Korea,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
India,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,1.25,AEZ09,AgroForest_NonPasture
USA,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
Canada,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
Western Europe,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
Japan,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
Australia_NZ,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
Former Soviet Union,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
China,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
Middle East,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
Africa,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
Latin America,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
Southeast Asia,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
Eastern Europe,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
Korea,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
India,root,AgroForestLandAEZ09,AllPastureLandAEZ09,3,AEZ09,AllPastureLand
USA,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,1.25,AEZ10,AgroForest_NonPasture
Canada,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,1.25,AEZ10,AgroForest_NonPasture
