# File: socioeconomics_ctry.csv,,,,
# Description: Maps country names and codes  in socioeconomics databases to three digit iso codes,,,,
# ----------,,,,
iso,country_name,Maddison_ctry,Downscale_from,GDP_reg
mco,Monaco,Monaco,,xer
mng,Mongolia,Mongolia,,mng
mne,Montenegro,,,srb
msr,Montserrat,Montserrat,,xsm
mar,Morocco,Morocco,,mar
moz,Mozambique,Mozambique,,moz
mmr,Myanmar,Burma,,mmr
nam,Namibia,Namibia,,nam
nru,Nauru,Nauru,,xse
npl,Nepal,Nepal,,npl
nld,Netherlands,Netherlands,,nld
ant,Netherlands Antilles,Neth. Antilles,,xsm
ncl,New Caledonia,New Caledonia,,xse
nzl,New Zealand,New Zealand,,nzl
nic,Nicaragua,Nicaragua,,nic
ner,Niger,Niger,,ner
nga,Nigeria,Nigeria,,nga
niu,Niue,,,xse
nfk,Norfolk Island,,,
mnp,Northern Mariana Islands,Northern Mariana Islands,,xse
nor,Norway,Norway,,nor
omn,Oman,Oman,,omn
pci,Pacific Islands Trust Territory,,,
pak,Pakistan,Pakistan,,pak
plw,Palau,Palau,,xse
pse,"Palestinian Territory, Occupied",West Bank and Gaza,,pse
pan,Panama,Panama,,pan
png,Papua New Guinea,Papua New Guinea,,xse
pry,Paraguay,Paraguay,,pry
per,Peru,Peru,,per
phl,Philippines,Philippines,,phl
pcn,Pitcairn Islands,,,
pol,Poland,Poland,,pol
prt,Portugal,Portugal,,prt
pri,Puerto Rico,Puerto Rico,,pri
qat,Qatar,Qatar,,qat
reu,Reunion,Reunion,,reu
rom,Romania,Romania,,rom
rus,Russian Federation,Russian Federation,Total Former USSR,rus
rwa,Rwanda,Rwanda,,rwa
shn,Saint Helena,Saint Helena,,xss
kna,Saint Kitts and Nevis,St. Kitts Nevis,,xsm
lca,Saint Lucia,St. Lucia,,xsm
spm,Saint Pierre and Miquelon,St. Pierre and Miquelon,,xsm
vct,Saint Vincent and the Grenadines,St. Vincent,,xsm
wsm,Samoa,Samoa,,xse
smr,San Marino,San Marino,,xer
stp,Sao Tome and Principe,Sao Tome and Principe,,stp
sau,Saudi Arabia,Saudi Arabia,,sau
sen,Senegal,Senegal,,sen
srb,Serbia,,,srb
scg,Serbia and Montenegro,Serbia/Montenegro,Yugoslavia,
syc,Seychelles,Seychelles,,syc
sle,Sierra Leone,Sierra Leone,,sle
sgp,Singapore,Singapore,,sgp
svk,Slovakia,Slovakia,Czechoslovakia,svk
svn,Slovenia,Slovenia,Yugoslavia,svn
slb,Solomon Islands,Solomon Islands,,xse
som,Somalia,Somalia,,som
zaf,South Africa,South Africa,,zaf
esp,Spain,Spain,,esp
lka,Sri Lanka,Sri Lanka,,lka
sdn,Sudan,Sudan,,sdn
sur,Suriname,Suriname,,xsm
sjm,Svalbard and Jan Mayen Islands,,,
swz,Swaziland,Swaziland,,swz
swe,Sweden,Sweden,,swe
che,Switzerland,Switzerland,,che
syr,Syrian Arab Republic,Syria,,syr
twn,Taiwan,Taiwan,,twn
tjk,Tajikistan,Tajikistan,Total Former USSR,tjk
tza,"Tanzania, United Republic of",Tanzania,,tza
tha,Thailand,Thailand,,tha
tls,Timor Leste,,,xse
tgo,Togo,Togo,,tgo
tkl,Tokelau,,,xse
ton,Tonga,Tonga,,xse
tto,Trinidad and Tobago,Trinidad and Tobago,,tto
tun,Tunisia,Tunisia,,tun
tur,Turkey,Turkey,,tur
tkm,Turkmenistan,Turkmenistan,Total Former USSR,tkm
tca,Turks and Caicos,Turks and Caicos Islands,,xsm
tuv,Tuvalu,Tuvalu,,xse
uga,Uganda,Uganda,,uga
ukr,Ukraine,Ukraine,Total Former USSR,ukr
are,United Arab Emirates,United Arab Emirates,,are
gbr,United Kingdom,United Kingdom,,gbr
usa,United States of America,United States,,usa
ury,Uruguay,Uruguay,,ury
uzb,Uzbekistan,Uzbekistan,Total Former USSR,uzb
vut,Vanuatu,Vanuatu,,xse
vat,Vatican,,,xer
ven,Venezuela,Venezuela,,ven
vnm,Viet Nam,Vietnam,,vnm
vgb,"Virgin Islands, British",British Virgin Islands,,xsm
vir,"Virgin Islands, U.S.",Virgin Islands,,xsm
wlf,Wallis and Futuna,Wallis and Futuna,,xse
esh,Western Sahara,Western Sahara,,xss
yem,Yemen,Yemen,,yem
yug,"Yugoslavia, Federal Republic of",,,
zmb,Zambia,Zambia,,zmb
zwe,Zimbabwe,Zimbabwe,,zwe
