model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD Env-Linkages,SSP1_v5_120504,ERI,GDP|PPP,billion US$2005/yr,2,3,3,3,4,5,7,10,15,22,33,49,72,101,139,184,237,300,369,443,522
OECD Env-Linkages,SSP1_v5_120504,ESP,GDP|PPP,billion US$2005/yr,1012,1189,1242,1319,1393,1467,1562,1678,1803,1937,2092,2258,2434,2622,2807,2985,3170,3369,3590,3831,4080
OECD Env-Linkages,SSP1_v5_120504,EST,GDP|PPP,billion US$2005/yr,16,22,22,28,32,35,39,44,49,54,58,62,67,73,79,85,91,98,105,113,122
OECD Env-Linkages,SSP1_v5_120504,ETH,GDP|PPP,billion US$2005/yr,35,47,77,106,147,212,311,459,675,981,1399,1944,2619,3412,4308,5313,6381,7501,8640,9762,10849
OECD Env-Linkages,SSP1_v5_120504,FIN,GDP|PPP,billion US$2005/yr,141,161,170,189,205,222,241,261,283,305,328,352,378,408,442,478,516,556,599,646,696
OECD Env-Linkages,SSP1_v5_120504,FJI,GDP|PPP,billion US$2005/yr,3,4,3,4,4,5,6,7,9,11,13,16,19,22,26,29,33,37,40,44,48
OECD Env-Linkages,SSP1_v5_120504,FRA,GDP|PPP,billion US$2005/yr,1720,1859,1922,2069,2249,2457,2702,2987,3305,3649,4009,4393,4813,5267,5745,6245,6773,7336,7929,8554,9208
OECD Env-Linkages,SSP1_v5_120504,GAB,GDP|PPP,billion US$2005/yr,16,18,20,24,28,33,38,45,54,65,78,93,109,127,146,166,186,207,227,247,266
OECD Env-Linkages,SSP1_v5_120504,GBR,GDP|PPP,billion US$2005/yr,1711,1972,2014,2189,2439,2684,2945,3232,3560,3929,4319,4727,5169,5664,6216,6801,7416,8068,8757,9490,10268
OECD Env-Linkages,SSP1_v5_120504,GEO,GDP|PPP,billion US$2005/yr,11,16,20,26,33,42,51,62,74,86,98,109,120,132,144,154,162,171,181,191,200
OECD Env-Linkages,SSP1_v5_120504,GHA,GDP|PPP,billion US$2005/yr,20,26,36,52,69,94,130,182,253,350,477,641,845,1091,1377,1697,2054,2447,2868,3304,3746
OECD Env-Linkages,SSP1_v5_120504,GIN,GDP|PPP,billion US$2005/yr,7,9,10,12,18,24,35,52,78,117,174,255,366,512,693,915,1173,1469,1798,2154,2529
OECD Env-Linkages,SSP1_v5_120504,GMB,GDP|PPP,billion US$2005/yr,2,2,2,3,4,6,9,13,20,29,40,56,75,98,125,156,190,227,266,307,348
OECD Env-Linkages,SSP1_v5_120504,GNB,GDP|PPP,billion US$2005/yr,1,1,2,2,3,4,6,9,14,21,31,45,64,88,118,153,195,242,294,351,412
OECD Env-Linkages,SSP1_v5_120504,GNQ,GDP|PPP,billion US$2005/yr,5,15,22,26,30,35,41,46,52,58,65,74,84,94,106,117,129,141,153,164,174
OECD Env-Linkages,SSP1_v5_120504,GRC,GDP|PPP,billion US$2005/yr,222,270,274,264,294,330,373,421,471,522,574,630,690,752,816,880,944,1010,1076,1145,1212
OECD Env-Linkages,SSP1_v5_120504,GTM,GDP|PPP,billion US$2005/yr,44,52,62,72,89,114,153,210,289,399,546,736,971,1246,1553,1885,2237,2607,2980,3342,3689
OECD Env-Linkages,SSP1_v5_120504,GUY,GDP|PPP,billion US$2005/yr,2,2,2,3,3,4,5,6,7,9,11,14,17,20,23,27,31,35,39,43,46
OECD Env-Linkages,SSP1_v5_120504,HKG,GDP|PPP,billion US$2005/yr,199,243,295,371,434,484,528,571,612,648,679,705,727,750,777,803,825,847,869,892,917
OECD Env-Linkages,SSP1_v5_120504,HND,GDP|PPP,billion US$2005/yr,18,23,27,32,40,51,68,92,125,169,226,297,382,481,592,712,839,971,1106,1238,1367
OECD Env-Linkages,SSP1_v5_120504,HRV,GDP|PPP,billion US$2005/yr,55,68,71,79,89,99,109,120,129,137,144,149,154,158,162,165,168,171,173,175,176
OECD Env-Linkages,SSP1_v5_120504,HTI,GDP|PPP,billion US$2005/yr,10,10,10,14,19,28,41,59,86,122,169,230,304,392,493,602,719,843,972,1099,1225
OECD Env-Linkages,SSP1_v5_120504,HUN,GDP|PPP,billion US$2005/yr,140,171,170,184,204,226,251,279,305,333,362,391,422,456,491,529,569,612,658,705,753
OECD Env-Linkages,SSP1_v5_120504,IDN,GDP|PPP,billion US$2005/yr,559,705,930,1279,1804,2537,3479,4655,6044,7589,9258,11023,12845,14682,16477,18223,19925,21597,23221,24756,26216
OECD Env-Linkages,SSP1_v5_120504,IND,GDP|PPP,billion US$2005/yr,1769,2432,3653,5335,7864,11307,15816,21514,28296,35986,44380,53214,62189,71016,79370,87088,94452,101366,107750,113454,118551
OECD Env-Linkages,SSP1_v5_120504,IRL,GDP|PPP,billion US$2005/yr,127,162,161,179,197,216,237,260,284,309,336,366,400,438,479,520,563,609,659,713,771
OECD Env-Linkages,SSP1_v5_120504,IRN,GDP|PPP,billion US$2005/yr,490,644,790,950,1126,1316,1553,1833,2141,2453,2749,3036,3341,3665,3972,4237,4462,4679,4903,5129,5332
OECD Env-Linkages,SSP1_v5_120504,IRQ,GDP|PPP,billion US$2005/yr,112,83,102,166,250,305,380,466,536,621,723,846,1002,1199,1440,1728,2075,2471,2909,3381,3874
OECD Env-Linkages,SSP1_v5_120504,ISL,GDP|PPP,billion US$2005/yr,8,10,10,12,13,15,16,18,20,22,24,27,30,33,36,39,43,47,51,55,60
OECD Env-Linkages,SSP1_v5_120504,ISR,GDP|PPP,billion US$2005/yr,146,162,198,239,284,338,402,479,567,665,773,896,1035,1190,1362,1547,1746,1965,2207,2474,2763
OECD Env-Linkages,SSP1_v5_120504,ITA,GDP|PPP,billion US$2005/yr,1578,1657,1641,1685,1752,1831,1943,2087,2256,2448,2663,2895,3143,3407,3677,3956,4257,4581,4923,5281,5665
OECD Env-Linkages,SSP1_v5_120504,JAM,GDP|PPP,billion US$2005/yr,17,19,19,21,24,28,32,37,43,49,56,63,70,78,86,95,104,114,124,134,143
OECD Env-Linkages,SSP1_v5_120504,JOR,GDP|PPP,billion US$2005/yr,17,23,31,37,45,57,75,100,133,174,222,279,344,416,494,575,658,741,827,913,998
OECD Env-Linkages,SSP1_v5_120504,JPN,GDP|PPP,billion US$2005/yr,3630,3873,3899,4172,4555,4992,5412,5779,6084,6378,6648,6920,7181,7413,7622,7808,7977,8163,8366,8584,8812
OECD Env-Linkages,SSP1_v5_120504,KAZ,GDP|PPP,billion US$2005/yr,80,132,178,239,327,443,557,673,777,863,923,972,1030,1102,1171,1222,1270,1320,1376,1433,1485
OECD Env-Linkages,SSP1_v5_120504,KEN,GDP|PPP,billion US$2005/yr,40,48,60,81,111,157,227,328,474,673,941,1292,1741,2298,2965,3739,4627,5626,6727,7904,9140
OECD Env-Linkages,SSP1_v5_120504,KGZ,GDP|PPP,billion US$2005/yr,7,9,11,14,19,24,32,42,55,71,89,109,131,155,181,206,231,256,282,309,334
OECD Env-Linkages,SSP1_v5_120504,KHM,GDP|PPP,billion US$2005/yr,13,20,27,39,53,71,96,131,178,239,315,409,521,655,807,974,1146,1322,1506,1695,1885
OECD Env-Linkages,SSP1_v5_120504,KOR,GDP|PPP,billion US$2005/yr,880,1097,1321,1604,1909,2203,2481,2740,2971,3180,3364,3532,3657,3763,3877,3970,4052,4124,4183,4237,4291
OECD Env-Linkages,SSP1_v5_120504,KWT,GDP|PPP,billion US$2005/yr,74,110,125,159,187,211,237,266,294,318,340,359,376,392,405,417,432,449,467,483,496
OECD Env-Linkages,SSP1_v5_120504,LAO,GDP|PPP,billion US$2005/yr,7,10,14,21,29,38,50,66,88,115,148,187,232,284,341,404,468,533,598,664,731
OECD Env-Linkages,SSP1_v5_120504,LBN,GDP|PPP,billion US$2005/yr,32,39,53,63,76,91,108,128,149,170,191,210,228,244,260,273,284,294,303,312,319
OECD Env-Linkages,SSP1_v5_120504,LBR,GDP|PPP,billion US$2005/yr,0,1,2,2,3,5,9,14,23,37,58,88,129,185,253,337,435,549,676,814,961
OECD Env-Linkages,SSP1_v5_120504,LBY,GDP|PPP,billion US$2005/yr,66,81,100,72,83,97,113,130,146,159,170,180,188,195,200,201,201,201,211,229,253
OECD Env-Linkages,SSP1_v5_120504,LCA,GDP|PPP,billion US$2005/yr,1,1,1,2,2,2,3,3,4,4,5,6,7,8,9,10,11,12,13,14,15
OECD Env-Linkages,SSP1_v5_120504,LKA,GDP|PPP,billion US$2005/yr,57,70,95,131,180,244,322,409,497,580,657,728,795,855,900,931,957,985,1014,1040,1058
OECD Env-Linkages,SSP1_v5_120504,LSO,GDP|PPP,billion US$2005/yr,2,2,3,4,5,7,9,12,17,23,31,41,53,67,83,100,119,139,159,179,198
OECD Env-Linkages,SSP1_v5_120504,LTU,GDP|PPP,billion US$2005/yr,33,49,51,62,69,74,79,85,92,99,104,108,113,119,125,131,137,142,148,154,161
OECD Env-Linkages,SSP1_v5_120504,LUX,GDP|PPP,billion US$2005/yr,27,32,35,39,44,48,52,56,59,62,65,68,70,73,77,80,84,88,92,96,101
OECD Env-Linkages,SSP1_v5_120504,LVA,GDP|PPP,billion US$2005/yr,20,30,29,35,40,45,51,56,61,65,68,71,73,77,79,81,83,85,87,90,92
OECD Env-Linkages,SSP1_v5_120504,MAC,GDP|PPP,billion US$2005/yr,10,17,32,41,49,55,59,63,65,67,67,67,66,65,64,64,63,62,62,62,63
OECD Env-Linkages,SSP1_v5_120504,MAR,GDP|PPP,billion US$2005/yr,85,108,137,175,225,291,379,493,631,792,971,1166,1374,1594,1821,2039,2255,2465,2673,2880,3084
OECD Env-Linkages,SSP1_v5_120504,MDA,GDP|PPP,billion US$2005/yr,6,8,10,13,16,20,26,33,41,49,56,62,68,76,82,87,92,97,101,106,110
OECD Env-Linkages,SSP1_v5_120504,MDG,GDP|PPP,billion US$2005/yr,14,16,18,22,30,43,65,100,154,235,353,519,741,1027,1382,1816,2318,2890,3525,4211,4939
OECD Env-Linkages,SSP1_v5_120504,MDV,GDP|PPP,billion US$2005/yr,1,1,2,2,2,3,4,5,6,8,10,12,14,17,20,22,25,28,30,32,35
OECD Env-Linkages,SSP1_v5_120504,MEX,GDP|PPP,billion US$2005/yr,1203,1297,1410,1683,1990,2364,2821,3352,3927,4548,5221,5916,6625,7348,8052,8737,9432,10122,10787,11386,11897
OECD Env-Linkages,SSP1_v5_120504,MKD,GDP|PPP,billion US$2005/yr,15,16,18,22,26,32,39,46,54,60,66,71,76,80,84,88,91,94,96,98,100
OECD Env-Linkages,SSP1_v5_120504,MLI,GDP|PPP,billion US$2005/yr,9,12,15,19,26,39,60,94,144,218,324,470,665,910,1207,1549,1941,2382,2866,3382,3922
OECD Env-Linkages,SSP1_v5_120504,MLT,GDP|PPP,billion US$2005/yr,8,8,9,11,12,13,15,16,18,20,22,23,25,26,28,29,31,33,34,36,37
OECD Env-Linkages,SSP1_v5_120504,MMR,GDP|PPP,billion US$2005/yr,26,48,69,91,119,153,199,258,333,425,534,660,803,962,1140,1331,1528,1737,1957,2185,2422
OECD Env-Linkages,SSP1_v5_120504,MNE,GDP|PPP,billion US$2005/yr,4,5,6,7,9,11,13,15,17,19,20,22,24,25,26,27,28,29,30,31,31
OECD Env-Linkages,SSP1_v5_120504,MNG,GDP|PPP,billion US$2005/yr,5,7,10,19,30,44,61,81,105,128,151,172,194,216,237,256,274,292,311,332,353
OECD Env-Linkages,SSP1_v5_120504,MOZ,GDP|PPP,billion US$2005/yr,9,14,20,29,43,64,97,147,222,334,497,723,1025,1409,1877,2445,3083,3793,4558,5355,6167
OECD Env-Linkages,SSP1_v5_120504,MRT,GDP|PPP,billion US$2005/yr,4,5,6,8,11,15,22,31,44,60,82,109,142,180,223,271,323,379,438,498,557
OECD Env-Linkages,SSP1_v5_120504,MUS,GDP|PPP,billion US$2005/yr,11,13,16,19,24,29,35,41,48,55,62,69,76,83,90,97,104,111,117,124,129
OECD Env-Linkages,SSP1_v5_120504,MWI,GDP|PPP,billion US$2005/yr,7,8,12,14,18,25,38,59,93,149,236,367,557,821,1175,1634,2209,2920,3769,4743,5847
OECD Env-Linkages,SSP1_v5_120504,MYS,GDP|PPP,billion US$2005/yr,239,301,375,480,599,742,911,1103,1317,1550,1801,2069,2345,2620,2890,3162,3439,3716,3987,4243,4477
OECD Env-Linkages,SSP1_v5_120504,NAM,GDP|PPP,billion US$2005/yr,9,11,13,18,24,31,40,51,64,79,95,111,129,146,164,180,197,213,228,242,256
OECD Env-Linkages,SSP1_v5_120504,NER,GDP|PPP,billion US$2005/yr,7,8,10,15,21,34,56,92,152,246,389,598,893,1282,1775,2382,3102,3938,4888,5943,7091
OECD Env-Linkages,SSP1_v5_120504,NGA,GDP|PPP,billion US$2005/yr,182,245,338,461,627,865,1212,1705,2388,3316,4555,6176,8242,10795,13858,17444,21586,26287,31533,37248,43372
OECD Env-Linkages,SSP1_v5_120504,NIC,GDP|PPP,billion US$2005/yr,11,13,14,17,21,28,37,50,67,89,116,148,185,227,273,323,375,429,483,537,589
OECD Env-Linkages,SSP1_v5_120504,NLD,GDP|PPP,billion US$2005/yr,537,573,615,657,704,748,794,842,899,964,1033,1106,1183,1264,1352,1447,1551,1662,1777,1896,2018
OECD Env-Linkages,SSP1_v5_120504,NOR,GDP|PPP,billion US$2005/yr,196,219,228,253,279,297,319,340,359,379,405,436,470,510,555,604,657,714,774,837,904
OECD Env-Linkages,SSP1_v5_120504,NPL,GDP|PPP,billion US$2005/yr,22,26,32,39,48,64,88,124,177,250,347,472,627,810,1020,1255,1509,1779,2067,2360,2661
OECD Env-Linkages,SSP1_v5_120504,NZL,GDP|PPP,billion US$2005/yr,86,103,111,125,139,154,170,190,213,239,267,296,327,362,400,439,479,521,565,610,659
OECD Env-Linkages,SSP1_v5_120504,OMN,GDP|PPP,billion US$2005/yr,43,51,68,83,98,114,131,150,170,191,213,240,269,297,321,342,362,381,399,415,428
OECD Env-Linkages,SSP1_v5_120504,PAK,GDP|PPP,billion US$2005/yr,267,340,420,515,667,909,1274,1797,2501,3391,4464,5715,7138,8706,10391,12109,13797,15445,17077,18702,20248
OECD Env-Linkages,SSP1_v5_120504,PAN,GDP|PPP,billion US$2005/yr,24,30,44,60,78,99,122,149,177,209,242,276,311,345,377,408,438,466,492,514,531
OECD Env-Linkages,SSP1_v5_120504,PER,GDP|PPP,billion US$2005/yr,143,176,249,332,439,570,725,906,1112,1339,1584,1845,2115,2387,2657,2919,3174,3422,3660,3877,4073
OECD Env-Linkages,SSP1_v5_120504,PHL,GDP|PPP,billion US$2005/yr,209,261,332,422,544,716,949,1249,1622,2067,2583,3164,3799,4469,5153,5844,6540,7240,7924,8585,9219
OECD Env-Linkages,SSP1_v5_120504,PNG,GDP|PPP,billion US$2005/yr,10,11,15,22,33,52,80,120,172,239,322,421,535,660,793,932,1075,1219,1361,1496,1624
OECD Env-Linkages,SSP1_v5_120504,POL,GDP|PPP,billion US$2005/yr,452,526,660,776,892,1001,1114,1235,1350,1450,1537,1619,1705,1803,1907,2008,2106,2205,2309,2423,2548
OECD Env-Linkages,SSP1_v5_120504,PRT,GDP|PPP,billion US$2005/yr,216,225,231,231,247,265,285,307,329,352,378,405,435,465,496,530,566,604,644,687,731
OECD Env-Linkages,SSP1_v5_120504,PRY,GDP|PPP,billion US$2005/yr,20,23,30,38,47,62,84,112,148,191,243,302,370,444,524,607,691,776,861,943,1022
OECD Env-Linkages,SSP1_v5_120504,PSE,GDP|PPP,billion US$2005/yr,10,9,11,15,21,32,47,69,98,136,182,236,298,369,445,528,617,709,803,897,988
OECD Env-Linkages,SSP1_v5_120504,QAT,GDP|PPP,billion US$2005/yr,38,57,136,194,234,259,263,256,247,240,237,238,243,249,256,263,268,272,274,273,269
OECD Env-Linkages,SSP1_v5_120504,ROU,GDP|PPP,billion US$2005/yr,154,203,234,277,334,400,475,552,626,696,761,819,877,928,973,1007,1041,1072,1102,1128,1151
OECD Env-Linkages,SSP1_v5_120504,RUS,GDP|PPP,billion US$2005/yr,1260,1697,2010,2453,2980,3575,4259,4942,5524,5957,6240,6457,6734,7028,7259,7404,7531,7686,7888,8106,8313
OECD Env-Linkages,SSP1_v5_120504,RWA,GDP|PPP,billion US$2005/yr,5,8,11,15,22,32,49,74,111,163,236,333,462,622,815,1041,1290,1566,1866,2181,2502
OECD Env-Linkages,SSP1_v5_120504,SAU,GDP|PPP,billion US$2005/yr,407,491,559,702,834,956,1104,1250,1410,1580,1752,1934,2143,2391,2664,2950,3232,3519,3818,4125,4424
OECD Env-Linkages,SSP1_v5_120504,SDN,GDP|PPP,billion US$2005/yr,48,62,88,99,125,160,214,295,412,573,791,1077,1442,1887,2410,3013,3679,4407,5186,5995,6815
OECD Env-Linkages,SSP1_v5_120504,SEN,GDP|PPP,billion US$2005/yr,14,18,22,27,36,51,73,105,152,218,307,425,575,755,966,1203,1464,1748,2048,2356,2665
OECD Env-Linkages,SSP1_v5_120504,SGP,GDP|PPP,billion US$2005/yr,153,194,264,328,384,430,464,487,503,515,525,532,531,524,519,513,509,504,497,488,478
OECD Env-Linkages,SSP1_v5_120504,SLB,GDP|PPP,billion US$2005/yr,1,1,1,2,2,3,5,7,9,13,17,23,29,37,46,56,67,77,89,100,111
OECD Env-Linkages,SSP1_v5_120504,SLE,GDP|PPP,billion US$2005/yr,2,3,4,8,11,17,27,42,63,92,132,184,249,326,412,508,609,715,822,926,1027
OECD Env-Linkages,SSP1_v5_120504,SLV,GDP|PPP,billion US$2005/yr,31,34,37,44,52,63,78,98,122,150,183,219,258,301,347,394,442,491,541,589,636
OECD Env-Linkages,SSP1_v5_120504,SRB,GDP|PPP,billion US$2005/yr,49,63,74,90,109,129,152,175,198,219,239,256,274,289,302,314,326,338,349,359,366
OECD Env-Linkages,SSP1_v5_120504,STP,GDP|PPP,billion US$2005/yr,0,0,0,0,1,1,2,3,5,7,9,11,14,17,20,23,26,28,31,33,35
OECD Env-Linkages,SSP1_v5_120504,SUR,GDP|PPP,billion US$2005/yr,2,3,4,5,7,11,14,18,23,27,31,35,38,41,44,46,49,51,53,54,56
OECD Env-Linkages,SSP1_v5_120504,SVK,GDP|PPP,billion US$2005/yr,69,87,109,129,148,166,186,206,224,242,258,273,289,307,326,345,363,382,402,424,447
OECD Env-Linkages,SSP1_v5_120504,SVN,GDP|PPP,billion US$2005/yr,39,47,51,55,60,64,69,75,82,88,94,100,107,115,123,131,139,147,156,165,175
OECD Env-Linkages,SSP1_v5_120504,SWE,GDP|PPP,billion US$2005/yr,259,295,317,361,402,443,483,525,573,625,679,731,787,853,926,1002,1080,1162,1249,1343,1446
OECD Env-Linkages,SSP1_v5_120504,SWZ,GDP|PPP,billion US$2005/yr,4,5,5,6,7,8,10,13,17,22,28,35,43,52,62,72,82,93,104,114,124
