Sector 31: Annual Survey of Manufactures: Geographic Area Statistics: Statistics for All Manufacturing by State: 2009 and 2008,,,,
"NOTE: For information on confidentiality protection, sampling error, nonsampling error, and definitions, see Survey Methodology.  For information on the ASM industry groupings, see Comparability. Data in this table represent those available when this report was created. Data may not be available for all NAICS industries or geographies. Detail items may not add to total due to independent rounding.
",,,,
Geographic Area Name,NAICS-based code,Meaning of NAICS-based code,Year,"Total value of shipments ($1,000)"
California,3253,"Pesticide, fertilizer, & other agricultural chemical mfg",2008,"1,142,641"
California,3254,Pharmaceutical & medicine mfg,2008,"30,674,300"
California,3255,"Paint, coating, & adhesive mfg",2008,"2,161,082"
California,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"4,212,881"
California,3259,Other chemical product & preparation mfg,2008,"2,678,978"
California,326,Plastics & rubber products mfg,2008,"14,762,770"
California,3261,Plastics product mfg,2008,"13,370,078"
California,3262,Rubber product mfg,2008,"1,392,693"
California,327,Nonmetallic mineral product mfg,2008,"11,430,992"
California,3271,Clay product & refractory mfg,2008,"400,628"
California,3272,Glass & glass product mfg,2008,"2,292,454"
California,3273,Cement & concrete product mfg,2008,"6,625,070"
California,3279,Other nonmetallic mineral product mfg,2008,"1,505,386"
California,331,Primary metal mfg,2008,"8,831,545"
California,3311,Iron & steel mills & ferroalloy mfg,2008,"3,540,048"
California,3312,Steel product mfg from purchased steel,2008,"834,525"
California,3313,Alumina & aluminum production & processing,2008,"1,198,717"
California,3314,Nonferrous metal (except aluminum) production & processing,2008,"1,812,568"
California,3315,Foundries,2008,"1,445,688"
California,332,Fabricated metal product mfg,2008,"30,169,327"
California,3321,Forging & stamping,2008,"2,910,156"
California,3322,Cutlery & handtool mfg,2008,"541,345"
California,3323,Architectural & structural metals mfg,2008,"8,019,749"
California,3324,"Boiler, tank, & shipping container mfg",2008,"2,521,327"
California,3325,Hardware mfg,2008,"540,822"
California,3326,Spring & wire product mfg,2008,"573,753"
California,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"8,062,524"
California,3328,"Coating, engraving, heat treating, & allied activities",2008,"2,379,600"
California,3329,Other fabricated metal product mfg,2008,"4,620,050"
California,333,Machinery mfg,2008,"20,028,379"
California,3331,"Agriculture, construction, & mining machinery mfg",2008,"2,006,284"
California,3332,Industrial machinery mfg,2008,"3,388,484"
California,3333,Commercial & service industry machinery mfg,2008,"3,155,707"
California,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"1,827,222"
California,3335,Metalworking machinery mfg,2008,"2,400,901"
California,3336,"Engine, turbine, & power transmission equipment mfg",2008,"2,745,381"
California,3339,Other general purpose machinery mfg,2008,"4,504,399"
California,334,Computer & electronic product mfg,2008,"82,889,737"
California,3341,Computer & peripheral equipment mfg,2008,"6,136,421"
California,3342,Communications equipment mfg,2008,"18,675,601"
California,3343,Audio & video equipment mfg,2008,"1,097,153"
California,3344,Semiconductor & other electronic component mfg,2008,"24,098,963"
California,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"30,574,647"
California,3346,Mfg & reproducing magnetic & optical media,2008,"2,306,951"
California,335,"Electrical equipment, appliance, & component mfg",2008,"9,766,171"
California,3351,Electric lighting equipment mfg,2008,"1,992,439"
California,3353,Electrical equipment mfg,2008,"2,594,464"
California,3359,Other electrical equipment & component mfg,2008,"4,985,971"
California,336,Transportation equipment mfg,2008,"39,084,440"
California,3361,Motor vehicle mfg,2008,"3,932,284"
California,3362,Motor vehicle body & trailer mfg,2008,"1,391,975"
California,3363,Motor vehicle parts mfg,2008,"5,815,825"
California,3364,Aerospace product & parts mfg,2008,"23,811,136"
California,3366,Ship & boat building,2008,"2,426,265"
California,3369,Other transportation equipment mfg,2008,"1,411,673"
California,337,Furniture & related product mfg,2008,"7,848,704"
California,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"4,608,468"
California,3372,Office furniture (including fixtures) mfg,2008,"2,020,995"
California,3379,Other furniture related product mfg,2008,"1,219,242"
California,339,Miscellaneous mfg,2008,"24,187,588"
California,3391,Medical equipment & supplies mfg,2008,"15,604,532"
California,3399,Other miscellaneous mfg,2008,"8,583,056"
Colorado,31-33,Manufacturing,2008,"46,925,245"
Colorado,311,Food mfg,2008,"7,785,985"
Colorado,3113,Sugar & confectionery product mfg,2008,"219,060"
Colorado,3115,Dairy product mfg,2008,"876,632"
Colorado,3116,Animal  slaughtering & processing,2008,"4,333,680"
Colorado,3118,Bakeries & tortilla mfg,2008,"571,389"
Colorado,3119,Other food mfg,2008,"536,477"
Colorado,312,Beverage & tobacco product mfg,2008,"3,409,458"
Colorado,3121,Beverage mfg,2008,"3,409,458"
Colorado,314,Textile product mills,2008,"473,694"
Colorado,3149,Other textile product mills,2008,D
Colorado,321,Wood product mfg,2008,"639,807"
Colorado,3219,Other wood product mfg,2008,"467,519"
Colorado,322,Paper mfg,2008,"593,070"
Colorado,3222,Converted paper product mfg,2008,"593,070"
Colorado,323,Printing & related support activities,2008,"1,320,757"
Colorado,3231,Printing & related support activities,2008,"1,320,757"
Colorado,325,Chemical mfg,2008,"4,795,914"
Colorado,3254,Pharmaceutical & medicine mfg,2008,"2,591,700"
Colorado,3259,Other chemical product & preparation mfg,2008,"1,163,319"
Colorado,326,Plastics & rubber products mfg,2008,"1,085,600"
Colorado,3261,Plastics product mfg,2008,"1,052,666"
Colorado,327,Nonmetallic mineral product mfg,2008,"2,142,620"
Colorado,3271,Clay product & refractory mfg,2008,D
Colorado,3273,Cement & concrete product mfg,2008,"1,233,979"
Colorado,3279,Other nonmetallic mineral product mfg,2008,"278,143"
Colorado,331,Primary metal mfg,2008,"1,521,004"
Colorado,3311,Iron & steel mills & ferroalloy mfg,2008,D
Colorado,332,Fabricated metal product mfg,2008,"3,172,658"
Colorado,3323,Architectural & structural metals mfg,2008,"1,103,825"
Colorado,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"472,909"
Colorado,3329,Other fabricated metal product mfg,2008,"366,277"
Colorado,333,Machinery mfg,2008,"2,931,724"
Colorado,3332,Industrial machinery mfg,2008,"205,012"
Colorado,3333,Commercial & service industry machinery mfg,2008,"459,962"
Colorado,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"490,773"
Colorado,3336,"Engine, turbine, & power transmission equipment mfg",2008,"626,715"
Colorado,3339,Other general purpose machinery mfg,2008,"867,178"
Colorado,334,Computer & electronic product mfg,2008,"4,653,674"
Colorado,3341,Computer & peripheral equipment mfg,2008,"349,122"
Colorado,3342,Communications equipment mfg,2008,"665,834"
Colorado,3344,Semiconductor & other electronic component mfg,2008,"1,379,919"
Colorado,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"2,195,734"
Colorado,335,"Electrical equipment, appliance, & component mfg",2008,D
Colorado,336,Transportation equipment mfg,2008,"4,047,346"
Colorado,3364,Aerospace product & parts mfg,2008,"3,573,136"
Colorado,337,Furniture & related product mfg,2008,"819,828"
Colorado,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"284,601"
Colorado,3372,Office furniture (including fixtures) mfg,2008,"319,501"
Colorado,339,Miscellaneous mfg,2008,"2,809,250"
Colorado,3391,Medical equipment & supplies mfg,2008,"2,143,646"
Colorado,3399,Other miscellaneous mfg,2008,"665,605"
Connecticut,31-33,Manufacturing,2008,"56,594,921"
Connecticut,311,Food mfg,2008,"2,839,813"
Connecticut,3118,Bakeries & tortilla mfg,2008,"1,121,019"
Connecticut,3119,Other food mfg,2008,"885,642"
Connecticut,314,Textile product mills,2008,"239,232"
Connecticut,322,Paper mfg,2008,"1,678,467"
Connecticut,3221,"Pulp, paper, & paperboard mills",2008,"899,548"
Connecticut,3222,Converted paper product mfg,2008,"778,919"
Connecticut,323,Printing & related support activities,2008,"1,341,448"
Connecticut,3231,Printing & related support activities,2008,"1,341,448"
Connecticut,325,Chemical mfg,2008,"9,575,814"
Connecticut,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"2,220,016"
Connecticut,3259,Other chemical product & preparation mfg,2008,"569,010"
Connecticut,326,Plastics & rubber products mfg,2008,"1,743,460"
Connecticut,3261,Plastics product mfg,2008,"1,581,275"
Connecticut,327,Nonmetallic mineral product mfg,2008,"819,998"
Connecticut,3272,Glass & glass product mfg,2008,"190,492"
Connecticut,3273,Cement & concrete product mfg,2008,"438,454"
Connecticut,331,Primary metal mfg,2008,"1,864,936"
Connecticut,3312,Steel product mfg from purchased steel,2008,"553,076"
Connecticut,3314,Nonferrous metal (except aluminum) production & processing,2008,"828,117"
Connecticut,332,Fabricated metal product mfg,2008,"6,751,013"
Connecticut,3321,Forging & stamping,2008,"839,292"
Connecticut,3322,Cutlery & handtool mfg,2008,"746,073"
Connecticut,3323,Architectural & structural metals mfg,2008,"886,208"
Connecticut,3325,Hardware mfg,2008,"503,251"
Connecticut,3326,Spring & wire product mfg,2008,"181,624"
Connecticut,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"1,642,429"
Connecticut,3328,"Coating, engraving, heat treating, & allied activities",2008,"560,431"
Connecticut,3329,Other fabricated metal product mfg,2008,"1,303,012"
Connecticut,333,Machinery mfg,2008,"3,726,394"
Connecticut,3332,Industrial machinery mfg,2008,"796,815"
Connecticut,3333,Commercial & service industry machinery mfg,2008,"394,303"
Connecticut,3335,Metalworking machinery mfg,2008,"850,176"
Connecticut,3336,"Engine, turbine, & power transmission equipment mfg",2008,"560,079"
Connecticut,3339,Other general purpose machinery mfg,2008,"956,031"
Connecticut,334,Computer & electronic product mfg,2008,"4,326,516"
Connecticut,3342,Communications equipment mfg,2008,"892,084"
Connecticut,3344,Semiconductor & other electronic component mfg,2008,"837,352"
Connecticut,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"2,474,466"
Connecticut,335,"Electrical equipment, appliance, & component mfg",2008,"2,624,057"
Connecticut,3351,Electric lighting equipment mfg,2008,"232,836"
Connecticut,3353,Electrical equipment mfg,2008,"780,508"
Connecticut,3359,Other electrical equipment & component mfg,2008,"1,582,459"
Connecticut,336,Transportation equipment mfg,2008,"14,605,450"
Connecticut,3363,Motor vehicle parts mfg,2008,D
Connecticut,3364,Aerospace product & parts mfg,2008,"11,297,988"
Connecticut,3366,Ship & boat building,2008,D
Connecticut,337,Furniture & related product mfg,2008,"509,464"
Connecticut,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"172,629"
Connecticut,3372,Office furniture (including fixtures) mfg,2008,"214,498"
Connecticut,339,Miscellaneous mfg,2008,"2,506,139"
Connecticut,3391,Medical equipment & supplies mfg,2008,"1,707,452"
Connecticut,3399,Other miscellaneous mfg,2008,"798,687"
Delaware,31-33,Manufacturing,2008,"25,895,386"
Delaware,311,Food mfg,2008,"2,527,142"
Delaware,3116,Animal  slaughtering & processing,2008,"1,314,696"
Delaware,325,Chemical mfg,2008,"11,169,218"
Delaware,3254,Pharmaceutical & medicine mfg,2008,D
Delaware,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"1,401,227"
Delaware,326,Plastics & rubber products mfg,2008,"567,679"
Delaware,3261,Plastics product mfg,2008,"490,760"
Delaware,332,Fabricated metal product mfg,2008,"525,562"
Delaware,3323,Architectural & structural metals mfg,2008,"304,713"
Delaware,334,Computer & electronic product mfg,2008,"838,592"
Delaware,3345,"Navigational, measuring, medical, & control instruments mfg",2008,D
Delaware,337,Furniture & related product mfg,2008,"199,712"
Delaware,339,Miscellaneous mfg,2008,"472,844"
Delaware,3391,Medical equipment & supplies mfg,2008,"343,149"
District of Columbia,31-33,Manufacturing,2008,"344,608"
Florida,31-33,Manufacturing,2008,"99,686,915"
Florida,311,Food mfg,2008,"11,748,514"
Florida,3113,Sugar & confectionery product mfg,2008,"801,315"
Florida,3114,Fruit & vegetable preserving & specialty food mfg,2008,"3,853,351"
Florida,3115,Dairy product mfg,2008,"1,302,508"
Florida,3116,Animal  slaughtering & processing,2008,"1,301,673"
Florida,3117,Seafood product preparation & packaging,2008,"581,350"
Florida,3118,Bakeries & tortilla mfg,2008,"1,139,647"
Florida,3119,Other food mfg,2008,"2,079,574"
Florida,312,Beverage & tobacco product mfg,2008,"5,444,502"
Florida,3121,Beverage mfg,2008,D
Florida,3122,Tobacco mfg,2008,D
Florida,314,Textile product mills,2008,"547,080"
Florida,3141,Textile furnishings mills,2008,"194,847"
Florida,3149,Other textile product mills,2008,"352,234"
Florida,315,Apparel mfg,2008,"374,286"
Florida,3152,Cut & sew apparel mfg,2008,"325,119"
Florida,321,Wood product mfg,2008,"2,081,349"
Florida,3211,Sawmills & wood preservation,2008,"624,535"
Florida,3212,"Veneer, plywood, & engineered wood product mfg",2008,"593,797"
Florida,3219,Other wood product mfg,2008,"863,018"
Florida,322,Paper mfg,2008,"4,500,585"
Florida,3221,"Pulp, paper, & paperboard mills",2008,"2,719,491"
Florida,3222,Converted paper product mfg,2008,"1,781,094"
Florida,323,Printing & related support activities,2008,"2,866,566"
Florida,3231,Printing & related support activities,2008,"2,866,566"
Florida,324,Petroleum & coal products mfg,2008,"761,504"
Florida,3241,Petroleum & coal products mfg,2008,"761,504"
Florida,325,Chemical mfg,2008,"12,722,244"
Florida,3251,Basic chemical mfg,2008,"803,251"
Florida,3252,"Resin, syn rubber, & artificial syn fibers & filaments mfg",2008,"1,630,868"
Florida,3253,"Pesticide, fertilizer, & other agricultural chemical mfg",2008,"6,595,218"
Florida,3254,Pharmaceutical & medicine mfg,2008,"1,492,924"
Florida,3255,"Paint, coating, & adhesive mfg",2008,"695,304"
Florida,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"848,615"
Florida,3259,Other chemical product & preparation mfg,2008,"656,064"
Florida,326,Plastics & rubber products mfg,2008,"3,308,466"
Florida,3261,Plastics product mfg,2008,"2,968,062"
Florida,3262,Rubber product mfg,2008,"340,404"
Florida,327,Nonmetallic mineral product mfg,2008,"5,255,891"
Florida,3272,Glass & glass product mfg,2008,"340,456"
Florida,3273,Cement & concrete product mfg,2008,"4,012,316"
Florida,3279,Other nonmetallic mineral product mfg,2008,"523,367"
Florida,331,Primary metal mfg,2008,"1,915,338"
Florida,3312,Steel product mfg from purchased steel,2008,"713,593"
Florida,332,Fabricated metal product mfg,2008,"7,077,866"
Florida,3321,Forging & stamping,2008,"812,618"
Florida,3323,Architectural & structural metals mfg,2008,"3,210,113"
Florida,3324,"Boiler, tank, & shipping container mfg",2008,"728,560"
