table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 1. Annual Estimates of the Population for the United States, Regions, States, and Puerto Rico: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
Geographic Area,Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.New Mexico,"2,009,671","1,986,763","1,968,731","1,942,608","1,916,538","1,891,829","1,869,683","1,850,035","1,828,809","1,820,813","1,819,041","1,819,046"
.New York,"19,541,453","19,467,789","19,422,777","19,356,564","19,330,891","19,297,933","19,231,101","19,161,873","19,088,978","18,998,044","18,976,811","18,976,457"
.North Carolina,"9,380,884","9,247,134","9,064,074","8,866,977","8,669,452","8,531,283","8,416,451","8,316,617","8,203,451","8,079,383","8,046,406","8,049,313"
.North Dakota,"646,844","641,421","638,202","636,771","635,365","636,303","632,809","633,617","636,267","641,200","642,195","642,200"
.Ohio,"11,542,645","11,528,072","11,520,815","11,492,495","11,475,262","11,464,593","11,445,180","11,420,981","11,396,874","11,363,844","11,353,150","11,353,140"
.Oklahoma,"3,687,050","3,644,025","3,612,186","3,574,334","3,532,769","3,514,449","3,498,687","3,484,754","3,464,729","3,453,943","3,450,638","3,450,654"
.Oregon,"3,825,657","3,782,991","3,732,957","3,677,545","3,617,869","3,573,505","3,550,180","3,517,111","3,470,382","3,430,891","3,421,437","3,421,399"
.Pennsylvania,"12,604,767","12,566,368","12,522,531","12,471,142","12,418,161","12,388,368","12,357,524","12,326,302","12,299,533","12,285,504","12,281,071","12,281,054"
.Rhode Island,"1,053,209","1,053,502","1,055,009","1,060,196","1,064,989","1,071,414","1,071,504","1,066,034","1,058,051","1,050,736","1,048,315","1,048,319"
.South Carolina,"4,561,242","4,503,280","4,424,232","4,339,399","4,256,199","4,201,306","4,146,474","4,103,934","4,062,701","4,023,570","4,011,832","4,012,012"
.South Dakota,"812,383","804,532","797,035","788,519","780,084","774,283","766,975","762,107","758,983","755,694","754,835","754,844"
.Tennessee,"6,296,254","6,240,456","6,172,862","6,089,453","5,995,748","5,916,762","5,856,522","5,803,306","5,755,443","5,703,243","5,689,276","5,689,283"
.Texas,"24,782,302","24,304,290","23,837,701","23,369,024","22,801,920","22,418,319","22,057,801","21,710,788","21,332,847","20,945,963","20,851,818","20,851,820"
.Utah,"2,784,572","2,727,343","2,663,796","2,583,724","2,499,637","2,438,915","2,379,938","2,334,473","2,291,250","2,244,314","2,233,204","2,233,169"
.Vermont,"621,760","621,049","620,460","619,985","618,814","618,145","616,559","614,950","612,153","609,903","608,821","608,827"
.Virginia,"7,882,590","7,795,424","7,719,749","7,646,996","7,563,887","7,468,914","7,373,694","7,283,541","7,191,304","7,104,533","7,079,048","7,078,515"
.Washington,"6,664,195","6,566,073","6,464,979","6,372,243","6,261,282","6,184,289","6,113,262","6,056,187","5,987,785","5,911,122","5,894,143","5,894,121"
.West Virginia,"1,819,777","1,814,873","1,811,198","1,807,237","1,803,920","1,803,302","1,802,238","1,799,411","1,798,582","1,806,962","1,808,344","1,808,344"
.Wisconsin,"5,654,774","5,627,610","5,601,571","5,571,680","5,541,443","5,511,385","5,476,796","5,446,766","5,408,769","5,374,254","5,363,708","5,363,675"
.Wyoming,"544,270","532,981","523,414","512,841","506,242","502,988","499,189","497,069","492,982","493,958","493,783","493,782"
,,,,,,,,,,,,
Puerto Rico,"3,967,288","3,954,553","3,941,235","3,926,744","3,910,722","3,893,931","3,876,637","3,858,272","3,837,768","3,814,413","3,808,603","3,808,610"
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  See Geographic Terms and Definitions at http://www.census.gov/popest/geographic/ for a list of the states that are included in each region.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2000 to July 1, 2009 (NST-EST2009-01)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: December 2009,,,,,,,,,,,,
