# File: ctry_AGLU.csv,,,,,,,,,,
# Description: Maps countries in all AGLU databases to iso codes,,,,,,,,,,
# ----------,,,,,,,,,,
FAO_country,iso,GTAP_region,CROSIT_ctry,CROSIT_country_ID,MIRCA_country,IFA2002_country,IFA_region,IMAGE_region_ID,IMAGE_region_name,FAO2050_reg
United Kingdom,gbr,gbr,EU15,195,United Kingdom,UK,EU-27,11,Western Europe,Industrial countries
Georgia,geo,xsu,OEEU,197,Georgia,,Rest of world,16,Russia plus,Transition countries
USSR,geo,xsu,OEEU,197,Georgia,,Rest of world,16,Russia plus,Transition countries
Ghana,gha,xss,GHAN,6,Ghana,,Rest of world,8,Western Africa,sub-Saharan Africa
Gibraltar,gib,xer,,,Gibraltar,,Rest of world,11,Western Europe,Industrial countries
Guinea,gin,xss,GUIN,7,Guinea,GUINEA,Rest of world,8,Western Africa,sub-Saharan Africa
Guadeloupe,glp,xcb,GUAD,142,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Gambia,gmb,xss,GAMB,5,The Gambia,,Rest of world,8,Western Africa,sub-Saharan Africa
Guinea-Bissau,gnb,xss,GUIB,129,Guinea,,Rest of world,8,Western Africa,sub-Saharan Africa
Equatorial Guinea,gnq,xss,,,Equatorial Guinea,,Rest of world,8,Western Africa,sub-Saharan Africa
Greece,grc,grc,EU15,195,Greece,GREECE,EU-27,11,Western Europe,Industrial countries
Grenada,grd,xfa,GREN,141,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Greenland,grl,xna,,,,,Rest of world,25,Greenland,Industrial countries
Guatemala,gtm,xca,GUAT,40,Guatemala,GUATEMALA,Rest of world,4,Rest Central America,Latin America and Caribbean
French Guiana,guf,xsm,FGUI,140,French Guiana,,Rest of world,6,Rest South America,Latin America and Caribbean
Guam,gum,xoc,,,,,USA,24,Oceania,South Asia
Guyana,guy,xsm,GUYA,56,Guyana,,Rest of world,6,Rest South America,Latin America and Caribbean
"China, Hong Kong SAR",hkg,hkg,CHIN,117,,,China,20,China plus,South Asia
Honduras,hnd,xca,HOND,41,Honduras,HONDURAS,Rest of world,4,Rest Central America,Latin America and Caribbean
Croatia,hrv,hrv,OEEU,197,Croatia,CROATIA,Rest of world,12,Central Europe,Transition countries
Yugoslav SFR,hrv,xer,,,,,,12,Central Europe,Transition countries
Haiti,hti,xfa,HAIT,47,Haiti,,Rest of world,4,Rest Central America,Latin America and Caribbean
Hungary,hun,hun,EUN9,196,Hungary,HUNGARY,EU-27,12,Central Europe,Transition countries
Indonesia,idn,idn,INDO,82,Indonesia,INDONESIA,Indonesia,22,Indonesia plus,South Asia
Isle of Man,imn,,,,,,,11,Western Europe,Industrial countries
India,ind,ind,INDI,77,India,INDIA,India,18,South Asia,South Asia
Ireland,irl,irl,EU15,195,Ireland,IRELAND,EU-27,11,Western Europe,Industrial countries
Iran (Islamic Republic of),irn,xme,IRAN,67,Iran,,Iran,17,Middle East,Near East / North Africa
Iraq,irq,xme,IRAQ,68,Iraq,,Rest of world,17,Middle East,Near East / North Africa
Iceland,isl,xef,ICEL,104,Iceland,,Rest of world,11,Western Europe,Industrial countries
Israel,isr,xme,ISRA,114,Israel,ISRAEL,Rest of world,17,Middle East,Near East / North Africa
Italy,ita,ita,EU15,195,Italy,ITALY,EU-27,11,Western Europe,Industrial countries
Jamaica,jam,xfa,JAMA,48,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Jordan,jor,xme,JORD,69,Jordan,JORDAN,Rest of world,17,Middle East,Near East / North Africa
Japan,jpn,jpn,JAPA,115,Japan,JAPAN,Rest of world,23,Japan,Industrial countries
Kazakhstan,kaz,xsu,CEAS,198,Kazakhstan,,Rest of world,15,Asia-Stan,Transition countries
USSR,kaz,xsu,CEAS,198,Kazakhstan,,Rest of world,15,Asia-Stan,Transition countries
Kenya,ken,xss,KENY,27,Kenya,KENYA,Rest of world,9,Eastern Africa,sub-Saharan Africa
Kyrgyzstan,kgz,xsu,CEAS,198,Kyrgyzstan,,Rest of world,15,Asia-Stan,Transition countries
USSR,kgz,xsu,CEAS,198,Kyrgyzstan,,Rest of world,15,Asia-Stan,Transition countries
Cambodia,khm,xse,CAMB,88,Cambodia,CAMBODIA,Rest of world,21,Southeastern Asia,East Asia
Kiribati,kir,xoc,KIRI,164,,,Rest of world,24,Oceania,South Asia
Saint Kitts and Nevis,kna,xfa,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Republic of Korea,kor,kor,ROK,83,South Korea,"KOREA, REPUBLIC OF",Rest of world,19,Korea,Industrial countries
Kuwait,kwt,xme,KUWA,165,Kuwait,KUWAIT,Rest of world,17,Middle East,Near East / North Africa
Lao Peoples Democratic Republic,lao,xse,LAO,84,Laos,LAOS,Rest of world,21,Southeastern Asia,South Asia
Lebanon,lbn,xme,LEBA,70,Lebanon,LEBANON,Rest of world,17,Middle East,Near East / North Africa
Liberia,lbr,xss,LIBE,9,Liberia,,Rest of world,8,Western Africa,sub-Saharan Africa
Libya,lby,xnf,LIBY,63,Libya,,Rest of world,7,Northern Africa,sub-Saharan Africa
Saint Lucia,lca,xfa,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Liechtenstein,lie,xef,,,Liechtenstein,,Rest of world,11,Western Europe,Industrial countries
Sri Lanka,lka,lka,SRIL,80,Sri Lanka,SRI LANKA,Rest of world,18,South Asia,South Asia
Lesotho,lso,xsc,LESO,130,Lesotho,,Rest of world,10,Southern Africa,sub-Saharan Africa
Lithuania,ltu,ltu,EUN9,196,Lithuania,LITHUANIA,EU-27,12,Central Europe,Transition countries
USSR,ltu,xsu,EUN9,196,Lithuania,LITHUANIA,EU-27,12,Central Europe,Transition countries
Luxembourg,lux,lux,EU15,195,Luxembourg,,EU-27,11,Western Europe,Industrial countries
Latvia,lva,lva,EUN9,196,Latvia,LATVIA,EU-27,12,Central Europe,Transition countries
USSR,lva,xsu,EUN9,196,Latvia,LATVIA,EU-27,12,Central Europe,Transition countries
"China, Macao SAR",mac,xea,MACA,150,,,China,20,China plus,South Asia
Morocco,mar,mar,MORO,2,Morocco,MOROCCO,Morocco,7,Northern Africa,sub-Saharan Africa
Monaco,mco,xer,,,Monaco,,Rest of world,11,Western Europe,Industrial countries
Republic of Moldova,mda,xsu,OEEU,197,Moldova,,Rest of world,14,Ukraine plus,Transition countries
USSR,mda,xsu,OEEU,197,Moldova,,Rest of world,14,Ukraine plus,Transition countries
Madagascar,mdg,mdg,MADA,28,Madagascar,MADAGASCAR,Rest of world,9,Eastern Africa,sub-Saharan Africa
Maldives,mdv,xsa,MALD,151,,,Rest of world,18,South Asia,South Asia
Mexico,mex,mex,MEXI,42,Mexico,MEXICO,Mexico,3,Mexico,Latin America and Caribbean
Marshall Islands,mhl,xoc,,,,,Rest of world,24,Oceania,South Asia
The former Yugoslav Republic of Macedonia,mkd,xer,OEEU,197,Macedonia,,Rest of world,12,Central Europe,Transition countries
Yugoslav SFR,mkd,xer,,,,,,12,Central Europe,Transition countries
Mali,mli,xss,MALI,10,Mali,,Rest of world,8,Western Africa,sub-Saharan Africa
Malta,mlt,mlt,EUN9,196,,,EU-27,11,Western Europe,Industrial countries
Myanmar,mmr,xse,MYAN,81,Myanmar,MYANMAR,Rest of world,21,Southeastern Asia,South Asia
Montenegro,mne,xer,,,,,,12,Central Europe,Transition countries
Yugoslav SFR,mne,xer,,,,,,12,Central Europe,Transition countries
Mongolia,mng,xea,MONG,162,Mongolia,,Rest of world,20,China plus,East Asia
Northern Mariana Islands,mnp,xoc,,,,,Rest of world,24,Oceania,South Asia
Mozambique,moz,moz,MOZA,31,Mozambique,,Rest of world,10,Southern Africa,sub-Saharan Africa
Mauritania,mrt,xss,MAUA,11,Mauritania,MAURITANIA,Rest of world,8,Western Africa,sub-Saharan Africa
Montserrat,msr,xcb,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Martinique,mtq,xcb,MART,143,,,Rest of world,4,Rest Central America,Industrial countries
Mauritius,mus,xsd,MAUS,30,,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Malawi,mwi,mwi,MALA,29,Malawi,MALAWI,Rest of world,10,Southern Africa,sub-Saharan Africa
Malaysia,mys,mys,MALY,85,Malaysia,MALAYSIA,Malaysia,21,Southeastern Asia,South Asia
Mayotte,myt,xss,,,,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Namibia,nam,xsc,NAMI,131,Namibia,,Rest of world,10,Southern Africa,sub-Saharan Africa
New Caledonia,ncl,xoc,NCAL,157,,,Rest of world,24,Oceania,South Asia
Niger,ner,xss,NIGE,12,Niger,,Rest of world,8,Western Africa,sub-Saharan Africa
Norfolk Island,nfk,xoc,,,,,Rest of world,24,Oceania,Industrial countries
Nigeria,nga,xss,NIGA,13,Nigeria,NIGERIA,Rest of world,8,Western Africa,sub-Saharan Africa
Nicaragua,nic,xca,NICA,43,Nicaragua,NICARAGUA,Rest of world,4,Rest Central America,Latin America and Caribbean
Niue,niu,xoc,,,,,Rest of world,24,Oceania,Industrial countries
Netherlands,nld,nld,EU15,195,Netherlands,NETHERLANDS,EU-27,11,Western Europe,Industrial countries
Norway,nor,xef,NORW,106,Norway,NORWAY,Rest of world,11,Western Europe,Industrial countries
Nepal,npl,xsa,NEPA,78,Nepal,,Rest of world,18,South Asia,South Asia
Nauru,nru,xoc,,,,,Rest of world,24,Oceania,South Asia
New Zealand,nzl,nzl,NEWZ,113,New Zealand,NEW ZEALAND,Rest of world,24,Oceania,Industrial countries
Oman,omn,xme,,,Oman,,Rest of world,17,Middle East,Near East / North Africa
Pakistan,pak,xsa,PAKI,79,Pakistan,PAKISTAN,Pakistan,18,South Asia,South Asia
Panama,pan,xca,PANA,44,Panama,,Rest of world,4,Rest Central America,Latin America and Caribbean
Pitcairn Islands,pcn,,,,,,,24,Oceania,South Asia
Peru,per,per,PERU,58,Peru,,Rest of world,6,Rest South America,Latin America and Caribbean
Philippines,phl,phl,PHIL,86,Philippines,PHILIPPINES,Philippines,21,Southeastern Asia,South Asia
Palau,plw,xoc,,,,,Rest of world,24,Oceania,South Asia
Papua New Guinea,png,xoc,PAPU,159,Papua New Guinea,,Rest of world,22,Indonesia plus,South Asia
Poland,pol,pol,EUN9,196,Poland,POLAND,EU-27,12,Central Europe,Transition countries
Puerto Rico,pri,xfa,,,,,Rest of world,4,Rest Central America,Industrial countries
Democratic Peoples Republic of Korea,prk,xea,KDPR,89,North Korea,,Rest of world,19,Korea,East Asia
Portugal,prt,prt,EU15,195,Portugal,PORTUGAL,EU-27,11,Western Europe,Industrial countries
Paraguay,pry,xsm,PARA,57,Paraguay,PARAGUAY,Rest of world,6,Rest South America,Latin America and Caribbean
Occupied Palestinian Territory,pse,xme,,,Gaza Strip,,Rest of world,17,Middle East,Near East / North Africa
French Polynesia,pyf,xoc,FPOL,156,,,Rest of world,24,Oceania,South Asia
Qatar,qat,xme,,,Qatar,,Rest of world,17,Middle East,Near East / North Africa
Reunion,reu,xss,REUN,132,,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Romania,rom,rom,EUN9,196,Romania,,EU-27,12,Central Europe,Transition countries
Russian Federation,rus,rus,RUSS,188,Russia,,Russia,16,Russia plus,Transition countries
USSR,rus,xsu,RUSS,188,Russia,,Russia,16,Russia plus,Transition countries
Rwanda,rwa,xss,RWAN,33,Rwanda,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Saudi Arabia,sau,xme,SAUD,71,Saudi Arabia,SAUDI ARABIA,Rest of world,17,Middle East,Near East / North Africa
Serbia and Montenegro,scg,xer,OEEU,197,Serbia,,Rest of world,12,Central Europe,Transition countries
South Sudan,sdn,xss,SUDA,64,Sudan,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Sudan,sdn,xss,SUDA,64,Sudan,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Sudan (former),sdn,xss,SUDA,64,Sudan,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Senegal,sen,xss,SENE,14,Senegal,,Rest of world,8,Western Africa,sub-Saharan Africa
Singapore,sgp,sgp,SING,152,Singapore,,Rest of world,21,Southeastern Asia,South Asia
Saint Helena,shn,xss,,,,,Rest of world,8,Western Africa,sub-Saharan Africa
Svalbard and Jan Mayen Islands,sjm,,,,,,,11,Western Europe,Industrial countries
Solomon Islands,slb,xoc,SOLO,154,,,Rest of world,24,Oceania,South Asia
Sierra Leone,sle,xss,SIER,15,Sierra Leone,,Rest of world,8,Western Africa,sub-Saharan Africa
El Salvador,slv,xca,ELSA,39,El Salvador,EL SALVADOR,Rest of world,4,Rest Central America,Latin America and Caribbean
San Marino,smr,xer,,,San Marino,,Rest of world,11,Western Europe,Industrial countries
Somalia,som,xss,SOMA,34,Somalia,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Saint Pierre and Miquelon,spm,xna,,,,,Rest of world,2,USA,Industrial countries
Serbia,srb,xer,,,,,,12,Central Europe,Transition countries
Yugoslav SFR,srb,xer,,,,,,12,Central Europe,Transition countries
Sao Tome and Principe,stp,xss,,,,,Rest of world,8,Western Africa,sub-Saharan Africa
Suriname,sur,xsm,SURI,59,Suriname,,Rest of world,6,Rest South America,Latin America and Caribbean
Czechoslovakia,svk,svk,EUN9,196,Slovakia,SLOVAKIA,EU-27,12,Central Europe,Transition countries
Slovakia,svk,svk,EUN9,196,Slovakia,SLOVAKIA,EU-27,12,Central Europe,Transition countries
Slovenia,svn,svn,EUN9,196,Slovenia,,EU-27,12,Central Europe,Transition countries
Yugoslav SFR,svn,xer,,,,,,12,Central Europe,Transition countries
Sweden,swe,swe,EU15,195,Sweden,SWEDEN,EU-27,11,Western Europe,Industrial countries
Swaziland,swz,xsc,SWAZ,134,Swaziland,,Rest of world,10,Southern Africa,sub-Saharan Africa
Seychelles,syc,xsd,SEYC,163,,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Syrian Arab Republic,syr,xme,SYRI,72,Syria,SYRIA,Rest of world,17,Middle East,Near East / North Africa
Turks and Caicos Islands,tca,xcb,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Chad,tcd,xss,CHAD,21,Chad,,Rest of world,8,Western Africa,sub-Saharan Africa
Togo,tgo,xss,TOGO,16,Togo,TOGO,Rest of world,8,Western Africa,sub-Saharan Africa
Thailand,tha,tha,THAI,87,Thailand,THAILAND,Thailand,21,Southeastern Asia,South Asia
Tajikistan,tjk,xsu,CEAS,198,Tajikistan,,Rest of world,15,Asia-Stan,Transition countries
USSR,tjk,xsu,CEAS,198,Tajikistan,,Rest of world,15,Asia-Stan,Transition countries
Tokelau,tkl,xoc,,,,,Rest of world,24,Oceania,Industrial countries
Turkmenistan,tkm,xsu,CEAS,198,Turkmenistan,,Rest of world,15,Asia-Stan,Transition countries
USSR,tkm,xsu,CEAS,198,Turkmenistan,,Rest of world,15,Asia-Stan,Transition countries
Timor-Leste,tls,xse,,,,,Rest of world,22,Indonesia plus,South Asia
Tonga,ton,xoc,TONG,160,,,Rest of world,24,Oceania,South Asia
Trinidad and Tobago,tto,xfa,TRIN,49,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Tunisia,tun,tun,TUNI,3,Tunisia,,Rest of world,7,Northern Africa,sub-Saharan Africa
Turkey,tur,tur,TURK,73,Turkey,TURKEY,Turkey,13,Turkey,Industrial countries
Tuvalu,tuv,xoc,,,,,Rest of world,24,Oceania,South Asia
Taiwan,twn,twn,,,,,,20,China plus,South Asia
United Republic of Tanzania,tza,tza,TANZ,35,Tanzania,,Rest of world,10,Southern Africa,sub-Saharan Africa
Uganda,uga,uga,UGAN,36,Uganda,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Ukraine,ukr,xsu,OEEU,197,Ukraine,,Rest of world,14,Ukraine plus,Transition countries
USSR,ukr,xsu,OEEU,197,Ukraine,,Rest of world,14,Ukraine plus,Transition countries
Uruguay,ury,ury,URUG,60,Uruguay,URUGUAY,Rest of world,6,Rest South America,Latin America and Caribbean
United States of America,usa,usa,USA,92,United States,USA,USA,2,USA,Industrial countries
USSR,uzb,xsu,CEAS,198,Uzbekistan,UZBEKISTAN,Rest of world,15,Asia-Stan,Transition countries
Uzbekistan,uzb,xsu,CEAS,198,Uzbekistan,UZBEKISTAN,Rest of world,15,Asia-Stan,Transition countries
Holy See,vat,,,,,,,11,Western Europe,Industrial countries
Saint Vincent and the Grenadines,vct,xfa,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Venezuela (Bolivarian Republic of),ven,ven,VENE,61,Venezuela,VENEZUELA,Rest of world,6,Rest South America,Latin America and Caribbean
British Virgin Islands,vgb,xcb,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
United States Virgin Islands,vir,xfa,,,,,USA,4,Rest Central America,Latin America and Caribbean
Viet Nam,vnm,vnm,VIET,90,Vietnam,,Vietnam,21,Southeastern Asia,East Asia
Vanuatu,vut,xoc,VANU,158,,,Rest of world,24,Oceania,South Asia
Wallis and Futuna Islands,wlf,xoc,,,,,Rest of world,24,Oceania,Industrial countries
Samoa,wsm,xoc,SAMO,161,,,Rest of world,24,Oceania,South Asia
Yemen,yem,xme,YEME,74,Yemen,,Rest of world,17,Middle East,Near East / North Africa
South Africa,zaf,zaf,SOAF,116,South Africa,SOUTH AFRICA,South Africa,10,Southern Africa,sub-Saharan Africa
Zambia,zmb,zmb,ZAMB,37,Zambia,ZAMBIA,Rest of world,10,Southern Africa,sub-Saharan Africa
Zimbabwe,zwe,zwe,ZIMB,32,Zimbabwe,ZIMBABWE,Rest of world,10,Southern Africa,sub-Saharan Africa
