# File: socioeconomics_ctry.csv
# Title: Mapping (iso-standard country name-Maddisson country name - aggregate region name)
# Units: NA
# Description: Maps country names and codes  in socioeconomics databases to three digit iso codes
# Source: Internally generated mapping file
# ----------
iso,country_name,Maddison_ctry,Downscale_from
dji,Djibouti,Djibouti,
dma,Dominica,Dominica,
dom,Dominican Republic,Dominican Republic,
ecu,Ecuador,Ecuador,
egy,Egypt,Egypt,
slv,El Salvador,El Salvador,
gnq,Equatorial Guinea,Equatorial Guinea,
eri,Eritrea,Eritrea,Eritrea and Ethiopia
est,Estonia,Estonia,Total Former USSR
eth,Ethiopia,Ethiopia,Eritrea and Ethiopia
flk,Falkland Islands (Malvinas),,
fro,Faroe Islands,Faeroe Islands,
fji,Fiji,Fiji,
fin,Finland,Finland,
fra,France,France,
guf,French Guiana,Guyana (Fr.),
pyf,French Polynesia,French Polynesia,
gab,Gabon,Gabon,
gmb,Gambia,Gambia,
geo,Georgia,Georgia,Total Former USSR
deu,Germany,Germany,
gha,Ghana,Ghana,
gib,Gibraltar,Gibraltar,
grc,Greece,Greece,
grl,Greenland,Greenland,
grd,Grenada,Grenada,
glp,Guadeloupe,Guadeloupe,
gum,Guam,Guam,
gtm,Guatemala,Guatemala,
gin,Guinea,Guinea,
gnb,Guinea-Bissau,Guinea Bissau,
guy,Guyana,Guyana,
hti,Haiti,Haiti,
hnd,Honduras,Honduras,
hkg,Hong Kong,Hong Kong,
hun,Hungary,Hungary,
isl,Iceland,Iceland,
ind,India,India,
idn,Indonesia,Indonesia,
irn,"Iran, Islamic Republic of",Iran,
irq,Iraq,Iraq,
irl,Ireland,Ireland,
imn,Isle of Man,Isle of Man,
isr,Israel,Israel,
ita,Italy,Italy,
jam,Jamaica,Jamaica,
jpn,Japan,Japan,
jor,Jordan,Jordan,
kaz,Kazakhstan,Kazakhstan,Total Former USSR
ken,Kenya,Kenya,
kir,Kiribati,Kiribati,
prk,"Korea, Democratic Peoples Republic of",North Korea,
kor,"Korea, Republic of",South Korea,
kwt,Kuwait,Kuwait,
kgz,Kyrgyzstan,Kyrgyzstan,Total Former USSR
lao,Lao Peoples Democratic Republic,Laos,
lva,Latvia,Latvia,Total Former USSR
lbn,Lebanon,Lebanon,
lso,Lesotho,Lesotho,
lbr,Liberia,Liberia,
lby,Libyan Arab Jamahiriya,Libya,
lie,Liechtenstein,Liechtenstein,
ltu,Lithuania,Lithuania,Total Former USSR
lux,Luxembourg,Luxembourg,
mac,Macau,Macao,
mkd,"Macedonia, the former Yugoslav Republic of",Macedonia,Yugoslavia
mdg,Madagascar,Madagascar,
mwi,Malawi,Malawi,
mys,Malaysia,Malaysia,
mdv,Maldives,Maldives,
mli,Mali,Mali,
mlt,Malta,Malta,
mhl,Marshall Islands,Marshall Islands,
mtq,Martinique,Martinique,
mrt,Mauritania,Mauritania,
mus,Mauritius,Mauritius,
myt,Mayotte,Mayotte,
mex,Mexico,Mexico,
fsm,"Micronesia, Federated States of",Micronesia,
mda,"Moldova, Republic of",Moldova,Total Former USSR
mco,Monaco,Monaco,
mng,Mongolia,Mongolia,
mne,Montenegro,,
msr,Montserrat,Montserrat,
mar,Morocco,Morocco,
moz,Mozambique,Mozambique,
mmr,Myanmar,Burma,
nam,Namibia,Namibia,
nru,Nauru,Nauru,
npl,Nepal,Nepal,
nld,Netherlands,Netherlands,
ant,Netherlands Antilles,Neth. Antilles,
ncl,New Caledonia,New Caledonia,
nzl,New Zealand,New Zealand,
nic,Nicaragua,Nicaragua,
ner,Niger,Niger,
nga,Nigeria,Nigeria,
niu,Niue,,
nfk,Norfolk Island,,
mnp,Northern Mariana Islands,Northern Mariana Islands,
nor,Norway,Norway,
omn,Oman,Oman,
pci,Pacific Islands Trust Territory,,
pak,Pakistan,Pakistan,
plw,Palau,Palau,
pse,"Palestinian Territory, Occupied",West Bank and Gaza,
pan,Panama,Panama,
png,Papua New Guinea,Papua New Guinea,
pry,Paraguay,Paraguay,
per,Peru,Peru,
phl,Philippines,Philippines,
pcn,Pitcairn Islands,,
pol,Poland,Poland,
prt,Portugal,Portugal,
pri,Puerto Rico,Puerto Rico,
qat,Qatar,Qatar,
reu,Reunion,Reunion,
rom,Romania,Romania,
rus,Russian Federation,Russian Federation,Total Former USSR
rwa,Rwanda,Rwanda,
shn,Saint Helena,Saint Helena,
kna,Saint Kitts and Nevis,St. Kitts Nevis,
lca,Saint Lucia,St. Lucia,
spm,Saint Pierre and Miquelon,St. Pierre and Miquelon,
vct,Saint Vincent and the Grenadines,St. Vincent,
wsm,Samoa,Samoa,
smr,San Marino,San Marino,
stp,Sao Tome and Principe,Sao Tome and Principe,
sau,Saudi Arabia,Saudi Arabia,
sen,Senegal,Senegal,
srb,Serbia,,
scg,Serbia and Montenegro,Serbia/Montenegro,Yugoslavia
syc,Seychelles,Seychelles,
sle,Sierra Leone,Sierra Leone,
sgp,Singapore,Singapore,
svk,Slovakia,Slovakia,Czechoslovakia
svn,Slovenia,Slovenia,Yugoslavia
slb,Solomon Islands,Solomon Islands,
som,Somalia,Somalia,
zaf,South Africa,South Africa,
esp,Spain,Spain,
lka,Sri Lanka,Sri Lanka,
sdn,Sudan,Sudan,
sur,Suriname,Suriname,
sjm,Svalbard and Jan Mayen Islands,,
swz,Swaziland,Swaziland,
swe,Sweden,Sweden,
che,Switzerland,Switzerland,
syr,Syrian Arab Republic,Syria,
twn,Taiwan,Taiwan,
tjk,Tajikistan,Tajikistan,Total Former USSR
tza,"Tanzania, United Republic of",Tanzania,
tha,Thailand,Thailand,
tls,Timor Leste,,
tgo,Togo,Togo,
tkl,Tokelau,,
ton,Tonga,Tonga,
tto,Trinidad and Tobago,Trinidad and Tobago,
tun,Tunisia,Tunisia,
tur,Turkey,Turkey,
tkm,Turkmenistan,Turkmenistan,Total Former USSR
tca,Turks and Caicos,Turks and Caicos Islands,
tuv,Tuvalu,Tuvalu,
uga,Uganda,Uganda,
ukr,Ukraine,Ukraine,Total Former USSR
are,United Arab Emirates,United Arab Emirates,
gbr,United Kingdom,United Kingdom,
usa,United States of America,United States,
ury,Uruguay,Uruguay,
uzb,Uzbekistan,Uzbekistan,Total Former USSR
vut,Vanuatu,Vanuatu,
vat,Vatican,,
ven,Venezuela,Venezuela,
vnm,Viet Nam,Vietnam,
vgb,"Virgin Islands, British",British Virgin Islands,
vir,"Virgin Islands, U.S.",Virgin Islands,
wlf,Wallis and Futuna,Wallis and Futuna,
esh,Western Sahara,Western Sahara,
yem,Yemen,Yemen,
yug,"Yugoslavia, Federal Republic of",,
zmb,Zambia,Zambia,
zwe,Zimbabwe,Zimbabwe,
