# File: SUA_item_code_map.csv
# Title: Mapping of SUA items to their item_code
# Units: NA
# Description: Ideally we just use SUA (supply utilization accounts) item names directly.  However, given the volume of data
# it helps to use item_code to reduce the size of the input data as well as speed up processing.  We will then need this mapping
# to ultimately translate back to item names. TM is TRUE when bilateral data was used for the item.
# Last update: 06-09-2024 (XZ)
# Column types: cicicl
# ----------
item,item_code,item_new_2024,tier,DS_trade,TM
"Oil, rapeseed",271,"Rapeseed or canola oil, crude",1,TM,TRUE
"Cake, rapeseed",272,Cake of rapeseed,2,TM,TRUE
"Oil, olive residues",274,Oil of olive residues,2,TM,TRUE
Tung nuts,275,Tung nuts,1,TM,TRUE
"Oil, tung nuts",276,Oil of tung nuts,2,TM,TRUE
Jojoba seed,277,Jojoba seeds,3,SCL,FALSE
"Oil, jojoba",278,Jojoba oil,2,TM,TRUE
Safflower seed,280,Safflower seed,1,TM,TRUE
"Oil, safflower",281,"Safflower-seed oil, crude",1,TM,TRUE
Sesame seed,289,Sesame seed,1,TM,TRUE
"Oil, sesame",290,Oil of sesame seed,1,TM,TRUE
"Cake, sesame seed",291,Cake of sesame seed,2,TM,TRUE
Mustard seed,292,Mustard seed,1,TM,TRUE
"Oil, mustard",293,"Mustard seed oil, crude",2,TM,TRUE
"Cake, mustard",294,Cake of mustard seed,2,TM,TRUE
"Flour, mustard",295,Flour of mustard seed,2,TM,TRUE
Poppy seed,296,Poppy seed,1,TM,TRUE
"Oil, poppy",297,Oil of poppy seed,4,SCL,FALSE
Melonseed,299,Melonseed,1,TM,TRUE
Tallowtree seed,305,Tallowtree seeds,3,SCL,FALSE
Vegetable tallow,306,Vegetable tallow,4,SCL,FALSE
Kapok fruit,310,Kapok fruit,3,SCL,FALSE
Kapokseed in shell,311,Kapokseed in shell,3,SCL,FALSE
Kapokseed shelled,312,"Kapokseed, shelled",4,SCL,FALSE
"Oil, kapok",313,Oil of kapok,4,SCL,FALSE
Seed cotton,328,"Seed cotton, unginned",6,TM,TRUE
Cottonseed,329,Cotton seed,1,TM,TRUE
"Oil, cottonseed",331,Cottonseed oil,1,TM,TRUE
"Cake, cottonseed",332,Cake of cottonseed,2,TM,TRUE
Linseed,333,Linseed,1,TM,TRUE
"Oil, linseed",334,Oil of linseed,1,TM,TRUE
Hempseed,336,Hempseed,1,TM,TRUE
"Oil, hempseed",337,Oil of hempseed,4,SCL,FALSE
Oilseeds nes,339,"Other oil seeds, n.e.c.",1,TM,TRUE
"Oil, vegetable origin nes",340,"Other oil of vegetable origin, crude n.e.c.",2,TM,TRUE
"Cake, others",341,"Cake, oilseeds nes",2,TM,TRUE
"Flour, oilseeds",343,"Flours and meals of oil seeds or oleaginous fruits, except those of mustard",2,TM,TRUE
Cabbages and other brassicas,358,Cabbages,1,TM,TRUE
Artichokes,366,Artichokes,1,TM,TRUE
Asparagus,367,Asparagus,1,TM,TRUE
Lettuce and chicory,372,Lettuce and chicory,1,TM,TRUE
Spinach,373,Spinach,1,TM,TRUE
Cassava leaves,378,Cassava leaves,3,SCL,FALSE
Tomatoes,388,Tomatoes,1,TM,TRUE
"Juice, tomato",390,Tomato juice,2,TM,TRUE
"Tomatoes, paste",391,Paste of tomatoes,2,TM,TRUE
"Tomatoes, peeled",392,"Tomatoes, peeled (o/t vinegar)",2,TM,TRUE
Cauliflowers and broccoli,393,Cauliflowers and broccoli,1,TM,TRUE
"Pumpkins, squash and gourds",394,"Pumpkins, squash and gourds",1,TM,TRUE
Cucumbers and gherkins,397,Cucumbers and gherkins,1,TM,TRUE
Eggplants (aubergines),399,Eggplants (aubergines),1,TM,TRUE
"Chillies and peppers, green",401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1,TM,TRUE
"Onions, shallots, green",402,"Onions and shallots, green",1,TM,TRUE
"Onions, dry",403,"Onions and shallots, dry (excluding dehydrated)",1,TM,TRUE
Garlic,406,Green garlic,1,TM,TRUE
"Leeks, other alliaceous vegetables",407,Leeks and other alliaceous vegetables,1,TM,TRUE
"Beans, green",414,"Other beans, green",1,TM,TRUE
"Peas, green",417,"Peas, green",1,TM,TRUE
"Vegetables, leguminous nes",420,"Broad beans and horse beans, green",1,TM,TRUE
String beans,423,String beans,1,TM,TRUE
Carrots and turnips,426,Carrots and turnips,1,TM,TRUE
Okra,430,Okra,1,TM,TRUE
"Maize, green",446,Green corn (maize),1,TM,TRUE
Sweet corn frozen,447,"Sweet corn, frozen",2,TM,TRUE
Sweet corn prep or preserved,448,"Sweet corn, prepared or preserved",2,TM,TRUE
Mushrooms and truffles,449,Mushrooms and truffles,1,TM,TRUE
"Mushrooms, dried",450,Dried mushrooms,2,TM,TRUE
"Mushrooms, canned",451,Canned mushrooms,2,TM,TRUE
Chicory roots,459,Chicory roots,1,TM,TRUE
Carobs,461,Locust beans (carobs),1,TM,TRUE
"Vegetables, fresh nes",463,"Other vegetables, fresh n.e.c.",1,TM,TRUE
"Juice, vegetables nes",466,Other vegetable juices,2,TM,TRUE
"Vegetables, dehydrated",469,"Vegetables, dehydrated",2,TM,TRUE
Vegetables in vinegar,471,"Vegetables, pulses and potatoes, preserved by vinegar or acetic acid",2,TM,TRUE
"Vegetables, preserved nes",472,Vegetables preserved nes (o/t vinegar),2,TM,TRUE
"Vegetables, frozen",473,Vegetables frozen,2,TM,TRUE
"Vegetables, temporarily preserved",474,Other vegetables provisionally preserved,2,TM,TRUE
"Vegetables, preserved, frozen",475,Vegetables preserved (frozen),2,TM,TRUE
"Vegetables, homogenized preparations",476,Homogenized vegetable preparations,2,TM,TRUE
Bananas,486,Bananas,1,TM,TRUE
Plantains and others,489,Plantains and cooking bananas,1,TM,TRUE
Oranges,490,Oranges,1,TM,TRUE
"Juice, orange, single strength",491,Orange juice,2,TM,TRUE
"Juice, orange, concentrated",492,"Orange juice, concentrated",2,TM,TRUE
"Tangerines, mandarins, clementines, satsumas",495,"Tangerines, mandarins, clementines",1,TM,TRUE
"Juice, tangerine",496,Juice of tangerine,2,TM,TRUE
Lemons and limes,497,Lemons and limes,1,TM,TRUE
"Juice, lemon, single strength",498,Juice of lemon,2,TM,TRUE
"Juice, lemon, concentrated",499,"Lemon juice, concentrated",2,TM,TRUE
Grapefruit (inc. pomelos),507,Pomelos and grapefruits,1,TM,TRUE
"Juice, grapefruit",509,Grapefruit juice,2,TM,TRUE
"Juice, grapefruit, concentrated",510,"Grapefruit juice, concentrated",2,TM,TRUE
"Fruit, citrus nes",512,"Other citrus fruit, n.e.c.",1,TM,TRUE
"Juice, citrus, single strength",513,Juice of citrus fruit n.e.c.,2,TM,TRUE
"Juice, citrus, concentrated",514,"Citrus juice, concentrated n.e.c.",2,TM,TRUE
Apples,515,Apples,1,TM,TRUE
Cider etc,517,Cider and other fermented beverages,2,TM,TRUE
"Juice, apple, single strength",518,Apple juice,2,TM,TRUE
"Juice, apple, concentrated",519,"Apple juice, concentrated",2,TM,TRUE
Pears,521,Pears,1,TM,TRUE
Quinces,523,Quinces,1,TM,TRUE
Apricots,526,Apricots,1,TM,TRUE
"Apricots, dry",527,"Apricots, dried",2,TM,TRUE
"Cherries, sour",530,Sour cherries,1,TM,TRUE
Cherries,531,Cherries,1,TM,TRUE
Peaches and nectarines,534,Peaches and nectarines,1,TM,TRUE
Plums and sloes,536,Plums and sloes,1,TM,TRUE
Plums dried (prunes),537,"Plums, dried",2,TM,TRUE
"Juice, plum, single strength",538,Juice of plum,4,SCL,FALSE
"Juice, plum, concentrated",539,"Juice of plum, concentrated",4,SCL,FALSE
"Fruit, stone nes",541,Other stone fruits,1,TM,TRUE
"Fruit, pome nes",542,Other pome fruits,3,SCL,FALSE
Strawberries,544,Strawberries,1,TM,TRUE
Raspberries,547,Raspberries,1,TM,TRUE
Gooseberries,549,Gooseberries,1,TM,TRUE
Currants,550,Currants,1,TM,TRUE
Blueberries,552,Blueberries,1,TM,TRUE
Cranberries,554,Cranberries,1,TM,TRUE
Berries nes,558,Other berries and fruits of the genus vaccinium n.e.c.,1,TM,TRUE
Grapes,560,Grapes,1,TM,TRUE
Raisins,561,Raisins,2,TM,TRUE
"Juice, grape",562,Grape juice,2,TM,TRUE
"Grapes, must",563,Must of grape,2,TM,TRUE
Wine,564,Wine,1,TM,TRUE
Vermouths & similar,565,Vermouth and other wine of fresh grapes flavoured with plats or aromatic substances,2,TM,TRUE
Watermelons,567,Watermelons,1,TM,TRUE
"Melons, other (inc.cantaloupes)",568,Cantaloupes and other melons,1,TM,TRUE
Figs,569,Figs,1,TM,TRUE
Figs dried,570,"Figs, dried",2,TM,TRUE
"Mangoes, mangosteens, guavas",571,"Mangoes, guavas and mangosteens",1,TM,TRUE
Avocados,572,Avocados,1,TM,TRUE
Pineapples,574,Pineapples,1,TM,TRUE
Pineapples canned,575,"Pineapples, otherwise prepared or preserved",2,TM,TRUE
"Juice, pineapple",576,Pineapple juice,2,TM,TRUE
Dates,577,Dates,1,TM,TRUE
"Juice, pineapple, concentrated",580,"Juice of pineapples, concentrated",2,TM,TRUE
"Juice, mango",583,Juice of mango,2,TM,TRUE
Persimmons,587,Persimmons,1,TM,TRUE
Cashewapple,591,Cashewapple,1,TM,TRUE
Kiwi fruit,592,Kiwi fruit,1,TM,TRUE
Papayas,600,Papayas,1,TM,TRUE
"Fruit, tropical fresh nes",603,"Other tropical fruits, n.e.c.",1,TM,TRUE
"Fruit, tropical dried nes",604,"Other tropical fruit, dried",2,TM,TRUE
"Fruit, fresh nes",619,"Other fruits, n.e.c.",1,TM,TRUE
"Fruit, dried nes",620,"Other fruit n.e.c., dried",2,TM,TRUE
"Juice, fruit nes",622,Juice of fruits n.e.c.,2,TM,TRUE
"Fruit, prepared nes",623,Fruit prepared n.e.c.,2,TM,TRUE
"Flour, fruit",624,Flour of fruits,2,TM,TRUE
"Fruits, nuts, peel, sugar preserved",625,"Fruit, nuts, peel, sugar preserved",2,TM,TRUE
"Fruit, cooked, homogenized preparations",626,"Homogenized cooked fruit, prepared",2,TM,TRUE
Alcohol non food,632,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher,4,SCL,FALSE
"Beverages, distilled alcoholic",634,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",2,TM,TRUE
"Coffee, green",656,"Coffee, green",1,TM,TRUE
"Coffee, roasted",657,"Coffee, decaffeinated or roasted",2,TM,TRUE
"Coffee, substitutes containing coffee",658,Coffee substitutes,2,TM,TRUE
"Coffee, extracts",659,Coffee extracts,2,TM,TRUE
"Cocoa, beans",661,Cocoa beans,1,TM,TRUE
"Cocoa, paste",662,Cocoa paste not defatted,2,TM,TRUE
"Cocoa, butter",664,"Cocoa butter, fat and oil",2,TM,TRUE
"Cocoa, powder & cake",665,Cocoa powder and cake,2,TM,TRUE
Chocolate products nes,666,Chocolate products nes,2,TM,TRUE
Tea,667,Tea leaves,1,TM,TRUE
Mate,671,Mate leaves,1,TM,TRUE
"Tea, mate extracts",672,"Extracts, essences and concentrates of tea or mate, and preparations with a basis thereof or with a basis of tea or mate",2,TM,TRUE
Hops,677,Hop cones,6,TM,TRUE
Pepper (piper spp.),687,"Pepper (Piper spp.), raw",1,TM,TRUE
"Chillies and peppers, dry",689,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1,TM,TRUE
Vanilla,692,"Vanilla, raw",1,TM,TRUE
Cinnamon (cannella),693,"Cinnamon and cinnamon-tree flowers, raw",1,TM,TRUE
Cloves,698,"Cloves (whole stems), raw",1,TM,TRUE
"Nutmeg, mace and cardamoms",702,"Nutmeg, mace, cardamoms, raw",1,TM,TRUE
"Anise, badian, fennel, coriander",711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1,TM,TRUE
Ginger,720,"Ginger, raw",1,TM,TRUE
Spices nes,723,"Other stimulant, spice and aromatic crops, n.e.c.",1,TM,TRUE
Peppermint,748,"Peppermint, spearmint",6,TM,TRUE
"Pyrethrum, dried",754,"Pyrethrum, dried flowers",6,TM,TRUE
Cotton lint,767,"Cotton lint, ginned",6,TM,TRUE
"Flax, raw or retted ",771,"Flax, raw or retted ",6,TM,TRUE
Hemp tow waste,777,"True hemp, raw or retted",6,TM,TRUE
Kapok fibre,778,"Kapok fibre, raw",6,TM,TRUE
Jute,780,"Jute, raw or retted",6,TM,TRUE
"Bastfibres, other",782,"Kenaf, and other textile bast fibres, raw or retted",6,TM,TRUE
Ramie,788,"Ramie, raw or retted",6,TM,TRUE
Sisal,789,"Sisal, raw",6,TM,TRUE
Agave fibres nes,800,"Agave fibres, raw, n.e.c.",6,TM,TRUE
Manila fibre (abaca),809,"Abaca, manila hemp, raw",6,TM,TRUE
Coir,813,"Coir, raw",6,TM,TRUE
Fibre crops nes,821,"Other fibre crops, raw, n.e.c.",6,TM,TRUE
"Tobacco, unmanufactured",826,Unmanufactured tobacco,6,TM,TRUE
"Rubber, natural",836,Natural rubber in primary forms,6,TM,TRUE
"Gums, natural",839,"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip",6,TM,TRUE
"Feed and meal, gluten",846,Gluten feed and meal,2,TM,TRUE
"Meat, cattle",867,"Meat of cattle with the bone, fresh or chilled",1,TM,TRUE
"Offals, edible, cattle",868,"Edible offal of cattle, fresh, chilled or frozen",1,TM,TRUE
"Fat, cattle",869,"Cattle fat, unrendered",1,TM,TRUE
"Meat, cattle, boneless (beef & veal)",870,"Meat of cattle boneless, fresh or chilled",2,TM,TRUE
"Fat, cattle butcher",871,"Cattle, butcher fat",2,TM,TRUE
"Meat, beef, dried, salted, smoked",872,"Bovine meat, salted, dried or smoked",2,TM,TRUE
"Meat, extracts",873,"Extracts and juices of meat, fish, crustaceans, molluscs or other aquatic invertebrates",2,TM,TRUE
"Meat, beef and veal sausages",874,"Sausages and similar products of meat, offal or blood of beef and veal",2,TM,TRUE
"Meat, beef, preparations",875,beef and veal preparations nes,2,TM,TRUE
"Meat, homogenized preparations",877,Homogenized meat preparations,2,TM,TRUE
Liver prep.,878,Liver preparations,2,TM,TRUE
"Milk, whole fresh cow",882,Raw milk of cattle,1,TM,TRUE
Cream fresh,885,"Cream, fresh",1,TM,TRUE
"Butter, cow milk",886,Butter of cow milk,1,TM,TRUE
"Ghee, butteroil of cow milk",887,Ghee from cow milk,1,TM,TRUE
"Milk, skimmed cow",888,Skim milk of cows,1,TM,TRUE
"Milk, whole condensed",889,"Whole milk, condensed",1,TM,TRUE
"Whey, condensed",890,"Whey, condensed",1,TM,TRUE
Yoghurt,891,Yoghurt,1,TM,TRUE
"Yoghurt, concentrated or not",892,"Yoghurt, with additives",2,TM,TRUE
"Buttermilk, curdled, acidified milk",893,"Buttermilk, curdled and acidified milk",2,TM,TRUE
"Milk, whole evaporated",894,"Whole milk, evaporated",1,TM,TRUE
"Milk, skimmed evaporated",895,"Skim milk, evaporated",1,TM,TRUE
"Milk, skimmed condensed",896,"Skim milk, condensed",1,TM,TRUE
"Milk, whole dried",897,Whole milk powder,1,TM,TRUE
"Milk, skimmed dried",898,Skim milk and whey powder,1,TM,TRUE
"Milk, dry buttermilk",899,"Buttermilk, dry",1,TM,TRUE
"Whey, dry",900,"Whey, dry",1,TM,TRUE
"Cheese, whole cow milk",901,Cheese from whole cow milk,1,TM,TRUE
"Whey, fresh",903,"Whey, fresh",2,TM,TRUE
"Cheese, skimmed cow milk",904,Cheese from skimmed cow milk,1,TM,TRUE
"Whey, cheese",905,Whey cheese,2,TM,TRUE
"Cheese, processed",907,Processed cheese,2,TM,TRUE
"Milk, reconstituted",908,Reconstituted milk,4,SCL,FALSE
"Milk, products of natural constituents nes",909,Dairy products n.e.c.,2,TM,TRUE
Ice cream and edible ice,910,Ice cream and other edible ice,2,TM,TRUE
Egg albumine,916,Egg albumin,4,SCL,FALSE
Casein,917,Casein,4,SCL,FALSE
"Hides, cattle, fresh",919,Raw hides and skins of cattle,6,TM,TRUE
"Meat, buffalo",947,"Meat of buffalo, fresh or chilled",1,TM,TRUE
"Offals, edible, buffaloes",948,"Edible offal of buffalo, fresh, chilled or frozen",1,TM,TRUE
"Fat, buffaloes",949,"Buffalo fat, unrendered",3,SCL,FALSE
"Milk, whole fresh buffalo",951,Raw milk of buffalo,3,SCL,FALSE
"Butter, buffalo milk",952,Butter of buffalo milk,3,SCL,FALSE
"Ghee, buffalo milk",953,Ghee from buffalo milk,3,SCL,FALSE
"Milk, skimmed buffalo",954,Skim milk of buffalo,4,SCL,FALSE
"Cheese, buffalo milk",955,"Cheese from milk of buffalo, fresh or processed",3,SCL,FALSE
"Hides, buffalo, fresh",957,Raw hides and skins of buffaloes,6,TM,TRUE
"Meat, sheep",977,"Meat of sheep, fresh or chilled",1,TM,TRUE
"Offals, sheep,edible",978,"Edible offal of sheep, fresh, chilled or frozen",1,TM,TRUE
"Fat, sheep",979,"Sheep fat, unrendered",1,TM,TRUE
