# File: BEA_GDP_87_96_97USD_state.csv
# Title: Real GDP by State (All Industry Total) 1987-1996
# Units: millions of chained 1997 dollars
# Source: Bureau of Economic Analysis (no stable link, but see: https://apps.bea.gov/iTable/index_regional.cfm)
# Column types: iccccccccccccccccccccccccciiiiiiiiii 
# ----------
Fips,Area,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996
26000,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,221362,230563,234224,229534,225576,235241,242175,263500,264125,273563
27000,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,110916,115398,118868,120078,120067,126777,127067,134715,138724,147643
28000,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,43229,44252,44669,44852,45841,48317,50440,53852,56528,58230
29000,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,116060,121171,123688,122285,124167,127857,128278,137379,144371,150268
30000,Montana,,,,,,,,,,,,,,,,,,,,,,,,,14624,14497,15089,15355,15739,16566,17285,17932,18036,18342
31000,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,34351,36304,37389,39011,40250,42242,42385,45806,46556,49276
32000,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,29144,31701,34125,36891,37713,40564,43994,48267,51081,55725
33000,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,26669,28319,28278,27259,27411,28486,28832,30113,32379,34858
34000,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,230997,248031,251515,253360,252718,256965,259805,265388,271764,283608
35000,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,26932,27464,28056,28714,31980,33855,37463,42030,42733,44604
36000,New York,,,,,,,,,,,,,,,,,,,,,,,,,562846,595326,594267,595908,577446,585395,588213,596435,608937,634107
37000,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,147274,155811,160953,161998,162239,171223,176678,189755,199056,206757
38000,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,13074,12023,12733,13161,13118,14176,13987,15045,15325,16508
39000,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,247287,256727,262187,264948,263064,275324,277702,294384,304834,315189
40000,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,63487,66540,66722,67083,67424,69025,70761,72406,73889,77538
41000,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,56988,60568,62292,64881,65969,68519,72548,76924,81919,93489
42000,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,266991,279975,284585,288955,289708,298365,303021,311576,321832,330321
44000,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,23871,25528,26214,25937,25005,25370,25653,25882,26552,27006
45000,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,67198,70664,72983,75344,76010,78505,81301,85856,89046,91716
46000,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,13623,13733,13961,14696,15411,16279,17208,18141,18520,19410
47000,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,104884,109796,110896,110321,114266,123167,128543,136301,140814,145391
48000,Texas,,,,,,,,,,,,,,,,,,,,,,,,,389772,413114,423660,437292,444358,461816,478420,505162,530666,562107
49000,Utah,,,,,,,,,,,,,,,,,,,,,,,,,32682,34413,34827,36697,38105,39564,41509,44958,48212,52980
50000,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,11522,12521,13091,13313,12952,13562,13755,14178,14211,14839
51000,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,156426,164557,170267,173022,172407,175795,180781,188082,193402,201703
53000,Washington,,,,,,,,,,,,,,,,,,,,,,,,,120393,127671,134180,141946,145050,150245,154090,159470,160182,169162
54000,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,28734,30865,30816,31349,31986,32880,33836,35963,36902,37750
55000,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,104770,111180,113429,115638,117167,123617,128390,135190,138010,144558
56000,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,12272,13050,13019,13673,14118,14327,14785,15105,15539,15968
