# File: EIA_state_energy_prices.csv
# Title: EIA_state_energy_prices
# Source: http://www.eia.gov/state/seds/data.cfm?incfile=/state/seds/sep_sum/html/sum_pr_tot.html&sid=US  Table E1. Primary Energy Electricity and Total Energy Price Estimates 2012
# Units: Dollars per Million Btu
# Column types: cnnnnnnnnnnnnnnn 
# ----------
State,Coal,Natural.gas,Distillate.fuel.oil,Jet.fuel,LPG,Motor.gasoline,Residual.fuel.oil,Other.petroleum,Petroleum.total,Nuclear.fuel,Biomass,Total.primary,Electricity,Retail.electricity,Total.energy
Kentucky,2.47,5.71,27.53,23.07,21.61,28.86,16.91,10.71,25.45,,5.38,10.69,2.48,21.37,20.65
Louisiana,2.9,3.27,27,22.79,14.44,27.56,8.93,25.44,22.94,0.8,2.73,11.77,2.42,20.49,15.54
Maine,4.69,7.62,28.07,23.55,30.27,29.73,18.22,31.39,28.42,,3.29,17.75,4.1,34.62,22.92
Maryland,3.54,8.63,27.83,23.08,33.26,29.08,19.67,24.73,28.5,0.8,4.16,15.75,2.53,33.06,25.41
Massachusetts,3.76,7.98,28.26,23.36,33.74,29.05,17.31,33.16,28.53,0.71,3.46,17.54,3.02,40.41,26.04
Michigan,3.09,7.71,26.81,22.99,22.5,27.92,14.67,28.65,27.34,0.79,3.31,11.9,2.41,32.29,21.39
Minnesota,2.09,5.65,27.86,23.15,22.05,28.97,12.62,19.55,27.23,0.91,3.19,13.32,2.3,26.06,19.99
Mississippi,4.46,3.82,27.35,22.84,24.97,27.59,12.4,20.04,26.39,0.76,3.01,12.06,2.82,25.5,20.46
Missouri,1.89,8.72,27.13,22.97,21.33,27.29,16.63,18.21,26.21,0.7,10.29,11.6,1.82,24.99,22.5
Montana,1.62,7.36,27.65,24.17,21.16,29.43,14.82,9.98,26.22,,12.11,12.51,1.74,24.32,21.93
Nebraska,1.57,5.44,27.37,22.97,21.66,28.67,12.73,26.31,27.57,0.69,4.1,10.9,1.46,24.54,19.63
Nevada,2.65,4.86,28.83,23.2,28.38,29.24,,13.76,27.95,,12.55,13.98,3.27,26.38,23.47
New Hampshire,4.07,7.37,27.13,23.55,30.37,29.01,17.81,18.33,28.22,0.7,4.64,14.11,2.77,41.6,28.35
New Jersey,4.05,7.3,27.43,23,33.13,28.38,18.59,25.44,26.64,0.71,4.37,15.2,1.95,40.1,24.11
New Mexico,2.18,5.14,27.7,22.84,18.06,27.8,,17.92,26.25,,15,11.91,2.48,26.21,22.95
New York,3.63,7.5,27.87,23.16,31.94,29.22,16.95,19.52,27.21,0.73,3.93,14.7,2.91,44.39,25.24
North Carolina,3.79,6.69,28.11,22.96,25.85,29.11,18.01,25.25,28.36,0.59,3.28,12.52,2.67,26.82,23.69
North Dakota,2.15,5.16,26.51,22.97,21.52,29.75,16.75,19.32,26.84,,2.64,9.81,1.64,22.99,18.14
Ohio,2.88,6.42,27.86,22.95,25.32,28.45,16.83,20.22,27.06,0.71,4.95,12.14,2.32,26.84,20.37
Oklahoma,2.04,5.3,26.91,23.06,21.89,27.33,16.68,27.86,26.67,,3.35,11.86,2.48,22.16,20.12
Oregon,1.96,6.2,28.86,23.07,24.3,29.99,22.37,20.78,28.4,,5.11,18.2,2.96,24.07,22.28
Pennsylvania,3,7.09,28.69,23.18,30.12,29.77,17.37,28.45,29,0.69,4.05,10.92,1.95,29.12,22.73
Rhode Island,,6.88,28.64,23.55,36.1,29.57,19.42,29.5,29.03,,5.37,16.76,3.88,37.34,26.35
South Carolina,3.98,5.14,27,23.58,25.48,27.25,16.14,15.33,25.98,0.63,2.54,9.59,2.03,26.68,21.67
South Dakota,2.25,5.87,27.15,24.41,21.83,28.93,16.6,18.1,27.04,,10.05,16.91,2.34,24.88,20.54
Tennessee,2.85,5.99,27.32,22.97,26.06,27.62,13.35,24.38,26.85,0.68,3.25,12.68,1.95,27.23,21.97
Texas,1.91,3.52,27.26,22.84,14.77,27.4,12.69,24.53,22.12,0.68,3.17,12.64,2.22,25.31,18.82
Utah,1.96,5.86,28.06,24.48,23.6,29.54,,18.93,27.98,,5.43,11.76,2.09,23.1,20.82
Vermont,,11.23,28.29,23.55,30.58,30.06,19.99,28.41,29.33,0.69,5.93,15.05,4.28,41.68,29.11
Virginia,4.04,5.98,27.68,23.04,23.64,29.65,14.95,24.8,27.91,0.54,3.24,14.67,2.17,26.59,23.05
Washington,2.1,9,29.42,22.61,25.82,30.4,23.28,11.15,27.03,0.76,4,18.48,2.21,20.49,21.45
West Virginia,2.74,7.22,27.43,23.19,30.6,29.47,18.08,36.94,28.91,,11.54,7.94,2.59,23.91,20.79
Wisconsin,2.51,6.42,27.71,22.97,20.77,29.14,16.75,17.81,27.36,0.77,3.77,12.09,2.12,30.25,21.05
Wyoming,1.48,5.61,26.79,23.6,21.53,27.85,15.41,23.96,26.76,,14.91,7.26,1.47,21.19,18.51
United States,2.6,5.76,27.64,23,17.65,28.77,17.31,22.94,26.35,0.7,3.58,12.78,2.4,,
