INPUT_TABLE
Variable ID
FinalDemandInfo

region,energy.final.demand,perCapitaBased,income.elasticity,year,base.service,aeei
European Free Trade Association,urban processes,1,0,2010,0.004,0
India,urban processes,1,0,2010,0.004,0
Indonesia,urban processes,1,0,2010,0.004,0
Japan,urban processes,1,0,2010,0.004,0
Mexico,urban processes,1,0,2010,0.004,0
Middle East,urban processes,1,0,2010,0.004,0
Pakistan,urban processes,1,0,2010,0.004,0
Russia,urban processes,1,0,2010,0.004,0
South Africa,urban processes,1,0,2010,0.004,0
South America_Northern,urban processes,1,0,2010,0.004,0
South America_Southern,urban processes,1,0,2010,0.004,0
South Asia,urban processes,1,0,2010,0.004,0
South Korea,urban processes,1,0,2010,0.004,0
Southeast Asia,urban processes,1,0,2010,0.004,0
Taiwan,urban processes,1,0,2010,0.004,0
Argentina,urban processes,1,0,2010,0.004,0
Colombia,urban processes,1,0,2010,0.004,0
