# File: calibrated_techs.csv
# Title: Mapping from calibrated intermediate sectors and fuels to supplysector / subsector / technology / input in GCAM
# Units: n/a
# Column types: cccccccc
# ----------
sector,fuel,supplysector,subsector,technology,minicam.energy.input,calibration,secondary.output
cement,gas,process heat cement,gas,gas,wholesale gas,input,
cement,refined liquids,process heat cement,refined liquids,refined liquids,refined liquids industrial,input,
N fertilizer,gas,N fertilizer,gas,gas,wholesale gas,output,
N fertilizer,coal,N fertilizer,coal,coal,delivered coal,output,
N fertilizer,refined liquids,N fertilizer,refined liquids,refined liquids,refined liquids industrial,output,
iron and steel,coal,iron and steel,BLASTFUR,BLASTFUR,delivered coal,output,
iron and steel,refined liquids,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,output,
iron and steel,electricity,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,output,
iron and steel,gas,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,output,
iron and steel,coal,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,output,
iron and steel,refined liquids,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,output,
iron and steel,electricity,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,output,
iron and steel,gas,iron and steel,BLASTFUR,BLASTFUR CCS,wholesale gas,output,
iron and steel,biomass,iron and steel,BLASTFUR,Biomass-based,delivered biomass,output,
iron and steel,refined liquids,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,output,
iron and steel,electricity,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,output,
iron and steel,gas,iron and steel,BLASTFUR,Biomass-based,wholesale gas,output,
iron and steel,coal,iron and steel,EAF with DRI,EAF with DRI,delivered coal,output,
iron and steel,refined liquids,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,output,
iron and steel,electricity,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,output,
iron and steel,gas,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,output,
iron and steel,coal,iron and steel,EAF with DRI,EAF with DRI CCS,delivered coal,output,
iron and steel,refined liquids,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,output,
iron and steel,electricity,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,output,
iron and steel,gas,iron and steel,EAF with DRI,EAF with DRI CCS,wholesale gas,output,
iron and steel,hydrogen,iron and steel,EAF with DRI,Hydrogen-based DRI,H2 industrial,output,
iron and steel,electricity,iron and steel,EAF with DRI,Hydrogen-based DRI,elect_td_ind,output,
iron and steel,refined liquids,iron and steel,EAF with scrap,EAF with scrap,refined liquids industrial,output,
iron and steel,electricity,iron and steel,EAF with scrap,EAF with scrap,elect_td_ind,output,
iron and steel,scrap,iron and steel,EAF with scrap,EAF with scrap,scrap,output,
in_industry_agriculture,refined liquids,agricultural energy use,mobile,refined liquids,refined liquids industrial,input,
in_industry_agriculture,refined liquids,agricultural energy use,stationary,refined liquids,refined liquids industrial,input,
in_industry_agriculture,gas,agricultural energy use,stationary,gas,wholesale gas,input,
in_industry_agriculture,biomass,agricultural energy use,stationary,biomass,delivered biomass,input,
in_industry_agriculture,electricity,agricultural energy use,stationary,electricity,elect_td_ind,input,
in_industry_agriculture,hydrogen,agricultural energy use,stationary,hydrogen,H2 retail delivery,input,
in_industry_agriculture,coal,agricultural energy use,stationary,coal,delivered coal,input,
in_industry_agriculture,heat,agricultural energy use,stationary,heat,district heat,input,
mining energy use,refined liquids,mining energy use,mobile,refined liquids,refined liquids industrial,input,
mining energy use,refined liquids,mining energy use,stationary,refined liquids,refined liquids industrial,input,
mining energy use,gas,mining energy use,stationary,gas,wholesale gas,input,
mining energy use,biomass,mining energy use,stationary,biomass,delivered biomass,input,
mining energy use,electricity,mining energy use,stationary,electricity,elect_td_ind,input,
mining energy use,hydrogen,mining energy use,stationary,hydrogen,H2 retail delivery,input,
mining energy use,coal,mining energy use,stationary,coal,delivered coal,input,
mining energy use,heat,mining energy use,stationary,heat,district heat,input,
construction energy use,refined liquids,construction energy use,mobile,refined liquids,refined liquids industrial,input,
construction energy use,refined liquids,construction energy use,stationary,refined liquids,refined liquids industrial,input,
construction energy use,gas,construction energy use,stationary,gas,wholesale gas,input,
construction energy use,biomass,construction energy use,stationary,biomass,delivered biomass,input,
construction energy use,electricity,construction energy use,stationary,electricity,elect_td_ind,input,
construction energy use,hydrogen,construction energy use,stationary,hydrogen,H2 retail delivery,input,
construction energy use,coal,construction energy use,stationary,coal,delivered coal,input,
construction energy use,heat,construction energy use,stationary,heat,district heat,input,
construction feedstocks,refined liquids,construction feedstocks,refined liquids,refined liquids,refined liquids industrial,input,
chemical energy use,refined liquids,chemical energy use,refined liquids,refined liquids,refined liquids industrial,input,
chemical energy use,refined liquids cogen,chemical energy use,refined liquids,refined liquids cogen,refined liquids industrial,input,
chemical energy use,refined liquids CCS,chemical energy use,refined liquids,refined liquids CCS,refined liquids industrial,input,
chemical energy use,gas,chemical energy use,gas,gas,wholesale gas,input,
chemical energy use,gas cogen,chemical energy use,gas,gas cogen,wholesale gas,input,
chemical energy use,gas CCS,chemical energy use,gas,gas CCS,wholesale gas,input,
chemical energy use,biomass,chemical energy use,biomass,biomass,delivered biomass,input,
chemical energy use,biomass cogen,chemical energy use,biomass,biomass cogen,delivered biomass,input,
chemical energy use,biomass CCS,chemical energy use,biomass,biomass CCS,delivered biomass,input,
chemical energy use,electricity,chemical energy use,electricity,electricity,elect_td_ind,input,
chemical energy use,hydrogen,chemical energy use,hydrogen,hydrogen,H2 wholesale delivery,input,
chemical energy use,hydrogen cogen,chemical energy use,hydrogen,hydrogen cogen,H2 wholesale delivery,input,
chemical energy use,coal,chemical energy use,coal,coal,delivered coal,input,
chemical energy use,coal cogen,chemical energy use,coal,coal cogen,delivered coal,input,
chemical energy use,coal CCS,chemical energy use,coal,coal CCS,delivered coal,input,
chemical energy use,heat,chemical energy use,heat,heat,district heat,input,
chemical feedstocks,refined liquids,chemical feedstocks,refined liquids,refined liquids,refined liquids industrial,input,
chemical feedstocks,gas,chemical feedstocks,gas,gas,wholesale gas,input,
chemical feedstocks,coal,chemical feedstocks,coal,coal,delivered coal,input,
Alumina,refined liquids,alumina,refined liquids,refined liquids,refined liquids industrial,input,
Alumina,refined liquids cogen,alumina,refined liquids,refined liquids cogen,refined liquids industrial,input,
Alumina,refined liquids CCS,alumina,refined liquids,refined liquids CCS,refined liquids industrial,input,
Alumina,coal,alumina,coal,coal,delivered coal,input,
Alumina,coal cogen,alumina,coal,coal cogen,delivered coal,input,
Alumina,coal CCS,alumina,coal,coal CCS,delivered coal,input,
Alumina,gas,alumina,gas,gas,wholesale gas,input,
Alumina,gas cogen,alumina,gas,gas cogen,wholesale gas,input,
Alumina,gas CCS,alumina,gas,gas CCS,wholesale gas,input,
Alumina,biomass,alumina,biomass,biomass,delivered biomass,input,
Alumina,biomass cogen,alumina,biomass,biomass cogen,delivered biomass,input,
Alumina,biomass CCS,alumina,biomass,biomass CCS,delivered biomass,input,
Alumina,heat,alumina,heat,heat,district heat,input,
Aluminum,electricity,aluminum,electricity,electricity,elect_td_ind,output,
Aluminum,alumina,aluminum,electricity,electricity,alumina,output,
