# File: WSA_steel_prod_cons_1970_2018.csv
# Title: Crude steel production and consumption by country
# Units: thousand tons
# Description: Crude steel production and apparent steel consumption (crude equivalent) by country (1970-2021)
# Source: World Steel Association Statistical Year Books (1980 1989 1999 2000 2019)
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Metric,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Estonia,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,2,,,,,,,,,,,,,,,,,,,,,0,0,0
Ethiopia,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Finland,Crude Steel Production,1169,1025,1456,1615,1656,1616,1649,2196,2333,2464,2508,2428,2414,2416,2639,2518,2586,2669,2798,2921,2860,2890,3077,3256,3420,3176,3301,3734,3952,3956,4096,3938,4003,4766,4832,4739,5054,4431,4417,3066,4029,3989,3759,3517,3807,3988,4101,4003,4146,3473,3498,4340
France,Crude Steel Production,23774,22843,24054,25270,27021,21531,23227,22094,22841,23360,23176,21258,18402,17582,19000,18808,17857,17693,19106,19335,19016,18434,17972,17106,18031,18100,17633,19767,20126,20200,20954,19343,20258,19758,20770,19481,19852,19250,17879,12840,15414,15780,15609,15685,16143,14984,14413,15505,15387,14450,11596,13947
Gabon,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Crude Steel Production,519.6109002,540.9134853,563.1173165,589.5359298,610.6950331,633.6745635,649.2782251,657.5732751,679.0103746,668,663,666,660,684,692,693,720,726,731,717.84,692.46,595.62,529,215,141,84,82,104,53,7,,,,,,,,,,,,,,,,,,,,0,0,0
Germany,Crude Steel Production,50466,46058,49770,55376,59397,46892,49153,45834,48229,53064,51146,49077,43048,42948,46962,48349,45101,44491,49156,48902,44000,42169,39711,37625,40837,42051,39793,45007,44046,42062,46376,44803,45015,44809,46374,44524,47224,48550,45833,32670,43830,44284,42661,42645,42943,42676,42080,43297,42435,39627,35680,40241
Ghana,Crude Steel Production,,,,,,,,,,,,,,,,,,,,20,20,20,20,19,20,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,400,400,400
Greece,Crude Steel Production,450,475,675,1087,926,666,715,759,936,813,870,909,933,868,898,985,1010,907,959,956,999,980,924,980,848,939,848,1016,1109,951,1088,1281,1835,1701,1967,2266,2416,2554,2477,2000,1821,1934,1247,1030,1022,910,1158,1359,1467,1350,1408,1498
Guatemala,Crude Steel Production,,,,,,,,,,,,,,,,,,,,22,21,23,25,18,,,,,,0,167,202,216,226,232,207,292,349,250,224,274,294,334,385,395,403,314,294,300,306,243,307
Guinea,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,Crude Steel Production,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Hong Kong, China",Crude Steel Production,100,105,110,115,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,150,150,150,150,150,150,150,100,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Hungary,Crude Steel Production,3110,3110,3273,3332,3468,3673,3652,3723,3773,3907,3767,3645,3702,3617,3770,3647,3716,3622,3582,3315,2963,1931,1541,1753,1938,1861,1872,1690,1816,1813,1871,1956,2053,1989,1952,1958,2084,2227,2094,1403,1678,1746,1542,883,1152,1675,1274,1901,1989,1770,1513,1100
Iceland,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
India,Crude Steel Production,6276,6101,6858,6889,7068,7991,9364,10009,10099,10126,9514,10765,10997,10237,10549,11936,12197,13121,14309,14608,14963,17100,18117,18155,19282,22003,23753,24415,23480,24296,26924,27291,28814,31779,32626,45780,49450,53080,55098,63527,68976,73471,77264,81299,87292,89026,95477,101455,109272,111351,100256,118201
Indonesia,Crude Steel Production,10,10,30,50,80,100,139,250,310,182,543,621,693,983,1171,1374,1729,2059,1850,2383,2892,3089,2949,3802,3220,4130,4109,3816,2699,2891,2848,2781,2462,2042,3682,3675,3759,4160,3915,3501,3664,3621,2254,2644,4351,4854,4746,5195,6183,8565,12871,14835
Iran,Crude Steel Production,,,,240,567,551,549,1825,1300,1430,550,565,550,734,854,850,850,875,978,1081,1425,2203,2937,3672,4498,4696,5415,6322,5602,6070,6600,6916,7321,7869,8682,9404,9789,10051,9964,10908,11995,13197,14463,15422,16331,16146,17895,21236,24520,25609,28990,28320
Iraq,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,300,300
Ireland,Crude Steel Production,80,80,77,116,110,81,58,47,69,72,2,32,61,141,166,203,208,220,271,324,326,293,257,326,266,310,341,337,358,335,360,150,,,,,,,,,,,,,,,,,,0,0,0
Israel,Crude Steel Production,60,65,65,65,75,80,70,72,94,107,115,114,87,83,92,100,110,116,99,100,135,90,109,120,180,220,265,270,280,280,280,280,280,280,280,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Italy,Crude Steel Production,17277,17452,19813,20995,23804,21865,23445,23335,24283,24250,26501,24777,24009,21811,24062,23898,22985,22819,23669,25213,25467,25112,24835,25721,26151,27766,23910,25842,25714,24878,26759,26545,26066,27058,28604,29350,31624,31553,30590,19848,25750,28735,27252,24093,23714,22018,23373,24068,24532,23190,20379,24413
Ivory Coast,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Jamaica,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Japan,Crude Steel Production,93322,88557,96900,119322,117131,102313,107399,102405,102105,111748,111395,101676,99548,97179,105586,105279,98275,98513,105681,107908,110339,109649,98132,99623,98295,101640,98801,104545,93548,94192,106444,102866,107745,110511,112718,112471,116226,120203,118739,87534,109599,107601,107232,110595,110666,105134,104775,104661,104319,99284,83186,96336
Jordan,Crude Steel Production,,,,,,,,,,,,,,,,,,,,45,30,30,30,30,30,30,30,30,30,30,30,30,134,135,140,150,150,150,150,150,150,150,150,150,150,150,150,150,150,350,350,350
Kazakhstan,Crude Steel Production,5574.275725,5802.805348,6041.003348,6324.416638,6551.407018,6797.926555,6965.319334,7054.306874,7284.279539,7171,7116,7144,7078,7336,7419,7439,7722,7789,7843,7700.84,7428.58,6389.74,5675,4279,2969,3028,3216,3889,3121,4099,4769,4655,4814,4898,5385,4451,4269,4782,4250,4146,4220,4699,3676,3275,3681,3910,4289,4641,3964,4134,3892,4499
Kenya,Crude Steel Production,,,,,,,,,,,,,,,,,,,,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,400,385,485
Kuwait,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270,1300,1300
Kyrgyzstan,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Latvia,Crude Steel Production,241.6338023,251.5401085,261.8655196,274.1509239,283.9905069,294.6766401,301.9327852,305.7902187,315.7590778,311,308,310,307,318,322,322,335,338,340,333.82,322.01,276.98,246,300,332,279,293,465,471,482,498,515,520,520,662,688,690,696,635,692,655,568,805,198,,,,,,0,0,0
Lebanon,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Libya,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,492,718,789,920,874,909,863,897,874,966,1055,846,886,1007,1026,1255,1151,1250,1137,914,825,100,315,712,712,352,492,422,396,606,495,652
Lithuania,Crude Steel Production,2.946753687,3.067562299,3.193481946,3.34330395,3.463298864,3.593617562,3.682107137,3.729149008,3.850720461,4,4,4,4,4,4,4,4,4,4,4.07,3.93,3.38,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Macedonia,Crude Steel Production,237.82,261.84,276.25,285.64,302.72,311.26,293.65,339.65,368.9,377,388,425,410,441,452,478,482,466,479,474.79,385.12,232.27,171,137,67,33,2,,45,45,161,260,260,291,309,310,354,359,253,270,292,386,217,100,188,121,169,273,266,239,180,315
Madagascar,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Crude Steel Production,122,160,187,180,182,183,190,194,203,207,210,210,210,350,350,400,400,550,550,1000,1100,1130,1559,1807,2046,2450,3216,2962,1903,2770,3650,4100,4722,3960,5698,5296,5834,6895,6423,5354,5694,5941,5612,4693,4316,3784,2764,3215,4108,6948,6619,9090
Malta,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Mauritania,Crude Steel Production,,,,,,,,,,,,,,,,,,,,9,5,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,
Mauritius,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Crude Steel Production,3881,3821,4431,4760,5130,5272,5298,5601,6711,7117,7156,7663,7056,6978,7482,7261,7175,7571,7794,7852,8734,7964,8459,9199,10260,12147,13172,14218,14211,15274,15631,13300,14010,15159,16737,16195,16447,17573,17230,14132,16870,18110,18073,18242,18930,18218,18824,19955,20204,18387,16803,18454
Moldova,Crude Steel Production,608.0135108,632.9403543,658.9217749,689.8350483,714.593999,741.4830904,759.7414392,769.4477454,794.5319885,782,776,779,772,800,809,811,842,850,855,839.97,810.27,696.96,619,604,633,663,646,811,735,796,908,967,514,850,1012,1016,675,965,885,426,240,313,335,190,351,443,126,469,497,392,465,570
Mongolia,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,35,35,35,35,35,40,45,45,50,50,50,,,
Montenegro,Crude Steel Production,,,,,,,,,,,,,,,,,,,,195.1,158.2,95.4,70.3,19.1,14.6,19.2,72.6,108,103.2,,,,,,,,,174,170,130,130,140,120,70,140,150,120,120,120,24,19,3
Morocco,Crude Steel Production,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,205,314,512,478,499,485,654,539,558,501,516,520,550,600,500,320,500
Mozambique,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Crude Steel Production,,,,,,,,,,,,,,,,,,,,25,25,25,15,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,30,35,35,35,35,35,350,350,400
Netherlands,Crude Steel Production,5042,5083,5585,5623,5837,4817,5178,4923,5583,5805,5272,5472,4354,4477,5739,5517,5283,5082,5518,5681,5412,5171,5439,6000,6171,6409,6326,6641,6377,6075,5666,6037,6117,6571,6848,6919,6372,7368,6853,5194,6651,6937,6879,6713,6964,6995,6917,6781,6813,6657,6054,6620
New Zealand,Crude Steel Production,157,144,157,190,194,185,222,218,225,229,230,221,252,234,280,227,287,409,481,682,719,806,758,853,768,842,808,758,756,775,702,826,765,853,885,889,810,845,799,765,853,844,912,900,859,793,577,657,652,667,586,646
Nicaragua,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Nigeria,Crude Steel Production,,,,,,,,,,15,20,22,90,182,229,321,200,184,234,213,220,250,200,191,58,36,12,15,,,,,,,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,650,650,650
North Korea,Crude Steel Production,2180,2360,2500,2900,3200,2900,3000,4000,5080,5400,5800,5500,5800,6100,6500,6500,6600,6730,6830,6930,7000,5000,4000,3500,1600,600,600,600,300,300,300,300,300,300,300,300,300,300,300,1300,1300,1300,1280,1250,1250,1250,1250,1250,1250,1250,1250,1250
Norway,Crude Steel Production,870,883,916,963,913,891,886,704,797,891,862,848,768,876,916,944,836,851,910,678,383,438,446,505,456,505,511,585,650,610,679,640,698,703,725,705,684,708,560,595,530,610,700,605,600,590,620,603,575,621,624,622
Oman,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,300,500,1500,2000,2000,2000,2000,2000,2500,2800
Other Africa,Crude Steel Production,70,80,90,100,120,120,120,150,150,65,70,70,70,75,75,75,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Asia,Crude Steel Production,190,190,190,300,300,300,300,350,350,40,40,40,50,50,50,60,60,60,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other C.I.S.,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Middle East,Crude Steel Production,29,42,72,80,85,70,65,51,55,170,170,180,200,200,200,200,200,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other North America,Crude Steel Production,,,,,,,,,,98,100,105,40,72,102,99,127,130,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Oceania,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other South America,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Crude Steel Production,,,,,,,,,,,,10,20,120,300,750,900,1000,1200,950,780,870,853,992,1000,950,900,900,900,900,950,953,970,1000,1145,825,1040,1090,1000,1199,1401,1592,1631,1845,2423,2892,3553,4966,4719,3304,3803,5438
Panama,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Paraguay,Crude Steel Production,,,,,,,,,,,,,,,,,,10,62,55,48,61,86,77,87,95,96,66,56,56,77,71,80,91,107,101,115,95,83,54,59,30,44,45,47,48,35,24,25,26,23,26
Peru,Crude Steel Production,94,179,181,356,481,431,349,379,377,379,447,364,272,299,337,368,462,503,486,364,270,404,343,417,509,512,578,607,630,559,751,690,611,669,726,790,896,881,1110,718,880,877,981,1069,1078,1082,1168,1207,1217,1230,731,1234
Philippines,Crude Steel Production,112,136,173,216,237,316,357,364,276,397,330,350,350,200,250,250,250,300,300,550,600,605,497,623,473,923,920,980,880,530,426,500,550,500,400,470,558,718,711,824,1050,1200,1260,1308,1196,968,1075,1378,1475,1915,892,1555
Poland,Crude Steel Production,11750,12688,13424,14057,14556,15007,15640,17841,19250,19218,19485,15719,14794,16236,16533,16126,17144,17145,16873,15094,13633,10403,9867,9939,11113,11890,10432,11585,9915,8848,10498,8809,8368,9107,10593,8336,10008,10632,9728,7128,7993,8779,8366,7950,8558,9198,9001,10332,10167,8956,7856,8454
Portugal,Crude Steel Production,385,412,425,501,399,443,461,549,625,650,663,555,507,685,697,684,721,721,799,762,746,573,769,775,749,828,857,904,907,1044,1088,728,920,1000,1400,1400,1400,1400,1400,1614,1543,1942,1960,2050,2070,2030,2010,2076,2215,2033,2203,1953
Qatar,Crude Steel Production,,,,,,,,,127,396,461,469,495,469,478,533,507,492,527,563,564,564,575,620,572,606,616,608,637,629,729,891,1027,1055,1089,1057,1003,1147,1406,1448,1970,2038,2145,2236,3019,2593,2521,2644,2575,2558,1218,1002
Romania,Crude Steel Production,6517,6803,7401,8161,8840,9549,10970,11457,11779,12909,13175,13025,13055,12593,14437,13795,14276,14962,14500,14415,9761,7110,5376,5446,5800,6555,6082,6674,6393,4354,4672,4935,5491,5691,6042,6280,6266,6261,5035,2761,3721,3828,3292,2985,3158,3352,3276,3361,3550,3448,2790,3375
Russia,Crude Steel Production,65839.31763,68538.54444,71351.96712,74699.44015,77380.48652,80292.19719,82269.31976,83320.37629,86036.64726,84702,84045,84378,83603,86647,87624,87864,91207,92002,92633,90956.73,87741.06,75470.97,67029,58346,48812,51589,49253,48502,43822,51510,59136,58970,59777,61450,65583,66146,70830,72387,68510,60011,66942,68852,70209,69008,71461,70898,70453,71491,72042,71729,71621,77020
Saudi Arabia,Crude Steel Production,,,,,,,,,,,,,,275,842,1106,1100,1365,1614,1768,1790,1783,1823,2318,2411,2451,2683,2539,2356,2610,2981,3413,3570,3944,3902,4186,3974,4644,4667,4690,5015,5275,5203,5471,6291,5229,5461,4831,5240,8191,7775,8735
Senegal,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Serbia,Crude Steel Production,829.9576762,913.7729711,964.0621481,996.8432412,1056.445229,1086.246222,1024.781673,1185.334527,1287.40293,1317,1354,1481,1430,1540,1578,1669,1684,1627,1671,1656.9,1344,810.6,596.7,161.9,124.4,162.8,616.4,917,876.8,230,696,595,591,711,1175,1292,1823,1478,1662,1061,1254,1324,346,396,583,955,1173,1477,1973,1929,1456,1667
Singapore,Crude Steel Production,114,130,198,211,194,188,194,206,280,293,340,263,359,305,362,365,390,422,425,495,489,510,482,520,530,521,531,383,499,590,603,456,460,561,610,572,607,640,764,664,728,752,688,434,540,501,520,596,618,550,419,568
Slovak Republic,Crude Steel Production,3933.691808,4135.51624,4361.326597,4508.668712,4673.828943,4908.205702,5034.645796,5158.344641,5240.5821,5077,5114,5232,5137,5148,5082,5152,5178,5282,5270,5299.17629,5097.694515,4136.201552,3798,3922,3948,3975,3602,3835,3428,3569,3733,3989,4275,4588,4454,4485,5093,5089,4489,3747,4583,4236,4403,4511,4705,4562,4808,4974,5225,3931,3444,4863
