# File: steel_prod_process.csv
# Title: Crude steel production by country and process
# Units: Thousand tonnes
# Description: National steel production by process (Blast Furnace and Electric Arc Furnace)
# Source: World Steel Association Statistical Year books
# Column types: cinnc
# ----------
country_name,year,BLASTFUR,EAF,unit_prod
Kazakhstan,1973,3510,0,thousand tons
Kenya,1973,0,14.73,thousand tons
"Korea, Republic of",1973,18100,13560,thousand tons
Libyan Arab Jamahiriya,1973,0,776,thousand tons
Sri Lanka,1973,0,22.1,thousand tons
Luxembourg,1973,0,1892,thousand tons
Latvia,1973,365,1.471,thousand tons
Morocco,1973,3.68,0,thousand tons
"Moldova, Republic of",1973,0,668,thousand tons
Mexico,1973,3850,7640,thousand tons
"Macedonia, the former Yugoslav Republic of",1973,0.0735,118.4,thousand tons
Myanmar,1973,0,18.41,thousand tons
Malaysia,1973,0,2684,thousand tons
Netherlands,1973,4050,117,thousand tons
Norway,1973,0,500,thousand tons
New Zealand,1973,406,110,thousand tons
Pakistan,1973,625,73.6,thousand tons
Peru,1973,211,340.9,thousand tons
Philippines,1973,0,313.2,thousand tons
Poland,1973,5300,2420,thousand tons
"Korea, Democratic Peoples Republic of",1973,1100,0,thousand tons
Portugal,1973,302,498,thousand tons
Paraguay,1973,56.6,0,thousand tons
Qatar,1973,0,536,thousand tons
Romania,1973,2460,975,thousand tons
Russian Federation,1973,37200,6340,thousand tons
Saudi Arabia,1973,0,2196,thousand tons
Singapore,1973,0,443,thousand tons
El Salvador,1973,0.368,29.75,thousand tons
Slovakia,1973,2540,210.6,thousand tons
Slovenia,1973,0,382,thousand tons
Sweden,1973,2380,1465,thousand tons
Syrian Arab Republic,1973,0,51.5,thousand tons
Thailand,1973,0,1541,thousand tons
Trinidad and Tobago,1973,0,545,thousand tons
Tunisia,1973,125,43.4,thousand tons
Turkey,1973,3850,6690,thousand tons
Taiwan,1973,7330,5090,thousand tons
Ukraine,1973,22600,725,thousand tons
Uruguay,1973,0,27.91,thousand tons
United States of America,1973,39700,35200,thousand tons
Uzbekistan,1973,83.8,215.7,thousand tons
Venezuela,1973,0.294,2817,thousand tons
Viet Nam,1973,0,225,thousand tons
South Africa,1973,3440,2802,thousand tons
Angola,1973,0,1,thousand tons
Albania,1974,0,3.74,thousand tons
United Arab Emirates,1974,0,67.2,thousand tons
Argentina,1974,1660,1683,thousand tons
Australia,1974,4500,824,thousand tons
Austria,1974,3860,406,thousand tons
Belgium,1974,6660,2036,thousand tons
Bulgaria,1974,1060,450,thousand tons
Bosnia and Herzegovina,1974,40,17.52,thousand tons
Belarus,1974,0,1122,thousand tons
Brazil,1974,16500,4290,thousand tons
Canada,1974,7180,5210,thousand tons
Switzerland,1974,0,747,thousand tons
Chile,1974,848,161.8,thousand tons
China,1974,80900,15055,thousand tons
Colombia,1974,209,284.2,thousand tons
Cuba,1974,0,251.2,thousand tons
Czech Republic,1974,4250,391,thousand tons
Germany,1974,24700,9950,thousand tons
Denmark,1974,0,598,thousand tons
Dominican Republic,1974,0.0747,29.07,thousand tons
Algeria,1974,562,67.2,thousand tons
Ecuador,1974,0,43.3,thousand tons
Egypt,1974,880,1240,thousand tons
Spain,1974,3150,8710,thousand tons
Estonia,1974,0.747,0,thousand tons
Finland,1974,2340,721,thousand tons
France,1974,9350,6310,thousand tons
United Kingdom,1974,8630,2590,thousand tons
Ghana,1974,0,18.68,thousand tons
Greece,1974,0,813,thousand tons
Guatemala,1974,0.374,124.4,thousand tons
Croatia,1974,0,53.1,thousand tons
Hungary,1974,1220,174.1,thousand tons
Indonesia,1974,0,2131,thousand tons
India,1974,12900,7240,thousand tons
Ireland,1974,0,269,thousand tons
"Iran, Islamic Republic of",1974,1640,3289,thousand tons
Israel,1974,0,209.2,thousand tons
Italy,1974,7980,12020,thousand tons
Jordan,1974,0,22.38,thousand tons
Japan,1974,56600,22920,thousand tons
Kazakhstan,1974,3560,0,thousand tons
Kenya,1974,0,14.99,thousand tons
"Korea, Republic of",1974,18400,13780,thousand tons
Libyan Arab Jamahiriya,1974,0,788,thousand tons
Sri Lanka,1974,0,22.38,thousand tons
Luxembourg,1974,0,1925,thousand tons
Latvia,1974,371,1.494,thousand tons
Morocco,1974,3.74,0,thousand tons
"Moldova, Republic of",1974,0,678,thousand tons
Mexico,1974,3910,7760,thousand tons
"Macedonia, the former Yugoslav Republic of",1974,0.0747,120.2,thousand tons
Myanmar,1974,0,18.68,thousand tons
Malaysia,1974,0,2724,thousand tons
Netherlands,1974,4110,118.8,thousand tons
Norway,1974,0,507,thousand tons
New Zealand,1974,413,111.7,thousand tons
Pakistan,1974,635,74.7,thousand tons
Peru,1974,214,347.2,thousand tons
Philippines,1974,0,318.4,thousand tons
Poland,1974,5380,2460,thousand tons
"Korea, Democratic Peoples Republic of",1974,1120,0,thousand tons
Portugal,1974,306,507,thousand tons
Paraguay,1974,57.5,0,thousand tons
Qatar,1974,0,545,thousand tons
Romania,1974,2500,991,thousand tons
Russian Federation,1974,37700,6430,thousand tons
Saudi Arabia,1974,0,2224,thousand tons
Singapore,1974,0,450,thousand tons
El Salvador,1974,0.374,30.26,thousand tons
Slovakia,1974,2580,214,thousand tons
Slovenia,1974,0,388,thousand tons
Sweden,1974,2420,1488,thousand tons
Syrian Arab Republic,1974,0,52.3,thousand tons
Thailand,1974,0,1567,thousand tons
Trinidad and Tobago,1974,0,554,thousand tons
Tunisia,1974,127,44.1,thousand tons
Turkey,1974,3910,6790,thousand tons
Taiwan,1974,7450,5170,thousand tons
Ukraine,1974,23000,735,thousand tons
Uruguay,1974,0,28.41,thousand tons
United States of America,1974,40300,35740,thousand tons
Uzbekistan,1974,85.2,218.5,thousand tons
Venezuela,1974,0.299,2867,thousand tons
Viet Nam,1974,0,228.9,thousand tons
South Africa,1974,3490,2842,thousand tons
Angola,1974,0,1,thousand tons
Albania,1975,0,3.79,thousand tons
United Arab Emirates,1975,0,68.3,thousand tons
Argentina,1975,1690,1709,thousand tons
Australia,1975,4570,836,thousand tons
Austria,1975,3920,412,thousand tons
Belgium,1975,6760,2070,thousand tons
Bulgaria,1975,1080,457,thousand tons
Bosnia and Herzegovina,1975,40.6,17.8,thousand tons
Belarus,1975,0,1140,thousand tons
Brazil,1975,16800,4360,thousand tons
Canada,1975,7290,5290,thousand tons
Switzerland,1975,0,759,thousand tons
Chile,1975,861,164.4,thousand tons
China,1975,82200,15366,thousand tons
Colombia,1975,212,288.3,thousand tons
Cuba,1975,0,255.2,thousand tons
Czech Republic,1975,4320,397,thousand tons
Germany,1975,25100,10110,thousand tons
Denmark,1975,0,607,thousand tons
Dominican Republic,1975,0.0759,29.48,thousand tons
Algeria,1975,570,68.3,thousand tons
Ecuador,1975,0,44,thousand tons
Egypt,1975,894,1259,thousand tons
Spain,1975,3200,8840,thousand tons
Estonia,1975,0.759,0,thousand tons
Finland,1975,2380,732,thousand tons
France,1975,9490,6410,thousand tons
United Kingdom,1975,8760,2630,thousand tons
Ghana,1975,0,18.95,thousand tons
Greece,1975,0,825,thousand tons
Guatemala,1975,0.379,126.3,thousand tons
Croatia,1975,0,53.8,thousand tons
Hungary,1975,1240,176.8,thousand tons
Indonesia,1975,0,2159,thousand tons
India,1975,13100,7350,thousand tons
Ireland,1975,0,273,thousand tons
"Iran, Islamic Republic of",1975,1670,3341,thousand tons
Israel,1975,0,212,thousand tons
Italy,1975,8100,12200,thousand tons
Jordan,1975,0,22.76,thousand tons
Japan,1975,57500,23240,thousand tons
Kazakhstan,1975,3620,0,thousand tons
Kenya,1975,0,15.14,thousand tons
"Korea, Republic of",1975,18700,13980,thousand tons
Libyan Arab Jamahiriya,1975,0,800,thousand tons
Sri Lanka,1975,0,22.76,thousand tons
Luxembourg,1975,0,1948,thousand tons
Latvia,1975,376,1.518,thousand tons
Morocco,1975,3.79,0,thousand tons
"Moldova, Republic of",1975,0,688,thousand tons
Mexico,1975,3970,7880,thousand tons
"Macedonia, the former Yugoslav Republic of",1975,0.0759,122.1,thousand tons
Myanmar,1975,0,18.95,thousand tons
Malaysia,1975,0,2765,thousand tons
Netherlands,1975,4180,120.6,thousand tons
Norway,1975,0,515,thousand tons
New Zealand,1975,419,113.4,thousand tons
Pakistan,1975,645,75.9,thousand tons
Peru,1975,218,352.5,thousand tons
Philippines,1975,0,323.6,thousand tons
Poland,1975,5470,2500,thousand tons
"Korea, Democratic Peoples Republic of",1975,1140,0,thousand tons
Portugal,1975,311,514,thousand tons
Paraguay,1975,58.4,0,thousand tons
Qatar,1975,0,553,thousand tons
Romania,1975,2540,1005,thousand tons
Russian Federation,1975,38300,6530,thousand tons
Saudi Arabia,1975,0,2263,thousand tons
Singapore,1975,0,458,thousand tons
El Salvador,1975,0.379,30.67,thousand tons
Slovakia,1975,2610,216.5,thousand tons
Slovenia,1975,0,393,thousand tons
Sweden,1975,2450,1511,thousand tons
Syrian Arab Republic,1975,0,53.1,thousand tons
Thailand,1975,0,1592,thousand tons
Trinidad and Tobago,1975,0,562,thousand tons
Tunisia,1975,129,44.7,thousand tons
Turkey,1975,3970,6900,thousand tons
Taiwan,1975,7560,5250,thousand tons
Ukraine,1975,23400,747,thousand tons
Uruguay,1975,0,28.82,thousand tons
United States of America,1975,40900,36270,thousand tons
Uzbekistan,1975,86.5,222.3,thousand tons
Venezuela,1975,0.303,2908,thousand tons
Viet Nam,1975,0,231.7,thousand tons
South Africa,1975,3550,2883,thousand tons
Angola,1975,0,1,thousand tons
Albania,1976,0,3.88,thousand tons
United Arab Emirates,1976,0,69.9,thousand tons
Argentina,1976,1730,1749,thousand tons
Australia,1976,4680,855,thousand tons
Austria,1976,4010,421,thousand tons
Belgium,1976,6910,2110,thousand tons
Bulgaria,1976,1100,466,thousand tons
Bosnia and Herzegovina,1976,41.5,18.23,thousand tons
Belarus,1976,0,1165,thousand tons
Brazil,1976,17200,4460,thousand tons
Canada,1976,7450,5410,thousand tons
Switzerland,1976,0,775,thousand tons
Chile,1976,881,168.3,thousand tons
China,1976,84000,15684,thousand tons
Colombia,1976,217,294.8,thousand tons
Cuba,1976,0,260.6,thousand tons
Czech Republic,1976,4420,406,thousand tons
Germany,1976,25600,10340,thousand tons
Denmark,1976,0,621,thousand tons
Dominican Republic,1976,0.0776,30.14,thousand tons
Algeria,1976,583,69.9,thousand tons
Ecuador,1976,0,45,thousand tons
Egypt,1976,914,1288,thousand tons
Spain,1976,3270,9040,thousand tons
Estonia,1976,0.776,0,thousand tons
Finland,1976,2430,748,thousand tons
France,1976,9710,6550,thousand tons
United Kingdom,1976,8960,2690,thousand tons
Ghana,1976,0,19.35,thousand tons
Greece,1976,0,844,thousand tons
Guatemala,1976,0.388,129.2,thousand tons
Croatia,1976,0,55.1,thousand tons
Hungary,1976,1270,180.5,thousand tons
Indonesia,1976,0,2210,thousand tons
India,1976,13400,7510,thousand tons
Ireland,1976,0,279,thousand tons
"Iran, Islamic Republic of",1976,1710,3409,thousand tons
Israel,1976,0,217.1,thousand tons
Italy,1976,8280,12480,thousand tons
Jordan,1976,0,23.29,thousand tons
Japan,1976,58800,23820,thousand tons
Kazakhstan,1976,3700,0,thousand tons
Kenya,1976,0,15.52,thousand tons
"Korea, Republic of",1976,19100,14300,thousand tons
Libyan Arab Jamahiriya,1976,0,818,thousand tons
Sri Lanka,1976,0,23.29,thousand tons
Luxembourg,1976,0,1998,thousand tons
Latvia,1976,385,1.552,thousand tons
Morocco,1976,3.88,0,thousand tons
"Moldova, Republic of",1976,0,704,thousand tons
Mexico,1976,4060,8070,thousand tons
"Macedonia, the former Yugoslav Republic of",1976,0.0776,124.8,thousand tons
Myanmar,1976,0,19.35,thousand tons
Malaysia,1976,0,2830,thousand tons
Netherlands,1976,4270,123.4,thousand tons
Norway,1976,0,527,thousand tons
New Zealand,1976,429,116.1,thousand tons
Pakistan,1976,659,77.6,thousand tons
Peru,1976,222,360.4,thousand tons
Philippines,1976,0,330.3,thousand tons
Poland,1976,5590,2550,thousand tons
"Korea, Democratic Peoples Republic of",1976,1160,0,thousand tons
Portugal,1976,318,526,thousand tons
Paraguay,1976,59.7,0,thousand tons
Qatar,1976,0,566,thousand tons
Romania,1976,2600,1029,thousand tons
Russian Federation,1976,39200,6680,thousand tons
Saudi Arabia,1976,0,2315,thousand tons
Singapore,1976,0,468,thousand tons
El Salvador,1976,0.388,31.44,thousand tons
Slovakia,1976,2670,221.6,thousand tons
Slovenia,1976,0,402,thousand tons
Sweden,1976,2510,1545,thousand tons
Syrian Arab Republic,1976,0,54.3,thousand tons
Thailand,1976,0,1631,thousand tons
Trinidad and Tobago,1976,0,575,thousand tons
Tunisia,1976,132,45.8,thousand tons
Turkey,1976,4060,7060,thousand tons
Taiwan,1976,7740,5370,thousand tons
Ukraine,1976,23900,765,thousand tons
Uruguay,1976,0,29.48,thousand tons
United States of America,1976,41900,37080,thousand tons
Uzbekistan,1976,88.4,227.6,thousand tons
Venezuela,1976,0.31,2974,thousand tons
Viet Nam,1976,0,237,thousand tons
South Africa,1976,3630,2949,thousand tons
Angola,1976,0,1,thousand tons
Albania,1977,0,3.97,thousand tons
United Arab Emirates,1977,0,71.3,thousand tons
Argentina,1977,1760,1788,thousand tons
Australia,1977,4780,874,thousand tons
Austria,1977,4090,431,thousand tons
Belgium,1977,7070,2161,thousand tons
Bulgaria,1977,1130,477,thousand tons
Bosnia and Herzegovina,1977,42.4,18.66,thousand tons
Belarus,1977,0,1191,thousand tons
Brazil,1977,17500,4550,thousand tons
Canada,1977,7620,5530,thousand tons
Switzerland,1977,0,793,thousand tons
Chile,1977,900,171.2,thousand tons
China,1977,85900,16001,thousand tons
Colombia,1977,222,301.4,thousand tons
Cuba,1977,0,265.9,thousand tons
Czech Republic,1977,4510,414,thousand tons
Germany,1977,26200,10570,thousand tons
Denmark,1977,0,635,thousand tons
Dominican Republic,1977,0.0793,30.8,thousand tons
Algeria,1977,596,71.3,thousand tons
Ecuador,1977,0,46,thousand tons
Egypt,1977,934,1316,thousand tons
Spain,1977,3340,9250,thousand tons
Estonia,1977,0.793,0,thousand tons
Finland,1977,2480,766,thousand tons
France,1977,9920,6700,thousand tons
United Kingdom,1977,9160,2750,thousand tons
Ghana,1977,0,19.86,thousand tons
Greece,1977,0,863,thousand tons
Guatemala,1977,0.396,131.7,thousand tons
Croatia,1977,0,56.3,thousand tons
Hungary,1977,1300,184.3,thousand tons
Indonesia,1977,0,2262,thousand tons
India,1977,13700,7680,thousand tons
Ireland,1977,0,286,thousand tons
"Iran, Islamic Republic of",1977,1750,3487,thousand tons
Israel,1977,0,222.3,thousand tons
Italy,1977,8470,12750,thousand tons
Jordan,1977,0,23.81,thousand tons
Japan,1977,60100,24310,thousand tons
Kazakhstan,1977,3780,0,thousand tons
Kenya,1977,0,15.91,thousand tons
"Korea, Republic of",1977,19600,14620,thousand tons
Libyan Arab Jamahiriya,1977,0,837,thousand tons
Sri Lanka,1977,0,23.81,thousand tons
Luxembourg,1977,0,2037,thousand tons
Latvia,1977,393,1.586,thousand tons
Morocco,1977,3.96,0,thousand tons
"Moldova, Republic of",1977,0,720,thousand tons
Mexico,1977,4150,8240,thousand tons
"Macedonia, the former Yugoslav Republic of",1977,0.0793,127.6,thousand tons
Myanmar,1977,0,19.86,thousand tons
Malaysia,1977,0,2895,thousand tons
Netherlands,1977,4370,126.1,thousand tons
Norway,1977,0,539,thousand tons
New Zealand,1977,438,118.7,thousand tons
Pakistan,1977,674,79.3,thousand tons
Peru,1977,227,368.3,thousand tons
Philippines,1977,0,338.1,thousand tons
Poland,1977,5720,2610,thousand tons
"Korea, Democratic Peoples Republic of",1977,1190,0,thousand tons
Portugal,1977,325,538,thousand tons
Paraguay,1977,61.1,0,thousand tons
Qatar,1977,0,578,thousand tons
Romania,1977,2650,1052,thousand tons
Russian Federation,1977,40100,6820,thousand tons
Saudi Arabia,1977,0,2367,thousand tons
Singapore,1977,0,478,thousand tons
El Salvador,1977,0.396,32.11,thousand tons
Slovakia,1977,2730,226.8,thousand tons
Slovenia,1977,0,411,thousand tons
Sweden,1977,2570,1580,thousand tons
Syrian Arab Republic,1977,0,55.5,thousand tons
Thailand,1977,0,1670,thousand tons
Trinidad and Tobago,1977,0,588,thousand tons
Tunisia,1977,135,46.8,thousand tons
Turkey,1977,4150,7210,thousand tons
Taiwan,1977,7910,5490,thousand tons
Ukraine,1977,24400,781,thousand tons
Uruguay,1977,0,30.13,thousand tons
United States of America,1977,42800,37990,thousand tons
Uzbekistan,1977,90.4,232.8,thousand tons
Venezuela,1977,0.317,3040,thousand tons
Viet Nam,1977,0,242.2,thousand tons
South Africa,1977,3710,3014,thousand tons
Angola,1977,0,1,thousand tons
Albania,1978,0,4.05,thousand tons
United Arab Emirates,1978,0,72.9,thousand tons
Argentina,1978,1800,1817,thousand tons
Australia,1978,4880,893,thousand tons
Austria,1978,4180,440,thousand tons
Belgium,1978,7220,2212,thousand tons
Bulgaria,1978,1150,488,thousand tons
Bosnia and Herzegovina,1978,43.3,18.99,thousand tons
Belarus,1978,0,1216,thousand tons
Brazil,1978,17900,4660,thousand tons
Canada,1978,7780,5650,thousand tons
Switzerland,1978,0,810,thousand tons
Chile,1978,920,175.1,thousand tons
China,1978,87700,16318,thousand tons
Colombia,1978,227,308,thousand tons
Cuba,1978,0,272.3,thousand tons
Czech Republic,1978,4610,423,thousand tons
Germany,1978,26800,10800,thousand tons
Denmark,1978,0,649,thousand tons
Dominican Republic,1978,0.081,31.56,thousand tons
Algeria,1978,609,72.9,thousand tons
Ecuador,1978,0,47,thousand tons
Egypt,1978,954,1343,thousand tons
Spain,1978,3420,9450,thousand tons
Estonia,1978,0.81,0,thousand tons
Finland,1978,2540,782,thousand tons
France,1978,10100,6840,thousand tons
United Kingdom,1978,9360,2810,thousand tons
Ghana,1978,0,20.26,thousand tons
Greece,1978,0,882,thousand tons
Guatemala,1978,0.405,135.4,thousand tons
Croatia,1978,0,57.5,thousand tons
Hungary,1978,1330,189.1,thousand tons
Indonesia,1978,0,2304,thousand tons
India,1978,14000,7850,thousand tons
Ireland,1978,0,291,thousand tons
"Iran, Islamic Republic of",1978,1780,3565,thousand tons
Israel,1978,0,226.4,thousand tons
Italy,1978,8650,13030,thousand tons
Jordan,1978,0,24.33,thousand tons
Japan,1978,61400,24790,thousand tons
Kazakhstan,1978,3860,0,thousand tons
Kenya,1978,0,16.19,thousand tons
"Korea, Republic of",1978,20000,14940,thousand tons
Libyan Arab Jamahiriya,1978,0,855,thousand tons
Sri Lanka,1978,0,24.33,thousand tons
Luxembourg,1978,0,2086,thousand tons
Latvia,1978,402,1.62,thousand tons
Morocco,1978,4.05,0,thousand tons
"Moldova, Republic of",1978,0,735,thousand tons
Mexico,1978,4240,8420,thousand tons
