# File: A54.globaltranTech_retire_revised.csv
# Title: Transportation technology retirement parameters. Only applies to vintaged technologies
# Units: Years for lifetime and half.life; Unitless for steepness
# Source: Documented in JIRA issue https://jira.pnnl.gov/jira/browse/JGCRI-358?src=confmacro.
# Comments: maximum lifetime of cohort. If no retirement function is used; the entire cohort is retired in this number of years.
# half.life: number of years at which 50% of the cohort is retired; using the s-curve-shutdown-decider retirement function.
# steepness: shape parameter used by the s-curve-shutdown-decider retirement function.
# Column types: cccciinnn
# ----------
supplysector,tranSubsector,tranTechnology,year,lifetime,half.life,steepness,median.shutdown.point,profit.shutdown.steepness
trn_pass_road_LDV_4W,Large Car and Truck,Liquids,initial-future-year,25,12,0.193,-0.1,6
trn_pass_road_LDV_4W,Large Car and Truck,NG,initial-future-year,25,12,0.193,-0.1,6
trn_pass_road_LDV_4W,Mini Car,BEV,initial-future-year,25,12,0.193,-0.1,6
trn_pass_road_LDV_4W,Mini Car,FCEV,initial-future-year,25,12,0.193,-0.1,6
trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,initial-future-year,25,12,0.193,-0.1,6
trn_pass_road_LDV_4W,Mini Car,Liquids,initial-future-year,25,12,0.193,-0.1,6
trn_pass_road_LDV_4W,Mini Car,NG,initial-future-year,25,12,0.193,-0.1,6
trn_freight_road,Medium truck,BEV,final-calibration-year,20,10,0.193,-0.1,6
trn_freight_road,Heavy truck,BEV,final-calibration-year,20,10,0.193,-0.1,6
trn_freight_road,Light truck,BEV,final-calibration-year,20,10,0.193,-0.1,6
trn_freight_road,Light truck,BEV,final-calibration-year,20,10,0.193,-0.1,6
trn_freight_road,Medium truck,BEV,initial-future-year,20,10,0.193,-0.1,6
trn_freight_road,Heavy truck,BEV,initial-future-year,20,10,0.193,-0.1,6
trn_freight_road,Light truck,BEV,initial-future-year,20,10,0.193,-0.1,6
trn_freight_road,Light truck,BEV,initial-future-year,20,10,0.193,-0.1,6
trn_pass_road,Bus,Liquids,final-calibration-year,15,8,0.124,-0.1,6
trn_pass_road,Bus,NG,final-calibration-year,15,8,0.124,-0.1,6
trn_pass_road,Bus,BEV,final-calibration-year,15,8,0.124,-0.1,6
trn_pass_road,Bus,Liquids,initial-future-year,15,8,0.122,-0.1,6
trn_pass_road,Bus,NG,initial-future-year,15,8,0.122,-0.1,6
trn_pass_road,Bus,BEV,initial-future-year,15,8,0.122,-0.1,6
trn_freight_road,Light truck,FCEV,initial-future-year,20,10,0.193,-0.1,6
trn_freight_road,Light truck,Hybrid Liquids,initial-future-year,20,10,0.193,-0.1,6
trn_freight_road,Medium truck,FCEV,initial-future-year,20,10,0.193,-0.1,6
trn_freight_road,Medium truck,Hybrid Liquids,initial-future-year,20,10,0.193,-0.1,6
trn_freight_road,Heavy truck,FCEV,initial-future-year,20,10,0.193,-0.1,6
trn_freight_road,Heavy truck,Hybrid Liquids,initial-future-year,20,10,0.193,-0.1,6
trn_pass_road,Bus,FCEV,initial-future-year,15,8,0.124,-0.1,6
trn_pass_road,Bus,Hybrid Liquids,initial-future-year,15,8,0.124,-0.1,6
trn_freight_road,Light truck,FCEV,final-calibration-year,20,10,0.193,-0.1,6
trn_freight_road,Light truck,Hybrid Liquids,final-calibration-year,20,10,0.193,-0.1,6
trn_freight_road,Medium truck,FCEV,final-calibration-year,20,10,0.193,-0.1,6
trn_freight_road,Medium truck,Hybrid Liquids,final-calibration-year,20,10,0.193,-0.1,6
trn_freight_road,Heavy truck,FCEV,final-calibration-year,20,10,0.193,-0.1,6
trn_freight_road,Heavy truck,Hybrid Liquids,final-calibration-year,20,10,0.193,-0.1,6
trn_pass_road,Bus,FCEV,final-calibration-year,15,8,0.124,-0.1,6
trn_pass_road,Bus,Hybrid Liquids,final-calibration-year,15,8,0.124,-0.1,6
