# File: A44.dens_region_flsp.csv
# Title: Population density per GCAM region and period
# Units: pop/km2
# Source: World Bank Statistics
# Column types: cin
# ----------
region,year,tot_dens
Mexico,2070,79
Middle East,2070,81
Pakistan,2070,388
Russia,2070,8
South Africa,2070,55
South America_Northern,2070,32
South America_Southern,2070,26
South Asia,2070,341
South Korea,2070,405
Southeast Asia,2070,156
Taiwan,2070,673
USA,2070,48
Africa_Eastern,2075,110
Africa_Northern,2075,43
Africa_Southern,2075,66
Africa_Western,2075,104
Argentina,2075,18
Australia_NZ,2075,6
Brazil,2075,26
Canada,2075,6
Central America and Caribbean,2075,151
Central Asia,2075,17
China,2075,113
Colombia,2075,55
EU-12,2075,77
EU-15,2075,85
Europe_Eastern,2075,56
Europe_Non_EU,2075,114
European Free Trade Association,2075,40
India,2075,566
Indonesia,2075,146
Japan,2075,245
Mexico,2075,78
Middle East,2075,82
Pakistan,2075,392
Russia,2075,8
South Africa,2075,55
South America_Northern,2075,32
South America_Southern,2075,26
South Asia,2075,342
South Korea,2075,387
Southeast Asia,2075,154
Taiwan,2075,673
USA,2075,49
Africa_Eastern,2080,112
Africa_Northern,2080,43
Africa_Southern,2080,67
Africa_Western,2080,107
Argentina,2080,18
Australia_NZ,2080,6
Brazil,2080,25
Canada,2080,6
Central America and Caribbean,2080,150
Central Asia,2080,17
China,2080,107
Colombia,2080,55
EU-12,2080,75
EU-15,2080,85
Europe_Eastern,2080,55
Europe_Non_EU,2080,113
European Free Trade Association,2080,41
India,2080,559
Indonesia,2080,142
Japan,2080,236
Mexico,2080,78
Middle East,2080,82
Pakistan,2080,395
Russia,2080,8
South Africa,2080,54
South America_Northern,2080,32
South America_Southern,2080,25
South Asia,2080,341
South Korea,2080,370
Southeast Asia,2080,152
Taiwan,2080,673
USA,2080,49
Africa_Eastern,2085,114
Africa_Northern,2085,43
Africa_Southern,2085,69
Africa_Western,2085,110
Argentina,2085,18
Australia_NZ,2085,6
Brazil,2085,25
Canada,2085,6
Central America and Caribbean,2085,149
Central Asia,2085,16
China,2085,101
Colombia,2085,54
EU-12,2085,73
EU-15,2085,85
Europe_Eastern,2085,54
Europe_Non_EU,2085,111
European Free Trade Association,2085,41
India,2085,550
Indonesia,2085,138
Japan,2085,226
Mexico,2085,77
Middle East,2085,83
Pakistan,2085,397
Russia,2085,8
South Africa,2085,54
South America_Northern,2085,31
South America_Southern,2085,25
South Asia,2085,340
South Korea,2085,354
Southeast Asia,2085,149
Taiwan,2085,673
USA,2085,50
Africa_Eastern,2090,116
Africa_Northern,2090,42
Africa_Southern,2090,70
Africa_Western,2090,112
Argentina,2090,18
Australia_NZ,2090,6
Brazil,2090,24
Canada,2090,6
Central America and Caribbean,2090,147
Central Asia,2090,16
China,2090,96
Colombia,2090,54
EU-12,2090,71
EU-15,2090,84
Europe_Eastern,2090,52
Europe_Non_EU,2090,109
European Free Trade Association,2090,41
India,2090,539
Indonesia,2090,134
Japan,2090,217
Mexico,2090,77
Middle East,2090,83
Pakistan,2090,397
Russia,2090,8
South Africa,2090,53
South America_Northern,2090,31
South America_Southern,2090,25
South Asia,2090,338
South Korea,2090,338
Southeast Asia,2090,146
Taiwan,2090,673
USA,2090,50
Africa_Eastern,2095,117
Africa_Northern,2095,42
Africa_Southern,2095,71
Africa_Western,2095,114
Argentina,2095,18
Australia_NZ,2095,6
Brazil,2095,23
Canada,2095,6
Central America and Caribbean,2095,145
Central Asia,2095,16
China,2095,91
Colombia,2095,53
EU-12,2095,69
EU-15,2095,83
Europe_Eastern,2095,51
Europe_Non_EU,2095,107
European Free Trade Association,2095,41
India,2095,526
Indonesia,2095,130
Japan,2095,208
Mexico,2095,76
Middle East,2095,82
Pakistan,2095,397
Russia,2095,8
South Africa,2095,52
South America_Northern,2095,30
South America_Southern,2095,24
South Asia,2095,335
South Korea,2095,323
Southeast Asia,2095,143
Taiwan,2095,673
USA,2095,50
Africa_Eastern,2100,117
Africa_Northern,2100,41
Africa_Southern,2100,72
Africa_Western,2100,116
Argentina,2100,17
Australia_NZ,2100,6
Brazil,2100,22
Canada,2100,6
Central America and Caribbean,2100,143
Central Asia,2100,15
China,2100,86
Colombia,2100,52
EU-12,2100,67
EU-15,2100,83
Europe_Eastern,2100,50
Europe_Non_EU,2100,105
European Free Trade Association,2100,40
India,2100,512
Indonesia,2100,125
Japan,2100,199
Mexico,2100,75
Middle East,2100,82
Pakistan,2100,395
Russia,2100,8
South Africa,2100,51
South America_Northern,2100,30
South America_Southern,2100,24
South Asia,2100,331
South Korea,2100,309
Southeast Asia,2100,140
Taiwan,2100,673
USA,2100,50
Africa_Eastern,1976,16
Africa_Northern,1976,15
Africa_Southern,1976,10
Africa_Western,1976,15
Argentina,1976,10
Australia_NZ,1976,2
Brazil,1976,13
Canada,1976,3
Central America and Caribbean,1976,66
Central Asia,1976,9
China,1976,102
Colombia,1976,22
EU-12,1976,93
EU-15,1976,67
Europe_Eastern,1976,75
Europe_Non_EU,1976,60
European Free Trade Association,1976,23
India,1976,204
Indonesia,1976,72
Japan,1976,296
Mexico,1976,32
Middle East,1976,16
Pakistan,1976,80
Russia,1976,8
South Africa,1976,21
South America_Northern,1976,11
South America_Southern,1976,11
South Asia,1976,110
South Korea,1976,355
Southeast Asia,1976,68
Taiwan,1976,478
USA,1976,25
Africa_Eastern,1977,17
Africa_Northern,1977,15
Africa_Southern,1977,10
Africa_Western,1977,15
Argentina,1977,10
Australia_NZ,1977,2
Brazil,1977,13
Canada,1977,3
Central America and Caribbean,1977,67
Central Asia,1977,10
China,1977,104
Colombia,1977,22
EU-12,1977,94
EU-15,1977,67
Europe_Eastern,1977,76
Europe_Non_EU,1977,61
European Free Trade Association,1977,23
India,1977,210
Indonesia,1977,74
Japan,1977,298
Mexico,1977,32
Middle East,1977,17
Pakistan,1977,83
Russia,1977,8
South Africa,1977,22
South America_Northern,1977,11
South America_Southern,1977,12
South Asia,1977,113
South Korea,1977,360
Southeast Asia,1977,70
Taiwan,1977,486
USA,1977,25
Africa_Eastern,1978,18
Africa_Northern,1978,15
Africa_Southern,1978,11
Africa_Western,1978,15
Argentina,1978,10
Australia_NZ,1978,2
Brazil,1978,14
Canada,1978,3
Central America and Caribbean,1978,69
Central Asia,1978,10
China,1978,106
Colombia,1978,23
EU-12,1978,94
EU-15,1978,68
Europe_Eastern,1978,76
Europe_Non_EU,1978,63
European Free Trade Association,1978,23
India,1978,215
Indonesia,1978,76
Japan,1978,301
Mexico,1978,33
Middle East,1978,17
Pakistan,1978,86
Russia,1978,8
South Africa,1978,23
South America_Northern,1978,12
South America_Southern,1978,12
South Asia,1978,116
South Korea,1978,365
Southeast Asia,1978,71
Taiwan,1978,493
USA,1978,25
Africa_Eastern,1979,18
Africa_Northern,1979,16
Africa_Southern,1979,11
Africa_Western,1979,16
Argentina,1979,10
Australia_NZ,1979,2
Brazil,1979,14
Canada,1979,3
Central America and Caribbean,1979,70
Central Asia,1979,10
China,1979,107
Colombia,1979,23
EU-12,1979,95
EU-15,1979,68
Europe_Eastern,1979,76
Europe_Non_EU,1979,64
European Free Trade Association,1979,23
India,1979,220
Indonesia,1979,77
Japan,1979,303
Mexico,1979,34
Middle East,1979,18
Pakistan,1979,90
Russia,1979,8
South Africa,1979,23
South America_Northern,1979,12
South America_Southern,1979,12
South Asia,1979,118
South Korea,1979,370
Southeast Asia,1979,73
Taiwan,1979,501
USA,1979,25
Africa_Eastern,1980,19
Africa_Northern,1980,16
Africa_Southern,1980,11
Africa_Western,1980,16
Argentina,1980,10
Australia_NZ,1980,2
Brazil,1980,14
Canada,1980,3
Central America and Caribbean,1980,72
Central Asia,1980,10
China,1980,109
Colombia,1980,24
EU-12,1980,95
EU-15,1980,68
Europe_Eastern,1980,77
Europe_Non_EU,1980,65
European Free Trade Association,1980,23
India,1980,226
Indonesia,1980,79
Japan,1980,305
Mexico,1980,35
Middle East,1980,19
Pakistan,1980,93
Russia,1980,8
South Africa,1980,24
South America_Northern,1980,12
South America_Southern,1980,13
South Asia,1980,121
South Korea,1980,375
Southeast Asia,1980,75
Taiwan,1980,509
USA,1980,26
Africa_Eastern,1981,19
Africa_Northern,1981,17
Africa_Southern,1981,12
Africa_Western,1981,17
Argentina,1981,10
Australia_NZ,1981,2
Brazil,1981,15
Canada,1981,3
Central America and Caribbean,1981,73
Central Asia,1981,10
China,1981,111
Colombia,1981,24
EU-12,1981,96
EU-15,1981,68
Europe_Eastern,1981,77
Europe_Non_EU,1981,66
European Free Trade Association,1981,23
India,1981,231
Indonesia,1981,81
Japan,1981,307
Mexico,1981,36
Middle East,1981,19
Pakistan,1981,96
Russia,1981,9
South Africa,1981,24
South America_Northern,1981,13
South America_Southern,1981,13
South Asia,1981,124
South Korea,1981,380
Southeast Asia,1981,76
Taiwan,1981,516
USA,1981,26
Africa_Eastern,1982,20
Africa_Northern,1982,17
Africa_Southern,1982,12
Africa_Western,1982,17
Argentina,1982,11
Australia_NZ,1982,2
Brazil,1982,15
Canada,1982,3
Central America and Caribbean,1982,75
Central Asia,1982,11
China,1982,113
Colombia,1982,25
EU-12,1982,96
EU-15,1982,68
Europe_Eastern,1982,77
Europe_Non_EU,1982,67
European Free Trade Association,1982,23
India,1982,236
Indonesia,1982,83
Japan,1982,309
Mexico,1982,37
Middle East,1982,20
Pakistan,1982,99
Russia,1982,9
South Africa,1982,25
South America_Northern,1982,13
South America_Southern,1982,13
South Asia,1982,127
South Korea,1982,385
Southeast Asia,1982,78
Taiwan,1982,524
USA,1982,26
Africa_Eastern,1983,21
Africa_Northern,1983,18
Africa_Southern,1983,12
Africa_Western,1983,18
Argentina,1983,11
Australia_NZ,1983,2
Brazil,1983,15
Canada,1983,3
Central America and Caribbean,1983,76
Central Asia,1983,11
China,1983,115
Colombia,1983,25
EU-12,1983,97
EU-15,1983,69
Europe_Eastern,1983,78
Europe_Non_EU,1983,68
European Free Trade Association,1983,23
India,1983,241
Indonesia,1983,85
Japan,1983,311
Mexico,1983,37
Middle East,1983,21
Pakistan,1983,102
Russia,1983,9
South Africa,1983,26
South America_Northern,1983,13
South America_Southern,1983,13
South Asia,1983,129
South Korea,1983,390
Southeast Asia,1983,80
Taiwan,1983,532
USA,1983,26
Africa_Eastern,1984,21
Africa_Northern,1984,18
Africa_Southern,1984,13
Africa_Western,1984,18
Argentina,1984,11
Australia_NZ,1984,2
Brazil,1984,16
Canada,1984,3
Central America and Caribbean,1984,77
Central Asia,1984,11
China,1984,116
Colombia,1984,26
EU-12,1984,97
EU-15,1984,69
Europe_Eastern,1984,78
Europe_Non_EU,1984,69
European Free Trade Association,1984,23
India,1984,247
Indonesia,1984,86
Japan,1984,313
Mexico,1984,38
Middle East,1984,22
Pakistan,1984,105
Russia,1984,9
South Africa,1984,26
South America_Northern,1984,14
South America_Southern,1984,14
South Asia,1984,132
South Korea,1984,395
Southeast Asia,1984,82
Taiwan,1984,539
USA,1984,27
Africa_Eastern,1985,22
Africa_Northern,1985,19
Africa_Southern,1985,13
Africa_Western,1985,19
Argentina,1985,11
Australia_NZ,1985,2
Brazil,1985,16
Canada,1985,3
Central America and Caribbean,1985,79
Central Asia,1985,11
China,1985,118
Colombia,1985,26
EU-12,1985,98
EU-15,1985,69
Europe_Eastern,1985,78
Europe_Non_EU,1985,71
European Free Trade Association,1985,24
India,1985,252
Indonesia,1985,88
Japan,1985,315
Mexico,1985,39
Middle East,1985,22
Pakistan,1985,108
Russia,1985,9
South Africa,1985,27
South America_Northern,1985,14
South America_Southern,1985,14
South Asia,1985,135
South Korea,1985,400
Southeast Asia,1985,83
Taiwan,1985,547
USA,1985,27
Africa_Eastern,1986,23
Africa_Northern,1986,19
Africa_Southern,1986,13
Africa_Western,1986,19
Argentina,1986,11
Australia_NZ,1986,2
Brazil,1986,16
Canada,1986,3
Central America and Caribbean,1986,80
Central Asia,1986,11
China,1986,120
Colombia,1986,27
EU-12,1986,98
EU-15,1986,69
Europe_Eastern,1986,79
Europe_Non_EU,1986,72
European Free Trade Association,1986,24
India,1986,257
Indonesia,1986,90
Japan,1986,317
Mexico,1986,40
Middle East,1986,23
Pakistan,1986,111
Russia,1986,9
South Africa,1986,28
South America_Northern,1986,14
South America_Southern,1986,14
South Asia,1986,138
South Korea,1986,405
Southeast Asia,1986,85
Taiwan,1986,555
USA,1986,27
Africa_Eastern,1987,23
Africa_Northern,1987,19
Africa_Southern,1987,14
Africa_Western,1987,20
Argentina,1987,11
Australia_NZ,1987,2
Brazil,1987,17
Canada,1987,3
Central America and Caribbean,1987,82
Central Asia,1987,12
China,1987,122
Colombia,1987,28
EU-12,1987,99
EU-15,1987,69
Europe_Eastern,1987,79
Europe_Non_EU,1987,73
European Free Trade Association,1987,24
India,1987,263
Indonesia,1987,92
Japan,1987,320
Mexico,1987,41
Middle East,1987,24
Pakistan,1987,115
Russia,1987,9
South Africa,1987,28
South America_Northern,1987,15
South America_Southern,1987,14
South Asia,1987,140
South Korea,1987,410
Southeast Asia,1987,87
Taiwan,1987,562
USA,1987,27
Africa_Eastern,1988,24
Africa_Northern,1988,20
Africa_Southern,1988,14
Africa_Western,1988,20
Argentina,1988,11
Australia_NZ,1988,3
Brazil,1988,17
Canada,1988,3
Central America and Caribbean,1988,83
Central Asia,1988,12
China,1988,124
Colombia,1988,28
EU-12,1988,99
EU-15,1988,70
Europe_Eastern,1988,79
Europe_Non_EU,1988,74
European Free Trade Association,1988,24
India,1988,268
Indonesia,1988,94
Japan,1988,322
Mexico,1988,42
Middle East,1988,25
Pakistan,1988,118
Russia,1988,9
South Africa,1988,29
South America_Northern,1988,15
South America_Southern,1988,15
South Asia,1988,143
South Korea,1988,415
Southeast Asia,1988,88
Taiwan,1988,570
USA,1988,28
Africa_Eastern,1989,24
Africa_Northern,1989,20
Africa_Southern,1989,15
Africa_Western,1989,21
Argentina,1989,12
Australia_NZ,1989,3
Brazil,1989,17
Canada,1989,3
Central America and Caribbean,1989,85
Central Asia,1989,12
China,1989,125
Colombia,1989,29
EU-12,1989,100
EU-15,1989,70
Europe_Eastern,1989,80
Europe_Non_EU,1989,75
European Free Trade Association,1989,24
India,1989,273
Indonesia,1989,95
Japan,1989,324
Mexico,1989,43
Middle East,1989,25
Pakistan,1989,121
Russia,1989,9
South Africa,1989,30
South America_Northern,1989,15
South America_Southern,1989,15
South Asia,1989,146
South Korea,1989,420
Southeast Asia,1989,90
Taiwan,1989,577
USA,1989,28
Africa_Eastern,1991,26
Africa_Northern,1991,21
Africa_Southern,1991,15
Africa_Western,1991,22
Argentina,1991,12
Australia_NZ,1991,3
Brazil,1991,18
Canada,1991,3
Central America and Caribbean,1991,87
Central Asia,1991,12
China,1991,128
Colombia,1991,30
EU-12,1991,100
EU-15,1991,70
Europe_Eastern,1991,80
Europe_Non_EU,1991,77
European Free Trade Association,1991,24
India,1991,285
Indonesia,1991,99
Japan,1991,327
Mexico,1991,44
Middle East,1991,27
Pakistan,1991,128
Russia,1991,9
South Africa,1991,31
South America_Northern,1991,16
South America_Southern,1991,16
South Asia,1991,152
South Korea,1991,429
Southeast Asia,1991,93
Taiwan,1991,589
USA,1991,28
Africa_Eastern,1992,27
Africa_Northern,1992,22
Africa_Southern,1992,16
Africa_Western,1992,23
Argentina,1992,12
Australia_NZ,1992,3
Brazil,1992,18
Canada,1992,3
Central America and Caribbean,1992,89
Central Asia,1992,12
China,1992,130
Colombia,1992,30
EU-12,1992,100
EU-15,1992,70
Europe_Eastern,1992,79
Europe_Non_EU,1992,78
European Free Trade Association,1992,24
India,1992,290
Indonesia,1992,100
Japan,1992,327
Mexico,1992,45
Middle East,1992,27
Pakistan,1992,132
Russia,1992,9
South Africa,1992,31
South America_Northern,1992,16
South America_Southern,1992,16
South Asia,1992,156
South Korea,1992,433
Southeast Asia,1992,95
Taiwan,1992,594
USA,1992,29
Africa_Eastern,1993,28
Africa_Northern,1993,22
Africa_Southern,1993,16
Africa_Western,1993,23
Argentina,1993,12
Australia_NZ,1993,3
Brazil,1993,19
Canada,1993,3
Central America and Caribbean,1993,91
Central Asia,1993,13
China,1993,131
Colombia,1993,31
EU-12,1993,99
EU-15,1993,71
Europe_Eastern,1993,79
Europe_Non_EU,1993,79
European Free Trade Association,1993,24
India,1993,296
Indonesia,1993,102
Japan,1993,328
Mexico,1993,46
Middle East,1993,28
Pakistan,1993,136
Russia,1993,9
South Africa,1993,32
South America_Northern,1993,17
South America_Southern,1993,16
South Asia,1993,160
South Korea,1993,436
Southeast Asia,1993,97
Taiwan,1993,598
USA,1993,29
Africa_Eastern,1994,29
Africa_Northern,1994,22
Africa_Southern,1994,17
Africa_Western,1994,24
Argentina,1994,12
