# EIA residual fuel oil bunkering by international ships in thousand barrels of oil per day,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,277.5,279.51,320.29,342.46,397.66,411.68,417.7,455.93,491.41,518.44,444.5,554.34,615.52,685.19,647.52,709.78,703.84,788,926.54,1016.1,1092.02,1169.02,1093.97,1235.51,1298.14
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,7.02,7.68,8.55,10.67,8.83,8.74,8.73,9.31,12.04,13.54,13.32,11.4,11.59,13.87,12.34,12.28,10.95,10.77,12.79,14.8,13.89,14.89,15.61,12.3,10.53
Bangladesh,0.13,0.09,0.09,0.09,0,0,0,0,0,0,0,0.13,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,35,40,44.8,45,44.89,54.59,6.19,6.2,32.06,64.1,64.91,66.9,68.48,94.15,138.73,135.1,144.06,158.47,144.57,170.7,150.7
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0.13,0.11,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.13,0.13,,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.11,0.09,0.09
French Polynesia,0.04,0.1,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.07,0.07,0.07,0.04,0.04
Guam,0.01,0,0,0,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.69,0.69,0.73,0.73,0.73,0.73,0.73,0.73,0,0,0
Hawaiian Trade Zone,5,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,13.8,17.86,15.2,16.52,21.06,12.77,20.02,23.41,24.29,30.49,30.92,29.94,28.52,28.52,37.41,48.65,48.66,55.4,81.61,75.76,92.89,114.61,104.74,121.05,110.17
India,1.57,3.16,5.11,3.1,3.14,3.19,3.28,3.19,2.46,2.46,0,6.11,6.95,6.95,6.5,6.7,1.19,0.86,0.56,0.4,3.65,0.62,0,2.32,2.68
Indonesia,3.24,2.91,3.24,3.7,6.58,2.37,4.86,2.37,4.62,2.55,1.08,2.92,3.07,5.51,1.09,4.1,1,1.09,5.19,2.37,1.39,1.55,1.64,1.72,1.82
Japan,100.03,89.65,81.41,85.12,88.9,99.77,99.54,116.45,120.19,109.41,75.23,91.78,101.09,93.9,85.67,83.11,82.15,88.95,96.62,103.57,105.25,98.48,92.35,83.68,81.85
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",14.96,21.33,24.38,29.3,24.85,37.46,47.68,59.98,64.74,70.12,79.97,89.57,91.54,101.03,98.17,96.94,91.74,103.15,114.51,167.36,167.85,154.48,148.81,134.81,142.89
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0.25,0.48,0.58,0.91,1.02,1.02,1.02,1.13,0.73,4.11,4.19,2.48,7.46,5.98,3.04,2.26,0.44,0.46,0.62,0.4,0.31,0.88,0.8,0.38,0.42
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,0,0.05,0,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.11,0.11,0.11,0.18,0.73,0,0,0,0
New Zealand,0.93,1.72,2.13,2.04,3.28,2.68,2.66,3.36,4.84,4.11,4.02,3.54,4.54,4.34,3.24,3.19,3.94,3.45,3.53,3.98,4.67,4.89,5.37,5.44,5.2
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0.49,0.15,0.15,0.22,0.57,0.26,0.29,0.29,0.26,0.2,0.16,0.27,0.22,0.22,0.35,0.4,0.18,0.22,0.73,1.02,1.55,2.19,2.4,3.56,2.66
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.22,0.1,0.1,0.1
Philippines,0.04,2.6,0.85,1.38,0.83,0.03,0.77,0.05,1.09,1.28,1.36,1.79,2.13,2.81,2,2,2.76,1.95,1.89,1.82,1.57,3.56,3.47,3.05,2.77
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,110.62,110.86,146.95,150.81,163.95,164.65,145.57,155.1,164.22,173.34,180.15,242.75,255.67,273.5,257.01,326.18,331.28,352.3,401.42,436.7,481.78,547.82,539.97,634.83,716.14
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,6.5,7.03,6.08,4.9,4.37,4.87,4.31,5.18,5.31,5.2,5.93,4.03,3.5,3.5,2.18,1.9,2.19,1.44,1.49,2.28,1.75,1.75,2.57,2.61,2.74
Taiwan,9.09,9,20.24,28.05,28.05,25.31,25.18,26.46,36.68,42.02,37.96,47.49,52.63,66.41,59.62,40.61,42.01,52.27,41.16,40.78,40.32,35.8,30.73,26.17,31.2
Thailand,2.97,4.84,4.9,5.06,5.91,7.53,8,3.65,4,4,3,12.9,12.9,12.9,12.5,13.05,15.29,19.98,24.11,28.12,28.77,28.04,0,26.73,29.64
Timor-Leste (East Timor),,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0.36,0,0.36,0.33,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,5.84
Wake Island,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1194.89,1178.96,1572.37,1641.35,1738,1853.49,1921.82,1912.2,1922.95,1957.64,1963.05,2182.24,2233.06,2241.29,2205.5,2305.62,2301.44,2350.25,2623.64,2773.7,2743.68,2833.12,2896.96,2934.99,3008.33
