IEAName,iso,IEA_Fert_reg,BPName
Honduras,hnd,Latin America,Other S. & Cent. America
"Hong Kong, China",hkg,Other Asia,China Hong Kong SAR
Hungary,hun,Central European countries,Hungary
Iceland,isl,Western Europe,Other Europe & Eurasia
India,ind,India,India
Indonesia,idn,Other Asia,Indonesia
Iraq,irq,Middle East,Other Middle East
Ireland,irl,Western Europe,Republic of Ireland
Islamic Republic of Iran,irn,Middle East,Iran
Israel,isr,Middle East,Israel
Italy,ita,Western Europe,Italy
Jamaica,jam,Latin America,Other S. & Cent. America
Japan,jpn,Other Asia,Japan
Jordan,jor,Middle East,Other Middle East
Kazakhstan,kaz,CIS,Kazakhstan
Kenya,ken,Africa,Other Africa
Korea,kor,Other Asia,South Korea
Kosovo,srb (Kosovo),Central European countries,Other Europe & Eurasia
Kuwait,kwt,Middle East,Kuwait
Kyrgyzstan,kgz,CIS,Other Europe & Eurasia
Latvia,lva,CIS,Other Europe & Eurasia
Lebanon,lbn,Middle East,Other Middle East
Libya,lby,Africa,Other Africa
Lithuania,ltu,CIS,Lithuania
Luxembourg,lux,Western Europe,Other Europe & Eurasia
Malaysia,mys,Other Asia,Malaysia
Malta,mlt,Western Europe,Other Europe & Eurasia
Mexico,mex,Latin America,Mexico
Mongolia,mng,China,Other Asia Pacific
Montenegro,mne,Central European countries,Other Europe & Eurasia
Morocco,mar,Africa,Other Africa
Mozambique,moz,Africa,Other Africa
Myanmar,mmr,Other Asia,Other Asia Pacific
Namibia,nam,Africa,Other Africa
Nepal,npl,Other Asia,Other Asia Pacific
Netherlands,nld,Western Europe,Netherlands
Netherlands Antilles,ant,Latin America,Other S. & Cent. America
New Zealand,nzl,Oceania,New Zealand
Nicaragua,nic,Latin America,Other S. & Cent. America
Nigeria,nga,Africa,Other Africa
Norway,nor,Western Europe,Norway
Oman,omn,Middle East,Other Middle East
Pakistan,pak,Other Asia,Pakistan
Panama,pan,Latin America,Other S. & Cent. America
Paraguay,pry,Latin America,Other S. & Cent. America
Peoples Republic of China,chn,China,China
Peru,per,Latin America,Peru
Philippines,phl,Other Asia,Philippines
Poland,pol,Central European countries,Poland
Portugal,prt,Western Europe,Portugal
Qatar,qat,Middle East,Qatar
Republic of Moldova,mda,CIS,Other Europe & Eurasia
Romania,rom,Central European countries,Romania
Russian Federation,rus,CIS,Russian Federation
Saudi Arabia,sau,Middle East,Saudi Arabia
Senegal,sen,Africa,Other Africa
Serbia,srb,Central European countries,Other Europe & Eurasia
Serbia and Montenegro,scg,Central European countries,Other Europe & Eurasia
Singapore,sgp,Other Asia,Singapore
Slovak Republic,svk,Central European countries,Slovakia
Slovenia,svn,Central European countries,Other Europe & Eurasia
South Africa,zaf,Africa,South Africa
Spain,esp,Western Europe,Spain
Sri Lanka,lka,Other Asia,Other Asia Pacific
Sudan,sdn,Africa,Other Africa
Sweden,swe,Western Europe,Sweden
Switzerland,che,Western Europe,Switzerland
Syrian Arab Republic,syr,Middle East,Other Middle East
Tajikistan,tjk,CIS,Other Europe & Eurasia
Thailand,tha,Other Asia,Thailand
Togo,tgo,Africa,Other Africa
Trinidad and Tobago,tto,Latin America,Trinidad & Tobago
Tunisia,tun,Africa,Other Africa
Turkey,tur,Western Europe,Turkey
Turkmenistan,tkm,CIS,Turkmenistan
Ukraine,ukr,CIS,Ukraine
United Arab Emirates,are,Middle East,United Arab Emirates
United Kingdom,gbr,Western Europe,United Kingdom
United Republic of Tanzania,tza,Africa,Other Africa
United States,usa,North America,US
Uruguay,ury,Latin America,Other S. & Cent. America
Uzbekistan,uzb,CIS,Uzbekistan
Venezuela,ven,Latin America,Venezuela
Vietnam,vnm,China,Vietnam
Yemen,yem,Middle East,Other Middle East
Zambia,zmb,Africa,Other Africa
Zimbabwe,zwe,Africa,Other Africa
Former Soviet Union (if no detail),arm,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),aze,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),blr,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),est,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),geo,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),kaz,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),kgz,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),ltu,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),lva,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),mda,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),rus,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),tjk,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),tkm,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),ukr,CIS,Other Europe & Eurasia
Former Soviet Union (if no detail),uzb,CIS,Other Europe & Eurasia
Former Yugoslavia (if no detail),bih,Central European countries,Other Europe & Eurasia
Former Yugoslavia (if no detail),hrv,Central European countries,Other Europe & Eurasia
Former Yugoslavia (if no detail),mkd,Central European countries,Other Europe & Eurasia
Former Yugoslavia (if no detail),mne,Central European countries,Other Europe & Eurasia
Former Yugoslavia (if no detail),srb,Central European countries,Other Europe & Eurasia
Former Yugoslavia (if no detail),srb (Kosovo),Central European countries,Other Europe & Eurasia
Former Yugoslavia (if no detail),svn,Central European countries,Other Europe & Eurasia
Other Africa,bdi,Africa,Other Africa
Other Africa,bfa,Africa,Other Africa
Other Africa,caf,Africa,Other Africa
Other Africa,com,Africa,Other Africa
Other Africa,cpv,Africa,Other Africa
Other Africa,dji,Africa,Other Africa
Other Africa,esh,Africa,Other Africa
Other Africa,gin,Africa,Other Africa
Other Africa,gmb,Africa,Other Africa
Other Africa,gnb,Africa,Other Africa
Other Africa,gnq,Africa,Other Africa
Other Africa,lbr,Africa,Other Africa
Other Africa,lso,Africa,Other Africa
Other Africa,mdg,Africa,Other Africa
Other Africa,mli,Africa,Other Africa
Other Africa,mrt,Africa,Other Africa
Other Africa,mus,Africa,Other Africa
Other Africa,mwi,Africa,Other Africa
Other Africa,ner,Africa,Other Africa
Other Africa,reu,Africa,Other Africa
Other Africa,rwa,Africa,Other Africa
Other Africa,sle,Africa,Other Africa
Other Africa,som,Africa,Other Africa
Other Africa,stp,Africa,Other Africa
Other Africa,swz,Africa,Other Africa
Other Africa,syc,Africa,Other Africa
Other Africa,tcd,Africa,Other Africa
Other Africa,uga,Africa,Other Africa
Other Non-OECD Americas,abw,Latin America,Other S. & Cent. America
Other Non-OECD Americas,atg,Latin America,Other S. & Cent. America
Other Non-OECD Americas,bhs,Latin America,Other S. & Cent. America
Other Non-OECD Americas,blz,Latin America,Other S. & Cent. America
Other Non-OECD Americas,bmu,Western Europe,Other S. & Cent. America
Other Non-OECD Americas,brb,Latin America,Other S. & Cent. America
Other Non-OECD Americas,cym,Latin America,Other S. & Cent. America
Other Non-OECD Americas,dma,Latin America,Other S. & Cent. America
Other Non-OECD Americas,flk,Latin America,Other S. & Cent. America
Other Non-OECD Americas,glp,Latin America,Other S. & Cent. America
Other Non-OECD Americas,grd,Latin America,Other S. & Cent. America
Other Non-OECD Americas,guf,Latin America,Other S. & Cent. America
Other Non-OECD Americas,guy,Latin America,Other S. & Cent. America
Other Non-OECD Americas,kna,Latin America,Other S. & Cent. America
Other Non-OECD Americas,lca,Latin America,Other S. & Cent. America
Other Non-OECD Americas,msr,Latin America,Other S. & Cent. America
Other Non-OECD Americas,sur,Latin America,Other S. & Cent. America
Other Non-OECD Americas,tca,Latin America,Other S. & Cent. America
Other Non-OECD Americas,vct,Latin America,Other S. & Cent. America
Other Non-OECD Americas,vgb,Latin America,Other S. & Cent. America
Other Asia,afg,Other Asia,Other Asia Pacific
Other Asia,btn,Other Asia,Other Asia Pacific
Other Asia,fji,Other Asia,Other Asia Pacific
Other Asia,kir,Other Asia,Other Asia Pacific
Other Asia,lao,Other Asia,Other Asia Pacific
Other Asia,mac,Other Asia,Other Asia Pacific
Other Asia,mdv,Other Asia,Other Asia Pacific
Other Asia,ncl,Other Asia,Other Asia Pacific
Other Asia,plw,Other Asia,Other Asia Pacific
Other Asia,png,Other Asia,Other Asia Pacific
Other Asia,slb,Other Asia,Other Asia Pacific
Other Asia,tls,Other Asia,Other Asia Pacific
Other Asia,ton,Other Asia,Other Asia Pacific
Other Asia,vut,Other Asia,Other Asia Pacific
Other Asia,wsm,Other Asia,Other Asia Pacific
