INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
200,,,,,,,,,,
Southeast Asia,electricity,geothermal,0.01,0.03,0.03,0.5,0.5,0.5,0.5,0.5
Western Europe,electricity,geothermal,0.05,0.05,0.15,0.5,0.5,0.5,0.5,0.5
USA,base load generation,geothermal,0.05,0.05,0.15,0.5,0.5,0.5,0.5,0.5
USA,base load generation,wind,0.2,0.2,0.3,0.5,0.5,0.5,0.5,0.5
USA,base load generation,solar,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
USA,base load generation,biomass,0.15,0.24,0.33,0.5,0.5,0.5,0.5,0.5
USA,intermediate generation,biomass,0.15,0.24,0.33,0.5,0.5,0.5,0.5,0.5
USA,intermediate generation,solar,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
USA,subpeak generation,solar,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
202,,,,,,,,,,
,,,shareweight,interpolation-rule,,,,,,
region,supplysector,subsector,1975,apply-to,from-year,to-year,interpolation-function,,,
Africa,electricity,wind,1,share-weight,2065,9999,fixed,,,
Australia_NZ,electricity,wind,1,share-weight,2065,9999,fixed,,,
Canada,electricity,wind,1,share-weight,2065,9999,fixed,,,
China,electricity,wind,1,share-weight,2065,9999,fixed,,,
Eastern Europe,electricity,wind,1,share-weight,2065,9999,fixed,,,
Former Soviet Union,electricity,wind,1,share-weight,2065,9999,fixed,,,
India,electricity,wind,1,share-weight,2065,9999,fixed,,,
Japan,electricity,wind,1,share-weight,2065,9999,fixed,,,
Korea,electricity,wind,1,share-weight,2065,9999,fixed,,,
Latin America,electricity,wind,1,share-weight,2065,9999,fixed,,,
Middle East,electricity,wind,1,share-weight,2065,9999,fixed,,,
Southeast Asia,electricity,wind,1,share-weight,2065,9999,fixed,,,
Western Europe,electricity,wind,1,share-weight,2065,9999,fixed,,,
Africa,electricity,solar,1,share-weight,2065,9999,fixed,,,
Australia_NZ,electricity,solar,1,share-weight,2065,9999,fixed,,,
Canada,electricity,solar,1,share-weight,2065,9999,fixed,,,
China,electricity,solar,1,share-weight,2065,9999,fixed,,,
Eastern Europe,electricity,solar,1,share-weight,2065,9999,fixed,,,
Former Soviet Union,electricity,solar,1,share-weight,2065,9999,fixed,,,
India,electricity,solar,1,share-weight,2065,9999,fixed,,,
Japan,electricity,solar,1,share-weight,2065,9999,fixed,,,
Korea,electricity,solar,1,share-weight,2065,9999,fixed,,,
Latin America,electricity,solar,1,share-weight,2065,9999,fixed,,,
Middle East,electricity,solar,1,share-weight,2065,9999,fixed,,,
Southeast Asia,electricity,solar,1,share-weight,2065,9999,fixed,,,
Western Europe,electricity,solar,1,share-weight,2065,9999,fixed,,,
Africa,electricity,biomass,1,share-weight,2065,9999,fixed,,,
Australia_NZ,electricity,biomass,1,share-weight,2065,9999,fixed,,,
Canada,electricity,biomass,1,share-weight,2065,9999,fixed,,,
China,electricity,biomass,1,share-weight,2065,9999,fixed,,,
Eastern Europe,electricity,biomass,1,share-weight,2065,9999,fixed,,,
Former Soviet Union,electricity,biomass,1,share-weight,2065,9999,fixed,,,
India,electricity,biomass,1,share-weight,2065,9999,fixed,,,
Japan,electricity,biomass,1,share-weight,2065,9999,fixed,,,
Korea,electricity,biomass,1,share-weight,2065,9999,fixed,,,
Latin America,electricity,biomass,1,share-weight,2065,9999,fixed,,,
Middle East,electricity,biomass,1,share-weight,2065,9999,fixed,,,
Southeast Asia,electricity,biomass,1,share-weight,2065,9999,fixed,,,
Western Europe,electricity,biomass,1,share-weight,2065,9999,fixed,,,
Africa,electricity,geothermal,1,share-weight,2065,9999,fixed,,,
Australia_NZ,electricity,geothermal,1,share-weight,2065,9999,fixed,,,
Canada,electricity,geothermal,1,share-weight,2065,9999,fixed,,,
China,electricity,geothermal,1,share-weight,2065,9999,fixed,,,
Eastern Europe,electricity,geothermal,1,share-weight,2065,9999,fixed,,,
Former Soviet Union,electricity,geothermal,1,share-weight,2065,9999,fixed,,,
India,electricity,geothermal,1,share-weight,2065,9999,fixed,,,
Japan,electricity,geothermal,1,share-weight,2065,9999,fixed,,,
Latin America,electricity,geothermal,1,share-weight,2065,9999,fixed,,,
Middle East,electricity,geothermal,1,share-weight,2065,9999,fixed,,,
Southeast Asia,electricity,geothermal,1,share-weight,2065,9999,fixed,,,
Western Europe,electricity,geothermal,1,share-weight,2065,9999,fixed,,,
USA,base load generation,geothermal,1,share-weight,2065,9999,fixed,,,
USA,base load generation,wind,1,share-weight,2065,9999,fixed,,,
USA,base load generation,solar,1,share-weight,2065,9999,fixed,,,
USA,base load generation,biomass,1,share-weight,2065,9999,fixed,,,
USA,intermediate generation,biomass,1,share-weight,2065,9999,fixed,,,
USA,intermediate generation,solar,1,share-weight,2065,9999,fixed,,,
USA,subpeak generation,solar,1,share-weight,2065,9999,fixed,,,
Africa,electricity,wind,1,share-weight,2010,2020,linear,,,
Australia_NZ,electricity,wind,1,share-weight,2010,2020,linear,,,
Canada,electricity,wind,1,share-weight,2010,2020,linear,,,
China,electricity,wind,1,share-weight,2010,2020,linear,,,
Eastern Europe,electricity,wind,1,share-weight,2010,2020,linear,,,
Former Soviet Union,electricity,wind,1,share-weight,2010,2020,linear,,,
India,electricity,wind,1,share-weight,2010,2020,linear,,,
Japan,electricity,wind,1,share-weight,2010,2020,linear,,,
Korea,electricity,wind,1,share-weight,2010,2020,linear,,,
Latin America,electricity,wind,1,share-weight,2010,2020,linear,,,
Middle East,electricity,wind,1,share-weight,2010,2020,linear,,,
Southeast Asia,electricity,wind,1,share-weight,2010,2020,linear,,,
Western Europe,electricity,wind,1,share-weight,2010,2020,linear,,,
Africa,electricity,solar,1,share-weight,2010,2020,linear,,,
Australia_NZ,electricity,solar,1,share-weight,2010,2020,linear,,,
Canada,electricity,solar,1,share-weight,2010,2020,linear,,,
China,electricity,solar,1,share-weight,2010,2020,linear,,,
Eastern Europe,electricity,solar,1,share-weight,2010,2020,linear,,,
Former Soviet Union,electricity,solar,1,share-weight,2010,2020,linear,,,
India,electricity,solar,1,share-weight,2010,2020,linear,,,
Japan,electricity,solar,1,share-weight,2010,2020,linear,,,
Korea,electricity,solar,1,share-weight,2010,2020,linear,,,
Latin America,electricity,solar,1,share-weight,2010,2020,linear,,,
Middle East,electricity,solar,1,share-weight,2010,2020,linear,,,
Southeast Asia,electricity,solar,1,share-weight,2010,2020,linear,,,
Western Europe,electricity,solar,1,share-weight,2010,2020,linear,,,
Africa,electricity,biomass,1,share-weight,2010,2020,linear,,,
Australia_NZ,electricity,biomass,1,share-weight,2010,2020,linear,,,
Canada,electricity,biomass,1,share-weight,2010,2020,linear,,,
China,electricity,biomass,1,share-weight,2010,2020,linear,,,
Eastern Europe,electricity,biomass,1,share-weight,2010,2020,linear,,,
Former Soviet Union,electricity,biomass,1,share-weight,2010,2020,linear,,,
India,electricity,biomass,1,share-weight,2010,2020,linear,,,
Japan,electricity,biomass,1,share-weight,2010,2020,linear,,,
Korea,electricity,biomass,1,share-weight,2010,2020,linear,,,
Latin America,electricity,biomass,1,share-weight,2010,2020,linear,,,
Middle East,electricity,biomass,1,share-weight,2010,2020,linear,,,
Southeast Asia,electricity,biomass,1,share-weight,2010,2020,linear,,,
Western Europe,electricity,biomass,1,share-weight,2010,2020,linear,,,
Africa,electricity,geothermal,1,share-weight,2010,2020,linear,,,
Australia_NZ,electricity,geothermal,1,share-weight,2010,2020,linear,,,
Canada,electricity,geothermal,1,share-weight,2010,2020,linear,,,
China,electricity,geothermal,1,share-weight,2010,2020,linear,,,
Eastern Europe,electricity,geothermal,1,share-weight,2010,2020,linear,,,
Former Soviet Union,electricity,geothermal,1,share-weight,2010,2020,linear,,,
India,electricity,geothermal,1,share-weight,2010,2020,linear,,,
Japan,electricity,geothermal,1,share-weight,2010,2020,linear,,,
Latin America,electricity,geothermal,1,share-weight,2010,2020,linear,,,
Middle East,electricity,geothermal,1,share-weight,2010,2020,linear,,,
Southeast Asia,electricity,geothermal,1,share-weight,2010,2020,linear,,,
Western Europe,electricity,geothermal,1,share-weight,2010,2020,linear,,,
USA,base load generation,geothermal,1,share-weight,2010,2020,linear,,,
USA,base load generation,wind,1,share-weight,2010,2020,linear,,,
USA,base load generation,solar,1,share-weight,2010,2020,linear,,,
USA,base load generation,biomass,1,share-weight,2010,2020,linear,,,
USA,intermediate generation,biomass,1,share-weight,2010,2020,linear,,,
USA,intermediate generation,solar,1,share-weight,2010,2020,linear,,,
USA,subpeak generation,solar,1,share-weight,2010,2020,linear,,,
