# File: EPA_CH4_Bio.csv
# Title: CH4 emissions from biomass combustion
# Units: MtCO2eq
# Description: Sector Energy
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Cameroon,0.8,0.9,1.1,1.2,1.1,1.2,1.2,1.3,1.3,Africa,,
Canada,2.1,2,2.2,2.2,2.3,2.6,2.9,3.3,3.7,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,0,0,0,0,0,0,0,0,0,Africa,,
Chad,0,0,0,0,0,0,0,0,0,Africa,,
Chile,0.5,0.7,0.8,0.8,0.8,0.9,0.9,1,1,,OECD,
China,52.9,53.6,52.5,50.3,48.5,47,45.6,44.3,43,,Non-OECD Asia,
Colombia,1.2,1.1,0.7,0.6,0.7,0.7,0.8,0.8,0.9,,Central and South America,
Comoros,0,0,0,0,0,0,0,0,0,Africa,,
Congo (Brazzaville),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Congo (Kinshasa),2,2.4,2.8,3.2,3.5,3.6,3.8,4,4.2,,Africa,
Cook Islands,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Costa Rica,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,Central and South America,,
Cote d'Ivoire,0.5,0.6,0.7,1,1,1.1,1.1,1.2,1.2,Africa,,
Croatia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,
Cuba,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,Central and South America,,
Cyprus,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,EU
Czech Republic,0.1,0,0.1,0.3,0.4,0.4,0.5,0.5,0.6,,OECD,EU
Denmark,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,,OECD,EU
Djibouti,0,0,0,0,0,0,0,0,0,Africa,,
Dominica,0,0,0,0,0,0,0,0,0,Central and South America,,
Dominican Republic,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,Central and South America,,
Ecuador,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Central and South America,OPEC
Egypt,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,,Africa,
El Salvador,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,Central and South America,,
Equatorial Guinea,0,0,0,0,0,0,0,0,0,Africa,,
Eritrea,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Estonia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,EU
Ethiopia,3.5,3.9,4.4,5,5.4,5.6,5.9,6.1,6.4,,Africa,
Fiji,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Finland,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,,OECD,EU
France,3.6,3.4,2.5,1.9,1.6,1.8,2,2.3,2.6,,OECD,EU
Gabon,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,Africa,,
Gambia,0,0,0,0,0,0,0,0,0,Africa,,
Georgia,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,
Germany,0.4,0.4,0.5,1,1.6,1.8,2.1,2.4,2.7,,OECD,EU
Ghana,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,Africa,,
Greece,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,EU
Grenada,0,0,0,0,0,0,0,0,0,Central and South America,,
Guatemala,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,Central and South America,,
Guinea,0,0,0,0,0,0,0,0,0,Africa,,
Guinea-Bissau,0,0,0,0,0,0,0,0,0,Africa,,
Guyana,0,0,0,0,0,0,0,0,0,Central and South America,,
Haiti,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,Central and South America,,
Holy See,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Honduras,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,Central and South America,,
Hungary,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,,OECD,EU
Iceland,0,0,0,0,0,0,0,0,0,,OECD,
India,29.9,31.3,33,34.9,36.1,36.9,37.6,38.4,39.1,,Non-OECD Asia,
Indonesia,9.3,10,10.7,11.6,12,12.1,12.2,12.4,12.5,,Non-OECD Asia,
Iran,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,,Middle East,OPEC
Iraq,0,0,0,0,0,0,0,0,0,,Middle East,OPEC
Ireland,0,0,0,0,0,0,0,0,0,,OECD,EU
Israel,0,0,0,0,0,0,0,0,0,,OECD,
Italy,0.2,0.3,0.4,0.5,0.7,0.8,0.9,1,1.2,,OECD,EU
Jamaica,0,0,0,0,0,0,0,0,0,Central and South America,,
Japan,0.1,0,0,0,0,0.1,0.1,0.1,0.1,,OECD,
Jordan,0,0,0,0,0,0,0,0,0,,Middle East,
Kazakhstan,0.1,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Kenya,1.3,1.5,1.8,2,2.2,2.3,2.4,2.5,2.6,Africa,,
Kiribati,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Kuwait,0,0,0,0,0,0,0,0,0,,Middle East,OPEC
Kyrgyzstan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Laos,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Latvia,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,,Non-OECD Europe & Eurasia,EU
Lebanon,0,0,0,0,0,0,0,0.1,0.1,Middle East,,
Lesotho,0,0,0,0,0,0,0,0,0,Africa,,
Liberia,0,0,0,0,0,0,0,0,0,Africa,,
Libya,0,0,0,0,0,0,0,0,0.1,Africa,,OPEC
Liechtenstein,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Lithuania,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,EU
Luxembourg,0,0,0,0,0,0,0,0,0,,OECD,EU
Macedonia,0,0,0.1,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Madagascar,0,0,0,0,0,0,0,0,0,Africa,,
Malawi,0,0,0,0,0,0,0,0,0,Africa,,
Malaysia,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,Non-OECD Asia,,
Maldives,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Mali,0,0,0,0,0,0,0,0,0,Africa,,
Malta,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,EU
Marshall Islands,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Mauritania,0,0,0,0,0,0,0,0,0,Africa,,
Mauritius,0,0,0,0,0,0,0,0,0,Africa,,
Mexico,1.5,1.6,1.6,1.6,1.7,1.9,2.2,2.4,2.7,,OECD,
Micronesia (Federated States of),0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Moldova,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Monaco,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Mongolia,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Montenegro,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Morocco,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Mozambique,1,1.1,1.1,1.3,1.4,1.4,1.5,1.6,1.6,Africa,,
Namibia,0,0,0,0,0.1,0.1,0.1,0.1,0.1,Africa,,
Nauru,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Nepal,1.4,1.6,1.8,2.1,2.2,2.2,2.2,2.2,2.3,,Non-OECD Asia,
Netherlands,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,,OECD,EU
New Zealand,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,
Nicaragua,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,Central and South America,,
Niger,0,0,0,0,0,0,0,0,0,Africa,,
Nigeria,13.2,15.1,16.8,19,20.4,21.4,22.4,23.4,24.5,,Africa,OPEC
Niue,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
North Korea,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.9,,Non-OECD Asia,
Norway,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,,OECD,
Oman,0,0,0,0,0,0,0,0,0,Middle East,,
Pakistan,4.4,5,5.6,6.3,6.6,6.7,6.7,6.8,6.9,,Non-OECD Asia,
Palau,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Panama,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Central and South America,,
Papua New Guinea,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Paraguay,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,Central and South America,,
Peru,0.7,0.6,0.5,0.5,0.6,0.7,0.7,0.8,0.8,,Central and South America,
Philippines,1.8,1.8,1.5,1.2,1.1,1.1,1.2,1.2,1.2,,Non-OECD Asia,
Poland,0.2,0.9,0.8,0.8,0.9,1,1.2,1.3,1.5,,OECD,EU
Portugal,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,,OECD,EU
Qatar,0,0,0,0,0,0,0,0,0,Middle East,,OPEC
Romania,0.2,0.9,0.7,0.8,0.8,0.8,0.8,0.9,0.9,,Non-OECD Europe & Eurasia,EU
Russia,2.4,1.2,0.7,0.6,0.7,0.8,0.8,0.9,1,,Non-OECD Europe & Eurasia,
Rwanda,0,0,0,0,0,0,0,0,0,Africa,,
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,Central and South America,,
Saint Lucia,0,0,0,0,0,0,0,0,0,Central and South America,,
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,Central and South America,,
Samoa,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
San Marino,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,Africa,,
Saudi Arabia,0,0,0,0,0,0,0,0,0,,Middle East,OPEC
Senegal,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,Africa,
Serbia,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,Non-OECD Europe & Eurasia,,
Seychelles,0,0,0,0,0,0,0,0,0,Africa,,
Sierra Leone,0,0,0,0,0,0,0,0,0,Africa,,
Singapore,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Slovakia,0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,,OECD,EU
Slovenia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,EU
Solomon Islands,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Somalia,0,0,0,0,0,0,0,0,0,Africa,,
South Africa,1.6,1.8,2,2.1,2.2,2.3,2.4,2.5,2.6,,Africa,
South Korea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,OECD,
Spain,0.7,0.6,0.6,0.7,0.7,0.8,0.9,1,1.2,,OECD,EU
Sri Lanka,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,Non-OECD Asia,,
Sudan,0.9,1,1.2,1.4,1.5,1.5,1.6,1.7,1.7,Africa,,
Suriname,0,0,0,0,0,0,0,0,0,Central and South America,,
Swaziland,0,0,0,0,0,0,0,0,0,Africa,,
Sweden,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,,OECD,EU
Switzerland,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,,OECD,
Syria,0,0,0,0,0,0,0,0,0,Middle East,,
Tajikistan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Tanzania,1.9,2.1,2.6,3,3.3,3.5,3.6,3.8,4,Africa,,
Thailand,1.4,1.2,1.2,1.4,1.5,1.5,1.5,1.5,1.5,,Non-OECD Asia,
Timor-Leste,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Togo,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,Africa,,
Tonga,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,Central and South America,,
Tunisia,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,Africa,,
Turkey,1.8,1.6,1.5,1.4,1.4,1.6,1.8,2,2.3,,OECD,
Turkmenistan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Tuvalu,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Uganda,0,0,0,0,0,0,0,0,0,,Africa,
Ukraine,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,
United Arab Emirates,0,0,0,0,0,0,0,0,0,,Middle East,OPEC
United Kingdom,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,,OECD,EU
United States,4.8,4.6,4,4,4.3,4.8,5.5,6.3,7.1,,OECD,
Uruguay,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Central and South America,
Uzbekistan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Vanuatu,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Venezuela,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Central and South America,OPEC
Vietnam,4.8,5.3,5.7,6.1,6.3,6.3,6.4,6.4,6.5,,Non-OECD Asia,
Yemen,0,0,0,0,0,0,0,0,0,Middle East,,
Zambia,0.6,0.7,0.8,0.9,1,1,1.1,1.1,1.2,Africa,,
Zimbabwe,1.2,1.3,1.5,1.6,1.6,1.7,1.8,1.9,2,Africa,,
