# File:IMF_GDP_growth.csv
# Title: GDP growth rate projections
# Units: Percent
# Description: GDP real growth by country 1980-2024
# Source: http://www.imf.org/external/pubs/ft/weo/2015/02/weodata/index.aspx, accessed 08/09/2019
# Column types: iccccccccccccccccccccccccccccccccccccccccccccccccccci 
# ----------
WEO Country Code,ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
419,BHR,Bahrain,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.494,2.777,6.406,6.994,4.186,-0.93,0.484,-1.222,5.952,1.013,3.503,2.286,7.123,7.604,3.212,1.923,3.25,2.348,4.849,5.972,7.018,2.491,3.349,6.296,6.981,6.769,6.467,8.294,6.242,2.541,4.337,1.984,3.728,5.416,4.351,2.871,3.465,3.804,1.829,1.845,2.098,2.355,2.447,2.792,2.973,2017
513,BGD,Bangladesh,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.05,5.589,3.206,4.61,4.177,3.744,3.985,2.931,2.388,4.298,4.603,4.203,4.801,4.324,4.513,4.77,5.013,5.304,5.044,5.421,5.6,4.834,4.845,5.776,6.108,6.302,6.851,6.518,5.515,5.315,6.03,6.494,6.26,6.038,6.314,6.842,7.202,7.584,7.727,7.289,7,7,7,7,7,2017
316,BRB,Barbados,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.371,-1.9,-4.9,0.5,3.6,1.1,5.1,2.6,3.5,3.6,-3.3,-3.9,-5.7,0.8,2,2.023,3.966,4.74,3.74,0.326,4.453,-2.367,0.791,2.171,1.407,3.965,5.669,1.854,0.907,-4.853,-2.173,-0.795,-0.065,-1.366,-0.176,2.211,2.273,-0.168,-0.5,-0.098,0.6,1.5,1.84,1.84,1.84,2018
913,BLR,Belarus,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-7.6,-11.7,-11.084,2.776,11.434,8.442,3.354,5.76,4.725,5.045,7.043,11.45,9.441,9.998,8.647,10.248,0.164,7.75,5.55,1.708,0.999,1.651,-3.83,-2.526,2.532,3.031,1.756,2.245,2.122,1.951,2.001,1.998,2017
124,BEL,Belgium,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.444,-0.279,0.595,0.312,2.466,1.652,1.823,2.307,4.723,3.469,3.137,1.833,1.531,-0.962,3.227,2.385,1.593,3.71,1.975,3.564,3.634,0.811,1.781,0.774,3.635,2.094,2.506,3.449,0.783,-2.253,2.744,1.798,0.235,0.201,1.255,1.717,1.489,1.693,1.434,1.291,1.39,1.474,1.505,1.518,1.513,2017
339,BLZ,Belize,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.013,0.214,-7.551,6.076,11.332,-1.419,7.275,21.997,10.861,15.474,11.209,11.457,12.069,6.269,0.162,0.656,1.425,3.547,3.732,8.777,13.02,5.03,5.109,9.33,4.645,2.583,4.578,1.104,3.228,0.671,3.383,2.163,2.938,0.852,3.692,3.432,-0.588,1.437,3.035,2.497,2.096,1.788,1.691,1.712,1.687,2017
638,BEN,Benin,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.255,1.929,1.682,-2,0.4,4.327,2.748,-2.074,3.428,-2.849,8.976,4.226,2.958,5.836,2.02,6.045,4.324,5.735,3.961,4.358,5.85,5.335,4.64,3.448,4.426,1.719,3.939,5.983,4.901,2.326,2.11,2.96,4.814,7.196,6.352,2.097,3.969,5.831,6.545,6.454,6.526,6.527,6.508,6.483,6.54,2015
514,BTN,Bhutan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.995,13.589,8.195,7.337,7.616,4.349,7.954,20.229,15.079,6.194,9.098,4.896,2.083,3.192,2.232,6.019,5.971,5.544,6.009,7.087,6.934,7.04,9.516,9.118,6.748,6.527,6.981,12.571,10.752,5.722,9.327,9.72,6.428,3.57,3.963,6.183,7.316,7.382,5.782,4.816,6.335,6.016,7.211,7.467,6.521,2016
218,BOL,Bolivia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.61,0.3,-3.939,-4.042,-0.201,-1.676,-2.574,2.463,2.91,3.79,4.636,5.267,1.646,4.269,4.667,4.678,4.361,4.954,5.029,0.427,2.508,1.684,2.486,2.711,4.173,4.421,4.797,4.564,6.148,3.357,4.127,5.204,5.122,6.796,5.461,4.857,4.264,4.195,4.3,4,3.9,3.8,3.7,3.7,3.7,2017
963,BIH,Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.853,13.814,10.75,4.442,2.362,5.053,3.858,6.257,4.236,5.691,5.979,5.594,-0.816,0.767,0.908,-0.707,2.351,1.15,3.074,3.215,2.969,3.1,3.1,3.2,3.3,3.4,3.5,3.5,2017
616,BWA,Botswana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",12.02,8.154,15.874,10.793,6.517,7.695,8.616,14.89,23.42,4.665,8.787,6.237,-0.208,4.027,-0.786,7.03,5.83,8.027,0.721,9.667,1.987,0.25,6.07,4.625,2.706,4.556,8.364,8.28,6.242,-7.653,8.564,6.048,4.456,11.343,4.149,-1.698,4.304,2.908,4.592,3.914,4.1,3.994,4.23,5.442,3.866,2017
223,BRA,Brazil,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.19,-4.4,0.596,-3.4,5.307,7.901,7.544,3.601,0.264,3.2,-4.168,1.031,-0.555,4.91,5.839,4.232,0.182,3.399,0.345,0.468,4.384,1.382,3.053,1.139,5.757,3.192,3.955,6.064,5.095,-0.119,7.545,3.986,1.928,3.008,0.506,-3.549,-3.313,1.057,1.113,2.055,2.534,2.218,2.218,2.218,2.218,2018
516,BRN,Brunei Darussalam,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,-2.778,0.311,-0.36,2.206,1.085,3.148,4.759,0.301,3.149,4.477,2.881,-1.475,-0.56,3.053,2.853,2.745,3.872,2.903,0.504,0.388,4.412,0.12,-1.979,-1.819,2.652,3.744,0.913,-2.125,-2.508,-0.405,-2.465,1.329,-0.233,4.801,6.633,7.601,5.919,3.877,2.191,2017
918,BGR,Bulgaria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.7,5.3,4.2,3,4.6,1.8,5.3,4.7,2.4,-0.5,-9.1,-10.755,-8.426,-11.625,-3.665,-1.601,-8.043,-1.646,4.861,-0.494,5.005,3.77,5.938,5.156,6.435,7.123,6.874,7.344,6.022,-3.586,1.324,1.915,0.031,0.494,1.838,3.471,3.937,3.811,3.2,3.3,3,2.8,2.8,2.8,2.8,2018
748,BFA,Burkina Faso,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.035,2.661,1.4,-1.2,1.6,11.3,7.955,-0.236,5.796,2.15,-0.603,9.07,0.233,3.461,1.315,5.716,11.015,6.317,7.308,7.333,1.887,6.609,4.353,7.81,4.478,8.665,5.984,4.372,5.8,2.962,8.446,6.627,6.453,5.794,4.326,3.895,5.946,6.317,6.034,5.988,5.988,6.029,6.034,6,6,2017
618,BDI,Burundi,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-6.825,12.164,-1.054,3.715,0.155,11.784,3.25,5.503,5.031,1.349,3.458,5.781,1.007,-6.236,-3.829,-7.919,-8.001,0.413,4.752,1.164,1.781,1.665,2.353,2.469,3.766,4.37,5.414,3.452,4.862,3.813,5.124,4.033,4.447,5.944,4.494,-3.956,-1.042,0.001,0.149,0.419,0.5,0.5,0.5,0.5,0.5,2015
624,CPV,Cabo Verde,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.263,8.45,2.822,9.523,3.78,8.643,2.872,4.308,5.997,5.698,0.692,1.403,3.045,7.31,6.93,7.492,6.694,7.639,8.413,11.86,7.267,6.138,5.283,7.502,4.927,5.81,9.118,9.218,6.651,-1.27,1.467,3.969,1.082,0.803,0.611,1.007,4.706,4.013,4.729,5.019,4.965,4.993,5.016,5.042,5.017,2017
522,KHM,Cambodia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.616,3.327,1.118,7.592,7.069,4.042,8.181,5.979,5.898,4.007,4.682,12.705,9.575,8.561,6.579,8.506,10.341,13.25,10.771,10.213,6.692,0.087,5.963,7.07,7.313,7.357,7.143,7.036,6.863,6.997,7.251,6.833,6.733,6.601,6.417,6.216,6.039,2017
622,CMR,Cameroon,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.9,17.051,7.563,6.844,7.468,8.107,6.791,-2.153,-7.865,-1.77,-6.161,-3.764,-3.05,-3.158,-2.495,3.304,4.912,5.314,4.895,4.062,3.553,4.368,4.237,4.567,6.781,2.021,3.458,4.902,3.489,2.199,3.423,4.129,4.543,5.404,5.884,5.651,4.648,3.549,4.047,4.299,4.736,4.892,5.102,5.313,5.521,2017
156,CAN,Canada,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.163,3.503,-3.188,2.601,5.909,4.738,2.144,4.072,4.41,2.317,0.164,-2.086,0.901,2.661,4.495,2.692,1.619,4.28,3.898,5.161,5.179,1.789,3.017,1.801,3.087,3.203,2.635,2.073,1.008,-2.928,3.089,3.147,1.762,2.33,2.868,0.69,1.107,2.979,1.834,1.458,1.93,1.787,1.637,1.6,1.6,2018
626,CAF,Central African Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.995,12.954,-3.572,-6.027,9.912,3.733,7.193,0,1.718,5.368,-2.12,0.695,-1.665,0.069,10.377,4.258,-7.786,7.694,3.744,3.722,-1.67,0.396,0.268,-6.834,2.632,2.468,4.771,4.608,2.054,1.709,3.047,3.301,4.113,-36.7,1.04,4.8,4.531,4.329,4.341,5.044,4.952,4.969,5.022,5.04,5.045,2012
628,TCD,Chad,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-6.008,-10.805,5.376,15.659,5.256,7.897,5.966,3.647,7.544,1.952,3.202,10.402,2.392,-2.074,5.494,-0.775,2.115,5.653,6.952,-0.683,-0.88,11.658,8.491,14.722,33.629,8.311,0.648,3.272,3.063,4.139,13.598,0.12,8.807,5.753,6.893,1.77,-6.431,-3.143,3.089,4.461,6.045,4.932,5.478,4.239,3.835,2017
228,CHL,Chile,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.945,6.212,-13.588,-2.802,5.886,1.968,5.596,6.581,7.288,10.605,3.671,7.715,11.132,6.722,5.062,8.844,6.869,7.417,4.362,-0.463,5.336,3.305,3.094,4.091,7.2,5.743,6.318,4.912,3.567,-1.594,5.825,6.119,5.332,4.049,1.769,2.307,1.694,1.257,4.022,3.397,3.24,2.995,3.001,2.984,3.042,2018
924,CHN,China,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.91,5.1,9,10.8,15.2,13.5,8.9,11.7,11.3,4.2,3.9,9.2,14.3,13.9,13.1,11,9.9,9.2,7.8,7.6,8.4,8.3,9.1,10,10.1,11.3,12.7,14.2,9.6,9.2,10.606,9.5,7.9,7.8,7.3,6.9,6.734,6.757,6.567,6.267,6.119,6,5.75,5.6,5.5,2018
233,COL,Colombia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.429,2.277,0.948,1.574,3.351,3.107,5.824,5.369,4.064,3.414,4.282,2.372,4.353,5.71,5.147,5.202,2.056,3.43,0.57,-4.204,2.925,1.678,2.504,3.918,5.333,4.707,6.779,6.848,3.257,1.205,4.347,7.363,3.903,4.567,4.729,2.956,2.087,1.351,2.658,3.537,3.649,3.749,3.749,3.749,3.649,2017
632,COM,Comoros,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.383,5.462,4.058,3.093,4.167,2,2,1.638,2.688,-3.181,5.094,-5.398,8.531,3.006,-5.277,3.61,-1.34,4.216,1.153,1.924,1.417,3.329,4.15,2.474,-0.239,4.23,1.242,0.492,0.975,1.81,2.051,2.227,2.961,3.518,1.95,1.034,2.157,2.708,2.763,2.797,2.9,3.101,3.201,3.3,3.3,2017
636,COD,Democratic Republic of the Congo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.405,0.945,-0.454,1.41,4.844,0.464,4.72,2.671,0.465,-1.26,-6.568,-8.445,-10.462,-13.468,-6.144,2.762,-1.935,-7.84,-3.875,-3.802,-8.136,-2.1,2.948,5.578,6.738,6.135,5.321,6.256,6.23,2.855,7.108,6.874,7.088,8.482,9.47,6.916,2.4,3.433,3.948,4.339,4.409,4.477,4.619,4.724,4.867,2018
634,COG,Republic of Congo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",12.678,2.613,2.41,2.393,2.375,2.359,2.343,2.327,21.908,21.269,1.003,2.395,2.612,-0.98,-5.493,3.985,4.29,-0.625,3.738,-2.582,7.576,3.803,4.582,0.813,3.477,7.756,6.236,-1.582,5.572,7.845,8.714,3.393,3.829,3.272,6.843,2.619,-2.829,-3.105,0.805,5.448,1.549,1.883,-0.033,1.215,2.228,2017
238,CRI,Costa Rica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.752,-2.26,-7.285,2.859,8.028,0.722,5.536,4.765,3.432,5.666,3.6,2.263,9.197,7.088,4.487,4.121,1.238,5.565,6.962,3.943,3.833,3.49,3.292,4.255,4.337,3.871,7.238,8.168,4.65,-0.971,4.952,4.307,4.797,2.269,3.515,3.632,4.246,3.397,2.67,2.925,2.817,3.016,3.117,3.337,3.537,2017
662,CIV,Côte d'Ivoire,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.196,3.498,0.2,-2.5,-2,3.6,4.8,-0.5,1.14,2.95,-1.09,0.04,-0.25,-0.18,0.171,5.572,8.136,5.723,4.931,1.618,-2.068,0.121,-1.668,-1.36,1.232,1.721,1.516,1.765,2.543,3.251,2.018,-4.857,10.864,9.272,8.794,8.843,7.972,7.702,7.414,7.479,7.174,6.967,6.737,6.534,6.461,2016
960,HRV,Croatia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-8,5.9,6.634,5.874,6.645,1.862,-0.936,3.749,3.453,5.254,5.581,3.915,4.11,4.868,5.284,2.036,-7.292,-1.473,-0.34,-2.3,-0.492,-0.088,2.401,3.536,2.921,2.708,2.62,2.5,2.4,2.2,2,2.021,2017
423,CYP,Cyprus,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.92,3.051,6.279,5.307,8.837,4.746,3.583,7.139,8.317,8.088,7.402,0.74,9.365,0.701,5.899,9.924,1.25,2.641,6.112,4.996,5.965,3.952,3.724,2.623,5.027,4.853,4.714,5.098,3.647,-2.015,1.334,0.405,-2.879,-5.799,-1.311,1.962,4.812,4.468,3.878,3.463,3.338,2.902,2.616,2.486,2.378,2018
935,CZE,Czech Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.525,-0.595,-0.329,1.433,4.267,2.909,1.652,3.603,4.907,6.533,6.854,5.603,2.682,-4.803,2.273,1.778,-0.8,-0.484,2.715,5.309,2.451,4.353,2.913,2.895,2.686,2.512,2.499,2.529,2.517,2017
128,DNK,Denmark,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.484,-0.658,3.678,2.594,4.172,4.005,4.9,0.254,-0.008,0.642,1.473,1.397,1.959,0.008,5.329,3.029,2.905,3.26,2.213,2.948,3.749,0.823,0.467,0.388,2.668,2.342,3.912,0.908,-0.511,-4.905,1.868,1.336,0.229,0.935,1.616,2.343,2.398,2.266,1.217,1.725,1.795,1.632,1.606,1.596,1.631,2018
611,DJI,Djibouti,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.562,-6.751,-1.36,-3.481,-3.732,-1.216,0.114,2.919,0.713,1.793,3.234,3.186,2.779,3.111,4.825,5.017,5.806,1.616,4.147,7.293,4.842,5.001,6,6.5,6.5,6.7,6.7,6.7,6,6,6,6,6,2018
321,DMA,Dominica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",13.383,10.829,4.128,2.556,4.197,1.421,7.073,6.308,7.817,-0.191,5.419,1.346,2.03,2.162,0.034,3.03,3.105,2.185,3.774,0.355,2.34,-0.063,-2.829,6.353,3.051,0.656,4.659,6.354,7.121,-1.17,0.673,-0.231,-1.07,0.771,4.187,-3.658,2.638,-5.409,-11.966,7.989,7.01,4.34,3.782,1.587,1.493,2016
243,DOM,Dominican Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.969,4.279,1.7,4.628,1.253,-2.123,3.522,10.117,2.156,4.401,-5.454,0.945,11.221,7.365,2.6,5.685,5.978,8.885,6.714,5.94,4.662,2.46,4.495,-1.346,2.57,9.428,9.174,7.416,3.21,0.946,8.34,3.133,2.717,4.875,7.636,7.033,6.612,4.552,7,5.113,4.99,5.037,5,5,5,2017
248,ECU,Ecuador,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.9,3.9,1.2,-2.8,4.2,4.4,3.094,-5.972,10.486,0.285,3.008,5.113,3.614,2,4.258,2.253,1.732,4.328,3.267,-4.739,1.092,4.016,4.097,2.723,8.211,5.291,4.404,2.19,6.357,0.566,3.525,7.868,5.642,4.947,3.789,0.099,-1.226,2.368,1.054,-0.485,0.162,1.205,2.654,2.276,2.105,2018
469,EGY,Egypt,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.409,2.198,7.296,8.876,8.021,7.425,4.759,4.273,3.994,2.993,2.35,2.1,0.3,2.9,4.188,4.484,4.879,5.919,7.543,6.11,5.383,3.524,3.186,3.193,4.092,4.472,6.844,7.088,7.156,4.674,5.147,1.765,2.226,3.302,2.916,4.372,4.347,4.181,5.314,5.488,5.89,6,6.012,5.992,6.044,2018
253,SLV,El Salvador,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-8.625,-5.725,-6.306,1.535,1.337,0.616,0.19,2.513,1.878,0.962,4.831,1.494,7.018,5.819,4.69,4.735,0.818,3.135,2.654,2.161,1.126,0.877,1.581,1.562,0.891,3.117,4.343,1.861,2.127,-2.083,2.106,3.812,2.814,2.239,1.71,2.395,2.511,2.305,2.536,2.5,2.3,2.2,2.2,2.2,2.2,2018
642,GNQ,Equatorial Guinea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.839,5.769,2.202,5.004,1.011,12.905,-2.331,4.437,2.655,-1.229,2.537,-1.245,33.002,10.461,16.808,26.51,52.678,147.973,24.815,26.395,110.494,60.023,19.621,14.455,30.391,8.21,6.507,15.282,17.799,1.343,-8.924,6.524,8.313,-4.133,0.415,-9.11,-8.817,-4.708,-5.728,-3.973,-4.675,-5.14,-5.566,-3.159,1.475,2017
643,ERI,Eritrea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.882,20.918,2.325,9.136,7.9,1.966,0.187,-12.355,8.755,3.005,-2.656,1.452,2.574,-0.969,1.427,-9.783,3.877,2.194,8.722,6.983,4.65,2.868,2.586,1.85,5.012,4.192,3.768,4.054,4.45,5.001,4.076,4.361,2006
