# File: pwt91_na.csv
# Title: Penn World Table version 9.1 supplemental National Accounts
# Units: million constant 2011 local currency; xr provides local currency to USD exchange rates
# Description: PWT used to provide macro-economic data for GCAM macroeconomic module.
# Source: DOI: 10.1257/aer.20130954 ; https://www.rug.nl/ggdc/productivity/pwt/?lang=en
# Column types: cinnnnnnn
# ----------
countrycode,year,q_c,q_i,q_g,q_x,q_m,q_gdp,xr
AFG,1976,272980.3896,110619.3765,25635.01471,12706.2854,26732.30835,557135.1623,0.044998427
AFG,1977,295482.3958,104196.3176,27637.7499,13134.58638,32164.54116,529041.0053,0.044998427
AFG,1978,302884.5495,120610.8044,29640.48749,13919.80653,34451.79813,568214.5702,0.044998427
AFG,1979,295553.0855,112769.311,28923.01388,14894.0272,35135.71781,553573.8969,0.043730753
AFG,1980,285949.5181,107656.1999,27983.20946,13814.51545,33559.53259,532997.9105,0.044129167
AFG,1981,291009.711,112153.5517,28478.41479,14033.0983,33950.80736,544472.9705,0.049479902
AFG,1982,297196.8953,113273.3032,29083.8577,14555.00339,34960.86993,555552.3681,0.050599608
AFG,1983,312008.1501,118875.4633,30533.33635,15133.1351,36573.96703,582855.1593,0.050599608
AFG,1984,317493.1941,121444.439,31070.15385,15419.48316,37202.01914,593538.8537,0.050599606
AFG,1985,318426.4853,121495.5855,31161.27035,15501.30195,37365.28945,595121.6621,0.050599605
AFG,1986,327974.844,125183.7517,32095.97247,15934.07524,38453.85462,612927.8323,0.050599605
AFG,1987,294269.8854,112386.3399,28797.63926,14304.51742,34504.54698,550012.7313,0.050599605
AFG,1988,269942.6566,103041.6594,26416.0703,13125.87909,31659.23169,504508.0704,0.050599605
AFG,1989,250886.7533,95782.0967,24552.74849,12194.6414,29419.26206,468895.7189,0.050599605
AFG,1990,243048.0855,92796.38026,23785.16426,11815.4699,28501.22956,454255.0818,0.050599605
AFG,1991,225706.0008,81946.28471,22084.97452,12642.59225,36024.32387,404602.1875,0.050599605
AFG,1992,238716.0832,82551.01661,23365.82492,14999.54011,47416.14606,411134.5038,0.050599605
AFG,1993,186155.6883,61403.23102,18216.50038,12870.29167,43690.18594,308495.0198,0.050599605
AFG,1994,150186.6779,47315.1481,14689.42205,11260.98592,40269.96788,239820.3169,0.425099934
AFG,1995,233350.5546,70313.56627,22863.61379,18766.9585,69833.10902,359573.6488,0.833333333
AFG,1996,228847.0455,66012.72493,22376.97922,19561.49367,75108.8972,340623.0271,2.5000225
AFG,1997,224465.9105,62054.52387,21921.84201,20247.75997,79743.34464,323111.7151,3.00003
AFG,1998,221182.6614,58699.14627,21785.54458,20943.89291,84234.19356,308446.5362,3.000052503
AFG,1999,217330.3328,55337.54623,21121.63696,21464.14861,87862.56597,293476.5449,46.61953108
AFG,2000,211676.7928,51807.57289,20597.19494,21735.05228,90319.01471,277325.3161,47.35757473
AFG,2001,200279.5933,54421.89535,20228.62333,19937.99047,86513.2464,261585.2016,47.50001452
AFG,2002,307620.2579,74592.48419,28693.00093,28924.47773,112789.3061,431608.7477,47.263
AFG,2003,378973.9006,83877.46744,37010.39281,42921.67219,179834.2223,467123.2812,48.76275358
AFG,2004,368233.8973,103152.3121,42890.32243,33771.62787,177785.8016,478064.2789,47.8453125
AFG,2005,432440.5823,112055.7305,43489.72793,34831.8703,198328.2399,525399.9833,49.4945975
AFG,2006,448857.064,111927.9024,57402.65131,33263.33457,204628.3999,573532.6806,49.92533083
AFG,2007,498405.4694,118009.8272,69691.05272,31381.74452,212404.8792,729771.0625,49.96201777
AFG,2008,510185.0009,116564.0183,70689.94441,37833.31574,220286.7418,681367.734,50.24961474
AFG,2009,527652.3394,169768.871,87714.34702,46712.54043,274594.3764,798732.9632,50.325
AFG,2010,752199.4585,152636.8362,92049.38302,48017.67942,334487.3155,824580.9328,46.452461
AFG,2011,819180,141792,109884,52298,378442,896162,46.74700774
AFG,2012,1245963.16,155064.7331,115006.8377,39958.16852,514362.9845,994110.9825,50.9214
AFG,2013,1509851.409,149350.4196,114829.1164,25434.91616,561629.156,1058488.874,55.3775
AFG,2014,1448927.167,115962.1897,112863.6805,36473.77025,463358.3439,1090923.971,57.2475
AFG,2015,1533814.712,124253.5125,114861.4734,27752.01305,495520.9382,1071384.097,61.14346154
AFG,2016,1516048.507,127234.944,116156.5058,22998.03099,453013.7987,1109515.638,67.86608577
AFG,2017,1519410.339,121803.6523,116615.6855,23178.778,424119.7579,1137253.474,67.59833333
AGO,1970,1324069.502,804718.9955,752914.4167,690534.0768,964878.1176,2901700.593,2.86E-08
AGO,1971,1403978.767,852267.6962,796360.6739,733393.4883,1022868.49,3075802.666,2.82E-08
AGO,1972,1406325.823,857001.1168,799242.4416,735001.8278,1027906.688,3081954.375,2.71E-08
AGO,1973,1520858.363,927418.0129,866826.0758,793790.1075,1114247.981,3331592.824,2.45E-08
AGO,1974,1561733.55,955472.6901,901629.5093,818344.9054,1150583.233,3434872.04,2.54E-08
AGO,1975,1493224.976,897150.7633,836828.2796,771551.4061,1067401.982,3263128.274,2.56E-08
AGO,1976,1414370.767,853463.0006,792235.585,744777.9504,1029226.737,3093445.64,2.94E-08
AGO,1977,1420530.931,882400.2108,815161.4065,744360.5436,1055131.726,3118193.379,2.99E-08
AGO,1978,1350748.105,826440.1127,780912.4528,700259.3854,1001257.854,2952929.133,2.99E-08
AGO,1979,1319598.093,820878.1786,811645.1055,705407.1064,999846.4985,2961787.808,2.99E-08
AGO,1980,1432368.744,784824.9231,686137.7555,689799.8733,872872.0691,3032870.744,2.99E-08
AGO,1981,1455019.745,796731.5293,722006.1393,744640.5037,1023920.188,2899424.261,2.99E-08
AGO,1982,1459076.588,903891.8654,817552.1253,648580.7216,1040930.547,2899424.261,2.99E-08
AGO,1983,1571234.274,781848.2724,827137.6467,678200.4016,1013277.133,3021200.228,2.99E-08
AGO,1984,1581921.965,826498.3099,1009571.779,762944.3144,1035167.431,3202472.072,2.99E-08
AGO,1985,1921989.835,654939.1502,919271.9416,717938.3177,938013.4955,3314558.791,2.99E-08
AGO,1986,1741769.459,556208.7618,981828.1071,824813.965,775795.6718,3419834.701,2.99E-08
AGO,1987,1689490.49,638314.6707,1023746.766,1050895.99,873707.8025,3659236.169,2.99E-08
AGO,1988,1685303.241,481296.907,1081895.555,1330040.44,886466.4993,3863160.619,2.99E-08
AGO,1989,1838985.583,447109.5929,1019689.153,1306779.613,876328.8619,3878129.182,2.99E-08
AGO,1990,1787613.063,481656.615,1026447.161,1358167.204,943556.763,3860885.625,2.99E-08
AGO,1991,1099963.028,1082978.66,1198509.49,1282721.227,937087.1734,3899160.917,5.51E-08
AGO,1992,904090.0366,1750102.668,1169453.4,1720105.717,1445639.965,3671517.002,2.51E-07
AGO,1993,700438.3507,1364944.28,611468.3088,1365109.63,1138958.001,2790961.689,2.66E-06
AGO,1994,795361.9321,1344651.824,763885.0433,1996590.74,1588464.101,2828342.832,0.000059515
AGO,1995,925960.3893,1679470.066,962571.5746,2233586.181,1882806.334,3252594.487,0.00275023
AGO,1996,874291.7197,2504593.72,416986.0146,2911032.593,2003870.869,3693137.769,0.128029167
AGO,1997,1237734.771,1939557.398,1253626.799,2542787.11,2107871.805,3961786.852,0.229040083
AGO,1998,1783699.784,2680662.26,658655.454,2086102.589,2207574.155,4147639.756,0.392823518
AGO,1999,1480114.005,2170264.182,1437252.147,3307723.906,2915764.028,4238120.313,2.790706167
AGO,2000,1140131.812,1219254.43,1053649.615,3538934.076,2035786.261,4367578.782,10.04054417
AGO,2001,2033082.926,1119641.336,883801.1806,3070025.481,2504831.518,4504720.983,22.05786167
AGO,2002,1958672.206,1202606.694,1025916.506,3496144.768,2380842.304,5159256.468,43.53020667
AGO,2003,2119741.857,1370565.136,1066633.373,3449174.625,2611656.253,5313510.866,74.60630083
AGO,2004,2203700.173,1605488.042,1089069.236,3900559.931,2797944.039,5895504.259,83.5413625
AGO,2005,2314588.353,1801293.385,1179099.207,4794882.643,3132334.798,6781551.625,87.15914167
AGO,2006,2462958.276,1877668.195,1294886.815,5480063.37,3331235.483,7571463.964,80.36807206
AGO,2007,2610242.948,2105429.46,1404952.114,6387562.092,3584409.424,8632175.297,76.70614275
AGO,2008,2823500.166,2662001.584,1578323.134,7065920.906,4235697.037,9595909.51,75.03335417
AGO,2009,3114827.452,2759596.666,1432553.981,6878637.161,4215601.401,9678295.719,79.32816667
AGO,2010,3236755.268,2509747.003,1505043.645,6714999.409,3720763.929,10148584.82,91.90572034
AGO,2011,3568471.719,2774806.013,1914937.108,6370916,4128189,10500941.84,93.93475
AGO,2012,3919741.194,2973654.056,1926853.385,6702194.764,4124496.318,11397947.88,95.46795542
AGO,2013,4243772.37,3022612.962,2338863.598,6623517.533,4305093.437,11962669.77,96.51827948
AGO,2014,4781617.194,3126943.929,2008176.666,6670188.851,4083015.769,12539585.05,98.30241686
AGO,2015,4923095.515,3067318.709,1831834.417,5690383.425,3106753.606,12657904.98,120.0607017
AGO,2016,5213262.798,2468058.865,1638965.743,4643608.03,2338176.882,12331318.13,163.6564341
AGO,2017,5329798.914,2582192.8,1299073.569,4410319.962,2401259.917,12023036.22,165.9159507
AIA,1970,38.97400743,45.10060811,12.62611789,44.68351033,50.04075761,98.51787721,2.00337611
AIA,1971,37.99436709,43.96133814,12.31021205,43.57565816,48.78435261,96.05633911,1.964366395
AIA,1972,42.33619361,49.08219703,13.72256869,48.6177284,54.42358036,107.1397537,1.921872147
AIA,1973,44.09234172,51.17755106,14.2781894,50.71997731,56.77662795,111.617247,1.959219232
AIA,1974,44.07834967,51.03539114,14.28510597,50.45675,56.56390159,111.3921231,2.053232409
AIA,1975,45.68851323,52.59167541,14.79255915,52.18568175,58.45145455,115.2035924,2.169795833
AIA,1976,46.23896686,53.46641946,14.99036304,53.12454028,59.37889381,116.9901631,2.614670833
AIA,1977,46.08521,53.96057071,14.96841843,53.26488048,59.59543249,117.2106155,2.7
AIA,1978,49.67647467,57.99406096,16.00969147,57.62617484,64.50610461,125.9406769,2.7
AIA,1979,55.0392598,62.94808457,17.90812061,61.47647792,69.42627862,137.919503,2.7
AIA,1980,58.00183474,64.8362241,18.68919378,65.53454283,73.08517865,144.6378885,2.7
AIA,1981,58.28003622,68.94084291,19.0199907,68.95388713,76.27780687,150.0199457,2.7
AIA,1982,56.80095036,70.78174077,18.62635973,67.66645961,76.08596989,148.3413574,2.7
AIA,1983,59.49596221,68.45017681,18.43891884,70.25404143,78.82329948,148.4629575,2.7
AIA,1984,65.46862067,67.6154482,22.2467856,59.95275629,71.22682623,155.0688582,2.7
AIA,1985,71.88361404,71.32207974,22.06123194,85.72849167,90.10680046,175.0079463,2.7
AIA,1986,64.29104452,101.8049632,22.61882304,97.14453457,103.4389167,197.3201816,2.7
AIA,1987,77.50581754,123.3876114,26.0809717,95.78510761,116.8402673,218.3062282,2.7
AIA,1988,123.6000053,96.01111113,29.60997139,140.8922258,156.6670933,252.2748331,2.7
AIA,1989,115.5936712,111.462714,30.91547229,168.0281842,174.8524646,273.7221537,2.7
AIA,1990,159.3805614,132.313058,38.97115956,187.1331655,197.2750255,343.5311026,2.7
AIA,1991,132.3545864,92.27326256,36.22712062,156.8855361,162.1036499,281.1282482,2.7
AIA,1992,215.2549276,120.0930181,46.96173285,195.5559653,239.0094029,361.8244416,2.7
AIA,1993,229.6734505,99.50815022,50.85827435,230.1948781,253.4353825,388.691983,2.7
AIA,1994,219.3849571,105.034851,58.09722944,257.8317215,260.7722968,419.8116501,2.7
AIA,1995,285.4486977,112.3175174,61.30449544,224.5192268,295.7422194,410.0692525,2.7
AIA,1996,303.4400547,115.9095548,62.9075348,226.3812933,308.7223955,420.3490247,2.7
AIA,1997,309.6142793,110.6012569,72.67814531,256.4775038,315.6469055,465.2762447,2.7
AIA,1998,330.8410097,161.6091954,57.3641435,307.1150053,374.6595136,513.2407039,2.7
AIA,1999,413.3343447,218.2726408,66.93144489,259.0909345,430.4949759,532.1648364,2.7
AIA,2000,436.7932131,220.865756,78.1742051,249.2842692,446.1773123,538.9401312,2.7
AIA,2001,407.4981606,173.8352687,90.4539826,263.5503128,383.3902939,551.9474308,2.7
AIA,2002,422.7897305,125.2844462,85.27985229,235.7935283,338.2217926,530.9382719,2.7
AIA,2003,443.6833588,141.7760327,88.30104024,254.2815433,367.0929748,560.9367634,2.7
AIA,2004,530.5732502,210.7348271,66.96841655,267.0486417,435.1414887,640.1836469,2.7
AIA,2005,562.936418,253.6042053,87.89099162,359.0253192,539.1974452,724.259489,2.7
AIA,2006,894.4568542,346.5887843,97.5660594,417.1549339,884.627345,871.1392868,2.7
AIA,2007,862.0118377,512.8434324,106.0661416,398.8392452,892.433819,987.326838,2.7
AIA,2008,819.2232274,558.9631536,116.5930421,373.1679916,894.969202,972.9782126,2.7
AIA,2009,666.959328,236.1471972,127.456414,377.8003167,614.4814383,793.8818176,2.7
AIA,2010,607.4572371,183.0494831,135.3719889,361.0287023,528.3828582,758.5245532,2.7
AIA,2011,650.290829,140.517559,125.690412,370.327524,497.303577,789.522747,2.7
AIA,2012,589.6890256,152.0876694,122.8725602,363.9512894,487.8912449,739.3461822,2.7
AIA,2013,581.8135757,143.045069,116.6208809,379.6095476,486.2423247,734.4741038,2.7
AIA,2014,615.0659559,190.3295519,114.0978032,358.1495424,505.9625274,771.6861165,2.7
AIA,2015,605.1721169,199.0021048,118.8209324,348.186597,500.1811076,795.9708637,2.7
AIA,2016,629.2384367,233.4140748,119.9014146,351.5799838,517.5925898,785.3372757,2.7
AIA,2017,555.5927151,187.2515898,105.9558152,317.734031,457.7183014,724.5210503,2.7
ALB,1970,229604.9417,97963.70281,10798.66479,47943.65455,28239.94108,386082.7465,5
ALB,1971,238825.2381,101837.6454,11234.38133,49863.91154,29375.13781,401529.2033,5
ALB,1972,248418.0476,105888.9861,11684.14766,51903.41716,30537.04965,417646.2306,5
ALB,1973,258274.5032,110366.4464,12144.09364,53902.89352,31782.31805,434426.8602,5
ALB,1974,268767.7397,114403.0179,12649.8747,56098.58953,33061.92262,451676.4092,5
ALB,1975,279570.9033,119035.8769,13144.39763,58536.05127,34305.8309,469983.7717,5
ALB,1976,290252.6568,124964.1318,13635.39685,60374.56416,35831.10839,488923.7204,5
ALB,1977,302874.3174,127413.4598,14296.87482,63236.74153,37218.22012,507645.1147,5
ALB,1978,314657.7844,134091.5074,14746.92361,66499.73627,38323.84456,529482.4109,5
ALB,1979,324803.5052,144510.5088,15220.54909,66214.36214,40822.39051,550450.4813,6.167123288
ALB,1980,344087.6821,134777.9851,16471.32896,72632.81534,41711.26175,568237.1687,7
ALB,1981,352851.4766,156250.0969,16174.01149,77315.35005,41805.4269,600885.6933,7
ALB,1982,357213.5427,179627.0114,16732.96644,64571.95696,49183.74362,618603.7027,7
ALB,1983,377913.5437,162339.6322,17303.8146,60351.05389,42155.80107,625438.9278,7
ALB,1984,390404.881,141733.3308,18267.11988,55975.70676,37965.82978,617610.8847,7
ALB,1985,392308.3298,152469.3922,18445.50972,52018.1263,36436.37284,628608.2578,7
ALB,1986,410232.4516,157462.2398,19170.9608,50573.53246,31129.78906,663777.0591,7
ALB,1987,427680.7144,139020.4562,19777.48623,51903.0465,31056.49768,658545.6573,7
ALB,1988,426847.9564,143464.9549,19123.39017,55043.92964,39966.81982,649190.2308,6.670000076
ALB,1989,451751.386,171026.6189,19563.41843,70101.38256,49144.68097,713074.4291,6.130000114
ALB,1990,484863.4302,118558.4459,20395.90432,48517.59579,49308.02525,641973.1875,7.745833397
ALB,1991,421396.6296,24746.89524,30681.28886,16972.14035,43526.50456,462206.955,16.24583244
ALB,1992,519020.3866,17454.50458,27220.93605,26408.64473,136368.5073,428987.6067,75.0325
ALB,1993,519037.173,56392.75225,24873.09974,45105.95474,149337.2744,469996.2762,102.0625
ALB,1994,508841.3712,93503.55359,29817.38636,40594.27522,139773.7306,509019.4568,94.62333333
ALB,1995,532469.4752,104330.8863,32593.14682,49502.04596,144433.6873,576832.7313,92.6975
ALB,1996,597883.3664,139444.5708,38669.46875,57104.81853,194195.1695,629334.5744,104.4989167
ALB,1997,497498.4563,97895.60845,70850.8663,38024.06002,161187.297,561128.2307,148.9329167
ALB,1998,512968.972,116506.0641,105597.4748,51086.42484,198208.5918,610672.1504,150.6333333
ALB,1999,528848.4855,148658.4038,111081.0207,88407.82621,221992.3249,689392.1142,137.6905833
ALB,2000,542799.205,198901.877,105902.3407,109297.8022,287946.3287,737279.3232,143.7094167
ALB,2001,564505.5844,244077.748,116174.2685,126191.0461,331777.1327,798424.0168,143.4848333
ALB,2002,604970.6401,256699.3943,122362.6252,130673.815,364345.6264,834645.1188,140.1545159
ALB,2003,667763.6867,276940.6748,121484.9496,146058.3726,383027.8564,880789.5244,121.86325
ALB,2004,692420.1886,309614.2437,126737.5308,173055.6065,414498.2395,929363.2672,102.7800512
ALB,2005,736682.9797,331468.0873,124892.3715,215050.7637,481627.0984,980724.2762,99.87025448
ALB,2006,787562.1341,356559.2305,121865.8994,251453.322,523558.1461,1038612.364,98.10337709
ALB,2007,887824.427,373091.1388,125971.7563,299511.6049,625053.5112,1100755.136,90.42789383
ALB,2008,977726.2702,410299.1418,131483.2013,285657.4823,647695.3411,1183312.762,83.8946041
ALB,2009,984721.4871,415555.344,136398.9915,299116.3256,640310.0356,1223004.353,94.97811982
ALB,2010,1000652.029,384512.2366,141808.9068,356527.4689,636641.353,1268339.363,103.9364434
ALB,2011,1018381.231,408572.586,142732.6301,380322.4537,676025.7473,1300624.103,100.8949547
ALB,2012,1019693.184,376245.7161,142879.4399,381439.0206,630771.6096,1319057.027,108.1846446
ALB,2013,1038415.284,369557.8935,147032.9469,387500.0921,626711.7281,1332273.756,105.6686734
ALB,2014,1067630.788,348694.2306,156435.057,391967.2002,653402.0943,1355914.832,105.4792341
ALB,2015,1080243.78,359779.342,154708.045,395766.755,634615.4315,1385999.151,125.9608304
ALB,2016,1109329.745,368147.2938,161974.4261,440649.0358,678712.1582,1432459.962,124.1408715
ALB,2017,1140799.496,391740.8304,165967.5921,479939.1436,734660.5868,1487486.162,119.0996667
AND,1970,517.17429,228.2047461,80.1317056,98.74221112,110.6701291,810.1062561,0.420708473
AND,1971,542.8365113,219.5539705,85.32182394,110.8533555,108.9636471,847.7719732,0.417515096
AND,1972,583.278371,248.7460555,91.20127214,122.887752,126.6334548,916.8631915,0.386278994
AND,1973,625.7907054,281.7246088,98.1718257,132.2843175,145.804733,988.2727121,0.350150153
AND,1974,667.6316545,330.1863885,107.9501558,138.2816765,192.7969311,1043.801736,0.346702848
AND,1975,672.3109546,313.8672027,114.6246757,130.5024686,174.9857396,1049.461217,0.345022518
AND,1976,709.3112647,306.0340329,127.9121939,136.8953194,189.4262994,1084.133291,0.402094627
AND,1977,722.0587286,291.9875195,133.9375943,148.4546155,177.0159177,1114.907189,0.456539813
AND,1978,719.4726844,271.6086799,140.9003069,157.7612328,156.284672,1131.218278,0.460782958
AND,1979,726.0435686,264.8889836,146.8939409,155.8324442,159.5811074,1131.688345,0.403429375
AND,1980,756.0609465,280.0298049,157.712906,166.0924978,199.323413,1156.684235,0.430937198
AND,1981,760.2631981,260.550774,168.3380571,189.001156,220.117269,1155.152012,0.554865393
AND,1982,765.9011785,262.3602726,172.4835045,199.5086093,228.1659407,1169.550551,0.660266889
AND,1983,771.6808841,256.8998103,180.7751195,228.133923,245.7665947,1190.252916,0.86203116
AND,1984,768.308371,247.8573843,181.1169433,259.3238632,244.6544249,1211.495217,0.966193069
AND,1985,782.6394949,256.3615311,188.6583064,259.8843622,247.4087513,1239.619234,1.021985524
AND,1986,798.1601661,276.2592191,192.2922344,234.0338869,219.0346099,1279.94815,0.841707688
AND,1987,842.3959097,310.8004985,209.679352,240.6023868,250.6648746,1350.948333,0.74211973
AND,1988,874.3497443,357.4929714,218.1979623,246.8385024,274.9887574,1419.770126,0.700099968
AND,1989,920.6186805,394.3704565,236.1886751,248.2792321,308.6245107,1488.30281,0.711464106
AND,1990,946.7228801,411.7438224,251.524086,244.0476623,306.4873897,1544.581275,0.612635178
AND,1991,969.6816373,409.3385118,268.5960323,250.832821,311.6335892,1583.906379,0.624521194
AND,1992,989.579139,382.1595977,285.2670454,260.0197495,315.6853919,1598.62439,0.615310683
AND,1993,978.1643846,337.3182009,290.8781535,281.5227798,303.7575371,1582.134694,0.764850508
AND,1994,998.3697977,348.3814598,288.340999,330.5864873,344.8155471,1619.839898,0.805103524
AND,1995,1014.444938,372.3296218,293.821804,365.0568238,381.1461245,1664.507063,0.749395983
AND,1996,1053.264964,384.649048,305.5839457,402.7001645,404.2957449,1741.902377,0.761251447
AND,1997,1144.219027,427.1476227,324.3966042,489.2830532,485.1939903,1899.852318,0.879963629
AND,1998,1171.806051,466.6034904,331.8985369,513.3346115,523.0941475,1960.548543,0.897884027
AND,1999,1218.000451,518.8992433,343.6800889,538.7446395,578.4113929,2040.91303,0.938627276
AND,2000,1232.561404,548.788388,345.4104856,590.839694,652.894284,2064.705687,1.085400833
AND,2001,1278.058331,573.6015696,357.643909,601.4290504,652.1498628,2158.582997,1.11751
AND,2002,1344.578842,618.2472677,382.0616769,608.5148332,655.1372713,2298.26535,1.062551667
AND,2003,1485.667316,717.2683816,432.1455928,656.0150287,713.161509,2577.93481,0.886034167
AND,2004,1607.947082,797.9186713,476.1971726,698.7373707,805.708336,2775.091962,0.805365
AND,2005,1718.861729,894.5777824,515.9301112,735.19,884.1944855,2980.365139,0.80412
AND,2006,1784.118065,975.0517265,540.6911986,774.9024213,959.1984081,3115.565003,0.797140833
AND,2007,1775.94815,976.6676669,550.9234317,801.2616413,987.9893933,3116.811497,0.7306375
AND,2008,1617.061516,843.197756,534.8319808,721.2864173,867.3002778,2849.077392,0.682674711
AND,2009,1539.337961,674.0557154,562.0991944,622.14229,653.7073819,2743.92778,0.71984336
AND,2010,1486.52398,611.5396116,532.7106331,662.7068559,696.5957245,2596.885356,0.755044952
AND,2011,1431.591688,542.474161,508.242635,716.125482,722.213966,2476.22,0.719355254
AND,2012,1432.3538,487.0971488,480.9891057,747.9202171,712.1365002,2436.223771,0.778293601
AND,2013,1426.511747,457.4532925,481.2363537,787.6512355,708.062119,2444.79051,0.753159182
AND,2014,1466.52519,486.3954336,486.8050236,817.9802771,757.2308417,2500.475081,0.753730737
