# File: A326.inc_elas.csv
# Title:  Aluminum demand income elasticity as a function of per-capita gdp
# Units: inc_elas:unitless (% change in service demand / % change in income)
# Column types: cnn
# ----------
region,year,inc_elas
Africa_Southern,2080,0.246
Africa_Western,2080,0.107
Australia_NZ,2080,-0.1
Brazil,2080,-0.08
Canada,2080,-0.1
Central America and Caribbean,2080,0.021
Central Asia,2080,0.037
China,2080,-0.087
EU-12,2080,-0.1
EU-15,2080,-0.1
Europe_Eastern,2080,0.14
Europe_Non_EU,2080,-0.1
European Free Trade Association,2080,-0.1
India,2080,0.172
Indonesia,2080,-0.058
Japan,2080,-0.1
Mexico,2080,-0.1
Middle East,2080,-0.043
Pakistan,2080,0.346
Russia,2080,-0.083
South Africa,2080,-0.046
South America_Northern,2080,-0.064
South America_Southern,2080,-0.086
South Asia,2080,0.358
South Korea,2080,-0.1
Southeast Asia,2080,0.032
Taiwan,2080,-0.1
Argentina,2080,-0.099
Colombia,2080,-0.058
USA,2085,-0.1
Africa_Eastern,2085,0.272
Africa_Northern,2085,0.025
Africa_Southern,2085,0.176
Africa_Western,2085,0.04
Australia_NZ,2085,-0.1
Brazil,2085,-0.099
Canada,2085,-0.1
Central America and Caribbean,2085,-0.02
Central Asia,2085,0.012
China,2085,-0.1
EU-12,2085,-0.1
EU-15,2085,-0.1
Europe_Eastern,2085,0.108
Europe_Non_EU,2085,-0.1
European Free Trade Association,2085,-0.1
India,2085,0.135
Indonesia,2085,-0.08
Japan,2085,-0.1
Mexico,2085,-0.1
Middle East,2085,-0.063
Pakistan,2085,0.291
Russia,2085,-0.096
South Africa,2085,-0.064
South America_Northern,2085,-0.085
South America_Southern,2085,-0.1
South Asia,2085,0.305
South Korea,2085,-0.1
Southeast Asia,2085,-0.003
Taiwan,2085,-0.1
Argentina,2085,-0.1
Colombia,2085,-0.08
USA,2090,-0.1
Africa_Eastern,2090,0.194
Africa_Northern,2090,-0.007
Africa_Southern,2090,0.117
Africa_Western,2090,-0.014
Australia_NZ,2090,-0.1
Brazil,2090,-0.1
Canada,2090,-0.1
Central America and Caribbean,2090,-0.058
Central Asia,2090,-0.015
China,2090,-0.1
EU-12,2090,-0.1
EU-15,2090,-0.1
Europe_Eastern,2090,0.075
Europe_Non_EU,2090,-0.1
European Free Trade Association,2090,-0.1
India,2090,0.096
Indonesia,2090,-0.1
Japan,2090,-0.1
Mexico,2090,-0.1
Middle East,2090,-0.081
Pakistan,2090,0.23
Russia,2090,-0.1
South Africa,2090,-0.081
South America_Northern,2090,-0.1
South America_Southern,2090,-0.1
South Asia,2090,0.244
South Korea,2090,-0.1
Southeast Asia,2090,-0.04
Taiwan,2090,-0.1
Argentina,2090,-0.1
Colombia,2090,-0.1
USA,2095,-0.1
Africa_Eastern,2095,0.139
Africa_Northern,2095,-0.04
Africa_Southern,2095,0.051
Africa_Western,2095,-0.061
Australia_NZ,2095,-0.1
Brazil,2095,-0.1
Canada,2095,-0.1
Central America and Caribbean,2095,-0.082
Central Asia,2095,-0.044
China,2095,-0.1
EU-12,2095,-0.1
EU-15,2095,-0.1
Europe_Eastern,2095,0.043
Europe_Non_EU,2095,-0.1
European Free Trade Association,2095,-0.1
India,2095,0.054
Indonesia,2095,-0.1
Japan,2095,-0.1
Mexico,2095,-0.1
Middle East,2095,-0.1
Pakistan,2095,0.178
Russia,2095,-0.1
South Africa,2095,-0.099
South America_Northern,2095,-0.1
South America_Southern,2095,-0.1
South Asia,2095,0.186
South Korea,2095,-0.1
Southeast Asia,2095,-0.065
Taiwan,2095,-0.1
Argentina,2095,-0.1
Colombia,2095,-0.1
USA,2100,-0.1
Africa_Eastern,2100,0.077
Africa_Northern,2100,-0.063
Africa_Southern,2100,0.001
Africa_Western,2100,-0.093
Australia_NZ,2100,-0.1
Brazil,2100,-0.1
Canada,2100,-0.1
Central America and Caribbean,2100,-0.1
Central Asia,2100,-0.062
China,2100,-0.1
EU-12,2100,-0.1
EU-15,2100,-0.1
Europe_Eastern,2100,0.019
Europe_Non_EU,2100,-0.1
European Free Trade Association,2100,-0.1
India,2100,0.023
Indonesia,2100,-0.1
Japan,2100,-0.1
Mexico,2100,-0.1
Middle East,2100,-0.1
Pakistan,2100,0.135
Russia,2100,-0.1
South Africa,2100,-0.1
South America_Northern,2100,-0.1
South America_Southern,2100,-0.1
South Asia,2100,0.141
South Korea,2100,-0.1
Southeast Asia,2100,-0.085
Taiwan,2100,-0.1
Argentina,2100,-0.1
Colombia,2100,-0.1
