# File: aquastat_ctry.csv
# Title: Mapping between aquastat database country names and iso codes
# Units: NA
# Comments: Maps countries in all aquastat databases to iso codes
# Source: NA
# Column types: cccc
# ----------
aquastat_ctry,iso,AusNWC_reg,Superwell_country
Saint Kitts and Nevis,kna,Americas,Saint Kitts and Nevis
Republic of Korea,kor,Asia Pacific,South Korea
Kuwait,kwt,Middle East and Africa,Kuwait
Lao Peoples Democratic Republic,lao,,Laos
Lebanon,lbn,Middle East and Africa,Lebanon
Liberia,lbr,,Liberia
Libya,lby,Middle East and Africa,Libya
Saint Lucia,lca,,Saint Lucia
Sri Lanka,lka,,Sri Lanka
Lesotho,lso,,Lesotho
,lie,,Liechtenstein
Lithuania,ltu,,Lithuania
Luxembourg,lux,,Luxembourg
Latvia,lva,,Latvia
Morocco,mar,Middle East and Africa,Morocco
Monaco,mco,,
Republic of Moldova,mda,,Moldova
Madagascar,mdg,,Madagascar
Maldives,mdv,Asia Pacific,
Mexico,mex,Americas,Mexico
Marshall Islands,mhl,Asia Pacific,
The former Yugoslav Republic of Macedonia,mkd,,The Former Yugoslav Republic of Macedonia
Mali,mli,,Mali
Malta,mlt,Europe,
Myanmar,mmr,,Myanmar
Montenegro,mne,,Montenegro
Mongolia,mng,Asia Pacific,Mongolia
Mozambique,moz,,Mozambique
Mauritania,mrt,Middle East and Africa,Mauritania
,msr,,Montserrat
Mauritius,mus,,
Malawi,mwi,,Malawi
Malaysia,mys,Asia Pacific,Malaysia
Namibia,nam,Middle East and Africa,Namibia
Niger,ner,,Niger
Nigeria,nga,Middle East and Africa,Nigeria
Nicaragua,nic,Americas,Nicaragua
Netherlands,nld,,Netherlands
,nfk,,Norfolk Island
Norway,nor,Europe,Norway
Nepal,npl,,Nepal
New Zealand,nzl,,New Zealand
Oman,omn,Middle East and Africa,Oman
Pakistan,pak,,Pakistan
Panama,pan,,Panama
Peru,per,Americas,Peru
Philippines,phl,,Philippines
Papua New Guinea,png,,Papua New Guinea
Poland,pol,Europe,Poland
Puerto Rico,pri,,
Democratic Peoples Republic of Korea,prk,,North Korea
Portugal,prt,Europe,Portugal
Paraguay,pry,Americas,Paraguay
Occupied Palestinian Territory,pse,,Palestinian Territory
Qatar,qat,Middle East and Africa,Qatar
Romania,rom,,Romania
Russian Federation,rus,,Russian Federation
Rwanda,rwa,,Rwanda
Saudi Arabia,sau,Middle East and Africa,Saudi Arabia
South Sudan,sdn,,South Sudan
Sudan,sdn,,Sudan
Senegal,sen,Middle East and Africa,Senegal
Singapore,sgp,Asia Pacific,Singapore
,slb,,Solomon Islands
Sierra Leone,sle,,Sierra Leone
El Salvador,slv,Americas,El Salvador
Somalia,som,Middle East and Africa,Somalia
,srb,,Serbia
,stp,,Sao Tome and Principe
Suriname,sur,,Suriname
Slovakia,svk,,Slovakia
Slovenia,svn,,Slovenia
Sweden,swe,Europe,Sweden
Swaziland,swz,,Swaziland
Seychelles,syc,Middle East and Africa,Seychelles
Syrian Arab Republic,syr,,Syria
Chad,tcd,,Chad
Togo,tgo,,Togo
Thailand,tha,,Thailand
Tajikistan,tjk,Asia Pacific,Tajikistan
Turkmenistan,tkm,Asia Pacific,Turkmenistan
Timor-Leste,tls,,Timor-Leste
Trinidad and Tobago,tto,Americas,Trinidad and Tobago
Tunisia,tun,Middle East and Africa,Tunisia
Turkey,tur,Middle East and Africa,Turkey
Taiwan,twn,,Taiwan
United Republic of Tanzania,tza,,Tanzania
Uganda,uga,,Uganda
Ukraine,ukr,,Ukraine
Uruguay,ury,,Uruguay
United States of America,usa,Americas,United States
Uzbekistan,uzb,,Uzbekistan
Saint Vincent and the Grenadines,vct,,
Venezuela (Bolivarian Republic of),ven,Americas,Venezuela
,vgb,,British Virgin Islands
Viet Nam,vnm,,Vietnam
,vut,,Vanuatu
Yemen,yem,Middle East and Africa,Yemen
South Africa,zaf,Middle East and Africa,South Africa
Zambia,zmb,,Zambia
Zimbabwe,zwe,,Zimbabwe
