# File: CEDS_to_GCAM_sector_mapping.csv
# Title: mapping file for CEDS extended sectors and GCAM sectors
# Units: NA
# Source: NA - Mapping file
# Column types: cccccc
# ----------
CEDS_sector_code,CEDS_Sector,IPCC_sector_code,IPCC_sector_description,GCAM_sector,Notes
1B2av,1B2av_Fugitive-petr-distr,1B2,Fugitive emissions from oil and gas,petroleum_distribution,
1B2av,1B2av_Fugitive-petr-distr-marine,,,petroleum_distribution_marine,Consider putting somewhere else
1B2b,1B2b_Fugitive-NG-prod-distr,1B2,Fugitive emissions from oil and gas,NG_production_distribution,
2A1,2A1_Cement-production,2A7,Production of other minerals,cement,
2A2,2A2_Lime-production,2A7,Production of other minerals,industry_processes,
2A5b,2A5b_Construction-and-demolition,1A2,Manufacturing Industries and Construction,industry_processes,
2A6,2A6_Other-minerals,2A7,Production of other minerals,industry_processes,
2B,2B_Chemicals-other,2B,Production of chemicals,industry_processes,
2C,2C_Iron-steel-alloy,2C,Production of metals,industry_processes,
2C3,2C3_Aluminum-production,2C,Production of metals,industry_processes,
2C5,2C5_Lead-production,2C,Production of metals,industry_processes,
2C6,2C6_Zinc-production,2C,Production of metals,industry_processes,
2C7,2C7_Other-metal,2C,Production of metals,industry_processes,
2C7a,2C7a_Copper-production,2C,Production of metals,industry_processes,
2C7b,2C7b_Nickel-production,2C,Production of metals,industry_processes,
2D3a,2D3a_Domestic-solvent-use,3D,Solvent and other product use: other,solvents,
2D3c,2D3c_Asphalt-roofing,3D,Solvent and other product use: other,solvents,
2D3d,2D3d_Coating-application,3A,Solvent and other product use: paint,solvents,
2D3e,2D3e_Degreasing,3B,Solvent and other product use: degrease,solvents,
2D3f,2D3f_Dry-cleaning,3C,Solvent and other product use: chemicals,solvents,
2D3h,2D3h_Printing,3D,Solvent and other product use: other,solvents,
2D3i,2D3i_Other-solvent-use,3D,Solvent and other product use: other,solvents,
2H1,2H1_Pulp-and-paper,2D,Production of pulp/paper/food/drink,industry_processes,
2H2,2H2_Ethanol Production,,,ethanol_production,Should have as a subsector of refineries
2H2,2H2_Biodiesel Production,,,biodiesel_production,
2H2,2H2_Food-and-beverage,2D,Production of pulp/paper/food/drink,industry_processes,
2H3,2H3_Other-industrial-processes,,,industry_processes,
2I,2I_Wood-processing,,,industry_processes,
3B1a,3B1a_Cattle-dairy,2D,Production of pulp/paper/food/drink,Dairy,
3B1b,3B1b_Cattle-non-dairy,2D,Production of pulp/paper/food/drink,Beef,
3B2,3B2_Manure-sheep,4D2,Manure in pasture/range/paddock,SheepGoat,
3B3,3B3_Manure-swine,4D2,Manure in pasture/range/paddock,Pork,
3B4,3B4_Manure-other,4D2,Manure in pasture/range/paddock,Other_Farm,
3B4,3B4_Manure-poultry,4D2,Manure in pasture/range/paddock,Poultry,
3B4d,3B4d_Manure-goats,4D2,Manure in pasture/range/paddock,SheepGoat,
3Da1,3Da1_Inorganic-N-fertilizers,4D3,Indirect N2O from agriculture,Other_Farm,
3Dc,3Dc_Other-farm,4D2,Manure in pasture/range/paddock,Other_Farm,
3Df,3Df_Use-of-pesticides,,,industry_processes,
3F,3F_Ag-res-on-field,4F,Agricultural waste burning,AWB,
5A,5A_Solid-waste-disposal,6A,Solid waste disposal on land,landfills,
5B,5B_Compost-biogas,,,Other_Farm,
5C,5C_Incineration,6C,Waste incineration,waste_incineration,
5C,5C_Open-burning-commercial,,,landfills,
5C,5C_Open-burning-dump,,,landfills,
5C,5C_Open-burning-industrial,,,landfills,
5C,5C_Open-burning-land-clearing,,,,Part of AgLU emissions so we don't use this
5C,5C_Open-burning-residential,,,waste_incineration,map to waste_incineration for BYU
5C,5C_Open-burning-yard-waste,,,waste_incineration,map to waste_incineration for BYU
5C,5C_Other-open-burning,,,landfills,
5D1,5D1_Wastewater-domestic,,,wastewater,These have air pollutant emissions. Really should go to wastewater in BYU
5D2,5D2_Wastewater-industrial,,,industry_processes,
5D3,5D3_Wastewater-commertial,,,industry_processes,
5E,5E_Other-waste,6D,Other waste handling,landfills,
6A,6A_Other-commertial,1A4,Residential and other sectors,building_comm,
