# File: CEDS_to_USEPA_Tier1_Mapping.csv
# Title: mapping file for EPA Tier 1 description and CEDS extended sectors
# Units: NA
# Source: NA - Mapping file
# Column types: cc
# ----------
tier1_description,CEDS_Sector
PETROLEUM & RELATED INDUSTRIES,1B2aiv_Fugitive-petr-refining
PETROLEUM & RELATED INDUSTRIES,1B2av_Fugitive-petr-distr
PETROLEUM & RELATED INDUSTRIES,1B2av_Fugitive-petr-distr-marine
PETROLEUM & RELATED INDUSTRIES,2I_Wood-processing
PETROLEUM & RELATED INDUSTRIES,6A_Other-commertial
SOLVENT UTILIZATION,2D3a_Domestic-solvent-use
SOLVENT UTILIZATION,2D3c_Asphalt-roofing
SOLVENT UTILIZATION,2D3d_Coating-application
SOLVENT UTILIZATION,2D3e_Degreasing
SOLVENT UTILIZATION,2D3f_Dry-cleaning
SOLVENT UTILIZATION,2D3h_Printing
SOLVENT UTILIZATION,2D3i_Other-solvent-use
PETROLEUM & RELATED INDUSTRIES,1B2b_Fugitive-NG-prod-distr
WASTE DISPOSAL & RECYCLING,5A_Solid-waste-disposal
WASTE DISPOSAL & RECYCLING,5B_Compost-biogas
WASTE DISPOSAL & RECYCLING,5D1_Wastewater-domestic
WASTE DISPOSAL & RECYCLING,5D2_Wastewater-industrial
WASTE DISPOSAL & RECYCLING,5D3_Wastewater-commertial
WASTE DISPOSAL & RECYCLING,5C_Incineration
WASTE DISPOSAL & RECYCLING,5C_Open-burning-commercial
WASTE DISPOSAL & RECYCLING,5C_Open-burning-dump
WASTE DISPOSAL & RECYCLING,5C_Open-burning-industrial
WASTE DISPOSAL & RECYCLING,5C_Open-burning-land-clearing
WASTE DISPOSAL & RECYCLING,5C_Open-burning-residential
WASTE DISPOSAL & RECYCLING,5C_Open-burning-yard-waste
WASTE DISPOSAL & RECYCLING,5C_Other-open-burning
WASTE DISPOSAL & RECYCLING,5E_Other-waste
