# File: EPA_state_egu_emission_factors_ktPJ_post2015.csv
# Title: Electric Generating Unit (EGU) emission factors for US states for plants built after 2015 
# Source: Dan Loughlin at EPA-ORD. For most pollutants these came from GREET. NOx SO2 and PM emissions came from IPM 
# Comments: Emission factors are assumed constant for all years
# Units: kilotonne per PJ fuel input
# Column types: cccn
# ----------
fuel,technology,Non.CO2,emiss.coeff
coal,coal (IGCC CCS),N2O,1.30E-03
coal,coal (IGCC CCS),NOx,5.59E-03
coal,coal (IGCC CCS),SO2,6.45E-03
coal,coal (IGCC CCS),PM10,2.39E-01
coal,coal (IGCC CCS),PM2.5,6.96E-02
coal,coal (IGCC CCS),CO,2.12E-03
coal,coal (IGCC CCS),NMVOC,1.16E-04
coal,coal (IGCC CCS),BC,2.99E-03
coal,coal (IGCC CCS),OC,5.64E-03
biomass,biomass (conv CCS),CH4,9.35E-03
biomass,biomass (conv CCS),N2O,5.79E-03
biomass,biomass (conv CCS),NOx,8.61E-03
biomass,biomass (conv CCS),SO2,3.44E-02
biomass,biomass (conv CCS),PM10,3.47E-02
biomass,biomass (conv CCS),PM2.5,3.11E-02
biomass,biomass (conv CCS),CO,2.67E-01
biomass,biomass (conv CCS),NMVOC,7.57E-03
biomass,biomass (conv CCS),BC,4.30E-03
biomass,biomass (conv CCS),OC,1.10E-02
biomass,biomass (IGCC CCS),CH4,1.08E-03
biomass,biomass (IGCC CCS),N2O,1.13E-04
biomass,biomass (IGCC CCS),NOx,4.73E-03
biomass,biomass (IGCC CCS),SO2,0
biomass,biomass (IGCC CCS),PM10,1.26E-04
biomass,biomass (IGCC CCS),PM2.5,1.26E-04
biomass,biomass (IGCC CCS),CO,1.38E-02
biomass,biomass (IGCC CCS),NMVOC,2.53E-04
biomass,biomass (IGCC CCS),BC,3.66E-06
biomass,biomass (IGCC CCS),OC,8.57E-05
gas,gas (CC CCS),CH4,1.08E-03
gas,gas (CC CCS),N2O,1.13E-04
gas,gas (CC CCS),NOx,4.73E-03
gas,gas (CC CCS),SO2,0
gas,gas (CC CCS),PM10,1.26E-04
gas,gas (CC CCS),PM2.5,1.26E-04
gas,gas (CC CCS),CO,1.38E-02
gas,gas (CC CCS),NMVOC,2.53E-04
gas,gas (CC CCS),BC,3.66E-06
gas,gas (CC CCS),OC,8.57E-05
