Country_name,AgaveFibresNes,Almonds_withshell,Anise_badian_fennel_corian.,Apples,Apricots,Arecanuts,Artichokes,Asparagus,Avocados,Bananas,Beans_green,BerriesNes,Blueberries,Brazilnuts_withshell,Buckwheat,Cabbagesandotherbrassicas,Canaryseed,Carobs,Carrotsandturnips,Cashewapple,Cashewnuts,Castoroilseed,Cauliflowersandbroccoli,Cereals_nes,Cherries,Chestnuts,Chilliesandpeppers_dry,Chilliesandpeppers_green,Cinnamon(canella),Cloves,Coconuts,Cranberries,Cucumbersandgherkins,Currants,Eggplants(aubergines),FibreCropsNes,Figs,Flaxfibreandtow,Fonio,Fruit_tropicalfreshnes,FruitFreshNes,Garlic,Ginger,Gooseberries,Hazelnuts_withshell,Hempseed,HempTowWaste,Hops,Jute,Kiwifruit,Kolanuts,Lettuceandchicory,Linseed,Maize_green,Mangoes_mangosteens_guavas,ManilaFibre(Abaca),Melonseed,Mixedgrain,Mustardseed,Naturalrubber,Nutmeg_maceandcardamoms,Nuts_nes,Oats,Oilseeds_Nes,Okra,Olives,Onions_dry,Onions(inc.shallots)_green,OtherBastfibres,Othermelons(inc.cantaloupes),Papayas,Peachesandnectarines,Pears,Peas_green,Pepper(Piperspp.),Peppermint,Pineapples,Pistachios,Plantains,Plumsandsloes,Poppyseed,Pumpkins_squashandgourds,Quinoa,Ramie,Raspberries,Rootsandtubersnes,Safflowerseed,Sesameseed,Sisal,Sourcherries,Spices_nes,Spinach,Stonefruit_nes,Strawberries,Stringbeans,Sugarcrops_nes,Sweetpotatoes,Taro(cocoyam),Tea,Tobacco_unmanufactured,tomato,Tomatoes,Triticale,Vanilla,Vegetablesfreshnes,Walnuts_withshell,Watermelons,Yams,Yautia(cocoyam)
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,119,0,0,66,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,6,117,0,0,0,0,0,1,0,0,80,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,43,4,0,0,0,0,0,0,0,0,0,0,7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,17,0,0,490,98,0,0,41,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0
Belgium,0,0,0,0,0,0,0,17,0,0,5,3,0,0,0,3,0,0,3,0,0,0,7,0,3,0,0,3,0,0,0,0,1,19,1,0,0,68,0,0,0,0,0,0,0,0,0,33,0,0,0,4,29,0,0,0,0,25,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,10,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,2,0,10,0,5,10,0,0,0
Belize,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,6,0,0,7,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,753,151,0,0,44,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,37,0,0,0,0,20,40,77,0,0,0,0,120,0,0,53,0,0,0,33,394,114,137,0,409,0,0,0,0,86,0,0,0,85,0,0,0,68,245,0,0,0,0,0,0,0,0,0,26,0,186,35,0,0,0,0,0,0,0,300,0,0,0,183,0,0,0,15,38,43,169,519,0,4,0,39,40,0,11,45,0,0,52,0,0,0,108,634,0,0,1034,0,0,54,0,136,0,139,28,0,0,143,0,5,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,25,0,0,0,0,0,0,0,0,22,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,59,125,25,0,0,43,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,51,39,0,0,0,0,0,0,0,0,0,0,4986,1541,0,0,0,0,0,0,0,0,23,0,0,0,0,0,4,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,1,0,102,0,0,0,0,875,0,1179,45,0,0,386,40,0,0,5,17,0,0,0,96,0,3,0,0,0,0,0,0,0,0,0,0,62,798,0,0,0,0,357,0,0,7,0,223,5,97,19,31,0,48,116,2,7,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bulgaria,0,115,291,6,20,0,0,176,0,0,39,14,0,0,0,33,0,0,3,0,0,0,26,93,15,46,25,54,0,0,0,0,27,283,34,0,0,197,0,0,44,220,0,0,2368,0,0,228,0,96,0,22,314,0,0,0,0,0,0,0,0,32,4,132,0,0,118,50,0,0,0,8,3,69,0,0,0,0,0,11,0,16,0,0,7,0,0,0,0,27,318,19,0,323,0,0,0,0,0,15,215,43,69,0,208,77,3,0,0
Burkina Faso,0,552,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,916,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,253,177,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,36,0,0,0,0,0,1,0,0,458,299,60,0,0,81,0,0,4,0
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,152,0,49,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,33,0,0,0,0,0,0,0,0,5,0,0,12,216,43,0,0,76,0,0,0,0
Burundi,0,552,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,916,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,253,177,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,36,0,0,0,0,0,1,0,0,458,299,60,0,0,81,0,0,4,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,12,22,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,58,183,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,2,0,0,0,0,0,4,0,0,15,0,0,0,0,3,0,57,0,0,0,0,0,0,0,77,0,1,0,0,0,0,0,0,0,0,1,0,58,0,0,0,0,0,0,0,0,2,1,38,0,128,26,0,0,32,0,14,1,0
Canada,0,0,108,101,243,0,0,1426,0,0,6,0,605,0,34,0,2,0,0,0,0,0,5,0,459,0,0,0,0,0,0,84,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,3,30,9,0,0,0,23,0,0,0,0,10,196,0,0,0,0,0,1,0,119,124,13,0,0,0,0,0,488,0,2,0,0,333,0,47,0,0,501,0,5,0,141,0,0,0,0,0,0,0,0,20,0,0,0,114,0,0
Cape Verde,0,0,0,0,0,0,0,0,0,303,63,0,0,0,0,80,0,0,69,0,0,2704,86,0,0,0,177,0,0,0,0,0,23,0,0,0,0,0,0,0,0,756,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,694,139,0,0,145,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,113,0,0,0,0
Chile,0,1751,0,94,220,0,816,694,808,0,470,0,0,0,0,9,0,0,14,0,0,0,222,0,583,0,0,4,0,0,0,0,1,0,0,0,0,4611,0,0,481,955,0,0,0,0,0,0,0,397,0,338,3919,307,0,0,0,0,0,0,0,0,567,0,0,739,22,0,4241,173,245,157,161,602,0,0,0,0,0,188,0,141,0,0,0,0,0,0,0,0,0,0,0,143,0,0,630,0,0,0,20,4,574,0,5,3255,211,0,0
China,0,103,138,30,35,54,110,28,31,16,7,20,0,0,25,4,0,0,3,0,1106,311,6,18,52,54,81,4,0,0,0,0,2,0,4,6,74,25,0,105,90,11,14,0,202,0,0,37,21,0,0,6,67,12,50,0,56,0,37,359,0,98,13,0,0,14,8,7,13,2,10,21,28,13,96,0,3,182,0,74,0,1,0,206,0,6,45,52,34,0,55,6,23,85,6,0,4,8,798,253,14,3,22,6335,4,163,4,0,0
Colombia,0,0,0,10,0,0,0,121,8,16,0,0,0,0,0,6,0,0,18,0,0,0,7,0,0,0,0,32,0,0,0,0,9,0,8,0,4,0,0,41,9,44,0,0,0,0,0,0,0,0,0,9,0,0,18,0,0,0,0,0,0,63,47,0,0,0,31,0,0,3,3,8,9,121,0,0,0,0,35,12,0,3,0,0,0,9,0,31,0,0,30,14,0,25,0,0,0,0,161,0,52,10,0,0,20,0,1,1,0
Comoros,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7790,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,51,0,0,0,3,0,0,0,0,5,0,0,0,6,1,0,0,4,0,0,0,0
"Congo, Democratic Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6058,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,107,63,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,1067,0,0,0,0,73,0,0,1,13,0,0,0,16,0,6,0,59,0,0,0,0,0,0,3,0,11,0,0,0,0,0,16,0,0,0,0,0,0,203,41,0,0,57,0,0,6,0
Cªte d'Ivoire,0,2,0,2,4,0,0,0,0,0,5,4,0,0,4,3,0,0,7,0,0,0,2,3,5,0,0,7,0,0,0,0,3,0,0,0,0,31,0,0,0,1,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,1,10,0,0,0,0,2,3,8,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,171,0,0,0,0,0,0,26,5,0,0,8,14,1,0,0
Croatia,0,2,0,2,4,0,0,0,0,0,5,4,0,0,4,3,0,0,7,0,0,0,2,3,5,0,0,7,0,0,0,0,3,0,0,0,0,31,0,0,0,1,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,1,10,0,0,0,0,2,3,8,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,171,0,0,0,0,0,0,26,5,0,0,8,14,1,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,38,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2259,439,88,0,0,27,0,0,0,1
Cyprus,0,22792,0,679,743,0,590,0,785,267,70,0,0,0,0,125,0,1058,168,0,0,0,61,0,1600,0,0,10,0,0,0,0,49,0,66,0,540,0,0,6401,1273,178,0,0,16794,0,0,0,0,1230,0,108,0,0,0,0,0,0,0,0,0,0,1390,0,49,1156,53,238,0,30,0,925,874,139,0,0,0,71266,0,1370,0,32,0,0,0,0,0,6276,0,0,0,150,0,285,0,0,0,154,0,0,136,27,0,0,49,13434,38,0,0
Czech Republic,0,0,0,5,24,0,0,65,0,0,5,27,0,0,5,10,0,0,20,0,0,0,4,8,11,0,437,23,0,0,0,0,17,13,0,0,0,19,0,0,19,8,0,8,0,0,0,41,0,0,0,5,29,0,0,0,0,35,0,0,0,0,4,49,0,0,41,0,0,0,0,21,4,12,0,0,0,0,0,5,0,0,0,0,44,0,0,0,0,44,0,4,0,135,0,0,0,0,0,0,140,28,8,0,50,101,0,0,0
Denmark,0,0,34,2,0,0,0,0,0,0,24,0,0,0,0,6,0,0,8,0,0,0,1,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,3,0,0,0,0,0,5,0,0,0,0,30,0,0,0,0,15,0,0,0,90,0,0,0,0,0,0,6,1,1,0,16,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,4,0,0,7,0,250,0,0,0,0,0,0,13,0,0,0,0,3,0,32,0,0,0,0,0,9,47,35,0,0,0,0,0,0,0,0,27,0,0,9,0,0,0,0,0,0,0,0,0,0,0,27,0,0,2,2,0,0,0,0,0,0,0,13,0,0,11,0,0,0,0,0,0,12,0,199,0,0,0,0,0,13,0,0,0,38,8,0,0,8,0,0,4,7
