# File: USDA_cost_data.csv,,,,,,,,,,,,,,,,,,,,,,,
# Description: Itemized costs by crop and sub-region of USA,,,,,,,,,,,,,,,,,,,,,,,
# Original source: http://www.ers.usda.gov/Data/CostsAndReturns/,,,,,,,,,,,,,,,,,,,,,,,
# Add 2011-2015 data and update 2009 ,,,,,,,,,,,,,,,,,,,,,,,
# Data source: https://www.ers.usda.gov/data-products/commodity-costs-and-returns/,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,
Crop,Region, Item,Unit,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Corn,Heartland,Purchased irrigation water,USD/acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn,Heartland,Interest on operating capital,USD/acre,3.87,3.95,3.62,3.5,4.51,2.5,1.13,0.79,1.26,3.07,4.66,4.85,2.16,0.43,0.29,0.17,0.24,0.16,0.12,0.29
Corn,Heartland,Total operating costs,USD/acre,161.91,162.71,159.02,157.85,165.36,156.82,139.84,155.14,171.19,183.22,201.56,224.84,293.74,295.77,292.25,338.82,357.09,363.53,364.17,342.21
Corn,Heartland,Hired labor,USD/acre,1.98,2.17,2.27,2.34,2.35,2.1,2.19,2.3,2.3,1.41,1.46,1.51,1.56,1.59,2.61,2.64,2.73,2.81,2.86,2.97
Corn,Heartland,Opportunity cost of unpaid labor,USD/acre,28.49,29.29,30.14,30.92,31.8,22.2,23.03,23.79,24.28,19.8,20.52,21.24,21.96,22.44,20.21,20.42,21.15,21.76,22.17,22.97
Corn,Heartland,Capital recovery of machinery and equipment,USD/acre,60.5,61.52,63.67,65.7,67.32,51.27,51.87,53.06,58.11,60.45,63.59,66.73,73.02,77.56,81.22,86.16,90.47,93.06,96.5,98.74
Corn,Heartland,Opportunity cost of land (rental rate),USD/acre,91.43,95.4,97.17,97.32,100.73,96.9,98.83,100.28,103.58,104.87,103.16,110.48,123.66,142.36,150.49,163.77,184.42,200.65,208.03,212.46
Corn,Heartland,Taxes and insurance,USD/acre,6.32,6.32,6.38,6.3,6.47,5.15,5.07,5.19,5.24,6.06,6.37,6.88,7.64,7.46,7.77,8.18,8.26,8.42,8.58,10.1
Corn,Heartland,General farm overhead,USD/acre,10.42,12.22,11.49,10.86,11.11,10.49,10.69,10.93,11.17,12.14,12.57,13,13.35,13.61,17.37,17.91,18.45,18.63,18.98,18.95
Corn,Heartland,Total allocated overhead,USD/acre,199.14,206.92,211.12,213.44,219.78,188.11,191.68,195.55,204.68,204.73,207.67,219.84,241.19,265.02,279.67,299.08,325.48,345.33,357.12,366.19
Corn,Heartland,Total costs listed,USD/acre,361.05,369.63,370.14,371.29,385.14,344.93,331.52,350.69,375.87,387.95,409.23,444.68,534.93,560.79,571.92,637.9,682.57,708.86,721.29,708.4
Corn,Heartland,Value of production less total costs listed,USD/acre,24.9825,-27.9,-93.77,-134.65,-125.785,-71.76,-3.59,-19.63,-0.56,-120.63,-31.06,56.59,151.57,46.39,151.43,246.02,129.34,48.84,-92.71,-74.77
Corn,Heartland,Value of production less operating costs,USD/acre,224.1225,179.02,117.35,78.79,93.995,116.35,188.09,175.92,204.12,84.1,176.61,276.43,392.76,311.41,431.1,545.1,454.82,394.17,264.41,291.42
Corn,Heartland,Yield,bu/acre,137.75,136,144,141,147.5,151,142,157,178,156,151,155,158,168,167,155,119,165,179,174
Corn,Heartland,Price,USD/bu,2.79,2.5,1.91,1.67,1.75,1.8,2.3,2.1,2.1,1.71,2.5,3.23,4.34,3.61,4.33,5.7,6.82,4.59,3.51,3.64
Corn,Heartland,Enterprise size,acres,223,223,223,223,223,270,270,270,270,281,281,281,281,281,313,313,313,313,313,313
Corn,Heartland,Irrigated,percent,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Corn,Heartland,Dryland,percent,94,94,94,94,94,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Corn,Northern Crescent,Primary output,USD/acre,281.934,298.69,236.25,209.56,230.2139,217.12,294.64,296.7,315,258.72,265,348.84,473.8,441.25,692.64,862.71,877.5,671.79,558.48,571.96
Corn,Northern Crescent,Secondary output,USD/acre,14.81,16.67,15.21,11.99,10.8,3.73,4.73,5.62,5.69,3.16,3.23,3.06,3.12,3.02,5.03,7.96,4.72,5.93,6.95,8.95
Corn,Northern Crescent,Total output,USD/acre,296.744,315.36,251.46,221.55,241.0139,220.85,299.37,302.32,320.69,261.88,268.23,351.9,476.92,444.27,697.67,870.67,882.22,677.72,565.43,580.91
Corn,Northern Crescent,Seed,USD/acre,25.1,27.63,28,28.54,28.96,31.72,33.17,35.48,37.18,41.23,43.83,49.4,61.29,80.61,75.26,77.89,84.79,90.05,93.01,93.66
Corn,Northern Crescent,Fertilizer,USD/acre,47.85,45.92,41.94,40.36,40.69,63.31,51.94,58.95,64.01,78.36,89.27,103.65,158.09,148.67,122.11,160.46,170.38,167.08,162.11,150.53
Corn,Northern Crescent,Chemicals,USD/acre,26.37,26.04,26.01,27.2,27.64,25.4,25.43,25.77,26.35,19.95,20.77,21.43,22.34,24.63,25.7,25.7,27,28.04,28.56,27.26
Corn,Northern Crescent,Custom operations,USD/acre,9.33,9.88,9.76,9.97,9.84,11.08,11.47,12.09,12.43,12.46,13.03,13.59,13.59,14.52,20.27,20.65,21.06,21.89,22.51,23.44
Corn,Northern Crescent,"Fuel, lube, and electricity",USD/acre,20.82,21.9,20.08,20.64,26.72,17.94,17.6,22.31,26.46,25.29,27.98,31.05,41.11,27.96,23.76,29.95,28.73,29.25,29.68,19.35
Corn,Northern Crescent,Repairs,USD/acre,14.82,15.56,16.56,16.72,17.42,13.93,14.54,14.9,16.04,14.1,14.6,15.1,15.5,15.8,23.58,24.31,25.04,25.28,25.77,25.67
Corn,Northern Crescent,Purchased irrigation water,USD/acre,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0
Corn,Northern Crescent,Interest on operating capital,USD/acre,3.53,3.66,3.32,3.25,4.25,2.61,1.24,0.86,1.37,3.25,4.95,5.16,2.31,0.45,0.29,0.17,0.24,0.16,0.12,0.29
Corn,Northern Crescent,Total operating costs,USD/acre,147.82,150.59,145.67,146.68,155.52,165.99,155.39,170.36,183.84,194.66,214.45,239.4,314.25,312.66,290.97,339.13,357.24,361.75,361.76,340.2
Corn,Northern Crescent,Hired labor,USD/acre,3.79,4.09,4.24,4.55,4.92,3.48,3.63,3.72,3.97,3.03,3.14,3.25,3.36,3.43,3.59,3.63,3.76,3.87,3.94,4.08
Corn,Northern Crescent,Opportunity cost of unpaid labor,USD/acre,34.29,35.87,36.81,37.94,39.27,34.54,34.17,34.8,35.36,31.78,32.94,34.1,35.26,36.03,29.98,30.3,31.37,32.28,32.89,34.11
Corn,Northern Crescent,Capital recovery of machinery and equipment,USD/acre,61.9,65.13,69.23,69.86,72.87,57.01,59.43,60.99,65.68,60.53,63.68,66.83,73.13,77.68,73.91,78.41,82.33,84.68,87.82,90.17
Corn,Northern Crescent,Opportunity cost of land (rental rate),USD/acre,57.6,62.22,64.86,65.48,66.8,67.56,67.44,68.88,71.2,77.15,75.9,81.28,90.98,104.74,82.67,89.96,101.31,110.23,114.28,116.71
Corn,Northern Crescent,Taxes and insurance,USD/acre,6.49,6.47,6.47,6.38,6.62,5.72,5.65,5.8,5.81,9,9.47,10.23,11.35,11.08,9.08,9.55,9.65,9.84,10.03,11.85
Corn,Northern Crescent,General farm overhead,USD/acre,12.73,15.13,14.31,13.57,13.96,15.34,15.85,16.22,16.46,17.67,18.3,18.93,19.43,19.81,23.85,24.59,25.33,25.57,26.07,25.97
Corn,Northern Crescent,Total allocated overhead,USD/acre,176.81,188.91,195.92,197.78,204.44,183.65,186.17,190.41,198.48,199.16,203.43,214.62,233.51,252.77,223.08,236.44,253.75,266.47,275.03,282.89
Corn,Northern Crescent,Total costs listed,USD/acre,315.53,339.5,341.59,344.46,359.96,349.64,341.56,360.77,382.32,393.82,417.88,454.02,547.76,565.43,514.05,575.57,610.99,628.22,636.79,623.09
Corn,Northern Crescent,Value of production less total costs listed,USD/acre,-18.786,-24.14,-90.13,-122.91,-118.9461,-128.79,-42.19,-58.45,-61.63,-131.94,-149.65,-102.12,-70.84,-121.16,183.62,295.1,271.23,49.5,-71.36,-42.18
Corn,Northern Crescent,Value of production less operating costs,USD/acre,148.924,164.77,105.79,74.87,85.4939,54.86,143.98,131.96,136.85,67.22,53.78,112.5,162.67,131.61,406.7,531.54,524.98,315.97,203.67,240.71
Corn,Northern Crescent,Yield,bu/acre,104.42,119,125,124,127.19,118,127,138,150,147,106,108,115,125,156,149,130,147,156,158
Corn,Northern Crescent,Price,USD/bu,2.7,2.51,1.89,1.69,1.81,1.84,2.32,2.15,2.1,1.76,2.5,3.23,4.12,3.53,4.44,5.79,6.75,4.57,3.58,3.62
Corn,Northern Crescent,Enterprise size,acres,113,113,113,113,113,138,138,138,138,128,128,128,128,128,146,146,146,146,146,146
Corn,Northern Crescent,Irrigated,percent,2,2,2,2,2,4,4,4,4,5,5,5,5,5,0,0,0,0,0,0
Corn,Northern Crescent,Dryland,percent,98,98,98,98,98,96,96,96,96,95,95,95,95,95,100,100,100,100,100,100
Corn,Northern Great Plains,Primary output,USD/acre,265.4247,228.48,195.36,162.75,161.02,192.03,211.85,220.32,229.9,223.86,302.56,401.32,559.36,474.02,574.56,655.69,707.3,519.09,419.42,479.96
Corn,Northern Great Plains,Secondary output,USD/acre,2.63,3.6,2.1,1.52,2.47,5.32,4.55,5.4,6.57,2.73,2.34,3.67,6.17,4.58,1.18,1.87,0.89,0.81,1.8,1.28
Corn,Northern Great Plains,Total output,USD/acre,268.0547,232.08,197.46,164.27,163.49,197.35,216.4,225.72,236.47,226.59,304.9,404.99,565.53,478.6,575.74,657.56,708.19,519.9,421.22,481.24
Corn,Northern Great Plains,Seed,USD/acre,25.15,27.59,27.6,30.35,26.64,30.42,26.18,32.47,36.32,39.34,41.82,47.14,58.48,76.91,80.03,82.83,90.16,95.76,98.9,99.6
Corn,Northern Great Plains,Fertilizer,USD/acre,27.67,26.89,22.77,20.52,21.36,36.46,25.62,33.76,35.73,46.25,52.69,61.18,93.31,87.75,94.88,124.68,132.39,129.82,125.96,116.13
Corn,Northern Great Plains,Chemicals,USD/acre,19.15,19,19.41,19.57,19.57,20.19,20.64,20.5,20.66,15.82,16.47,16.99,17.71,19.52,18.34,18.34,19.27,20.01,20.38,19.5
Corn,Northern Great Plains,Custom operations,USD/acre,20.98,21.34,21.49,21.6,20.64,10.85,10.38,10.72,10.5,9.16,9.58,9.99,9.99,10.67,16.16,16.46,16.79,17.45,17.94,18.72
Corn,Northern Great Plains,"Fuel, lube, and electricity",USD/acre,21.24,20.95,19.75,18.88,23.66,19.84,16.65,20.02,21.86,25.85,28.6,31.92,41.67,28.23,26.75,32.62,31.76,32.08,32.83,21.58
Corn,Northern Great Plains,Repairs,USD/acre,17.04,17.55,18.24,18.8,17.95,14.45,13.83,14.3,14.6,15.25,15.79,16.33,16.77,17.1,26.86,27.69,28.52,28.8,29.36,29.3
Corn,Northern Great Plains,Purchased irrigation water,USD/acre,0.23,0.25,0.24,0.25,0.23,2.29,2.02,1.94,1.95,1.5,1.57,1.64,1.64,1.75,0.75,0.76,0.78,0.81,0.83,0.87
Corn,Northern Great Plains,Interest on operating capital,USD/acre,3.29,3.41,3.09,3.04,3.74,2.26,0.97,0.71,1.11,2.6,3.94,4.08,1.77,0.35,0.26,0.15,0.21,0.14,0.1,0.26
Corn,Northern Great Plains,Total operating costs,USD/acre,134.75,136.98,132.59,133.01,133.79,136.76,116.29,134.42,142.73,155.77,170.46,189.27,241.34,242.28,264.03,303.53,319.88,324.87,326.3,305.96
Corn,Northern Great Plains,Hired labor,USD/acre,1.63,1.78,1.78,1.91,1.93,5.48,5.26,5.3,5.42,3.3,3.42,3.54,3.66,3.74,3.17,3.2,3.32,3.41,3.48,3.6
Corn,Northern Great Plains,Opportunity cost of unpaid labor,USD/acre,21.45,22.77,23.1,24.09,23.87,21.08,21.75,22.62,23,21.29,22.06,22.83,23.6,24.12,26.59,26.87,27.82,28.63,29.17,30.23
Corn,Northern Great Plains,Capital recovery of machinery and equipment,USD/acre,55.34,56.52,59.3,60.79,59.38,53.55,51.74,53.78,55.05,69.07,72.66,76.25,83.44,88.63,95.85,101.68,106.77,109.82,113.89,116.53
Corn,Northern Great Plains,Opportunity cost of land (rental rate),USD/acre,50.65,53.57,55.33,56.02,56.88,53.2,52.28,53.65,54.73,59.79,58.82,62.99,70.51,81.17,75.46,82.12,92.48,100.61,104.31,106.53
Corn,Northern Great Plains,Taxes and insurance,USD/acre,9.4,9.77,9.78,9.85,9.5,5.12,5.01,5.1,5.13,4.06,4.27,4.61,5.12,5,8.85,9.31,9.4,9.59,9.78,11.51
Corn,Northern Great Plains,General farm overhead,USD/acre,6.08,7.15,6.75,6.4,6.54,10.74,11.07,11.45,11.86,9.2,9.53,9.86,10.12,10.32,18.08,18.64,19.2,19.39,19.76,19.72
Corn,Northern Great Plains,Total allocated overhead,USD/acre,144.56,151.56,156.04,159.06,158.1,149.17,147.11,151.9,155.19,166.71,170.76,180.08,196.45,212.98,228,241.82,258.99,271.45,280.39,288.12
Corn,Northern Great Plains,Total costs listed,USD/acre,279.31,288.54,288.63,292.07,291.89,285.93,263.4,286.32,297.92,322.48,341.22,369.35,437.79,455.26,492.03,545.35,578.87,596.32,606.69,594.08
Corn,Northern Great Plains,Value of production less total costs listed,USD/acre,-11.2553,-56.46,-91.17,-127.8,-128.4,-88.58,-47,-60.6,-61.45,-95.89,-36.32,35.64,127.74,23.34,83.71,112.21,129.32,-76.42,-185.47,-112.84
Corn,Northern Great Plains,Value of production less operating costs,USD/acre,133.3047,95.1,64.87,31.26,29.7,60.59,100.11,91.3,93.74,70.82,134.44,215.72,324.19,236.32,311.71,354.03,388.31,195.03,94.92,175.28
Corn,Northern Great Plains,Yield,bu/acre,99.41,96,111,105,97,111,95,108,110,123,122,127,128,137,144,119,110,121,134,142
Corn,Northern Great Plains,Price,USD/bu,2.67,2.38,1.76,1.55,1.66,1.73,2.23,2.04,2.09,1.82,2.48,3.16,4.37,3.46,3.99,5.51,6.43,4.29,3.13,3.38
Corn,Northern Great Plains,Enterprise size,acres,301,301,301,301,301,281,281,281,281,341,341,341,341,341,390,390,390,390,390,390
Corn,Northern Great Plains,Irrigated,percent,39,39,39,39,39,28,28,28,28,21,21,21,21,21,19,19,19,19,19,19
Corn,Northern Great Plains,Dryland,percent,61,61,61,61,61,72,72,72,72,79,79,79,79,79,81,81,81,81,81,81
Corn,Prairie Gateway,Primary output,USD/acre,429.527,354.66,271.05,246.4,239.1548,297,308.7,330.75,394.44,243,324.87,474.6,624.44,532.14,616.28,707.6,761.6,685.86,605.79,610.56
Corn,Prairie Gateway,Secondary output,USD/acre,0.15,0.2,0.2,0.15,0.16,0.97,0.89,0.9,1.02,1.92,3.1,3.27,3.09,2.47,1,1.45,1.6,1.42,1.41,1.46
Corn,Prairie Gateway,Total output,USD/acre,429.677,354.86,271.25,246.55,239.3148,297.97,309.59,331.65,395.46,244.92,327.97,477.87,627.53,534.61,617.28,709.05,763.2,687.28,607.2,612.02
Corn,Prairie Gateway,Seed,USD/acre,27.23,28.81,29.83,31.93,31.09,31.16,34.62,35.41,36.32,40.96,43.54,43.54,54.02,71.04,63.21,65.42,71.21,75.63,78.12,78.67
Corn,Prairie Gateway,Fertilizer,USD/acre,42.88,42.66,37.23,33.4,35.21,47.37,34.27,44.23,45.84,55.62,63.36,63.36,96.64,90.88,84.96,111.64,118.55,116.25,112.79,103.99
Corn,Prairie Gateway,Chemicals,USD/acre,26.5,25.78,25.87,25.8,25.99,28.86,28.76,28.04,28.76,19.23,20.02,20.02,20.87,23.01,26.42,26.42,27.75,28.82,29.36,28.1
Corn,Prairie Gateway,Custom operations,USD/acre,14.28,14.27,13.82,14.06,13.85,16.39,15.72,16.16,16.66,14.1,14.74,14.74,14.74,15.75,19.04,19.39,19.78,20.56,21.14,22.05
Corn,Prairie Gateway,"Fuel, lube, and electricity",USD/acre,43.17,42.84,40.61,38.88,48.73,46.68,39.16,47.93,56.75,59.79,66.16,76.3,98.36,67.07,42.51,52.28,50.81,53.1,54.69,35.44
Corn,Prairie Gateway,Repairs,USD/acre,24.12,24.41,24.42,25.38,25.58,20.47,20.66,21.6,22.88,22.04,22.83,22.83,23.44,23.9,32.37,33.38,34.38,34.71,35.38,35.31
Corn,Prairie Gateway,Purchased irrigation water,USD/acre,2.4,2.45,2.26,2.27,2.26,0.59,0.59,0.63,0.66,0.18,0.19,0.19,0.19,0.2,0.37,0.38,0.38,0.4,0.41,0.43
Corn,Prairie Gateway,Interest on operating capital,USD/acre,4.53,4.62,4.16,4.02,5.25,3.19,1.45,1.01,1.62,3.60264,5.46,5.46,2.28,0.42,0.27,0.15,0.22,0.14,0.11,0.26
Corn,Prairie Gateway,Total operating costs,USD/acre,185.11,185.84,178.2,175.74,187.96,194.71,175.23,195.01,209.49,215.52264,236.3,246.44,310.54,292.27,269.15,309.06,323.08,329.61,332,304.25
Corn,Prairie Gateway,Hired labor,USD/acre,5.5,5.88,6.01,6.07,6.21,5.04,5.35,5.48,5.58,3.66,3.79,3.79,3.92,4.01,3.34,3.38,3.49,3.6,3.66,3.8
Corn,Prairie Gateway,Opportunity cost of unpaid labor,USD/acre,22.9,23.64,24.21,24.67,25.05,29.44,31.2,32.74,33.19,24.24,25.12,25.12,25.97,26.54,24.37,24.63,25.5,26.24,26.74,27.7
Corn,Prairie Gateway,Capital recovery of machinery and equipment,USD/acre,79.69,80.44,80.53,83.46,83.93,69.4,70.09,73.28,77.58,81.97,86.23,86.23,94.36,100.23,101.04,107.19,112.55,115.77,120.05,122.84
Corn,Prairie Gateway,Opportunity cost of land (rental rate),USD/acre,77.75,80.47,80.17,79.08,79.65,71.21,71.02,73.48,76.61,70.82,69.67,69.67,77.98,89.77,86.46,94.09,105.96,115.28,119.52,122.06
Corn,Prairie Gateway,Taxes and insurance,USD/acre,10.09,10.05,10.02,9.93,10.05,6.63,6.54,6.74,6.8,8,8.42,8.42,9.35,9.13,10.45,10.99,11.1,11.32,11.54,13.59
Corn,Prairie Gateway,General farm overhead,USD/acre,9.28,10.99,10.3,9.87,10.11,14.31,14.58,14.99,15.3,12.64,13.09,13.09,13.44,13.7,16.84,17.36,17.88,18.06,18.4,18.37
Corn,Prairie Gateway,Total allocated overhead,USD/acre,205.21,211.47,211.24,213.08,215,196.03,198.78,206.71,215.06,201.33,206.32,206.32,225.02,243.38,242.5,257.64,276.48,290.27,299.91,308.36
Corn,Prairie Gateway,Total costs listed,USD/acre,390.32,397.31,389.44,388.82,402.96,390.74,374.01,401.72,424.55,416.85264,442.62,452.76,535.56,535.65,511.65,566.7,599.56,619.88,631.91,612.61
Corn,Prairie Gateway,Value of production less total costs listed,USD/acre,39.357,-42.45,-118.19,-142.27,-163.6452,-92.77,-64.42,-70.07,-29.09,-171.93264,-114.65,25.11,91.97,-1.04,105.63,142.35,163.64,67.4,-24.71,-0.59
Corn,Prairie Gateway,Value of production less operating costs,USD/acre,244.567,169.02,93.05,70.81,51.3548,103.26,134.36,136.64,185.97,29.39736,91.67,231.43,316.99,242.34,348.13,399.99,440.12,357.67,275.2,307.77
Corn,Prairie Gateway,Yield,bu/acre,142.7,138,139,140,127.21,150,126,147,173,135,119,140,134,147,142,122,112,142,159,159
Corn,Prairie Gateway,Price,USD/bu,3.01,2.57,1.95,1.76,1.88,1.98,2.45,2.25,2.28,1.8,2.73,3.39,4.66,3.62,4.34,5.8,6.8,4.83,3.81,3.84
Corn,Prairie Gateway,Enterprise size,acres,344,344,344,344,344,346,346,346,346,322,322,322,322,322,371,371,371,371,371,371
