Country_name,Green_rfd,Green_irr,Green_tot,Blue
Kyrgyzstan,0.07,1717.38,1717.44,2427.95
Lao Peoples Democratic Republic,0,0,0,0
Latvia,1563.72,0,1563.72,0
Lebanon,2.61,0,2.61,0
Lesotho,0,0,0,0
Liberia,0,0,0,0
Libyan Arab Jamahiriya,108.29,0,108.29,0
Lithuania,4509.3,0.03,4509.3,0.01
Luxembourg,40.44,0,40.44,0
Madagascar,0,0,0,0
Malawi,0,0,0,0
Malaysia,0,0,0,0
Maldives,0,0,0,0
Mali,0,0,0,0
Malta,0,0,0,0
Marshall Islands,0,0,0,0
Martinique,0,0,0,0
Mauritania,0,0,0,0
Mauritius,0,0,0,0
Mexico,3019.42,1495.43,4514.86,1276.89
"Micronesia,Fed States of",0,0,0,0
Moldova,0.02,3.03,3.05,2.38
Mongolia,20.15,0,20.15,0
Montserrat,0,0,0,0
Morocco,359.78,0,359.78,0
Mozambique,0,0,0,0
Myanmar,3207.63,0,3207.63,0
Namibia,0,5.86,5.86,11.68
Nauru,0,0,0,0
Nepal,79.86,0,79.86,0
Netherlands,3.7,385.87,389.57,77.64
New Caledonia,0,0,0,0
New Zealand,0,2287.43,2287.43,657.3
Nicaragua,0,0,0,0
Niger,0,0,0,0
Nigeria,0,0,0,0
Niue,0,0,0,0
Norway,1207.46,42.59,1250.05,5.9
Occupied Palestinian Territory,85.77,0,85.77,0
Oman,7.25,30.2,37.45,199.31
Pakistan,1.41,0,1.41,0
Panama,0,0,0,0
Papua New Guinea,0,0,0,0
Paraguay,12114.73,0.78,12115.55,0.2
Peru,807.32,0,807.32,0
Philippines,463.08,0,463.08,0
Poland,0,75.05,75.05,21.54
Portugal,1631.73,288.04,1919.76,309.14
Puerto Rico,0,0,0,0
Qatar,0,0,0,0
Reunion,0,0,0,0
Romania,5203.51,8.57,5212.12,6.3
Russian Federation,98966.5,5997.4,104963.7,4585
Rwanda,0,0,0,0
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0.01,0.01,0
Saint Pierre and Miquelon,0,0,0,0
Saint Vincent and Grenadines,6.05,0,6.05,0
Samoa,0,0,0,0
Sao Tome and Principe,0,0,0,0
Saudi Arabia,247.49,180,427.48,2341.87
Senegal,0,0,0,0
Serbia and Montenegro,1789.22,37.41,1826.63,17.92
Seychelles,0,0,0,0
Sierra Leone,0,0,0,0
Singapore,0,0,0,0
Slovakia,825.24,23.33,848.57,10.54
Slovenia,122.22,6.31,128.53,0.55
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
South Africa,5785.33,2156.8,7942.13,2459.47
Spain,3612.74,215.79,3828.53,342.62
Sri Lanka,0,0,0,0
Sudan,0.13,434.44,434.57,2216.07
Suriname,0,0,0,0
Swaziland,0,0,0,0
Sweden,3658.48,36.98,3695.46,10.14
Switzerland,587.88,5.81,593.69,0.11
Syrian Arab Republic,142.16,0,142.16,0
Tajikistan,101.8,127.05,228.85,290.7
"Tanzania, United Republic of",0,0,0,0
Thailand,155.38,0,155.38,0
The former Yugoslav Republic of Macedonia,84.51,16.95,101.46,15.35
Timor-Leste,0,0,0,0
Togo,0,0,0,0
Tokelau,0,0,0,0
Tonga,0,0,0,0
Trinidad and Tobago,0,0,0,0
Tunisia,786.38,0,786.38,0
Turkey,1032.35,0,1032.35,0
Turkmenistan,0.2,691.93,692.13,1777.94
Tuvalu,0,0,0,0
Uganda,0,0,0,0
Ukraine,24115.9,1621.9,25737.8,1273.5
United Arab Emirates,186,34.2,220.1,36.6
United Kingdom,5437,23.5,5460.5,5
United States of America,154374.1,15933.7,170308.1,30923.2
Uruguay,0,71.03,71.03,3.46
Uzbekistan,234.27,2275.51,2509.78,7129.89
Vanuatu,0,0,0,0
Venezuela (Bolivarian Republic of),0,0,0,0
Viet Nam,0,0,0,0
Wallis and Futuna Is,0,0,0,0
Western Sahara,0,0,0,0
Yemen,93.11,56.83,149.94,191.21
Zambia,0,0,0,0
Zimbabwe,0,0,0,0
