supplysector,subsector,stub.technology,CEDS_agg_sector,CEDS_agg_fuel,,,,
resid heating,electricity,electricity,,,,trn_domestic air,refined liquids,
resid others,electricity,electricity,,,,trn_domestic ship,biomass,
resid cooling,gas,gas,bld_resid,gas,,trn_domestic ship,coal,
resid heating,gas,gas,bld_resid,gas,,trn_domestic ship,gas,
resid others,gas,gas,bld_resid,gas,,trn_domestic ship,refined liquids,
resid heating,refined liquids,refined liquids,bld_resid,refined liquids,,trn_intl_air,biomass,
resid others,refined liquids,refined liquids,bld_resid,refined liquids,,trn_intl_air,coal,
trn_freight,Freight Rail,Coal,trn_rail,coal,,trn_intl_air,gas,
trn_freight,Freight Rail,Electric,,,,trn_intl_air,refined liquids,
trn_freight,Freight Rail,Liquids,trn_rail,refined liquids,,trn_intl_ship,biomass,
trn_freight,Domestic Ship,Liquids,trn_domestic ship,refined liquids,,trn_intl_ship,coal,
trn_shipping_intl,International Ship,Liquids,trn_intl_ship,refined liquids,,trn_intl_ship,gas,
trn_pass,Domestic Aviation,Liquids,trn_domestic air,refined liquids,,trn_intl_ship,process,
trn_aviation_intl,International Aviation,Liquids,trn_intl_air,refined liquids,,trn_intl_ship,refined liquids,
trn_pass_road,Bus,Liquids,trn_road,refined liquids,,trn_other,biomass,
trn_pass_road,Bus,NG,trn_road,gas,,trn_other,coal,
trn_pass,HSR,Electric,,,,trn_other,gas,
trn_pass_road_LDV_2W,Motorcycle (>250cc),BEV,,,,trn_other,refined liquids,
trn_pass_road_LDV_2W,Motorcycle (>250cc),Liquids,trn_road,refined liquids,,trn_rail,biomass,
trn_pass_road_LDV_4W,Mini Car,BEV,,,,trn_rail,coal,
trn_pass_road_LDV_4W,Mini Car,FCEV,,,,trn_rail,gas,
trn_pass_road_LDV_4W,Mini Car,Liquids,trn_road,refined liquids,,trn_rail,refined liquids,
trn_pass_road_LDV_4W,Mini Car,Liquids,trn_road,refined liquids,,trn_road,biomass,
trn_pass_road_LDV_4W,Mini Car,NG,trn_road,gas,,trn_road,coal,
trn_pass_road_LDV_4W,Subcompact Car,BEV,,,,trn_road,gas,
trn_pass_road_LDV_4W,Subcompact Car,FCEV,,,,trn_road,refined liquids,
trn_pass_road_LDV_4W,Subcompact Car,Liquids,trn_road,refined liquids,,unmatched,process,
trn_pass_road_LDV_4W,Subcompact Car,Liquids,trn_road,refined liquids,,wastewater,process,
trn_pass_road_LDV_4W,Subcompact Car,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Multipurpose Vehicle,BEV,,,,,,
trn_pass_road_LDV_4W,Multipurpose Vehicle,FCEV,,,,,,
trn_pass_road_LDV_4W,Multipurpose Vehicle,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Multipurpose Vehicle,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Multipurpose Vehicle,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Midsize Car,BEV,,,,,,
trn_pass_road_LDV_4W,Midsize Car,FCEV,,,,,,
trn_pass_road_LDV_4W,Midsize Car,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Midsize Car,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Midsize Car,NG,trn_road,gas,,,,
trn_pass,Passenger Rail,Electric,,,,,,
trn_pass,Passenger Rail,Liquids,,,,,,
trn_pass,Passenger Rail,Electric,,,,,,
trn_pass,Passenger Rail,Liquids,,,,,,
trn_freight_road,3W Rural,Liquids,trn_road,refined liquids,,,,
trn_freight_road,3W Rural,NG,trn_road,gas,,,,
trn_pass_road_LDV_2W,Moped,BEV,,,,,,
trn_pass_road_LDV_2W,Moped,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_2W,Scooter,BEV,,,,,,
trn_pass_road_LDV_2W,Scooter,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV,Three-Wheeler,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV,Three-Wheeler,NG,trn_road,gas,,,,
trn_freight_road,Truck (>12t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (>14t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (>15t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (>32t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (0-1t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (0-2.7t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (0-2t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (0-3.5t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (0-4.5t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (0-6t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (16-32t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (1-6t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (2.7-4.5t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (2-5t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (3.5-16t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (4.5-12t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (4.5-15t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (5-9t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (6-14t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (6-15t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (6-30t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (9-16t),Liquids,trn_road,refined liquids,,,,
trn_freight_road,Truck (>12t),NG,trn_road,gas,,,,
trn_freight_road,Truck (>14t),NG,trn_road,gas,,,,
trn_freight_road,Truck (>15t),NG,trn_road,gas,,,,
trn_freight_road,Truck (>32t),NG,trn_road,gas,,,,
trn_freight_road,Truck (0-1t),NG,trn_road,gas,,,,
trn_freight_road,Truck (0-2.7t),NG,trn_road,gas,,,,
trn_freight_road,Truck (0-2t),NG,trn_road,gas,,,,
trn_freight_road,Truck (0-3.5t),NG,trn_road,gas,,,,
trn_freight_road,Truck (0-4.5t),NG,trn_road,gas,,,,
trn_freight_road,Truck (0-6t),NG,trn_road,gas,,,,
trn_freight_road,Truck (16-32t),NG,trn_road,gas,,,,
trn_freight_road,Truck (1-6t),NG,trn_road,gas,,,,
trn_freight_road,Truck (2.7-4.5t),NG,trn_road,gas,,,,
trn_freight_road,Truck (2-5t),NG,trn_road,gas,,,,
trn_freight_road,Truck (3.5-16t),NG,trn_road,gas,,,,
trn_freight_road,Truck (4.5-12t),NG,trn_road,gas,,,,
trn_freight_road,Truck (4.5-15t),NG,trn_road,gas,,,,
trn_freight_road,Truck (5-9t),NG,trn_road,gas,,,,
trn_freight_road,Truck (6-14t),NG,trn_road,gas,,,,
trn_freight_road,Truck (6-15t),NG,trn_road,gas,,,,
trn_freight_road,Truck (6-30t),NG,trn_road,gas,,,,
trn_freight_road,Truck (9-16t),NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Large Car,BEV,,,,,,
trn_pass_road_LDV_4W,Large Car,FCEV,,,,,,
trn_pass_road_LDV_4W,Large Car,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Large Car,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Large Car,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Light Truck and SUV,BEV,,,,,,
trn_pass_road_LDV_4W,Light Truck and SUV,FCEV,,,,,,
trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Light Truck and SUV,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Large Car and SUV,BEV,,,,,,
trn_pass_road_LDV_4W,Large Car and SUV,FCEV,,,,,,
trn_pass_road_LDV_4W,Large Car and SUV,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Large Car and SUV,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Large Car and SUV,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Compact Car,BEV,,,,,,
trn_pass_road_LDV_4W,Compact Car,FCEV,,,,,,
trn_pass_road_LDV_4W,Compact Car,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Compact Car,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Compact Car,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Van,BEV,,,,,,
trn_pass_road_LDV_4W,Van,FCEV,,,,,,
trn_pass_road_LDV_4W,Van,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Van,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Van,NG,trn_road,gas,,,,
trn_pass_road_bus,Light Bus,Liquids,trn_road,refined liquids,,,,
trn_pass_road_bus,Light Bus,NG,trn_road,gas,,,,
trn_pass_road_bus,Heavy Bus,Liquids,trn_road,refined liquids,,,,
trn_pass_road_bus,Heavy Bus,NG,trn_road,gas,,,,
