# File: IEA_ctry.csv
# Title: Mapping from IEA countries or composite regions to country ISO codes.
# Source: NA
# Units: NA
# Description: IEA_ctry refers to the name of the country or country group in the IEA Energy Balances. IEA_Fert_reg corresponds to the world region for which ammonia production volumes and energy intensities are reported in Table 4.15 of IEA (2007); Tracking Industrial Energy Efficiency and CO2 Emissions, https://www.iea.org/publications/freepublications/publication/tracking_emissions.pdf
IEA_ctry,iso,IEA_Fert_reg
Former Soviet Union (if no detail),ltu,CIS
Former Soviet Union (if no detail),lva,CIS
Former Soviet Union (if no detail),mda,CIS
Former Soviet Union (if no detail),rus,CIS
Former Soviet Union (if no detail),tjk,CIS
Former Soviet Union (if no detail),tkm,CIS
Former Soviet Union (if no detail),ukr,CIS
Former Soviet Union (if no detail),uzb,CIS
Former Yugoslavia (if no detail),bih,Central European countries
Former Yugoslavia (if no detail),hrv,Central European countries
Former Yugoslavia (if no detail),mkd,Central European countries
Former Yugoslavia (if no detail),mne,Central European countries
Former Yugoslavia (if no detail),srb,Central European countries
Former Yugoslavia (if no detail),svn,Central European countries
Other Africa,bdi,Africa
Other Africa,bfa,Africa
Other Africa,caf,Africa
Other Africa,com,Africa
Other Africa,cpv,Africa
Other Africa,dji,Africa
Other Africa,esh,Africa
Other Africa,gin,Africa
Other Africa,gmb,Africa
Other Africa,gnb,Africa
Other Africa,gnq,Africa
Other Africa,lbr,Africa
Other Africa,lso,Africa
Other Africa,mdg,Africa
Other Africa,mli,Africa
Other Africa,mrt,Africa
Other Africa,mus,Africa
Other Africa,mwi,Africa
Other Africa,ner,Africa
Other Africa,reu,Africa
Other Africa,rwa,Africa
Other Africa,sle,Africa
Other Africa,som,Africa
Other Africa,stp,Africa
Other Africa,swz,Africa
Other Africa,syc,Africa
Other Africa,tcd,Africa
Other Africa,uga,Africa
Other Non-OECD Americas,abw,Latin America
Other Non-OECD Americas,atg,Latin America
Other Non-OECD Americas,bhs,Latin America
Other Non-OECD Americas,blz,Latin America
Other Non-OECD Americas,bmu,Western Europe
Other Non-OECD Americas,brb,Latin America
Other Non-OECD Americas,cym,Latin America
Other Non-OECD Americas,dma,Latin America
Other Non-OECD Americas,flk,Latin America
Other Non-OECD Americas,glp,Latin America
Other Non-OECD Americas,grd,Latin America
Other Non-OECD Americas,guf,Latin America
Other Non-OECD Americas,guy,Latin America
Other Non-OECD Americas,kna,Latin America
Other Non-OECD Americas,lca,Latin America
Other Non-OECD Americas,msr,Latin America
Other Non-OECD Americas,sur,Latin America
Other Non-OECD Americas,tca,Latin America
Other Non-OECD Americas,vct,Latin America
Other Non-OECD Americas,vgb,Latin America
Other Asia,afg,Other Asia
Other Asia,btn,Other Asia
Other Asia,fji,Other Asia
Other Asia,kir,Other Asia
Other Asia,lao,Other Asia
Other Asia,mac,Other Asia
Other Asia,mdv,Other Asia
Other Asia,ncl,Other Asia
Other Asia,plw,Other Asia
Other Asia,png,Other Asia
Other Asia,slb,Other Asia
Other Asia,tls,Other Asia
Other Asia,ton,Other Asia
Other Asia,vut,Other Asia
Other Asia,wsm,Other Asia
