# File:UCD_ctry.csv
# ----------
# Column types: ccc
# Description: Maps iso codes to GCAM regions (including composites as necessary)
# Source: Mishra et al. 2013
# Title:Mapping iso code to country to GCAM3 region
# Units: NA
iso,country_name,UCD_region
lao,Lao Peoples Democratic Republic,Southeast Asia
lbn,Lebanon,Middle East
lbr,Liberia,Africa
lby,Libyan Arab Jamahiriya,Africa
lca,Saint Lucia,Latin America
lka,Sri Lanka,Southeast Asia
lso,Lesotho,Africa
ltu,Lithuania,Former Soviet Union
lux,Luxembourg,Western Europe
lva,Latvia,Former Soviet Union
mac,Macau,Southeast Asia
mar,Morocco,Africa
mda,"Moldova, Republic of",Former Soviet Union
mdg,Madagascar,Africa
mdv,Maldives,Southeast Asia
mex,Mexico,Latin America
mkd,"Macedonia, the former Yugoslav Republic of",Eastern Europe
mli,Mali,Africa
mlt,Malta,Western Europe
mmr,Myanmar,Southeast Asia
mne,Montenegro,Eastern Europe
mng,Mongolia,China
moz,Mozambique,Africa
mrt,Mauritania,Africa
msr,Montserrat,Latin America
mus,Mauritius,Africa
mwi,Malawi,Africa
mys,Malaysia,Southeast Asia
nam,Namibia,Africa
ncl,New Caledonia,Southeast Asia
ner,Niger,Africa
nga,Nigeria,Africa
nic,Nicaragua,Latin America
nld,Netherlands,Western Europe
nor,Norway,Western Europe
npl,Nepal,Southeast Asia
nzl,New Zealand,Australia_NZ
omn,Oman,Middle East
pak,Pakistan,Southeast Asia
pan,Panama,Latin America
per,Peru,Latin America
phl,Philippines,Southeast Asia
plw,Palau,Southeast Asia
png,Papua New Guinea,Southeast Asia
pol,Poland,Eastern Europe
prk,"Korea, Democratic Peoples Republic of",China
prt,Portugal,Western Europe
pry,Paraguay,Latin America
qat,Qatar,Middle East
reu,Reunion,Africa
rks,Kosovo,Eastern Europe
rom,Romania,Eastern Europe
rus,Russian Federation,Former Soviet Union
rwa,Rwanda,Africa
sau,Saudi Arabia,Middle East
sdn,Sudan,Africa
sen,Senegal,Africa
sgp,Singapore,Southeast Asia
slb,Solomon Islands,Southeast Asia
sle,Sierra Leone,Africa
slv,El Salvador,Latin America
som,Somalia,Africa
srb,Serbia,Eastern Europe
stp,Sao Tome and Principe,Africa
sur,Suriname,Latin America
svk,Slovakia,Eastern Europe
svn,Slovenia,Eastern Europe
swe,Sweden,Western Europe
swz,Swaziland,Africa
syc,Seychelles,Africa
syr,Syrian Arab Republic,Middle East
tca,Turks and Caicos,Latin America
tcd,Chad,Africa
tgo,Togo,Africa
tha,Thailand,Southeast Asia
tjk,Tajikistan,Former Soviet Union
tkm,Turkmenistan,Former Soviet Union
tls,Timor Leste,Southeast Asia
ton,Tonga,Southeast Asia
tto,Trinidad and Tobago,Latin America
tun,Tunisia,Africa
tur,Turkey,Western Europe
twn,Taiwan,Southeast Asia
tza,"Tanzania, United Republic of",Africa
uga,Uganda,Africa
ukr,Ukraine,Former Soviet Union
ury,Uruguay,Latin America
usa,United States of America,USA
uzb,Uzbekistan,Former Soviet Union
vct,Saint Vincent and the Grenadines,Latin America
ven,Venezuela,Latin America
vgb,"Virgin Islands, British",Latin America
vnm,Viet Nam,China
vut,Vanuatu,Southeast Asia
wsm,Samoa,Southeast Asia
yem,Yemen,Middle East
zaf,South Africa,Africa
zmb,Zambia,Africa
zwe,Zimbabwe,Africa
ssd,South Sudan,Africa
scg,Serbia and Montenegro,Eastern Europe
