Region: USA,,,,,,,,,,,,,,,,,,,,,,,
Final Demand,,,1975,1990,2005,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,population,215079,250181,296410,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,
,,1975 fillout,1975,1975,1990,2005,2020,2035,2050,2065,2080,2095,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
energy-final-demand,perCapitaBased,base-scaler,base-service,price-elasticity,price-elasticity,price-elasticity,price-elasticity,price-elasticity,price-elasticity,price-elasticity,price-elasticity,price-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,,
food processing,1,1,0.591580375,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,-0.09,-0.09,0.00,0.00,0.00,0.00,,food processing
pulp paper and wood,1,1,1.570750944,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,,pulp paper and wood
chemicals,0,1,4.915587743,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,0.20,0.10,0.02,0.02,0.02,0.02,,chemicals
petroleum,0,1,5.335124661,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,0.39,0.28,0.38,0.12,-0.09,0.05,,petroleum
aluminum,0,1,0.404331586,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,,aluminum
other primary metals,0,1,1.610364883,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,,other primary metals
other nonmetallic minerals,0,1,0.507190862,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,0.18,0.18,0.18,0.18,0.18,0.18,,other nonmetallic minerals
other manufacturing,0,1,1.895743231,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,0.12,0.12,0.25,0.35,0.50,0.60,,other manufacturing
agriculture,1,1,0.653490323,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,-0.07,0.00,0.10,0.10,0.10,0.10,,agriculture
mining,0,1,1.786256546,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,-0.02,0.10,0.10,0.10,0.10,0.10,,mining
construction,0,1,2.336054066,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,0.04,0.20,0.20,0.20,0.20,0.20,,construction


Benchmark growth to AEO energy demand,,,,,,,,,,,,,,,,,,,,,,,
,2005,2020,2035,,,,,,,,,,,,,,,,,,,,
population (CCTP),296410,335805,377765,,,,,,,,,,,,,,,,,,,,
GDP (from AEO),11048.625,17076.9082,25931.21394,,,,,,,,,,,,,,,,,,,,
per capita GDP (derived),37.27480517,50.85364483,68.64377043,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"AEO (assume ObjECTS equations, and assume similar population numbers)",,,,,,,,,,,,,,,,,,,,,,,
see AEO_Industry.xls for derivation of growth rates,,,,,,,,,,,,,,,,,,,,,,,
,2005-2030 annual growth,,2035 value indexed to 2005,,,,,,,,,,,,,,,,,,,,
Drivers,,,,,,,,,,,,,,,,,,,,,,,
Population,0.8%,,1.274467798,,,,,,,,,,,,,,,,,,,,
GDP,2.9%,,2.347008242,,,,,,,,,,,,,,,,,,,,
percap GDP,2.1%,,1.841559469,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Industries,2005-2030 annual growth in energy consumption,assumed process improvement,derived growth in output 2005-2030,per capita income elasticity,total income elasticity,,see AEO_Industry workbook(s) for 2005-2030 energy consumption trends,,,,,,,,,,,,
Food Processing,0.4%,0.35%,1.204557423,-0.092,0.218,,,,,,,,,,,,,,
Pulp Paper and Wood,0.19%,0.35%,1.143544466,-0.178,0.157,,,,,,,,,,,,,,
Chemicals,-0.28%,0.35%,1.01700819,-0.370,0.020,,,,,,,,,,,,,,
Petroleum,2.68%,0.35%,2.113247224,0.828,0.877,,,,,,,,,,,,,,
Aluminum,-1.19%,0.35%,0.80843718,-0.745,-0.249,,,,,,,,,,,,,,
Other Primary Metals ,-0.55%,0.35%,0.951655636,-0.478,-0.058,,,,,,,,,,,,,,
Other NonMetallic Mineral,0.26%,0.35%,1.16345163,-0.149,0.177,,,,,,,,,,,,,,
Other Manufacturing,0.07%,0.35%,1.110238957,-0.226,0.123,,,,,,,,,,,,,,
Agriculture,-0.59%,0.35%,0.941420604,-0.496,-0.071,,,,,,,,,,,,,,
Mining,-0.42%,0.35%,0.981966911,-0.427,-0.021,,,,,,,,,,,,,,
Construction,-0.23%,0.35%,1.031438342,-0.346,0.036,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
calculate petroleum income elasticity based on CCTP refined liquid fuel production,,,,,,,,,,,,
Run,Region,,,1990,2005,2020,2035,2050,2065,2080,2095,Units
CCTP,USA,General: GDP90$: GDP(90mer),,5725150,8916060,1.25E+07,1.66E+07,2.23E+07,2.92E+07,3.86E+07,5.05E+07,Million1990US$
"CCTP_Aggregate_REF,date=2008-12-5T21:5:59-00:00",USA,price,refined liquids enduse,2.62006,2.93858,3.21266,3.66476,3.86674,4.00941,4.13398,5.48074,1975$/GJ
"CCTP_Aggregate_REF,date=2008-12-5T21:5:59-00:00",USA,price,refined liquids industrial,1.52006,1.77661,1.93756,2.33749,2.58758,2.74783,2.89547,4.2167,1975$/GJ
"CCTP_Aggregate_REF,date=2008-12-5T21:5:59-00:00",USA,output,refined liquids enduse,23.58,29.310042,31.321835,32.977022,32.971898,31.115936,30.752338,26.10383,EJ
"CCTP_Aggregate_REF,date=2008-12-5T21:5:59-00:00",USA,output,refined liquids industrial,10.2866,10.9872,9.84279868,8.0593071,7.7683471,7.667818,7.6442953,6.081411,EJ
,,avg price,,2.285947334,2.621764353,2.90777322,3.404091544,3.62282986,3.759986857,3.887407961,5.241899261,
,,total output,,33.8666,40.297242,41.16463368,41.0363291,40.7402451,38.783754,38.3966333,32.185241,


price ratio,,,,,1.146904968,1.109090226,1.170686737,1.064257472,1.037859077,1.03388871,1.348430449,
GDP ratio,,,,,1.557349589,1.404095531,1.327989456,1.34171223,1.311287047,1.319063102,1.307742949,
price elasticity,,,,,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,
demand / (base*price ratio^p),,,,,1.189881535,1.098312045,1.113147558,1.037021663,0.977064148,1.013386134,1.033340865,
income elasticity,,,,,0.392459331,0.276300339,0.377879613,0.123671516,-0.085616933,0.048018378,0.122239212,

calculate mining income elasticity based on CCTP coal production,,,,,,,,,,,
Run,Region,,1990,2005,2020,2035,2050,2065,2080,2095,Units
Pulp Paper and Wood,,,,,,,not the one adjusted for trends!,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,,,
Chemicals,,,,,,,These extra calcs not needed since 2005 is calibrated.  Just use data.,,,,,,,0.55,0.55,0.55,0.55,0.55,0.55,,,0
Petroleum,,,,,,,,,,,,,,0.65,0.65,0.65,0.65,0.65,0.65,,,0
Aluminum,,,,,,,,,,,,,,0.15,0.15,0.15,0.15,0.15,0.15,,,
Other Primary Metals ,,,,,,,,,,,,,,0.15,0.15,0.15,0.15,0.15,0.15,,,
Other NonMetallic Mineral,,,,,,,,,,,,,,0.15,0.15,0.15,0.15,0.15,0.15,,,
Other Manufacturing,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,,,
Agriculture,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,,,
Mining,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,,,
Construction,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,
,
,
,
,
,
,
,
