# File: Zhou_wind_supply_ctry_EJ.csv
# Title: Central case for onshore wind resources and price
# Units: Energy in EJ; price in $2007/kWh
# Source: http://pubs.acs.org/doi/pdf/10.1021/es204706m; Zhou et al. Evaluation of Global Onshore Wind Energy Potential and Generation Costs
# Comments: Supplementary information - http://pubs.acs.org/doi/suppl/10.1021/es204706m/suppl_file/es204706m_si_001.pdf; Other helpful references http://jgcri.github.io/gcam-doc/v4.2/energy.html#wind & http://www.globalchange.umd.edu/data/gtsp/workshops/2011/tech1/Global_Onshore_Wind_Supply_GTSP.pdf
iso,maxSubResource,mid-price,curve-exponent,base-price
kor,0.806265,0.069724,3.605442,0.0725
bgr,1.849295,0.048838,2.929784,0.0854
gtm,0.857491,0.063047,2.810725,0.0714
isl,2.664531,0.014935,2.376571,0.0573
scg,1.636338,0.066014,4.912822,0.0785
mwi,1.888184,0.054419,2.691261,0.0993
lbr,0.042288,0.058718,1.851245,0.0823
prt,2.460931,0.04276,2.572422,0.0604
hun,1.820038,0.018544,2.030501,0.1061
jor,2.763917,0.023705,2.155203,0.0943
aze,1.291717,0.077358,2.384339,0.0601
pan,0.299635,0.082784,2.765459,0.0784
guf,0.123842,0.092919,3.554772,0.1266
aut,0.958462,0.023407,2.56976,0.0974
are,2.298574,0.021234,2.905989,0.1108
cze,1.509305,0.013858,2.519598,0.0894
irl,2.87504,0.010479,2.094739,0.0577
sle,0.077205,0.121895,2.055286,0.1068
lka,0.688951,0.039632,2.309968,0.068
geo,0.749378,0.044314,2.480152,0.0907
sjm,0.064629,0.060809,2.600297,0.1394
lva,1.097398,0.022257,3.126068,0.0591
ltu,1.822485,0.023296,2.220563,0.0587
hrv,0.796386,0.04444,1.649231,0.0622
tgo,0.477536,0.099252,3.071686,0.104
cri,0.411733,0.074078,2.274787,0.059
dnk,1.161927,0.014782,1.81694,0.0569
dom,0.521658,0.067445,1.981335,0.0599
bih,0.813241,0.044407,2.51947,0.0761
svk,0.5968,0.014577,1.508699,0.1067
est,0.622366,0.023554,2.179502,0.0582
slb,0.026848,0.132674,2.786116,0.0962
che,0.448224,0.014679,2.227827,0.1104
twn,0.206072,0.057101,2.197228,0.067
btn,0.039641,0.071124,2.315364,0.1308
nld,1.003666,0.017147,2.244853,0.0589
gnb,0.491319,0.099782,2.728163,0.0703
mda,0.981142,0.010772,5.089157,0.0962
hti,0.246067,0.059269,1.637671,0.0658
bel,0.85776,0.013922,4.191489,0.0703
lso,0.33007,0.014476,2.93732,0.1041
alb,0.650197,0.037732,2.611445,0.0751
fji,0.048107,0.056983,3.18876,0.0839
arm,0.196554,0.059461,2.29338,0.1007
bhs,0.043619,0.035848,1.506922,0.0835
gnq,0.002169,0.046368,1.525457,0.1721
bdi,0.263504,0.028164,1.614794,0.162
blz,0.100828,0.072112,2.505117,0.059
mkd,0.375892,0.033535,1.97515,0.1366
rwa,0.218814,0.0423,2.448302,0.1717
ncl,0.115049,0.062146,2.054112,0.0635
dji,0.532442,0.029562,2.068676,0.0901
isr,0.357284,0.053176,2.385507,0.1095
slv,0.298401,0.062895,2.275712,0.0834
svn,0.151167,0.066653,2.302026,0.0849
vut,0.01372,0.018544,0.819731,0.1154
flk,0.256564,0.01115,1.431309,0.0726
kwt,0.559741,0.012361,2.208647,0.101
swz,0.345357,0.021724,5.012944,0.1374
tls,0.070277,0.032819,1.135409,0.2159
jam,0.074527,0.045857,3.412205,0.0713
qat,0.315,0.017695,2.069758,0.095
gmb,0.180119,0.039912,4.092891,0.1327
cyp,0.100623,0.049653,2.4187,0.0878
lbn,0.178426,0.036634,2.125141,0.0921
pri,0.105885,0.00855,0.924396,0.0569
cpv,0.013831,0.011571,0.383687,0.1115
tto,0.024683,0.033195,1.082533,0.0725
brn,0.003302,0.023754,1.452392,0.1825
pse,0.083818,0.035928,1.512818,0.1244
wsm,0.004374,0.061723,2.054253,0.2449
glp,0.003978,0.024887,0.694927,0.1231
reu,0.00868,0.024743,0.750873,0.091
mus,0.028071,0.010081,0.77071,0.112
fro,0.016368,0.009522,1.029558,0.0565
lux,0.059116,0.0085,2.614837,0.0868
mtq,0.003797,0.005909,0.535894,0.0808
dma,0.000562,0.03871,0.966242,0.1049
sgp,0.001373,0.025363,2.369646,0.0981
atg,0.00469,0.035544,2.755458,0.0875
imn,0.006381,0.014565,0.965044,0.0733
and,0.002637,0.003778,3.664645,0.122
esh,12.561359,0.035355,4.390131,0.0649
