# File: CDIAC_nation.csv
# Title: NA
# Units: NA
nation,iso,UN_code
MONGOLIA,mng,496
MONTSERRAT,msr,500
MOROCCO,mar,504
MONTENEGRO,scg,499
MOZAMBIQUE,moz,508
MYANMAR (FORMERLY BURMA),mmr,104
NAMIBIA,nam,516
NAURU,nru,520
NEPAL,npl,524
NETHERLAND ANTILLES,ant,530
NETHERLAND ANTILLES AND ARUBA,ant,532
NETHERLANDS,nld,528
NEW CALEDONIA,ncl,540
NEW ZEALAND,nzl,554
NICARAGUA,nic,558
NIGER,ner,562
NIGERIA,nga,566
NIUE,niu,570
NORWAY,nor,579
OCCUPIED PALESTINIAN TERRITORY,pse,275
OMAN,omn,512
PACIFIC ISLANDS (PALAU),plw,582
PAKISTAN,pak,586
PALAU,plw,585
PANAMA,pan,590
PANAMA,pan,591
PAPUA NEW GUINEA,png,598
PARAGUAY,pry,600
PENINSULAR MALAYSIA,mys,459
PERU,per,604
PHILIPPINES,phl,608
PLURINATIONAL STATE OF BOLIVIA,bol,68
POLAND,pol,616
PORTUGAL,prt,620
PUERTO RICO,pri,630
QATAR,qat,634
REPUBLIC OF CAMEROON,cmr,120
REPUBLIC OF KOREA,kor,410
REPUBLIC OF MOLDOVA,mda,498
REPUBLIC OF SOUTH VIETNAM,vnm,868
REUNION,reu,638
RHODESIA-NYASALAND,zwe,717
ROMANIA,rom,642
RUSSIAN FEDERATION,rus,643
RWANDA,rwa,646
RWANDA-URUNDI,rwa,645
RYUKYU ISLANDS,jpn,647
SABAH,mys,461
SAINT HELENA,shn,654
SAINT LUCIA,lca,662
SAMOA,wsm,882
SAO TOME & PRINCIPE,stp,678
SARAWAK,mys,457
SAUDI ARABIA,sau,682
SENEGAL,sen,686
SERBIA,scg,688
SEYCHELLES,syc,690
SIERRA LEONE,sle,694
SINGAPORE,sgp,702
SLOVAKIA,svk,703
SLOVENIA,svn,705
SOLOMON ISLANDS,slb,90
SOMALIA,som,706
SOUTH AFRICA,zaf,710
SPAIN,esp,724
SRI LANKA,lka,144
ST. KITTS-NEVIS,kna,659
ST. KITTS-NEVIS-ANGUILLA,kna,658
ST. PIERRE & MIQUELON,spm,666
ST. VINCENT & THE GRENADINES,vct,670
SUDAN,sdn,736
SURINAME,sur,740
SWAZILAND,swz,748
SWEDEN,swe,752
SWITZERLAND,che,757
SYRIAN ARAB REPUBLIC,syr,760
TAIWAN,twn,158
TAJIKISTAN,tjk,762
TANGANYIKA,ken,835
THAILAND,tha,764
TIMOR-LESTE (FORMERLY EAST TIMOR),tls,626
TOGO,tgo,768
TONGA,ton,776
TRINIDAD AND TOBAGO,tto,780
TUNISIA,tun,788
TURKEY,tur,792
TURKMENISTAN,tkm,795
TURKS AND CAICOS ISLANDS,tca,796
UGANDA,uga,800
UKRAINE,ukr,804
UNITED ARAB EMIRATES,are,784
UNITED KINGDOM,gbr,826
UNITED KOREA,kor,410
UNITED REPUBLIC OF TANZANIA,tza,834
UNITED STATES OF AMERICA,usa,840
URUGUAY,ury,858
USSR,arm,810
USSR,aze,810
USSR,blr,810
USSR,est,810
USSR,geo,810
USSR,kaz,810
USSR,kgz,810
USSR,ltu,810
USSR,lva,810
USSR,mda,810
USSR,rus,810
USSR,tjk,810
USSR,tkm,810
USSR,ukr,810
USSR,uzb,810
UZBEKISTAN,uzb,860
VANUATU,vut,548
VENEZUELA,ven,862
VIET NAM,vnm,704
WALLIS AND FUTUNA ISLANDS,wlf,876
WESTERN SAHARA,esh,732
YEMEN,yem,887
YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC),bih,890
YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC),hrv,890
YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC),mkd,890
YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC),scg,890
YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC),svn,890
YUGOSLAVIA (MONTENEGRO & SERBIA),scg,891
ZAMBIA,zmb,894
ZANZIBAR,tza,836
ZIMBABWE,zwe,716
