# File: IEA_ctry.csv
# Title: Mapping between iso codes and country names in IEA databases
# Units: NA
# Column types: ccc
# ----------
IEA_ctry,iso,IEA_Fert_reg
Former Soviet Union (If no detail),geo,CIS
Former Soviet Union (If no detail),kaz,CIS
Former Soviet Union (If no detail),kgz,CIS
Former Soviet Union (If no detail),ltu,CIS
Former Soviet Union (If no detail),lva,CIS
Former Soviet Union (If no detail),mda,CIS
Former Soviet Union (If no detail),rus,CIS
Former Soviet Union (If no detail),tjk,CIS
Former Soviet Union (If no detail),tkm,CIS
Former Soviet Union (If no detail),ukr,CIS
Former Soviet Union (If no detail),uzb,CIS
Former Yugoslavia (If no detail),bih,Central European countries
Former Yugoslavia (If no detail),hrv,Central European countries
Former Yugoslavia (If no detail),mkd,Central European countries
Former Yugoslavia (If no detail),mne,Central European countries
Former Yugoslavia (If no detail),srb,Central European countries
Former Yugoslavia (If no detail),svn,Central European countries
Other Africa,bdi,Africa
Other Africa,bfa,Africa
Other Africa,caf,Africa
Other Africa,com,Africa
Other Africa,cpv,Africa
Other Africa,dji,Africa
Other Africa,esh,Africa
Other Africa,gin,Africa
Other Africa,gmb,Africa
Other Africa,gnb,Africa
Other Africa,gnq,Africa
Other Africa,lbr,Africa
Other Africa,lso,Africa
Other Africa,mdg,Africa
Other Africa,mli,Africa
Other Africa,mrt,Africa
Other Africa,mwi,Africa
Other Africa,reu,Africa
Other Africa,rwa,Africa
Other Africa,sle,Africa
Other Africa,som,Africa
Other Africa,stp,Africa
Other Africa,swz,Africa
Other Africa,syc,Africa
Other Africa,tcd,Africa
Other Africa,uga,Africa
Other non-OECD Americas,abw,Latin America
Other non-OECD Americas,ant,Latin America
Other non-OECD Americas,atg,Latin America
Other non-OECD Americas,bhs,Latin America
Other non-OECD Americas,blz,Latin America
Other non-OECD Americas,bmu,Western Europe
Other non-OECD Americas,brb,Latin America
Other non-OECD Americas,cym,Latin America
Other non-OECD Americas,dma,Latin America
Other non-OECD Americas,flk,Latin America
Other non-OECD Americas,glp,Latin America
Other non-OECD Americas,grd,Latin America
Other non-OECD Americas,guf,Latin America
Other non-OECD Americas,guy,Latin America
Other non-OECD Americas,kna,Latin America
Other non-OECD Americas,lca,Latin America
Other non-OECD Americas,msr,Latin America
Other non-OECD Americas,tca,Latin America
Other non-OECD Americas,vct,Latin America
Other non-OECD Americas,vgb,Latin America
Other non-OECD Asia,afg,Other Asia
Other non-OECD Asia,btn,Other Asia
Other non-OECD Asia,fji,Other Asia
Other non-OECD Asia,kir,Other Asia
Other non-OECD Asia,lao,Other Asia
Other non-OECD Asia,mac,Other Asia
Other non-OECD Asia,mdv,Other Asia
Other non-OECD Asia,ncl,Other Asia
Other non-OECD Asia,plw,Other Asia
Other non-OECD Asia,png,Other Asia
Other non-OECD Asia,slb,Other Asia
Other non-OECD Asia,tls,Other Asia
Other non-OECD Asia,ton,Other Asia
Other non-OECD Asia,vut,Other Asia
Other non-OECD Asia,wsm,Other Asia
