# File: IEA_flow_sector.csv
# Title: Mapping from flows in IEA energy balances to intermediate sector names. Includes unit conversion
# Units: NA
# Source: International Energy Agency, 2012, Energy Balances of OECD Countries 1960-2010 and Energy Balances of Non-OECD Countries 1971-2010
# Description: The conversion factors convert from the units in IEA Energy Balances (kilotonnes of oil equivalent, terajoules of heat, and gigawatt-hours of electricity) to exajoules, and all energy inputs are indicated as positive numbers. In the IEA Energy Balances, the standard adopted is that for energy production and transformation sectors, energy inputs are negative and energy outputs are positive, whereas for energy consumption sectors, energy inputs are positive. We don't use that convention in GCAM; all energy inputs (and outputs) are indicated as positive numbers.
# Column types: cccn 
# ----------
flow_code,flow_name,sector,conversion
ENONSPEC,Non-specified (Energy),net_industry_energy transformation,-0.00004186
DISTLOSS,Distribution Losses,in_industry_energy distribution,-0.00004186
TFC,Total Final Consumption,,
TOTIND,Industry Sector,in_industry_general,0.00004186
MANUFACT,Manufacturing,,
IRONSTL,Iron and Steel,iron and steel,0.00004186
CHEMICAL,Chemical and Petrochemical,chemical energy use,0.00004186
NONFERR,Non-Ferrous Metals,,
NONMET,Non-Metallic Minerals,cement,0.00004186
TRANSEQ,Transport Equipment,,
MACHINE,Machinery,,
MINING,Mining and Quarrying,mining energy use,0.00004186
FOODPRO,Food and Tobacco,,
PAPERPRO,"Paper, Pulp and Print",,
WOODPRO,Wood and Wood Products,,
CONSTRUC,Construction,construction energy use,0.00004186
TEXTILES,Textile and Leather,,
INONSPEC,Non-specified (Industry),,
TOTTRANS,Transport Sector,,
WORLDAV,World Aviation Bunkers,,
DOMESAIR,Domestic Aviation,in_trn_domestic air,0.00004186
ROAD,Road,in_trn_road,0.00004186
RAIL,Rail,in_trn_rail,0.00004186
PIPELINE,Pipeline Transport,in_industry_pipeline,0.00004186
WORLDMAR,World Marine Bunkers,,
DOMESNAV,Domestic Navigation,in_trn_domestic ship,0.00004186
TRNONSPE,Non-specified (Transport),in_trn_unspecified,0.00004186
RESIDENT,Residential,in_bld_resid,0.00004186
COMMPUB,Commercial and Public Services,in_bld_comm,0.00004186
AGRICULT,Agriculture/Forestry,in_industry_agriculture,0.00004186
FISHING,Fishing,in_industry_general,0.00004186
ONONSPEC,Non-specified (Other),in_bld_comm,0.00004186
NONENUSE,Non-energy use,in_industry_feedstocks,0.00004186
NEINTREN,Non-energy use industry/transformation/ energy,,
NEIND,Memo: Non-energy use in industry,,
NEIRONSTL,Memo: Non-energy use in iron and steel,,
NECHEM,Memo: Non-energy use chemical/petrochemical,chemical feedstocks,0.00004186
NENONFERR,Memo: Non-energy use in non-ferrous metals,,
NENONMET,Memo: Non-energy use in non-metallic minerals,,
NETRANSEQ,Memo: Non-energy use in transport equipment,,
NEMACHINE,Memo: Non-energy use in machinery,,
NEMINING,Memo: Non-energy use in mining and quarrying,,
NEFOODPRO,Memo: Non-energy use in food/beverages/tobacco,,
NEPAPERPRO,Memo: Non-energy use in paper/pulp and printing,,
NEWOODPRO,Memo: Non-energy use in wood and wood products,,
NECONSTRUC,Memo: Non-energy use in construction,construction feedstocks,0.00004186
NETEXTILES,Memo: Non-energy use in textiles and leather,,
NEINONSPEC,Memo: Non-energy use in non-specified industry,,
NETRANS,Non-Energy Use in transport,,
NEOTHER,Non-Energy Use in other,,
ELOUTPUT,Elect.Output in GWh,,
ELMAINE,Elec Output-main activity producer ele plants,out_electricity generation,0.0000036
ELAUTOE,Elec Output-autoproducer electricity plants,out_electricity generation,0.0000036
ELMAINC,Elec Output-main activity producer CHP plants,out_electricity generation,0.0000036
ELAUTOC,Elec Output-autoproducer CHP plants,out_chp_elec,0.0000036
HEATOUT,Heat Output in ktoe,,
HEMAINC,Heat Output-main activity producer CHP plants,out_electricity_heat,0.00004186
HEAUTOC,Heat Output-autoproducer CHP plants,,
HEMAINH,Heat Output-main activity producer heat plant,,
HEAUTOH,Heat Output-autoproducer heat plants,,
