PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,FKHTBTU8 ,FKCLBTU8 ,FKWTBTU8 ,FKCKBTU8 ,FKMSBTU8 ,DHHTBTU8 ,DHCLBTU8 ,DHWTBTU8 ,DHCKBTU8 ,DHMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
25,3,5,17500,4,6,12,1,1,2,2,2,2,734.43,23,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
26,4,9,106000,7,7,25,1,1,2,2,2,2,97.97,40,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
27,3,5,74000,6,6,14,1,1,2,2,2,2,223.94,56,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
28,3,7,1550,2,7,14,1,2,2,2,2,2,1702.02,34,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
29,3,7,13500,4,7,13,1,1,2,2,2,2,808.04,32,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
30,1,2,37000,5,2,5,1,1,2,2,2,2,813.44,51,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
31,3,5,310000,8,6,18,1,1,2,2,2,2,124.18,24,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
34,4,8,12000,4,3,5,1,1,2,2,2,2,80.53,37,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
35,3,6,8000,3,6,12,1,1,2,2,2,2,2314.83,30,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
36,1,2,15000,4,3,2,1,1,2,2,2,2,869.22,6,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
37,3,7,1500000,10,5,24,1,1,1, ,2,2,70.96,57,1,0,0,0,0,319958,                  ,                  ,                  ,                  ,                  
39,4,9,600000,9,6,18,1,1,1,2,2,2,135.43,47,1,0,0,0,0,6935,                  ,                  ,                  ,                  ,                  
40,4,9,260000,8,2,2,1,2,2,2,1,2,82.18,55,2,                  ,                  ,                  ,                  ,                  ,34470647,0,1529353,0,0
41,1,2,4000,2,2,2,1,1,2,2,2,2,2463.5,7,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
42,3,5,28000,5,7,12,1,2,2,2,2,2,392.2,26,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
43,2,3,3750,2,1,1,1,1,2,2,2,2,508.07,14,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
44,4,9,5000,2,4,5,1,2,2,2,2,2,1567.79,59,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
45,3,5,2400,2,3,14,1,1,2,2,2,2,1769.43,25,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
47,3,5,100001,7,7,2,1,2,2,1,2,2,222.04,24,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
48,4,8,250000,8,6,8,1,1,1,2,1,2,14.75,37,1,0,0,0,0,41607,65668007,0,2112450,957543,0
49,2,4,3250,2,7,2,1,1,2,2,2,2,661.9,17,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
50,1,2,1000000,9,5,2,1,1,2,2,1,1,3.19,90,2,                  ,                  ,                  ,                  ,                  ,23116343,3138284,2590373,0,0
52,3,5,41000,5,8,12,1,2,2,2,2,2,406.52,26,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
53,2,4,4100,2,7,13,1,2,2,1,2,2,2447.55,19,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
54,2,3,180000,7,7,18,1,1,2,2,2,2,116.76,13,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
55,2,3,15000,4,4,25,1,1,2,2,2,2,864.37,16,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
56,2,4,35500,5,5,14,1,1,2,2,1,2,720.92,17,2,                  ,                  ,                  ,                  ,                  ,4788337,0,827663,0,0
57,3,5,8000,3,6,23,1,1,2, ,2,2,343.4,25,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
59,3,5,29000,5,7,14,1,2,2,2,2,2,460.92,26,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
60,4,8,172000,7,4,25,1,1,2,2,2,2,83.77,38,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
61,2,3,1600,2,7,15,1,1,2,2,2,2,1701.91,12,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
62,1,2,450000,8,2,16,1,1,2,2,2,2,5.83,9,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
63,2,3,4000,2,8,8,1,1,2,2,2,2,2724.37,11,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
65,3,5,12000,4,4,14,1,2,2,2,2,2,1769.43,25,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
66,2,4,102000,7,4,14,1,1,1,2,2,2,132.13,17,1,27738,0,0,0,0,                  ,                  ,                  ,                  ,                  
67,3,7,1550,2,6,14,1,2,2,2,2,2,1945.16,36,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
68,2,4,28000,5,8,26,1,1,2,2,2,2,864.37,20,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
69,1,2,400000,8,2,2,1,2,1,2,2,2,46.81,82,1,31215073,0,2070527,0,0,                  ,                  ,                  ,                  ,                  
71,3,6,23500,4,4,25,1,1,2,2,2,2,297.78,31,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
72,2,3,77000,6,3,14,1,1,2,2,2,2,188.03,13,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
73,4,8,7200,3,7,2,1,1,2,2,2,2,781.6,37,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
74,3,5,2200,2,5,15,1,2,2,2,2,2,1446.07,25,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
75,1,1,900000,9,8,2,1,1,1,2,1,2,46.81,79,1,0,0,0,0,69345,34811000,0,0,0,0
76,2,3,116000,7,6,2,1,1,2,2,2,2,77.89,16,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
77,4,8,20000,4,4,18,1,1,2,2,2,2,781.6,38,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
78,3,6,91000,6,5,18,1,1,2,2,2,2,313.39,30,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
79,3,5,310000,8,6,2,1,1,1,2,2,2,70.71,28,1,0,0,0,0,27738,                  ,                  ,                  ,                  ,                  
81,2,3,67000,6,4,17,1,1,1,2,2,2,214.9,14,2,0,0,0,0,55476,                  ,                  ,                  ,                  ,                  
82,1,2,16000,4,6,2,1,1,2,2,2,2,406.42,9,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
84,1,1,66000,6,4,23,1,1,2, ,2,2,406.42,2,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
85,3,5,13500,4,6,14,1,2,2,2,2,2,734.43,22,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
86,2,4,8800,3,5,5,1,1,2,2,2,2,864.37,20,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
87,3,6,68000,6,8,11,1,1,2,2,2,2,377.81,29,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
89,4,8,430000,8,8,16,1,1,1,2,2,2,14.75,37,1,1164138,0,0,0,245507,                  ,                  ,                  ,                  ,                  
90,1,2,18000,4,7,5,1,1,2,2,2,2,140.65,4,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
91,4,9,54000,6,4,14,1,1,2,2,2,2,243.77,55,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
92,3,5,1050,2,4,2,1,2,1,2,2,2,2605.72,21,1,55476,0,0,0,0,                  ,                  ,                  ,                  ,                  
93,3,5,6000,3,5,26,1,2,1,2,2,2,2314.83,25,1,150617,0,0,0,0,                  ,                  ,                  ,                  ,                  
94,2,3,104000,7,4,2,1,1,1,2,2,2,86.27,16,1,0,0,0,0,166428,                  ,                  ,                  ,                  ,                  
95,2,4,275000,8,7,16,1,1,1,2,2,2,12.29,19,2,94728,0,0,0,30925,                  ,                  ,                  ,                  ,                  
96,1,1,36000,5,1,1,1,1,1,2,2,2,411.91,3,2,1095651,0,0,0,0,                  ,                  ,                  ,                  ,                  
98,2,3,1650,2,4,2,1,1,2,2,2,2,1701.91,15,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
99,4,8,136000,7,7,23,1,1,2, ,2,2,87.5,46,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
100,3,6,3350,2,5,15,1,2,2,1,2,2,1591,29,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
101,1,2,1500,2,2,6,1,1,2,2,2,2,1711.45,6,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
102,2,3,1200,2,7,15,1,2,2,2,2,2,1337.85,13,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
103,2,4,4000,2,1,26,1,2,2,1,2,2,776.54,19,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
105,1,2,1600,2,7,6,1,2,2,1,2,2,1390.68,4,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
106,2,4,5000,2,6,2,1,1,2,2,2,2,2724.37,18,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
107,2,4,4000,2,6,12,1,2,2,1,2,2,2724.37,19,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
108,3,7,65000,6,6,2,1,1,2,2,2,2,70.76,36,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
109,3,6,2000,2,8,12,1,2,2,1,2,2,734.43,31,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
111,3,6,53000,6,8,26,1,2,2,1,2,2,297.78,31,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
112,2,3,21000,4,5,13,1,1,2,2,2,2,776.54,13,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
113,1,2,20000,4,5,2,1,1,2,2,2,2,2739.65,10,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
116,3,5,15000,4,7,5,1,1,2,2,2,2,2546.83,21,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
117,4,8,280000,8,5,5,1,1,2,2,2,2,33.69,38,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
118,3,7,12500,4,6,12,1,2,2,2,2,2,2546.83,32,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
119,1,2,23000,4,5,25,1,2,2,2,2,2,2463.5,7,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
121,3,5,6500,3,5,1,2,2,2,2,2,2,734.43,25,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
123,3,7,27500,5,7,26,1,2,2,2,2,2,377.5,34,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
126,2,4,110000,7,5,5,1,1,2,2,2,2,361.04,17,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
131,3,5,36000,5,7,2,1,1,2,2,2,2,734.43,23,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
132,4,9,6100,3,4,26,1,1,2,2,2,2,944.4,41,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
133,1,1,42000,5,7,2,1,2,1,2,2,2,82.18,1,1,823267,0,19977,0,0,                  ,                  ,                  ,                  ,                  
134,4,9,10750,4,3,14,1,1,2,2,2,2,446.21,43,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
135,3,7,6000,3,6,91,1,2,2,2,2,2,818.54,34,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
136,3,7,158000,7,8,2,1,2,1,2,2,2,74.65,57,1,0,0,0,0,55476,                  ,                  ,                  ,                  ,                  
137,2,3,28500,5,7,12,1,1,2,2,2,2,876.06,13,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
138,3,7,5000,2,1,18,1,1,2,2,2,2,419.28,32,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
139,3,5,136000,7,7,14,1,1,1,2,2,2,144.29,22,2,0,0,0,0,34673,                  ,                  ,                  ,                  ,                  
140,1,2,94000,6,4,14,1,1,2,2,2,2,132.45,8,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
141,3,5,2250,2,8,5,1,2,2,2,2,2,745.49,28,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
142,2,3,17000,4,1,12,1,1,2,2,2,2,404.15,14,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
143,1,2,200001,8,5,14,1,1,1,2,2,1,39.92,5,2,0,0,0,0,59221,54783428,0,428572,0,0
144,4,9,61000,6,3,16,1,1,1,2,2,2,140.65,43,1,0,0,0,0,124821,                  ,                  ,                  ,                  ,                  
145,3,6,16000,4,6,4,1,1,2,2,2,2,1446.07,30,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
146,3,5,9000,3,4,15,1,1,2,2,2,2,528.24,27,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
147,3,5,148000,7,5,23,1,1,2, ,2,2,77.4,21,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
149,3,5,108000,7,2,1,1,2,2,2,2,2,678.14,23,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
150,3,7,10000,3,6,91,1,1,2,2,2,2,807.37,36,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
151,4,8,180000,7,5,23,1,1,2, ,2,2,72.41,39,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
152,3,5,13500,4,7,5,1,2,2,2,2,2,807.37,26,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
153,3,5,11250,4,6,12,1,1,2,2,2,2,807.37,26,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
154,4,8,6700,3,8,23,1,2,2, ,2,2,3391.93,37,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
156,2,4,3500,2,5,12,1,1,2,2,2,2,2447.55,19,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
157,2,3,1650,2,3,25,1,1,2,2,2,2,2724.37,14,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
158,3,5,92000,6,7,14,1,1,1,2,2,2,133.87,21,1,810227,0,0,0,0,                  ,                  ,                  ,                  ,                  
159,3,5,9000,3,8,23,1,1,1, ,2,2,102.54,22,1,0,0,0,0,555,                  ,                  ,                  ,                  ,                  
160,3,7,65000,6,7,5,1,2,2,2,2,2,155.65,34,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
161,2,3,150000,7,4,11,1,1,2,2,2,2,80.08,60,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
162,3,6,100000,6,5,14,1,1,2,2,2,2,246.38,29,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
163,2,4,9700,3,6,6,1,1,2,2,2,2,2724.37,18,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
164,3,7,116000,7,5,23,1,1,2, ,2,2,96.19,33,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
165,4,9,7900,3,5,25,1,1,2,2,2,2,950.84,40,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
166,2,3,1600000,10,4,24,1,1,2, ,2,2,25.66,85,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
167,3,5,33000,5,5,25,1,2,2,2,2,2,528.95,25,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
168,1,2,31000,5,5,23,1,1,1, ,2,2,410.56,6,1,0,0,0,0,50067,                  ,                  ,                  ,                  ,                  
169,3,7,30500,5,4,18,1,1,2,2,2,2,364.2,57,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
171,3,5,6000,3,7,15,1,1,2,2,2,2,528.67,21,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
172,3,7,21500,4,8,5,1,2,2,2,2,2,1164.83,34,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
173,2,3,116000,7,5,23,1,1,2, ,2,2,105.79,13,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
175,4,8,4800,2,2,25,1,1,2,2,2,2,2739.65,38,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
176,2,3,132000,7,5,8,1,1,1,2,2,2,126.28,14,2,0,0,0,0,27738,                  ,                  ,                  ,                  ,                  
177,4,9,10250,4,4,14,1,1,2,2,2,2,456.4,62,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
178,3,5,1300,2,6,15,1,2,2,1,2,2,1591,21,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
179,1,1,18000,4,5,5,1,2,2,1,2,2,2463.5,1,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
181,3,5,2900,2,7,2,1,2,2,2,2,2,2314.83,25,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
182,4,8,80000,6,6,8,1,2,2,2,2,2,80.53,38,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
183,4,8,36000,5,3,14,1,1,2,2,2,2,360.63,38,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
184,2,3,30000,5,5,5,1,1,2,2,2,2,872.07,12,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
186,2,4,8600,3,2,5,1,2,2,2,2,2,776.54,17,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
187,2,4,2500,2,3,1,1,2,2,2,2,2,3110.9,17,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
188,2,4,1600,2,8,26,1,2,2,2,2,2,3110.9,17,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
190,1,2,10250,4,1,15,1,1,2,2,2,2,165.84,10,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
191,3,5,225000,8,4,2,1,1,2,2,2,2,39.55,23,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
192,3,6,66000,6,7,14,1,1,2,2,2,2,393.15,29,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
193,3,5,4200,2,7,15,1,1,2,2,2,2,1446.07,22,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
194,3,7,81000,6,8,2,1,1,1,2,2,2,190.78,49,1,0,0,0,0,110952,                  ,                  ,                  ,                  ,                  
195,1,2,1500,2,3,15,1,1,1,2,2,2,2739.65,6,2,216772,0,0,0,0,                  ,                  ,                  ,                  ,                  
196,4,9,54000,6,7,23,1,1,2, ,2,2,444.58,41,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
197,2,3,44000,5,2,13,1,1,2,2,2,2,72.3,11,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
198,3,7,4800,2,7,91,1,1,2,2,2,2,734.43,32,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
199,3,7,100000,6,5,12,1,1,2,2,2,2,72.27,49,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
200,3,5,16750,4,3,14,1,1,2,2,2,2,331.3,25,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
201,3,7,6000,3,8,2,1,2,2,2,2,2,528.24,49,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
202,2,3,320000,8,7,16,1,1,1,2,2,2,7.56,15,1,0,0,0,0,69345,                  ,                  ,                  ,                  ,                  
203,3,7,8000,3,7,5,1,1,2,2,2,2,2314.83,33,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
204,2,3,17250,4,5,17,1,1,1,2,2,2,214.9,14,1,0,0,0,0,35366,                  ,                  ,                  ,                  ,                  
205,3,5,104000,7,8,14,1,1,2,2,2,2,195.44,25,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
206,2,4,60000,6,6,23,1,1,1, ,2,2,80.08,17,2,95003,0,0,0,0,                  ,                  ,                  ,                  ,                  
207,2,3,22000,4,7,26,1,1,2,2,2,2,776.54,13,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
211,3,5,150000,7,6,2,1,2,1,2,2,2,80.65,23,1,0,0,0,0,17336,                  ,                  ,                  ,                  ,                  
212,2,3,54000,6,7,1,1,2,2,2,2,2,199.06,16,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
213,3,5,320000,8,7,1,1,2,2,2,2,2,17.67,73,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
214,2,3,21750,4,3,23,1,1,2, ,2,2,53.77,13,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
215,3,5,42000,5,8,18,1,1,2,2,2,2,246.38,21,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
216,4,9,55000,6,8,5,1,2,2,2,2,2,242.54,41,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
217,2,4,2800,2,5,7,1,1,2,2,2,2,1697.96,17,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
218,2,4,455000,8,5,16,1,1,1,1,2,2,20.73,18,1,0,0,0,0,117887,                  ,                  ,                  ,                  ,                  
219,3,5,74000,6,7,2,1,2,2,2,2,2,70.71,28,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
220,3,5,7000,3,6,12,1,2,2,2,2,2,734.43,22,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
223,4,8,800000,9,3,16,1,1,2,2,2,2,5.32,95,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
224,4,9,44000,5,8,2,1,1,2,2,2,2,97.69,40,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
