Global CO2 market name that has the constraint and wil be linked to,,,,,,,,,,,,,,,,,,
CO2_TOTAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Proportional tax rate,,,,,,,,,,,,,,,,,,
region,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Russia,CO2,2035,0,,,23,5,,,,,,,,,,,
South Africa,CO2,2035,1,,,24,5,,,,,,,,,,,
South America_Northern,CO2,2035,0.5,,,25,5,,,,,,,,,,,
South America_Southern,CO2,2035,0.5,,,26,5,,,,,,,,,,,
South Asia,CO2,2035,0.5,,,27,5,,,,,,,,,,,
South Korea,CO2,2035,1,,,28,5,,,,,,,,,,,
Southeast Asia,CO2,2035,1,,,29,5,,,,,,,,,,,
Taiwan,CO2,2035,1,,,30,5,,,,,,,,,,,
Argentina,CO2,2035,1,,,31,5,,,,,,,,,,,
Colombia,CO2,2035,1,,,32,5,,,,,,,,,,,
USA,CO2,2040,1,,,1,6,,,,,,,,,,,
Africa_Eastern,CO2,2040,0.666666667,,,2,6,,,,,,,,,,,
Africa_Northern,CO2,2040,0.666666667,,,3,6,,,,,,,,,,,
Africa_Southern,CO2,2040,0.666666667,,,4,6,,,,,,,,,,,
Africa_Western,CO2,2040,0.666666667,,,5,6,,,,,,,,,,,
Australia_NZ,CO2,2040,1,,,6,6,,,,,,,,,,,
Brazil,CO2,2040,1,,,7,6,,,,,,,,,,,
Canada,CO2,2040,1,,,8,6,,,,,,,,,,,
Central America and Caribbean,CO2,2040,0.666666667,,,9,6,,,,,,,,,,,
Central Asia,CO2,2040,0.666666667,,,10,6,,,,,,,,,,,
China,CO2,2040,1,,,11,6,,,,,,,,,,,
EU-12,CO2,2040,1,,,12,6,,,,,,,,,,,
EU-15,CO2,2040,1,,,13,6,,,,,,,,,,,
Europe_Eastern,CO2,2040,1,,,14,6,,,,,,,,,,,
Europe_Non_EU,CO2,2040,1,,,15,6,,,,,,,,,,,
European Free Trade Association,CO2,2040,1,,,16,6,,,,,,,,,,,
India,CO2,2040,1,,,17,6,,,,,,,,,,,
Indonesia,CO2,2040,1,,,18,6,,,,,,,,,,,
Japan,CO2,2040,1,,,19,6,,,,,,,,,,,
Mexico,CO2,2040,1,,,20,6,,,,,,,,,,,
Middle East,CO2,2040,0,,,21,6,,,,,,,,,,,
Pakistan,CO2,2040,0.666666667,,,22,6,,,,,,,,,,,
Russia,CO2,2040,0,,,23,6,,,,,,,,,,,
South Africa,CO2,2040,1,,,24,6,,,,,,,,,,,
South America_Northern,CO2,2040,0.666666667,,,25,6,,,,,,,,,,,
South America_Southern,CO2,2040,0.666666667,,,26,6,,,,,,,,,,,
South Asia,CO2,2040,0.666666667,,,27,6,,,,,,,,,,,
South Korea,CO2,2040,1,,,28,6,,,,,,,,,,,
Southeast Asia,CO2,2040,1,,,29,6,,,,,,,,,,,
Taiwan,CO2,2040,1,,,30,6,,,,,,,,,,,
Argentina,CO2,2040,1,,,31,6,,,,,,,,,,,
Colombia,CO2,2040,1,,,32,6,,,,,,,,,,,
USA,CO2,2045,1,,,1,7,,,,,,,,,,,
Africa_Eastern,CO2,2045,0.833333333,,,2,7,,,,,,,,,,,
Africa_Northern,CO2,2045,0.833333333,,,3,7,,,,,,,,,,,
Africa_Southern,CO2,2045,0.833333333,,,4,7,,,,,,,,,,,
Africa_Western,CO2,2045,0.833333333,,,5,7,,,,,,,,,,,
Australia_NZ,CO2,2045,1,,,6,7,,,,,,,,,,,
Brazil,CO2,2045,1,,,7,7,,,,,,,,,,,
Canada,CO2,2045,1,,,8,7,,,,,,,,,,,
Central America and Caribbean,CO2,2045,0.833333333,,,9,7,,,,,,,,,,,
Central Asia,CO2,2045,0.833333333,,,10,7,,,,,,,,,,,
China,CO2,2045,1,,,11,7,,,,,,,,,,,
EU-12,CO2,2045,1,,,12,7,,,,,,,,,,,
EU-15,CO2,2045,1,,,13,7,,,,,,,,,,,
Europe_Eastern,CO2,2045,1,,,14,7,,,,,,,,,,,
Europe_Non_EU,CO2,2045,1,,,15,7,,,,,,,,,,,
European Free Trade Association,CO2,2045,1,,,16,7,,,,,,,,,,,
India,CO2,2045,1,,,17,7,,,,,,,,,,,
Indonesia,CO2,2045,1,,,18,7,,,,,,,,,,,
Japan,CO2,2045,1,,,19,7,,,,,,,,,,,
Mexico,CO2,2045,1,,,20,7,,,,,,,,,,,
Middle East,CO2,2045,0,,,21,7,,,,,,,,,,,
Pakistan,CO2,2045,0.833333333,,,22,7,,,,,,,,,,,
Russia,CO2,2045,0,,,23,7,,,,,,,,,,,
South Africa,CO2,2045,1,,,24,7,,,,,,,,,,,
South America_Northern,CO2,2045,0.833333333,,,25,7,,,,,,,,,,,
South America_Southern,CO2,2045,0.833333333,,,26,7,,,,,,,,,,,
South Asia,CO2,2045,0.833333333,,,27,7,,,,,,,,,,,
South Korea,CO2,2045,1,,,28,7,,,,,,,,,,,
Southeast Asia,CO2,2045,1,,,29,7,,,,,,,,,,,
Taiwan,CO2,2045,1,,,30,7,,,,,,,,,,,
Argentina,CO2,2045,1,,,31,7,,,,,,,,,,,
Colombia,CO2,2045,1,,,32,7,,,,,,,,,,,
USA,CO2,2050,1,,,1,8,,,,,,,,,,,
Africa_Eastern,CO2,2050,1,,,2,8,,,,,,,,,,,
Africa_Northern,CO2,2050,1,,,3,8,,,,,,,,,,,
Africa_Southern,CO2,2050,1,,,4,8,,,,,,,,,,,
Africa_Western,CO2,2050,1,,,5,8,,,,,,,,,,,
Australia_NZ,CO2,2050,1,,,6,8,,,,,,,,,,,
Brazil,CO2,2050,1,,,7,8,,,,,,,,,,,
Canada,CO2,2050,1,,,8,8,,,,,,,,,,,
Central America and Caribbean,CO2,2050,1,,,9,8,,,,,,,,,,,
Central Asia,CO2,2050,1,,,10,8,,,,,,,,,,,
China,CO2,2050,1,,,11,8,,,,,,,,,,,
EU-12,CO2,2050,1,,,12,8,,,,,,,,,,,
EU-15,CO2,2050,1,,,13,8,,,,,,,,,,,
Europe_Eastern,CO2,2050,1,,,14,8,,,,,,,,,,,
Europe_Non_EU,CO2,2050,1,,,15,8,,,,,,,,,,,
European Free Trade Association,CO2,2050,1,,,16,8,,,,,,,,,,,
India,CO2,2050,1,,,17,8,,,,,,,,,,,
Indonesia,CO2,2050,1,,,18,8,,,,,,,,,,,
Japan,CO2,2050,1,,,19,8,,,,,,,,,,,
Mexico,CO2,2050,1,,,20,8,,,,,,,,,,,
Middle East,CO2,2050,0,,,21,8,,,,,,,,,,,
Pakistan,CO2,2050,1,,,22,8,,,,,,,,,,,
Russia,CO2,2050,0,,,23,8,,,,,,,,,,,
South Africa,CO2,2050,1,,,24,8,,,,,,,,,,,
South America_Northern,CO2,2050,1,,,25,8,,,,,,,,,,,
South America_Southern,CO2,2050,1,,,26,8,,,,,,,,,,,
South Asia,CO2,2050,1,,,27,8,,,,,,,,,,,
South Korea,CO2,2050,1,,,28,8,,,,,,,,,,,
Southeast Asia,CO2,2050,1,,,29,8,,,,,,,,,,,
Taiwan,CO2,2050,1,,,30,8,,,,,,,,,,,
Argentina,CO2,2050,1,,,31,8,,,,,,,,,,,
Colombia,CO2,2050,1,,,32,8,,,,,,,,,,,
USA,CO2,2055,1,,,1,9,,,,,,,,,,,
Africa_Eastern,CO2,2055,1,,,2,9,,,,,,,,,,,
Africa_Northern,CO2,2055,1,,,3,9,,,,,,,,,,,
Africa_Southern,CO2,2055,1,,,4,9,,,,,,,,,,,
Africa_Western,CO2,2055,1,,,5,9,,,,,,,,,,,
Australia_NZ,CO2,2055,1,,,6,9,,,,,,,,,,,
Brazil,CO2,2055,1,,,7,9,,,,,,,,,,,
Canada,CO2,2055,1,,,8,9,,,,,,,,,,,
Central America and Caribbean,CO2,2055,1,,,9,9,,,,,,,,,,,
Central Asia,CO2,2055,1,,,10,9,,,,,,,,,,,
China,CO2,2055,1,,,11,9,,,,,,,,,,,
EU-12,CO2,2055,1,,,12,9,,,,,,,,,,,
EU-15,CO2,2055,1,,,13,9,,,,,,,,,,,
Europe_Eastern,CO2,2055,1,,,14,9,,,,,,,,,,,
Europe_Non_EU,CO2,2055,1,,,15,9,,,,,,,,,,,
European Free Trade Association,CO2,2055,1,,,16,9,,,,,,,,,,,
India,CO2,2055,1,,,17,9,,,,,,,,,,,
Indonesia,CO2,2055,1,,,18,9,,,,,,,,,,,
Japan,CO2,2055,1,,,19,9,,,,,,,,,,,
Mexico,CO2,2055,1,,,20,9,,,,,,,,,,,
Middle East,CO2,2055,0,,,21,9,,,,,,,,,,,
Pakistan,CO2,2055,1,,,22,9,,,,,,,,,,,
Russia,CO2,2055,0,,,23,9,,,,,,,,,,,
South Africa,CO2,2055,1,,,24,9,,,,,,,,,,,
South America_Northern,CO2,2055,1,,,25,9,,,,,,,,,,,
South America_Southern,CO2,2055,1,,,26,9,,,,,,,,,,,
South Asia,CO2,2055,1,,,27,9,,,,,,,,,,,
South Korea,CO2,2055,1,,,28,9,,,,,,,,,,,
Southeast Asia,CO2,2055,1,,,29,9,,,,,,,,,,,
Taiwan,CO2,2055,1,,,30,9,,,,,,,,,,,
Argentina,CO2,2055,1,,,31,9,,,,,,,,,,,
Colombia,CO2,2055,1,,,32,9,,,,,,,,,,,
USA,CO2,2060,1,,,1,10,,,,,,,,,,,
Africa_Eastern,CO2,2060,1,,,2,10,,,,,,,,,,,
Africa_Northern,CO2,2060,1,,,3,10,,,,,,,,,,,
Africa_Southern,CO2,2060,1,,,4,10,,,,,,,,,,,
Africa_Western,CO2,2060,1,,,5,10,,,,,,,,,,,
Australia_NZ,CO2,2060,1,,,6,10,,,,,,,,,,,
Brazil,CO2,2060,1,,,7,10,,,,,,,,,,,
Canada,CO2,2060,1,,,8,10,,,,,,,,,,,
Central America and Caribbean,CO2,2060,1,,,9,10,,,,,,,,,,,
Central Asia,CO2,2060,1,,,10,10,,,,,,,,,,,
China,CO2,2060,1,,,11,10,,,,,,,,,,,
EU-12,CO2,2060,1,,,12,10,,,,,,,,,,,
EU-15,CO2,2060,1,,,13,10,,,,,,,,,,,
Europe_Eastern,CO2,2060,1,,,14,10,,,,,,,,,,,
Europe_Non_EU,CO2,2060,1,,,15,10,,,,,,,,,,,
European Free Trade Association,CO2,2060,1,,,16,10,,,,,,,,,,,
India,CO2,2060,1,,,17,10,,,,,,,,,,,
Indonesia,CO2,2060,1,,,18,10,,,,,,,,,,,
Japan,CO2,2060,1,,,19,10,,,,,,,,,,,
Mexico,CO2,2060,1,,,20,10,,,,,,,,,,,
Middle East,CO2,2060,0,,,21,10,,,,,,,,,,,
