# File: GCAM_EPA_CH4N2O_energy_map.csv
# Title: Map of GCAM energy sectors to aggregated EPA sectors for scaling
# Description: Detailed and aggregate EPA global emissions projections sectors mapped to their gas sources
# This mapping file is suitable for both energy.TRAN_UCD_MODE
# Units: Unitless
# Column types: cccc
supplysector,subsector,stub.technology,EPA_sector
trn_pass_road_LDV_4W,Midsize Car,NG,Combustion_general
trn_shipping_intl,International Ship,Liquids,Combustion_general
trn_freight_road,Truck (0-2t),Liquids,Combustion_general
trn_freight_road,Truck (0-2t),NG,Combustion_general
trn_freight_road,Truck (2-5t),Liquids,Combustion_general
trn_freight_road,Truck (2-5t),NG,Combustion_general
trn_freight_road,Truck (5-9t),Liquids,Combustion_general
trn_freight_road,Truck (5-9t),NG,Combustion_general
trn_freight_road,Truck (9-16t),Liquids,Combustion_general
trn_freight_road,Truck (9-16t),NG,Combustion_general
trn_pass_road_LDV,Three-Wheeler,Liquids,Combustion_general
trn_pass_road_LDV,Three-Wheeler,NG,Combustion_general
trn_pass_road_LDV_4W,Mini Car,Liquids,Combustion_general
trn_pass_road_LDV_4W,Mini Car,NG,Combustion_general
trn_pass_road_LDV_4W,Multipurpose Vehicle,Liquids,Combustion_general
trn_pass_road_LDV_4W,Multipurpose Vehicle,NG,Combustion_general
trn_pass_road_LDV_4W,Subcompact Car,Liquids,Combustion_general
trn_pass_road_LDV_4W,Subcompact Car,NG,Combustion_general
trn_freight_road,Truck (0-1t),Liquids,Combustion_general
trn_freight_road,Truck (0-1t),NG,Combustion_general
trn_freight_road,Truck (1-6t),Liquids,Combustion_general
trn_freight_road,Truck (1-6t),NG,Combustion_general
trn_freight_road,Truck (6-30t),Liquids,Combustion_general
trn_freight_road,Truck (6-30t),NG,Combustion_general
trn_freight_road,Truck (>15t),Liquids,Combustion_general
trn_freight_road,Truck (>15t),NG,Combustion_general
trn_freight_road,Truck (6-15t),Liquids,Combustion_general
trn_freight_road,Truck (6-15t),NG,Combustion_general
trn_pass_road_LDV_2W,Moped,Liquids,Combustion_general
trn_pass_road_LDV_4W,Large Car and SUV,Liquids,Combustion_general
trn_pass_road_LDV_4W,Large Car and SUV,NG,Combustion_general
trn_freight_road,Truck (0-4.5t),Liquids,Combustion_general
trn_freight_road,Truck (0-4.5t),NG,Combustion_general
trn_freight_road,Truck (4.5-15t),Liquids,Combustion_general
trn_freight_road,Truck (4.5-15t),NG,Combustion_general
trn_pass_road_LDV_4W,Van,Liquids,Combustion_general
trn_pass_road_LDV_4W,Van,NG,Combustion_general
trn_freight_road,Truck (>32t),Liquids,Combustion_general
trn_freight_road,Truck (>32t),NG,Combustion_general
trn_freight_road,Truck (0-3.5t),Liquids,Combustion_general
trn_freight_road,Truck (0-3.5t),NG,Combustion_general
trn_freight_road,Truck (16-32t),Liquids,Combustion_general
trn_freight_road,Truck (16-32t),NG,Combustion_general
trn_freight_road,Truck (3.5-16t),Liquids,Combustion_general
trn_freight_road,Truck (3.5-16t),NG,Combustion_general
trn_freight_road,3W Rural,Liquids,Combustion_general
trn_freight_road,3W Rural,NG,Combustion_general
trn_freight_road,Truck (>14t),Liquids,Combustion_general
trn_freight_road,Truck (>14t),NG,Combustion_general
trn_freight_road,Truck (0-6t),Liquids,Combustion_general
trn_freight_road,Truck (0-6t),NG,Combustion_general
trn_freight_road,Truck (6-14t),Liquids,Combustion_general
trn_freight_road,Truck (6-14t),NG,Combustion_general
trn_pass_road_bus,Heavy Bus,Liquids,Combustion_general
trn_pass_road_bus,Heavy Bus,NG,Combustion_general
trn_pass_road_bus,Light Bus,Liquids,Combustion_general
trn_pass_road_bus,Light Bus,NG,Combustion_general
trn_pass_road_LDV_2W,Scooter,Liquids,Combustion_general
industrial processes,adipic acid,adipic acid,Industrial processes Adipic
industrial processes,HCFC_22_Prod,HCFC_22_Prod,Industrial processes Other
industrial processes,nitric acid,nitric acid,Industrial processes Nitric
industrial processes,other industrial processes,other industrial processes,Industrial processes Other
industrial processes,solvents,solvents,Industrial processes Other
urban processes,landfills,landfills,Waste
urban processes,wastewater treatment,wastewater treatment,Waste
urban processes,waste_incineration,waste_incineration,Waste
comm cooling,gas,gas,Combustion_general
comm heating,biomass,biomass,Combustion_Bio
comm heating,coal,coal,Combustion_general
comm heating,gas,gas,Combustion_general
comm heating,refined liquids,refined liquids,Combustion_general
comm others,biomass,biomass,Combustion_Bio
comm others,coal,coal,Combustion_general
comm others,gas,gas,Combustion_general
comm others,refined liquids,refined liquids,Combustion_general
trn_freight_road,Heavy truck,Liquids,Combustion_general
trn_freight_road,Heavy truck,NG,Combustion_general
trn_freight_road,Light truck,Liquids,Combustion_general
trn_freight_road,Light truck,NG,Combustion_general
trn_freight_road,Medium truck,Liquids,Combustion_general
trn_freight_road,Medium truck,NG,Combustion_general
trn_pass_road_LDV,2W and 3W,Liquids,Combustion_general
trn_pass_road_LDV_4W,Car,Liquids,Combustion_general
trn_pass_road_LDV_4W,Car,NG,Combustion_general
trn_pass_road_LDV_4W,Large Car and Truck,Liquids,Combustion_general
trn_pass_road_LDV_4W,Large Car and Truck,NG,Combustion_general
resid heating,traditional biomass,traditional biomass,Combustion_Bio
resid others,traditional biomass,traditional biomass,Combustion_Bio
trn_pass_road_LDV,2W and 3W,NG,Combustion_general
