# File:bc.oc_iso_reg.csv,,,
# Description: Maps iso codes to BC/OC inventory regions (including composites as necessary),,,
iso,country_name,Smith_Region,RCP_Region
npl,Nepal,SandEAsia,South Asia (Rest of)
nru,Nauru,SandEAsia,Southeastern Asia (Rest of)
nzl,New Zealand,AustraliaAndNZ,New Zealand
omn,Oman,MiddleEast,Middle East
pak,Pakistan,SandEAsia,Pakistan
pan,Panama,LAmerica,Central America
pci,Pacific Islands Trust Territory,SandEAsia,Southeastern Asia (Rest of)
pcn,Pitcairn Islands,SandEAsia,Southeastern Asia (Rest of)
per,Peru,LAmerica,South America (Rest of)
phl,Philippines,SandEAsia,Southeastern Asia (Rest of)
plw,Palau,SandEAsia,Southeastern Asia (Rest of)
png,Papua New Guinea,SandEAsia,Southeastern Asia (Rest of)
pol,Poland,EEurope,Central Europe (Rest of)
pri,Puerto Rico,USA,USA
prk,"Korea, Democratic Peoples Republic of",China,North Korea (Democratic Peoples
prt,Portugal,WEurope,Western Europe (Rest of)
pry,Paraguay,LAmerica,South America (Rest of)
pse,"Palestinian Territory, Occupied",MiddleEast,Middle East
pyf,French Polynesia,SandEAsia,Southeastern Asia (Rest of)
qat,Qatar,MiddleEast,Middle East
reu,Reunion,Africa,Eastern Africa
rom,Romania,EEurope,Central Europe (Rest of)
rus,Russian Federation,FUSSR,Russia+
rwa,Rwanda,Africa,Eastern Africa
sau,Saudi Arabia,MiddleEast,Middle East
scg,Serbia and Montenegro,EEurope,Central Europe (Rest of)
sdn,Sudan,Africa,Eastern Africa
sen,Senegal,Africa,Western Africa
sgp,Singapore,SandEAsia,Southeastern Asia (Rest of)
shn,Saint Helena,Africa,Western Europe (Rest of)
sjm,Svalbard and Jan Mayen Islands,WEurope,Western Europe (Rest of)
slb,Solomon Islands,SandEAsia,Southeastern Asia (Rest of)
sle,Sierra Leone,Africa,Western Africa
slv,El Salvador,LAmerica,Central America
smr,San Marino,WEurope,Western Europe (Rest of)
som,Somalia,Africa,Eastern Africa
spm,Saint Pierre and Miquelon,Canada,Western Europe (Rest of)
srb,Serbia,EEurope,Central Europe (Rest of)
stp,Sao Tome and Principe,Africa,Western Africa
sur,Suriname,LAmerica,South America (Rest of)
svk,Slovakia,EEurope,Central Europe (Rest of)
svn,Slovenia,EEurope,Central Europe (Rest of)
swe,Sweden,WEurope,Western Europe (Rest of)
swz,Swaziland,Africa,Southern Africa (Rest of)
syc,Seychelles,Africa,Southeastern Asia (Rest of)
syr,Syrian Arab Republic,MiddleEast,Middle East
tca,Turks and Caicos,LAmerica,Western Europe (Rest of)
tcd,Chad,Africa,Western Africa
tgo,Togo,Africa,Western Africa
tha,Thailand,SandEAsia,Thailand
tjk,Tajikistan,FUSSR,"Asia-""Stan"""
tkl,Tokelau,AustraliaAndNZ,Southeastern Asia (Rest of)
tkm,Turkmenistan,FUSSR,"Asia-""Stan"""
tls,Timor Leste,SandEAsia,Southeastern Asia (Rest of)
ton,Tonga,SandEAsia,Southeastern Asia (Rest of)
tto,Trinidad and Tobago,LAmerica,Central America
tun,Tunisia,Africa,Northern Africa
tur,Turkey,WEurope,Turkey
tuv,Tuvalu,SandEAsia,Southeastern Asia (Rest of)
twn,Taiwan,SandEAsia,Taiwan
tza,"Tanzania, United Republic of",Africa,Southern Africa (Rest of)
uga,Uganda,Africa,Eastern Africa
ukr,Ukraine,FUSSR,Ukraine+
ury,Uruguay,LAmerica,South America (Rest of)
usa,United States of America,USA,USA
uzb,Uzbekistan,FUSSR,"Asia-""Stan"""
vat,Vatican,WEurope,Western Europe (Rest of)
vct,Saint Vincent and the Grenadines,LAmerica,Central America
ven,Venezuela,LAmerica,Venezuela
vgb,"Virgin Islands, British",LAmerica,Western Europe (Rest of)
vir,"Virgin Islands, U.S.",LAmerica,USA
vnm,Viet Nam,China,Southeastern Asia (Rest of)
vut,Vanuatu,SandEAsia,Southeastern Asia (Rest of)
wlf,Wallis and Futuna,AustraliaAndNZ,Western Europe (Rest of)
wsm,Samoa,SandEAsia,Southeastern Asia (Rest of)
yem,Yemen,MiddleEast,Middle East
yug,"Yugoslavia, Federal Republic of",EEurope,Central Europe (Rest of)
zaf,South Africa,Africa,South Africa
zmb,Zambia,Africa,Southern Africa (Rest of)
zwe,Zimbabwe,Africa,Southern Africa (Rest of)
