ctry,country_name,GCAM_region_ID,GCAM_region_name
ltu,Lithuania,6,Former Soviet Union
lux,Luxembourg,3,Western Europe
lva,Latvia,6,Former Soviet Union
mac,Macau,11,Southeast Asia
mar,Morocco,9,Africa
mco,Monaco,3,Western Europe
mda,"Moldova, Republic of",6,Former Soviet Union
mdg,Madagascar,9,Africa
mdv,Maldives,11,Southeast Asia
mex,Mexico,10,Latin America
mhl,Marshall Islands,11,Southeast Asia
mkd,"Macedonia, the former Yugoslav Republic of",12,Eastern Europe
mli,Mali,9,Africa
mlt,Malta,3,Western Europe
mmr,Myanmar,11,Southeast Asia
mng,Mongolia,7,China
mnp,Northern Mariana Islands,11,Southeast Asia
moz,Mozambique,9,Africa
mrt,Mauritania,9,Africa
msr,Montserrat,10,Latin America
mtq,Martinique,3,Western Europe
mus,Mauritius,9,Africa
mwi,Malawi,9,Africa
mys,Malaysia,11,Southeast Asia
myt,Mayotte,9,Africa
nam,Namibia,9,Africa
ncl,New Caledonia,11,Southeast Asia
ner,Niger,9,Africa
nfk,Norfolk Island,5,Australia_NZ
nga,Nigeria,9,Africa
nic,Nicaragua,10,Latin America
niu,Niue,5,Australia_NZ
nld,Netherlands,3,Western Europe
nor,Norway,3,Western Europe
npl,Nepal,11,Southeast Asia
nru,Nauru,11,Southeast Asia
nzl,New Zealand,5,Australia_NZ
omn,Oman,8,Middle East
pak,Pakistan,11,Southeast Asia
pan,Panama,10,Latin America
per,Peru,10,Latin America
phl,Philippines,11,Southeast Asia
plw,Palau,11,Southeast Asia
png,Papua New Guinea,11,Southeast Asia
pol,Poland,12,Eastern Europe
pri,Puerto Rico,1,USA
prk,"Korea, Democratic People’s Republic of",7,China
prt,Portugal,3,Western Europe
pry,Paraguay,10,Latin America
pse,"Palestinian Territory, Occupied",8,Middle East
pyf,French Polynesia,10,Latin America
qat,Qatar,8,Middle East
reu,Reunion,9,Africa
rom,Romania,12,Eastern Europe
rus,Russian Federation,6,Former Soviet Union
rwa,Rwanda,9,Africa
sau,Saudi Arabia,8,Middle East
scg,Serbia and Montenegro,12,Eastern Europe
sdn,Sudan,9,Africa
sen,Senegal,9,Africa
sgp,Singapore,11,Southeast Asia
shn,Saint Helena,9,Africa
slb,Solomon Islands,11,Southeast Asia
sle,Sierra Leone,9,Africa
slv,El Salvador,10,Latin America
smr,San Marino,3,Western Europe
som,Somalia,9,Africa
spm,Saint Pierre and Miquelon,2,Canada
stp,Sao Tome and Principe,9,Africa
sur,Suriname,10,Latin America
svk,Slovakia,12,Eastern Europe
svn,Slovenia,12,Eastern Europe
swe,Sweden,3,Western Europe
swz,Swaziland,9,Africa
syc,Seychelles,9,Africa
syr,Syrian Arab Republic,8,Middle East
tca,Turks and Caicos,10,Latin America
tcd,Chad,9,Africa
tgo,Togo,9,Africa
tha,Thailand,11,Southeast Asia
tjk,Tajikistan,6,Former Soviet Union
tkl,Tokelau,5,Australia_NZ
tkm,Turkmenistan,6,Former Soviet Union
tls,Timor Leste,11,Southeast Asia
ton,Tonga,11,Southeast Asia
tto,Trinidad and Tobago,10,Latin America
tun,Tunisia,9,Africa
tur,Turkey,3,Western Europe
tuv,Tuvalu,11,Southeast Asia
twn,Taiwan,11,Southeast Asia
tza,"Tanzania, United Republic of",9,Africa
uga,Uganda,9,Africa
ukr,Ukraine,6,Former Soviet Union
ury,Uruguay,10,Latin America
usa,United States of America,1,USA
uzb,Uzbekistan,6,Former Soviet Union
vct,Saint Vincent and the Grenadines,10,Latin America
ven,Venezuela,10,Latin America
vgb,"Virgin Islands, British",10,Latin America
vir,"Virgin Islands, U.S.",10,Latin America
vnm,Viet Nam,7,China
vut,Vanuatu,11,Southeast Asia
wlf,Wallis and Futuna,5,Australia_NZ
wsm,Samoa,11,Southeast Asia
yem,Yemen,8,Middle East
zaf,South Africa,9,Africa
zmb,Zambia,9,Africa
zwe,Zimbabwe,9,Africa
