# File: EPA_CO.csv
# Title: EPA carbon monoxide emissions
# Units: thousand short tons (?)
# Source: EPA National Emissions Trends
# Description: These EPA data files come from the old GCAM3 system (they were in nonco2/Input Data/EPA National Inventories). The documentation there is limited. For example, the CO file says: "National Emissions Trends -- updated 7/18/2005. Carbon Monoxide Emissions (thousand short tons)."
Source_Category_Raw,Source_Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Oil,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Oil,44.00,52.00,55.00,58.00,53.00,49.00,58.00,64.00,62.00,42.00,35.00,33.00,32.00,23.00,23.00,47.00,46.00,46.00,46.00,46.00,74.00,60.00,64.00,66.00,66.00,71.00,54.00,52.00,51.00,52.00,55.00,59.00,49.00
Gas,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Gas,462.00,510.00,520.00,529.00,509.00,463.00,500.00,500.00,497.00,486.00,418.00,399.00,403.00,360.00,385.00,257.00,242.00,252.00,265.00,271.00,226.00,284.00,300.00,322.00,337.00,345.00,339.00,339.00,336.00,410.00,421.00,426.00,538.00
Other,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Other,164.00,177.00,190.00,197.00,196.00,184.00,211.00,219.00,238.00,241.00,239.00,237.00,224.00,246.00,249.00,167.00,172.00,171.00,173.00,173.00,279.00,267.00,264.00,286.00,287.00,297.00,349.00,332.00,334.00,306.00,302.00,322.00,320.00
Internal Combustion,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Inter0l Combustion, , , , , , , , , , , , , , , ,113.00,103.00,96.00,98.00,96.00,195.00,208.00,227.00,268.00,251.00,245.00,337.00,330.00,324.00,327.00,328.00,326.00,403.00
FUEL COMB. OTHER (Tier 1 - 03),FUEL COMB. OTHER (Tier 1 - 03),3625.00,3708.00,3509.00,3248.00,3360.00,3441.00,3836.00,4263.00,4841.00,5596.00,6230.00,6305.00,6798.00,6720.00,6760.00,7525.00,6607.00,6011.00,6390.00,6450.00,4269.00,4587.00,4849.00,4181.00,4108.00,4506.00,2741.00,2742.00,2727.00,3829.00,3081.00,3088.00,2498.00
Commercial/Institutional Coal,FUEL COMB. OTHER (Tier 1 - 03)_Commercial/Institutional Coal,12.00,14.00,15.00,16.00,20.00,17.00,17.00,18.00,22.00,19.00,13.00,15.00,18.00,20.00,22.00,14.00,14.00,14.00,15.00,15.00,14.00,14.00,15.00,15.00,15.00,15.00,14.00,14.00,15.00,15.00,15.00,15.00,15.00
Commercial/Institutional Oil,FUEL COMB. OTHER (Tier 1 - 03)_Commercial/Institutional Oil,27.00,27.00,28.00,28.00,25.00,23.00,26.00,25.00,25.00,21.00,21.00,17.00,16.00,16.00,17.00,18.00,18.00,19.00,18.00,17.00,18.00,17.00,18.00,18.00,18.00,19.00,19.00,20.00,16.00,18.00,19.00,19.00,18.00
Commercial/Institutional Gas,FUEL COMB. OTHER (Tier 1 - 03)_Commercial/Institutional Gas,24.00,25.00,26.00,26.00,25.00,25.00,27.00,25.00,26.00,28.00,26.00,25.00,26.00,24.00,25.00,42.00,42.00,43.00,47.00,49.00,44.00,44.00,51.00,53.00,54.00,54.00,64.00,65.00,63.00,86.00,89.00,91.00,84.00
Misc. Fuel Comb. (Except Residential),FUEL COMB. OTHER (Tier 1 - 03)_Misc. Fuel Comb. (Except Residential), , , , , , , , , , , , , , , ,57.00,60.00,59.00,55.00,55.00,149.00,141.00,141.00,143.00,147.00,145.00,38.00,40.00,40.00,53.00,55.00,57.00,49.00
Residential Wood,FUEL COMB. OTHER (Tier 1 - 03)_Residential Wood,2932.00,3067.00,3050.00,2843.00,2979.00,3114.00,3526.00,3966.00,4552.00,5330.00,5992.00,6064.00,6545.00,6461.00,6485.00,7232.00,6316.00,5719.00,6086.00,6161.00,3781.00,4090.00,4332.00,3679.00,3607.00,3999.00,2351.00,2351.00,2351.00,3281.00,2526.00,2526.00,2144.00
        fireplaces,,2932.00, , , , ,3114.00, , , , ,5992.00, , , , ,7232.00, , , ,6161.00,3781.00,4090.00,4332.00,3679.00,3607.00,3999.00,1043.00,1043.00,1043.00,1385.00,1118.00,1118.00,1034.00
        woodstoves,, , , , , , , , , , , , , , , , , , , , , , , , , , ,1308.00,1308.00,1308.00,1318.00,1408.00,1408.00,1111.00
        other,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,578.00, , , 
Residential Other,FUEL COMB. OTHER (Tier 1 - 03)_Residential Other,630.00,576.00,390.00,334.00,311.00,262.00,240.00,229.00,216.00,198.00,178.00,184.00,193.00,199.00,212.00,162.00,157.00,157.00,168.00,153.00,262.00,281.00,292.00,274.00,268.00,273.00,255.00,252.00,242.00,375.00,378.00,380.00,187.00
INDUSTRIAL PROCESSES TOTAL (Tier 0 - 02),INDUSTRIAL PROCESSES TOTAL (Tier 0 - 02),16899.00,15052.00,13964.00,13611.00,12561.00,10770.00,10672.00,10699.00,10536.00,10158.00,9250.00,8658.00,6902.00,6777.00,7135.00,7215.00,7067.00,6851.00,7034.00,7013.00,5852.00,5740.00,5683.00,5898.00,5839.00,5790.00,6541.00,6750.00,6934.00,5569.00,4479.00,4641.00,4508.00
CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04),CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04),3397.00,3164.00,2576.00,2716.00,2501.00,2204.00,2355.00,2642.00,2545.00,2542.00,2151.00,2207.00,1703.00,1844.00,2082.00,1845.00,1853.00,1798.00,1917.00,1925.00,1183.00,1127.00,1112.00,1093.00,1171.00,1223.00,1053.00,1071.00,1081.00,350.00,361.00,372.00,337.00
Organic Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Organic Chemical Mfg,340.00,409.00,473.00,489.00,498.00,483.00,484.00,534.00,580.00,610.00,543.00,564.00,495.00,560.00,599.00,251.00,261.00,260.00,278.00,285.00,149.00,128.00,131.00,132.00,130.00,127.00,90.00,91.00,92.00,69.00,71.00,73.00,68.00
        ethylene dichloride,,11.00,11.00,12.00,14.00,14.00,12.00,12.00,16.00,16.00,18.00,17.00,15.00,11.00,17.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        maleic anhydride,,73.00,78.00,93.00,96.00,99.00,147.00,90.00,100.00,116.00,110.00,103.00,100.00,88.00,103.00,122.00,16.00,16.00,15.00,16.00,16.00,0.00,3.00,4.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        cyclohexanol,,36.00,38.00,39.00,41.00,42.00,39.00,39.00,45.00,49.00,55.00,37.00,38.00,30.00,37.00,39.00,5.00,5.00,5.00,6.00,6.00,22.00,0.00,0.00,0.00,1.00,1.00,9.00,9.00,9.00,21.00,22.00,23.00,18.00
        other,,220.00,283.00,329.00,339.00,343.00,286.00,344.00,373.00,399.00,428.00,386.00,411.00,365.00,403.00,418.00,230.00,240.00,240.00,256.00,264.00,50.00,125.00,127.00,128.00,125.00,123.00,15.00,15.00,15.00,8.00,8.00,8.00,7.00
Inorganic Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Inorganic Chemical Mfg,190.00,135.00,141.00,147.00,153.00,153.00,162.00,171.00,169.00,182.00,191.00,188.00,157.00,148.00,167.00,89.00,94.00,89.00,95.00,95.00,133.00,129.00,130.00,131.00,135.00,134.00,120.00,121.00,123.00,55.00,56.00,57.00,58.00
        pigments; TiO2 chloride process: reactor,,18.00,19.00,20.00,25.00,28.00,22.00,28.00,29.00,31.00,34.00,34.00,35.00,31.00,35.00,37.00,77.00,82.00,77.00,83.00,84.00,5.00,119.00,119.00,119.00,119.00,119.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00
        other,,172.00,116.00,121.00,122.00,126.00,131.00,134.00,142.00,137.00,148.00,157.00,152.00,126.00,112.00,129.00,12.00,12.00,11.00,12.00,12.00,10.00,11.00,12.00,13.00,16.00,15.00,1.00,1.00,1.00,13.00,13.00,13.00,16.00
Polymer & Resin Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Polymer & Resin Mfg, , , , , , , , , , , , , , , ,19.00,19.00,18.00,18.00,18.00,3.00,6.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,6.00,6.00,9.00
Agricultural Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Agricultural Chemical Mfg, , , , , , , , , , , , , , , ,16.00,16.00,16.00,17.00,17.00,44.00,19.00,19.00,18.00,17.00,17.00,12.00,13.00,13.00,12.00,12.00,13.00,12.00
"Paint, Varnish, Lacquer, Enamel Mfg","CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Paint, Varnish, Lacquer, E0mel Mfg", , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pharmaceutical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Pharmaceutical Mfg, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Other Chemical Mfg,2866.00,2620.00,1962.00,2079.00,1850.00,1567.00,1709.00,1937.00,1796.00,1750.00,1417.00,1456.00,1051.00,1136.00,1316.00,1471.00,1463.00,1415.00,1509.00,1510.00,854.00,844.00,827.00,805.00,885.00,939.00,826.00,841.00,847.00,209.00,216.00,224.00,189.00
        carbon black mfg,,2866.00,2620.00,1962.00,2079.00,1850.00,1567.00,1709.00,1937.00,1796.00,1750.00,1417.00,1456.00,1051.00,1136.00,1316.00,1078.00,1068.00,1034.00,1098.00,1112.00,815.00,756.00,736.00,715.00,793.00,845.00,800.00,815.00,822.00,195.00,202.00,209.00,165.00
        carbon black furnace: fugitives,, , , , , , , , , , , , , , , ,155.00,165.00,161.00,185.00,180.00,0.00,54.00,57.00,60.00,63.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        other,, , , , , , , , , , , , , , , ,238.00,231.00,219.00,226.00,219.00,29.00,35.00,34.00,30.00,30.00,29.00,16.00,16.00,16.00,13.00,14.00,14.00,23.00
METALS PROCESSING (Tier 1 - 05),METALS PROCESSING (Tier 1 - 05),3644.00,3551.00,3696.00,3650.00,3428.00,2496.00,2647.00,2537.00,2612.00,2604.00,2246.00,2219.00,1519.00,1560.00,1734.00,2223.00,2079.00,1984.00,2101.00,2132.00,2640.00,2571.00,2496.00,2536.00,2475.00,2380.00,1599.00,1710.00,1702.00,1255.00,1295.00,1380.00,1294.00
Non-Ferrous Metals Processing,METALS PROCESSING (Tier 1 - 05)_Non-Ferrous Metals Processing,652.00,644.00,676.00,743.00,804.00,636.00,697.00,745.00,788.00,824.00,842.00,812.00,592.00,606.00,741.00,694.00,650.00,614.00,656.00,677.00,436.00,438.00,432.00,423.00,421.00,424.00,456.00,475.00,465.00,526.00,537.00,565.00,492.00
        aluminum anode baking,,326.00,322.00,338.00,372.00,402.00,318.00,349.00,372.00,394.00,412.00,421.00,406.00,296.00,303.00,371.00,41.00,40.00,38.00,40.00,41.00,1.00,47.00,41.00,41.00,41.00,41.00,6.00,7.00,6.00,8.00,8.00,9.00,9.00
        prebake aluminum cell,,326.00,322.00,338.00,372.00,402.00,318.00,349.00,372.00,394.00,412.00,421.00,406.00,296.00,303.00,371.00,257.00,243.00,232.00,248.00,254.00,7.00,260.00,260.00,260.00,260.00,260.00,4.00,5.00,4.00,6.00,6.00,6.00,15.00
        other,, , , , , , , , , , , , , , , ,396.00,367.00,344.00,368.00,382.00,23.00,131.00,131.00,122.00,120.00,123.00,40.00,42.00,42.00,25.00,26.00,26.00,29.00
Ferrous Metals Processing,METALS PROCESSING (Tier 1 - 05)_Ferrous Metals Processing,2991.00,2907.00,3019.00,2906.00,2624.00,1859.00,1950.00,1792.00,1824.00,1780.00,1404.00,1407.00,927.00,954.00,993.00,1523.00,1423.00,1365.00,1439.00,1449.00,2163.00,2108.00,2038.00,2089.00,2029.00,1930.00,1091.00,1177.00,1182.00,685.00,713.00,768.00,756.00
        basic oxygen furnace,,440.00,444.00,467.00,405.00,284.00,125.00,139.00,134.00,122.00,117.00,80.00,86.00,31.00,36.00,64.00,694.00,640.00,617.00,650.00,662.00,1415.00,731.00,767.00,768.00,677.00,561.00,683.00,737.00,741.00,407.00,425.00,458.00,449.00
        carbon steel electric arc furnace,,181.00,188.00,213.00,250.00,258.00,204.00,221.00,251.00,289.00,281.00,280.00,298.00,208.00,239.00,235.00,19.00,17.00,17.00,18.00,18.00,154.00,54.00,49.00,58.00,61.00,65.00,139.00,145.00,140.00,78.00,79.00,84.00,76.00
        coke oven charging,,62.00,43.00,56.00,60.00,57.00,53.00,54.00,50.00,46.00,49.00,43.00,40.00,26.00,24.00,29.00,9.00,9.00,8.00,9.00,9.00, ,16.00,17.00,7.00,7.00,8.00, , , , , , , 
        gray iron cupola,,1203.00,1281.00,1302.00,1166.00,1010.00,649.00,648.00,513.00,489.00,457.00,340.00,319.00,225.00,220.00,201.00,302.00,294.00,281.00,288.00,280.00, ,118.00,114.00,121.00,128.00,120.00, , , , , , , 
        iron ore sinter plant windbox,,1025.00,880.00,904.00,937.00,930.00,759.00,811.00,772.00,800.00,798.00,600.00,598.00,398.00,391.00,418.00,304.00,280.00,266.00,287.00,293.00, ,211.00,211.00,211.00,211.00,211.00, , , , , , , 
        other,,81.00,72.00,78.00,89.00,85.00,70.00,77.00,72.00,77.00,77.00,61.00,65.00,38.00,43.00,46.00,194.00,184.00,176.00,188.00,187.00,0.00,979.00,880.00,924.00,945.00,966.00,0.00,0.00,0.00,13.00,13.00,14.00,21.00
Metals Processing NEC,METALS PROCESSING (Tier 1 - 05)_Metals Processing NEC, , , , , , , , , , , , , , , ,6.00,6.00,6.00,6.00,6.00,40.00,25.00,26.00,25.00,25.00,25.00,52.00,57.00,56.00,44.00,45.00,47.00,47.00
PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06),PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06),2179.00,2237.00,2276.00,2311.00,2230.00,2211.00,2122.00,2019.00,1917.00,1825.00,1723.00,1193.00,742.00,484.00,383.00,462.00,451.00,455.00,441.00,436.00,333.00,345.00,371.00,371.00,338.00,348.00,354.00,367.00,366.00,159.00,161.00,162.00,128.00
Oil & Gas Production,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_Oil & Gas Production, , , , , , , , , , , , , , , ,11.00,9.00,8.00,8.00,8.00,38.00,18.00,21.00,22.00,35.00,34.00,27.00,27.00,27.00,40.00,41.00,42.00,39.00
Petroleum Refineries & Related Industries,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_Petroleum Refineries & Related Industries,2168.00,2237.00,2276.00,2311.00,2230.00,2211.00,2122.00,2019.00,1917.00,1825.00,1723.00,1193.00,742.00,484.00,383.00,449.00,440.00,445.00,431.00,427.00,291.00,324.00,345.00,344.00,299.00,309.00,319.00,332.00,331.00,107.00,107.00,107.00,69.00
        fluid catalytic cracking units,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_        fluid catalytic cracking units,1820.00,1921.00,1983.00,2043.00,2015.00,2032.00,1958.00,1877.00,1799.00,1715.00,1680.00,1165.00,715.00,460.00,362.00,403.00,398.00,408.00,393.00,390.00,284.00,315.00,333.00,328.00,286.00,299.00,308.00,320.00,319.00,100.00,100.00,100.00,61.00
        other,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_        other,348.00,315.00,293.00,268.00,215.00,179.00,164.00,141.00,118.00,110.00,44.00,27.00,27.00,24.00,21.00,46.00,41.00,37.00,38.00,37.00,3.00,9.00,13.00,17.00,13.00,10.00,7.00,8.00,8.00,3.00,3.00,3.00,3.00
Asphalt Manufacturing,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_Asphalt Manufacturing,11.00, , , , , , , , , , , , , , ,2.00,2.00,2.00,2.00,2.00,3.00,4.00,5.00,5.00,5.00,5.00,8.00,8.00,8.00,13.00,13.00,13.00,20.00
OTHER INDUSTRIAL PROCESSES (Tier 1 - 07),OTHER INDUSTRIAL PROCESSES (Tier 1 - 07),620.00,632.00,679.00,710.00,706.00,630.00,718.00,732.00,758.00,767.00,830.00,821.00,801.00,864.00,908.00,694.00,715.00,713.00,711.00,716.00,537.00,548.00,544.00,594.00,600.00,624.00,561.00,582.00,590.00,571.00,593.00,648.00,635.00
"Agriculture, Food, & Kindred Products","OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Agriculture, Food, & Kindred Products", , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,3.00,2.00,6.00,4.00,4.00,4.00,14.00,14.00,46.00,47.00
"Textiles, Leather, & Apparel Products","OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Textiles, Leather, & Apparel Products", , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Wood, Pulp & Paper, & Publishing Products","OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Wood, Pulp & Paper, & Publishing Products",610.00,606.00,653.00,678.00,677.00,602.00,689.00,697.00,720.00,729.00,798.00,793.00,777.00,836.00,877.00,627.00,647.00,646.00,649.00,655.00,473.00,461.00,449.00,453.00,461.00,484.00,356.00,370.00,378.00,314.00,325.00,334.00,334.00
        sulfate (kraft) pulping,, , , , , , , , , , , , , , , ,475.00,491.00,489.00,491.00,497.00,461.00,360.00,348.00,350.00,355.00,370.00,336.00,350.00,358.00,283.00,293.00,300.00,299.00
        sulfate (kraft) pulping:  lime kiln,,610.00,606.00,653.00,678.00,677.00,602.00,689.00,697.00,720.00,729.00,798.00,793.00,777.00,836.00,877.00,140.00,145.00,144.00,145.00,146.00, ,81.00,75.00,78.00,76.00,82.00, , , , , , , 
        other,, , , , , , , , , , , , , , , ,12.00,12.00,13.00,13.00,13.00,11.00,21.00,25.00,24.00,30.00,32.00,19.00,20.00,20.00,31.00,33.00,34.00,35.00
Rubber & Miscellaneous Plastic Products,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Rubber & Miscellaneous Plastic Products, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mineral Products,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Mineral Products,10.00,26.00,27.00,33.00,30.00,27.00,29.00,35.00,38.00,38.00,32.00,28.00,24.00,28.00,31.00,43.00,44.00,44.00,44.00,43.00,54.00,77.00,85.00,131.00,131.00,127.00,180.00,186.00,186.00,222.00,232.00,244.00,244.00
Machinery Products,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Machinery Products, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Electronic Equipment,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Electronic Equipment, , , , , , , , , , , , , , , ,18.00,18.00,18.00,13.00,12.00,2.00,2.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00
Transportation Equipment,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Transportation Equipment, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miscellaneous Industrial Processes,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Miscellaneous Industrial Processes, , , , , , , , , , , , , , , ,6.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,4.00,4.00,4.00,19.00,19.00,20.00,19.00,19.00,20.00,7.00
SOLVENT UTILIZATION (Tier 1 - 08),SOLVENT UTILIZATION (Tier 1 - 08), , , , , , , , , , , , , , , ,2.00,2.00,2.00,2.00,2.00,5.00,5.00,5.00,5.00,5.00,6.00,1.00,2.00,2.00,52.00,51.00,50.00,51.00
Degreasing,SOLVENT UTILIZATION (Tier 1 - 08)_Degreasing, , , , , , , , , , , , , , , ,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Graphic Arts,SOLVENT UTILIZATION (Tier 1 - 08)_Graphic Arts, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dry Cleaning,SOLVENT UTILIZATION (Tier 1 - 08)_Dry Cleaning, , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surface Coating,SOLVENT UTILIZATION (Tier 1 - 08)_Surface Coating, , , , , , , , , , , , , , , ,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,51.00,50.00,50.00,50.00
Other Industrial,SOLVENT UTILIZATION (Tier 1 - 08)_Other Industrial, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nonindustrial,, , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Solvent Utilization NEC,, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STORAGE & TRANSPORT (Tier 1 - 09),STORAGE & TRANSPORT (Tier 1 - 09), , , , , , , , , , , , , , , ,49.00,51.00,50.00,56.00,55.00,76.00,28.00,17.00,51.00,24.00,25.00,70.00,71.00,72.00,163.00,169.00,178.00,215.00
Bulk Terminals & Plants,STORAGE & TRANSPORT (Tier 1 - 09)_Bulk Termi0ls & Plants, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
Petroleum & Petroleum Product Storage,STORAGE & TRANSPORT (Tier 1 - 09)_Petroleum & Petroleum Product Storage, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,32.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Petroleum & Petroleum Product Transport,STORAGE & TRANSPORT (Tier 1 - 09)_Petroleum & Petroleum Product Transport, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Service Stations: Stage I,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00
Service Stations: Stage II,STORAGE & TRANSPORT (Tier 1 - 09)_Service Stations: Stage II, , , , , , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Organic Chemical Storage,STORAGE & TRANSPORT (Tier 1 - 09)_Organic Chemical Storage, , , , , , , , , , , , , , , ,42.00,45.00,44.00,51.00,49.00,74.00,13.00,13.00,13.00,13.00,13.00,68.00,69.00,70.00,74.00,76.00,79.00,119.00
