# File: A51.max_reduction.csv
# Title: NA
# Units: NA
# Source: NA 
# Description: NA
supplysector,subsector,stub.technology,SO2,NOx,CO,BC,OC,NMVOC
cement,cement,cement,,,,,,
district heat,biomass,biomass,,,,,,
district heat,coal,coal,,,,,,
district heat,electricity,electricity,,,,,,
district heat,gas,gas,,,,,,
resid others,refined liquids,refined liquids,90,46,80,50,50,60
resid others,traditional biomass,traditional biomass,0,46,80,50,75,
resid others,district heat,district heat,,,,,,
comm heating,biomass,biomass,50,46,80,92,90,60
comm heating,coal,coal,85,64,80,90,90,60
comm heating,electricity,electricity,,,,,,
comm heating,gas,gas,50,46,80,80,50,60
comm heating,refined liquids,refined liquids,90,46,80,50,50,60
comm heating,traditional biomass,traditional biomass,0,46,80,50,75,
comm heating,district heat,district heat,,,,,,
comm cooling,electricity,electricity,,,,,,
comm cooling,gas,gas,50,46,80,80,50,60
comm others,biomass,biomass,50,46,80,92,90,60
comm others,coal,coal,85,64,80,90,90,60
comm others,electricity,electricity,,,,,,
comm others,gas,gas,50,46,80,80,50,60
comm others,refined liquids,refined liquids,90,46,80,50,50,60
comm others,traditional biomass,traditional biomass,0,46,80,50,75,
comm others,district heat,district heat,,,,,,
transportation,refined liquids,refined liquids,93,98,97,84,88,96
transportation,coal,coal,50,,,85,50,60
transportation,gas,gas,50,,,,,60
transportation,electricity,electricity,,,,,,
regional coal,regional coal,regional coal,,,,50,50,
regional natural gas,regional natural gas,regional natural gas,,,,,,60
