# File: NREL_Res_PV_supply_curve.csv
# Title: PV supply curve for residential buildings
# Units: Relative_Cost - Unitless
# Source: Denholm, P. & Margolis, R. Supply Curves for Rooftop Solar PV-Generated Electricity for the United States. National Renewable Energy Laboratory, Technical Report NREL / TP-6A0-44073 (2008) - www.nrel.gov
State,TMY_Site,Pitch,MW,MWh,Relative_Cost
California,CA Fresno,Pitch SE,503.9590584,946572.9082,1.187890009
California,CA Fresno,Pitch SW,503.9590584,946460.9867,1.18803048
Arizona,AZ Flagstaff,10 S,94.63554927,177312.1091,1.190833259
Texas,TX San Angelo,Pitch S,80.41779011,150473.9872,1.192410385
Kansas,KS Dodge City,Pitch S,107.4905916,201062.2383,1.192820198
Oklahoma,KS Dodge City,Pitch S,17.05076177,31893.62228,1.192820198
Arizona,UT Cedar City,10 S,2.991588446,5587.292937,1.194635593
Nevada,UT Cedar City,10 S,0.979844176,1830.023262,1.194635593
Utah,UT Cedar City,10 S,48.68631905,90929.86266,1.194635593
California,CA Santa Maria,Pitch SE,211.6149328,394546.211,1.196695004
Arizona,AZ Flagstaff,Pitch SW,107.5467352,200427.3658,1.197223566
Oklahoma,TX Amarillo,Pitch SE,9.692011955,18053.56604,1.197804627
Texas,TX Amarillo,Pitch SE,147.4862271,274726.4812,1.197804627
Colorado,CO Grand Junction,Pitch SE,105.0744799,195645.7146,1.198290051
New Mexico,CO Grand Junction,Pitch SE,9.621680823,17915.29801,1.198290051
Utah,CO Grand Junction,Pitch SE,8.888864032,16550.81383,1.198290051
New Mexico,TX Lubbock,Pitch SE,0.921469831,1714.838405,1.198927616
Texas,TX Lubbock,Pitch SE,150.1400141,279407.8044,1.198927616
New Mexico,TX Lubbock,10 S,0.913563687,1698.44692,1.20011232
Texas,TX Lubbock,10 S,142.8761821,265627.4707,1.20011232
Arizona,UT Cedar City,Pitch SW,3.39973269,6319.617091,1.200297912
Nevada,UT Cedar City,Pitch SW,0.988975804,1838.364649,1.200297912
Utah,UT Cedar City,Pitch SW,54.61031983,101512.7782,1.200297912
California,NV Reno,10 S,41.76120991,77527.32172,1.20185849
Nevada,NV Reno,10 S,200.4022286,372035.3909,1.20185849
New Mexico,TX Lubbock,Pitch SW,0.921469831,1709.157803,1.202912404
Texas,TX Lubbock,Pitch SW,150.1400141,278482.2335,1.202912404
Texas,TX Abilene,Pitch SE,119.4204183,220838.3671,1.206532723
Oklahoma,TX Amarillo,10 S,9.066356383,16765.22311,1.206586587
Texas,TX Amarillo,10 S,140.3507863,259532.2913,1.206586587
California,CA Los Angeles,Pitch S,2006.261882,3709266.581,1.206798104
Texas,TX Abilene,10 S,113.6428122,210020.1005,1.207302652
California,NV Reno,Pitch SW,43.73737942,80828.60638,1.20732088
Nevada,NV Reno,Pitch SW,202.269871,373803.6435,1.20732088
Florida,FL Key West,Pitch S,28.47870842,52590.6081,1.208223117
Colorado,CO Pueblo,10 S,82.65960636,152631.2556,1.208328169
New Mexico,CO Pueblo,10 S,3.144181689,5805.742612,1.208328169
Arizona,CA San Diego,Pitch SW,44.32656939,81767.78709,1.209530769
California,CA San Diego,Pitch SW,1055.245878,1946577.898,1.209530769
Texas,TX Abilene,Pitch SW,119.4204183,220179.2323,1.210144634
Oklahoma,TX Amarillo,Pitch SW,9.692011955,17862.15006,1.210640649
Texas,TX Amarillo,Pitch SW,147.4862271,271813.6474,1.210640649
Arizona,CA San Diego,10 S,39.00508215,71869.47348,1.210909755
California,CA San Diego,10 S,1007.567102,1856509.796,1.210909755
Nevada,NV Ely,10 S,4.337015207,7986.532332,1.211623631
California,CA Long Beach,Pitch S,2796.581096,5145304.788,1.212694355
Oklahoma,TX Wichita Falls,Pitch S,111.8320577,205345.5411,1.215111366
Texas,TX Wichita Falls,Pitch S,86.52954215,158885.1714,1.215111366
Colorado,CO Colorado Springs,Pitch S,278.4339121,511156.4949,1.215355387
Colorado,CO Pueblo,Pitch SW,85.58500335,157069.5558,1.215739985
New Mexico,CO Pueblo,Pitch SW,3.171392003,5820.285257,1.215739985
Nevada,NV Ely,Pitch SW,4.377433886,8015.936177,1.218429454
Arizona,AZ Prescott,Flat,57.33060481,104828.4181,1.220232353
Colorado,CO Grand Junction,10 S,101.4829095,185499.8578,1.220630936
New Mexico,CO Grand Junction,10 S,9.539127496,17436.50043,1.220630936
Utah,CO Grand Junction,10 S,7.924620687,14485.3554,1.220630936
Texas,TX San Angelo,10 S,76.52714629,139788.0099,1.221463914
Texas,TX San Angelo,Pitch SW,80.41779011,146713.2699,1.222975571
Colorado,KS Goodland,Pitch S,19.29206932,35140.67946,1.224908656
Kansas,KS Goodland,Pitch S,18.50583479,33708.54612,1.224908656
Nebraska,KS Goodland,Pitch S,1.606887398,2926.959988,1.224908656
New Mexico,TX Midland/Odessa,Flat,37.01455538,67390.58219,1.225486053
Texas,TX Midland/Odessa,Flat,143.4118721,261102.9488,1.225486053
Florida,FL Key West,10 S,26.61582927,48440.29275,1.22593738
Colorado,CO Grand Junction,Pitch SW,105.0744799,191150.7151,1.226468409
New Mexico,CO Grand Junction,Pitch SW,9.621680823,17503.69045,1.226468409
Utah,CO Grand Junction,Pitch SW,8.888864032,16170.55557,1.226468409
Florida,FL Key West,Pitch SW,28.47870842,51745.02603,1.227967078
Texas,TX San Angelo,Pitch SE,80.41779011,145913.2033,1.229681351
California,CA Sacramento,Pitch S,1239.660948,2249137.772,1.229764368
Arizona,CA San Diego,Pitch SE,44.32656939,80404.52754,1.230038374
California,CA San Diego,Pitch SE,1055.245878,1914123.909,1.230038374
Florida,FL Key West,Pitch SE,28.47870842,51438.5656,1.235283054
Kansas,KS Dodge City,Pitch SE,107.4905916,194101.5691,1.235595879
Oklahoma,KS Dodge City,Pitch SE,17.05076177,30789.48181,1.235595879
Oklahoma,TX Fort Worth,Pitch S,34.38570291,62085.1553,1.235734521
Texas,TX Fort Worth,Pitch S,2163.158136,3905693.281,1.235734521
Wyoming,WY Lander,Pitch S,31.36968055,56618.29118,1.236198985
California,CA Long Beach,Pitch SW,2796.581096,5041102.615,1.237761369
California,CA Los Angeles,Pitch SW,2006.261882,3612871.873,1.238996576
California,CA Los Angeles,10 S,1915.613708,3447934.043,1.239607031
Colorado,CO Colorado Springs,Pitch SE,278.4339121,500908.1492,1.240220988
Kansas,KS Dodge City,10 S,101.8354146,183130.6652,1.240717212
Oklahoma,KS Dodge City,10 S,15.95007142,28683.01956,1.240717212
California,CA Long Beach,10 S,2670.224227,4800191.072,1.241149942
Utah,WY Rock Springs,Pitch S,11.38475196,20424.00085,1.243706195
Wyoming,WY Rock Springs,Pitch S,29.58443809,53073.84742,1.243706195
Kansas,KS Dodge City,Pitch SW,107.4905916,192831.6727,1.243732917
Oklahoma,KS Dodge City,Pitch SW,17.05076177,30588.04371,1.243732917
Colorado,CO Eagle,Pitch S,74.61992953,133779.051,1.244519678
Wyoming,CO Eagle,Pitch S,0.647040101,1160.017321,1.244519678
Colorado,CO Alamosa,Flat,35.44535437,63531.8553,1.244809313
New Mexico,CO Alamosa,Flat,22.28334093,39940.41014,1.244809313
Texas,TX San Antonio,Pitch S,739.2807445,1324756.081,1.245112282
Nevada,NV Winnemucca,Pitch S,11.94877324,21401.41458,1.245706938
Colorado,CO Boulder/Denver,Pitch S,1156.985776,2068489.227,1.247986251
Texas,TX Waco,Pitch S,288.4586131,515521.3031,1.248452257
Oklahoma,TX Wichita Falls,10 S,104.6128807,186664.082,1.250430179
Texas,TX Wichita Falls,10 S,82.34320941,146927.601,1.250430179
Florida,FL Tampa,Pitch S,1636.36151,2917978.714,1.251215686
Oklahoma,TX Wichita Falls,Pitch SW,111.8320577,199224.4024,1.252445473
Texas,TX Wichita Falls,Pitch SW,86.52954215,154148.9684,1.252445473
New Mexico,NM Tucumcari,Flat,62.94453802,112128.0009,1.252503694
California,CA Bakersfield,Flat,230.2060725,409995.1936,1.252774931
Oklahoma,TX Wichita Falls,Pitch SE,111.8320577,199092.727,1.253273812
Texas,TX Wichita Falls,Pitch SE,86.52954215,154047.0852,1.253273812
Nevada,NV Tonopah,Flat,3.308981973,5884.310558,1.254682556
California,CA Fresno,Flat,481.1888664,854877.5963,1.255875762
California,CA Los Angeles,Pitch SE,2006.261882,3564127.131,1.255941697
California,CA San Francisco,Pitch S,2281.198095,4050820.288,1.256478518
Oklahoma,OK Oklahoma City,Pitch S,664.3066528,1177257.926,1.259018242
Texas,TX Austin,Pitch S,553.3548137,980069.0208,1.259743351
Texas,TX San Antonio,Pitch SW,739.2807445,1307678.276,1.261372997
California,CA Sacramento,10 S,1183.649815,2093150.587,1.261704945
Texas,TX San Antonio,10 S,703.5140558,1243202.752,1.262600219
California,CA Sacramento,Pitch SW,1239.660948,2189121.479,1.263479216
Oklahoma,TX Fort Worth,10 S,32.16597735,56707.95234,1.265574834
Texas,TX Fort Worth,10 S,2058.503708,3629099.432,1.265574834
Colorado,KS Goodland,Pitch SE,19.29206932,34007.38906,1.265728526
Kansas,KS Goodland,Pitch SE,18.50583479,32621.44216,1.265728526
Nebraska,KS Goodland,Pitch SE,1.606887398,2832.565238,1.265728526
California,CA Santa Maria,Flat,202.0536151,355860.681,1.266839697
California,CA Sacramento,Pitch SE,1239.660948,2183120.491,1.266952283
Florida,FL Miami,Pitch S,1446.085528,2546367.129,1.267091579
Florida,FL Daytona Beach,Pitch S,1069.533716,1882945.239,1.267336183
Oklahoma,TX Fort Worth,Pitch SW,34.38570291,60533.2589,1.267415154
Texas,TX Fort Worth,Pitch SW,2163.158136,3808065.574,1.267415154
Colorado,CO Eagle,Pitch SE,74.61992953,131029.7453,1.270632566
Wyoming,CO Eagle,Pitch SE,0.647040101,1136.177697,1.270632566
Oklahoma,TX Fort Worth,Pitch SE,34.38570291,60352.55511,1.271209967
Texas,TX Fort Worth,Pitch SE,2163.158136,3796697.743,1.271209967
California,CA Long Beach,Pitch SE,2796.581096,4908388.812,1.271228159
Colorado,CO Boulder/Denver,Pitch SE,1156.985776,2028102.67,1.272837985
Wyoming,WY Lander,Pitch SE,31.36968055,54968.49153,1.273301707
Utah,UT Salt Lake City,Pitch S,653.3461022,1144713.46,1.273449008
Wyoming,UT Salt Lake City,Pitch S,8.752687917,15335.39365,1.273449008
Florida,FL Tampa,Pitch SE,1636.36151,2865469.831,1.274143842
Utah,WY Rock Springs,Pitch SE,11.38475196,19928.17087,1.274650671
Wyoming,WY Rock Springs,Pitch SE,29.58443809,51785.3827,1.274650671
Texas,TX Waco,10 S,274.5028737,480495.3227,1.274655356
Texas,TX Waco,Pitch SW,288.4586131,504785.3114,1.275004878
Idaho,NV Elko,Pitch S,0.642029311,1121.838757,1.276907564
Nevada,NV Elko,Pitch S,18.80675299,32861.65297,1.276907564
Florida,FL Tampa,10 S,1529.322115,2671587.846,1.277216598
Nevada,NV Winnemucca,Pitch SE,11.94877324,20864.81043,1.277744206
Colorado,KS Goodland,10 S,18.6326435,32482.81461,1.279840548
Kansas,KS Goodland,10 S,17.53222612,30564.42586,1.279840548
Nebraska,KS Goodland,10 S,1.532057774,2670.879667,1.279840548
Colorado,CO Colorado Springs,10 S,268.9167106,468675.8329,1.280207227
Florida,FL Key West,Flat,26.61582927,46341.66971,1.281455026
Texas,TX Austin,Pitch SW,553.3548137,963436.9355,1.281490658
Florida,FL Tampa,Pitch SW,1636.36151,2848543.967,1.281714722
Texas,TX Austin,10 S,526.5832936,916659.9875,1.281722022
Colorado,KS Goodland,Pitch SW,19.29206932,33533.76295,1.283605496
Kansas,KS Goodland,Pitch SW,18.50583479,32167.11834,1.283605496
Nebraska,KS Goodland,Pitch SW,1.606887398,2793.115668,1.283605496
Arizona,AZ Flagstaff,Flat,94.63554927,164419.637,1.284208873
Texas,TX Abilene,Flat,113.6428122,197276.218,1.285293417
Texas,TX San Antonio,Pitch SE,739.2807445,1283130.242,1.285504786
New Mexico,TX Lubbock,Flat,0.913563687,1584.646843,1.286297374
Texas,TX Lubbock,Flat,142.8761821,247829.7838,1.286297374
Florida,FL Miami,10 S,1351.492664,2344103.712,1.286387805
Texas,TX Waco,Pitch SE,288.4586131,499932.0665,1.287382382
Florida,FL Miami,Pitch SE,1446.085528,2506226.88,1.28738558
Arizona,UT Cedar City,Flat,2.991588446,5178.68699,1.288894081
Nevada,UT Cedar City,Flat,0.979844176,1696.191298,1.288894081
Utah,UT Cedar City,Flat,48.68631905,84280.04439,1.288894081
Colorado,CO Colorado Springs,Pitch SW,278.4339121,481547.5685,1.290083971
Florida,FL Miami,Pitch SW,1446.085528,2499657.981,1.290768726
Florida,FL Daytona Beach,Pitch SE,1069.533716,1848741.682,1.290783161
Kansas,KS Wichita,Pitch S,371.719287,641935.7568,1.291988275
Oklahoma,KS Wichita,Pitch S,27.77479352,47965.31608,1.291988275
Colorado,NE Scottsbluff,Pitch S,9.762684383,16850.742,1.29266284
Nebraska,NE Scottsbluff,Pitch S,38.19333288,65923.05694,1.29266284
Wyoming,NE Scottsbluff,Pitch S,8.902683577,15366.34989,1.29266284
Colorado,WY Cheyenne,Pitch S,27.51138816,47465.83228,1.29320224
Wyoming,WY Cheyenne,Pitch S,72.92141943,125812.476,1.29320224
California,CA San Francisco,Pitch SW,2281.198095,3935764.954,1.293209512
Florida,FL Daytona Beach,10 S,999.5722549,1724523.054,1.293243287
Arizona,CA San Diego,Flat,39.00508215,67268.70112,1.293728659
California,CA San Diego,Flat,1007.567102,1737664.081,1.293728659
California,CA San Francisco,10 S,2178.127582,3755774.826,1.293953925
Texas,TX San Angelo,Flat,76.52714629,131756.9085,1.295916939
Oklahoma,TX Amarillo,Flat,9.066356383,15593.45903,1.297255041
Texas,TX Amarillo,Flat,140.3507863,241392.9194,1.297255041
Florida,FL Daytona Beach,Pitch SW,1069.533716,1838641.446,1.297873839
Wyoming,WY Casper,Pitch S,56.19543281,96600.22744,1.297949859
Texas,TX Austin,Pitch SE,553.3548137,950704.0119,1.298653858
Nevada,NV Winnemucca,10 S,11.83844521,20336.8612,1.298810492
Oklahoma,OK Oklahoma City,10 S,621.4231771,1067339.791,1.299031825
California,NV Reno,Flat,41.76120991,71694.90944,1.299630205
Nevada,NV Reno,Flat,200.4022286,344047.0155,1.299630205
Colorado,CO Eagle,10 S,72.06933177,123657.1258,1.300368354
Wyoming,CO Eagle,10 S,0.715983788,1228.490609,1.300368354
Oklahoma,OK Oklahoma City,Pitch SE,664.3066528,1139736.355,1.300466726
Oklahoma,OK Oklahoma City,Pitch SW,664.3066528,1139149.55,1.301136629
Wyoming,WY Lander,10 S,34.71219583,59520.43024,1.301221018
Kansas,NE North Platte,Pitch S,2.585201952,4429.300917,1.302249901
Nebraska,NE North Platte,Pitch S,53.54803469,91745.38916,1.302249901
Utah,WY Rock Springs,10 S,10.14976049,17367.68988,1.303913502
Wyoming,WY Rock Springs,10 S,32.73673147,56017.22333,1.303913502
Alabama,GA Atlanta,Pitch S,6.933888717,11862.23813,1.304203236
Georgia,GA Atlanta,Pitch S,1493.749676,2555451.218,1.304203236
Nevada,NV Winnemucca,Pitch SW,11.94877324,20430.83596,1.304884963
Idaho,NV Elko,Pitch SE,0.642029311,1097.017893,1.305798569
Nevada,NV Elko,Pitch SE,18.80675299,32134.58357,1.305798569
Utah,UT Salt Lake City,Pitch SE,653.3461022,1115827.327,1.306415593
Wyoming,UT Salt Lake City,Pitch SE,8.752687917,14948.41452,1.306415593
Alabama,FL Tallahassee,Pitch S,34.10252187,58234.10178,1.306604529
Florida,FL Tallahassee,Pitch S,253.0843711,432171.5879,1.306604529
Georgia,FL Tallahassee,Pitch S,140.8966787,240597.7939,1.306604529
Wyoming,WY Lander,Pitch SW,31.36968055,53517.41406,1.30782616
California,CA San Francisco,Pitch SE,2281.198095,3890431.271,1.308278779
Colorado,CO Eagle,Pitch SW,74.61992953,127237.5299,1.308502779
Wyoming,CO Eagle,Pitch SW,0.647040101,1103.294854,1.308502779
Arkansas,TN Memphis,Pitch S,163.6266776,278950.7422,1.308764888
Kentucky,TN Memphis,Pitch S,5.746119938,9795.984646,1.308764888
Mississippi,TN Memphis,Pitch S,294.8383553,502640.3962,1.308764888
Missouri,TN Memphis,Pitch S,71.68696914,122211.9372,1.308764888
Tennessee,TN Memphis,Pitch S,669.2602511,1140954.803,1.308764888
Florida,FL West Palm Beach,Pitch S,748.9840612,1276468.708,1.309174227
South Carolina,SC Charleston,Pitch S,360.9884767,614722.1154,1.310236052
Utah,WY Rock Springs,Pitch SW,11.38475196,19373.38109,1.311152466
Wyoming,WY Rock Springs,Pitch SW,29.58443809,50343.70491,1.311152466
Georgia,GA Savannah,Pitch S,199.0113325,338401.3808,1.312141663
South Carolina,GA Savannah,Pitch S,65.07268871,110650.4209,1.312141663
Colorado,CO Boulder/Denver,10 S,1117.438629,1899328.357,1.312679408
Nevada,NV Ely,Flat,4.337015207,7371.640575,1.312688974
Colorado,CO Pueblo,Flat,82.65960636,140378.4274,1.313796208
New Mexico,CO Pueblo,Flat,3.144181689,5339.673152,1.313796208
Kansas,NE Grand Island,Pitch S,19.30128154,32752.05843,1.314869313
Nebraska,NE Grand Island,Pitch S,110.912427,188205.6526,1.314869313
Arkansas,AR Fort Smith,Pitch S,259.8321311,440457.397,1.31620638
Missouri,AR Fort Smith,Pitch S,2.191591842,3715.101877,1.31620638
Oklahoma,AR Fort Smith,Pitch S,106.5373475,180597.9982,1.31620638
Colorado,CO Grand Junction,Flat,101.4829095,171730.8013,1.318498857
New Mexico,CO Grand Junction,Flat,9.539127496,16142.2452,1.318498857
Utah,CO Grand Junction,Flat,7.924620687,13410.15416,1.318498857
Texas,TX Lufkin,Pitch S,245.9980199,416034.8887,1.319279772
Idaho,ID Boise,Pitch S,289.9340164,489559.5178,1.321383007
Oregon,ID Boise,Pitch S,13.96806615,23585.36544,1.321383007
California,CA Los Angeles,Flat,1915.613708,3233996.008,1.321610562
California,CA Long Beach,Flat,2670.224227,4506868.156,1.321928369
Utah,UT Salt Lake City,10 S,582.472633,983009.3459,1.322065349
Wyoming,UT Salt Lake City,10 S,9.685307969,16345.40013,1.322065349
Colorado,CO Boulder/Denver,Pitch SW,1156.985776,1951121.665,1.323057481
Colorado,WY Cheyenne,Pitch SE,27.51138816,46377.44121,1.323551258
Wyoming,WY Cheyenne,Pitch SE,72.92141943,122927.5972,1.323551258
Alabama,AL Montgomery,Pitch S,372.5111788,627874.9506,1.323735443
Florida,AL Montgomery,Pitch S,33.25501172,56051.9792,1.323735443
Texas,TX San Antonio,Flat,703.5140558,1185354.504,1.32421825
Georgia,GA Athens,Pitch S,275.2233554,462842.0082,1.326745307
South Carolina,GA Athens,Pitch S,16.31668561,27439.70448,1.326745307
Colorado,NE Scottsbluff,Pitch SE,9.762684383,16415.84134,1.326909023
Nebraska,NE Scottsbluff,Pitch SE,38.19333288,64221.64933,1.326909023
Wyoming,NE Scottsbluff,Pitch SE,8.902683577,14969.75989,1.326909023
Utah,UT Salt Lake City,Pitch SW,653.3461022,1097953.697,1.327682782
Wyoming,UT Salt Lake City,Pitch SW,8.752687917,14708.9667,1.327682782
