# File: NREL_Com_PV_supply_curve.csv
# Title: PV supply curve for commercial buildings
# Units: Rel_Cost - Unitless
# Source: www.nrel.gov
State,angle,MW,GWH,Rel_Cost
Alaska,210 25,61.6,46.4,2.14
Arizona,210 25,444.0,679.0,1.06
Arkansas,210 25,220.1,267.7,1.33
California,210 25,2771.2,3872.1,1.15
Colorado,210 25,430.2,619.0,1.12
Connecticut,210 25,333.5,369.6,1.46
Delaware,210 25,67.8,77.5,1.41
District of Columbia,210 25,112.6,130.0,1.40
Florida,210 25,1459.3,1858.3,1.27
Georgia,210 25,844.2,1030.5,1.32
Hawaii,210 25,118.3,171.1,1.12
Idaho,210 25,105.3,135.3,1.26
Illinois,210 25,1181.9,1365.5,1.40
Indiana,210 25,670.2,759.0,1.42
Iowa,210 25,289.7,342.5,1.36
Kansas,210 25,266.8,344.1,1.25
Kentucky,210 25,386.7,443.1,1.41
Louisiana,210 25,378.9,468.9,1.30
Maine,210 25,101.4,114.5,1.43
Maryland,210 25,470.1,537.8,1.41
Massachusetts,210 25,590.9,663.9,1.44
Michigan,210 25,933.5,1028.3,1.46
Minnesota,210 25,486.2,552.9,1.42
Mississippi,210 25,231.1,281.7,1.32
Missouri,210 25,507.3,621.7,1.32
Montana,210 25,65.4,78.4,1.35
Nebraska,210 25,170.1,214.9,1.28
Nevada,210 25,222.4,336.2,1.07
New Hampshire,210 25,108.4,121.6,1.44
New Jersey,210 25,765.0,861.5,1.43
New Mexico,210 25,142.2,224.2,1.02
New York,210 25,1318.0,1467.4,1.45
North Carolina,210 25,809.8,971.8,1.34
North Dakota,210 25,64.5,73.5,1.42
Ohio,210 25,1262.9,1380.5,1.48
Oklahoma,210 25,305.3,395.0,1.25
Oregon,210 25,299.6,326.0,1.48
Pennsylvania,210 25,1077.7,1181.4,1.47
Rhode Island,210 25,86.1,97.7,1.42
South Carolina,210 25,401.7,490.9,1.32
South Dakota,210 25,65.1,81.0,1.30
Tennessee,210 25,592.1,693.7,1.38
Texas,210 25,1987.5,2510.0,1.28
Utah,210 25,218.9,291.8,1.21
Vermont,210 25,50.7,55.7,1.47
Virginia,210 25,662.3,777.4,1.37
Washington,210 25,515.0,535.5,1.55
West Virginia,210 25,131.0,141.7,1.49
Wisconsin,210 25,551.8,630.5,1.41
Wyoming,210 25,43.1,58.7,1.18
Alabama,240 10,188.7,213.5,1.43
Alaska,240 10,28.4,18.6,2.47
Arizona,240 10,204.9,290.8,1.14
Arkansas,240 10,101.6,114.9,1.43
California,240 10,1279.0,1672.3,1.23
Colorado,240 10,198.6,257.1,1.25
Connecticut,240 10,153.9,155.6,1.60
Delaware,240 10,31.3,32.6,1.55
District of Columbia,240 10,52.0,54.6,1.54
Florida,240 10,673.5,818.7,1.33
Georgia,240 10,389.6,443.8,1.42
Hawaii,240 10,54.6,77.8,1.13
Idaho,240 10,48.6,56.6,1.39
Illinois,240 10,545.5,576.4,1.53
Indiana,240 10,309.3,323.4,1.54
Iowa,240 10,133.7,143.4,1.50
Kansas,240 10,123.1,144.5,1.38
Kentucky,240 10,178.5,189.7,1.52
Louisiana,240 10,174.9,204.6,1.38
Maine,240 10,46.8,47.2,1.60
Maryland,240 10,217.0,226.2,1.55
Massachusetts,240 10,272.7,277.1,1.59
Michigan,240 10,430.8,434.9,1.60
Minnesota,240 10,224.4,227.8,1.59
Mississippi,240 10,106.7,122.1,1.41
Missouri,240 10,234.2,262.6,1.44
Montana,240 10,30.2,32.0,1.52
Nebraska,240 10,78.5,89.4,1.42
Nevada,240 10,102.7,142.3,1.16
New Hampshire,240 10,50.0,50.4,1.60
New Jersey,240 10,353.1,362.7,1.57
New Mexico,240 10,65.6,95.2,1.11
New York,240 10,608.3,619.6,1.58
North Carolina,240 10,373.8,414.3,1.46
North Dakota,240 10,29.8,30.1,1.60
Ohio,240 10,582.9,589.5,1.60
Oklahoma,240 10,140.9,168.0,1.35
Oregon,240 10,138.3,138.1,1.62
Pennsylvania,240 10,497.4,499.6,1.61
Rhode Island,240 10,39.7,40.8,1.57
South Carolina,240 10,185.4,210.4,1.42
South Dakota,240 10,30.0,33.3,1.45
Tennessee,240 10,273.3,298.4,1.48
Texas,240 10,917.3,1094.4,1.35
Utah,240 10,101.0,123.3,1.32
Vermont,240 10,23.4,23.2,1.62
Virginia,240 10,305.7,328.1,1.50
Washington,240 10,237.7,225.9,1.70
West Virginia,240 10,60.4,60.4,1.62
Wisconsin,240 10,254.7,263.4,1.56
Wyoming,240 10,19.9,24.1,1.33
Alabama,240 25,408.9,466.2,1.42
Alaska,240 25,61.6,42.4,2.34
Arizona,240 25,444.0,636.3,1.13
Arkansas,240 25,220.1,251.5,1.41
California,240 25,2771.2,3664.5,1.22
Colorado,240 25,430.2,566.6,1.23
Connecticut,240 25,333.5,343.9,1.56
Delaware,240 25,67.8,72.1,1.52
District of Columbia,240 25,112.6,120.7,1.50
Florida,240 25,1459.3,1752.9,1.34
Georgia,240 25,844.2,971.0,1.40
Hawaii,240 25,118.3,164.8,1.16
Idaho,240 25,105.3,125.6,1.35
Illinois,240 25,1181.9,1270.3,1.50
Indiana,240 25,670.2,709.1,1.53
Iowa,240 25,289.7,318.1,1.47
Kansas,240 25,266.8,320.5,1.34
Kentucky,240 25,386.7,415.2,1.50
Louisiana,240 25,378.9,442.2,1.38
Maine,240 25,101.4,105.7,1.55
Maryland,240 25,470.1,499.5,1.52
Massachusetts,240 25,590.9,615.5,1.55
Michigan,240 25,933.5,956.5,1.57
Minnesota,240 25,486.2,509.0,1.54
Mississippi,240 25,231.1,265.1,1.41
Missouri,240 25,507.3,579.4,1.41
Montana,240 25,65.4,72.0,1.47
Nebraska,240 25,170.1,199.2,1.38
Nevada,240 25,222.4,313.3,1.15
New Hampshire,240 25,108.4,112.4,1.56
New Jersey,240 25,765.0,800.7,1.54
New Mexico,240 25,142.2,209.4,1.10
New York,240 25,1318.0,1367.9,1.55
North Carolina,240 25,809.8,909.4,1.44
North Dakota,240 25,64.5,68.4,1.52
Ohio,240 25,1262.9,1291.1,1.58
Oklahoma,240 25,305.3,370.6,1.33
Oregon,240 25,299.6,305.5,1.58
Pennsylvania,240 25,1077.7,1101.3,1.58
Rhode Island,240 25,86.1,90.6,1.53
South Carolina,240 25,401.7,459.6,1.41
South Dakota,240 25,65.1,75.0,1.40
Tennessee,240 25,592.1,652.4,1.46
Texas,240 25,1987.5,2388.1,1.34
Utah,240 25,218.9,271.6,1.30
Vermont,240 25,50.7,51.8,1.58
Virginia,240 25,662.3,724.1,1.48
Washington,240 25,515.0,500.9,1.66
West Virginia,240 25,131.0,132.9,1.59
Wisconsin,240 25,551.8,584.7,1.52
Wyoming,240 25,43.1,53.7,1.29
Alabama,150 10,188.7,219.1,1.39
Alaska,150 10,28.4,19.3,2.37
Arizona,150 10,204.9,301.3,1.10
Arkansas,150 10,101.6,118.3,1.39
California,150 10,1279.0,1705.0,1.21
Colorado,150 10,198.6,271.9,1.18
Connecticut,150 10,153.9,160.4,1.55
Delaware,150 10,31.3,33.7,1.50
District of Columbia,150 10,52.0,56.6,1.48
Florida,150 10,673.5,845.8,1.28
Georgia,150 10,389.6,455.8,1.38
Hawaii,150 10,54.6,79.5,1.11
Idaho,150 10,48.6,58.8,1.33
Illinois,150 10,545.5,597.4,1.47
Indiana,150 10,309.3,334.2,1.49
Iowa,150 10,133.7,148.6,1.45
Kansas,150 10,123.1,149.5,1.33
Kentucky,150 10,178.5,195.6,1.47
Louisiana,150 10,174.9,210.3,1.34
Maine,150 10,46.8,49.0,1.54
Maryland,150 10,217.0,234.6,1.49
Massachusetts,150 10,272.7,286.4,1.54
Michigan,150 10,430.8,451.3,1.54
Minnesota,150 10,224.4,237.1,1.53
Mississippi,150 10,106.7,125.6,1.37
Missouri,150 10,234.2,272.1,1.39
Montana,150 10,30.2,33.4,1.46
Nebraska,150 10,78.5,92.6,1.37
Nevada,150 10,102.7,147.8,1.12
New Hampshire,150 10,50.0,52.3,1.54
New Jersey,150 10,353.1,375.0,1.52
New Mexico,150 10,65.6,98.4,1.08
New York,150 10,608.3,639.3,1.54
North Carolina,150 10,373.8,427.6,1.41
North Dakota,150 10,29.8,30.8,1.56
Ohio,150 10,582.9,608.7,1.55
Oklahoma,150 10,140.9,173.0,1.31
Oregon,150 10,138.3,141.5,1.58
Pennsylvania,150 10,497.4,516.2,1.55
Rhode Island,150 10,39.7,42.2,1.52
South Carolina,150 10,185.4,217.4,1.38
South Dakota,150 10,30.0,34.5,1.40
Tennessee,150 10,273.3,306.7,1.44
Texas,150 10,917.3,1115.6,1.33
Utah,150 10,101.0,128.1,1.27
Vermont,150 10,23.4,24.1,1.56
Virginia,150 10,305.7,340.0,1.45
Washington,150 10,237.7,231.5,1.66
West Virginia,150 10,60.4,62.1,1.57
Wisconsin,150 10,254.7,273.3,1.50
Wyoming,150 10,19.9,25.4,1.26
Alabama,150 25,408.9,492.4,1.34
Alaska,150 25,61.6,46.1,2.15
Arizona,150 25,444.0,684.0,1.05
Arkansas,150 25,220.1,266.6,1.33
California,150 25,2771.2,3814.0,1.17
Colorado,150 25,430.2,635.0,1.09
Connecticut,150 25,333.5,366.6,1.47
Delaware,150 25,67.8,77.1,1.42
District of Columbia,150 25,112.6,130.1,1.40
Florida,150 25,1459.3,1881.3,1.25
Georgia,150 25,844.2,1026.5,1.33
Hawaii,150 25,118.3,172.1,1.11
Idaho,150 25,105.3,135.9,1.25
Illinois,150 25,1181.9,1368.2,1.39
Indiana,150 25,670.2,759.8,1.42
Iowa,150 25,289.7,342.2,1.37
Kansas,150 25,266.8,343.0,1.26
Kentucky,150 25,386.7,443.0,1.41
Louisiana,150 25,378.9,469.4,1.30
Maine,150 25,101.4,113.7,1.44
Maryland,150 25,470.1,537.9,1.41
Massachusetts,150 25,590.9,658.5,1.45
Michigan,150 25,933.5,1031.5,1.46
Minnesota,150 25,486.2,553.3,1.42
Mississippi,150 25,231.1,281.9,1.32
Missouri,150 25,507.3,621.7,1.32
Montana,150 25,65.4,78.6,1.34
Nebraska,150 25,170.1,214.0,1.28
Nevada,150 25,222.4,339.2,1.06
New Hampshire,150 25,108.4,120.9,1.45
New Jersey,150 25,765.0,858.7,1.44
New Mexico,150 25,142.2,224.2,1.02
New York,150 25,1318.0,1460.5,1.46
North Carolina,150 25,809.8,969.0,1.35
North Dakota,150 25,64.5,71.7,1.45
Ohio,150 25,1262.9,1381.4,1.48
Oklahoma,150 25,305.3,392.8,1.25
Oregon,150 25,299.6,322.5,1.50
Pennsylvania,150 25,1077.7,1178.1,1.48
Rhode Island,150 25,86.1,96.8,1.44
South Carolina,150 25,401.7,491.5,1.32
South Dakota,150 25,65.1,80.3,1.31
Tennessee,150 25,592.1,691.6,1.38
Texas,150 25,1987.5,2480.2,1.29
Utah,150 25,218.9,293.9,1.20
Vermont,150 25,50.7,55.7,1.47
Virginia,150 25,662.3,776.7,1.38
Washington,150 25,515.0,529.1,1.57
West Virginia,150 25,131.0,140.8,1.50
Wisconsin,150 25,551.8,630.4,1.41
Wyoming,150 25,43.1,59.8,1.16
Alabama,120 10,188.7,212.9,1.43
Alaska,120 10,28.4,18.4,2.49
Arizona,120 10,204.9,292.5,1.13
Arkansas,120 10,101.6,114.9,1.43
California,120 10,1279.0,1653.3,1.25
Colorado,120 10,198.6,263.5,1.22
Connecticut,120 10,153.9,154.9,1.60
Delaware,120 10,31.3,32.6,1.55
District of Columbia,120 10,52.0,54.7,1.53
Florida,120 10,673.5,827.3,1.31
Georgia,120 10,389.6,442.7,1.42
Hawaii,120 10,54.6,78.3,1.13
Idaho,120 10,48.6,56.7,1.38
Illinois,120 10,545.5,578.5,1.52
Indiana,120 10,309.3,324.2,1.54
Iowa,120 10,133.7,143.5,1.50
Kansas,120 10,123.1,144.5,1.37
Kentucky,120 10,178.5,189.9,1.52
Louisiana,120 10,174.9,205.2,1.37
Maine,120 10,46.8,47.1,1.60
Maryland,120 10,217.0,226.7,1.54
Massachusetts,120 10,272.7,276.0,1.59
Michigan,120 10,430.8,437.2,1.59
Minnesota,120 10,224.4,228.3,1.59
Mississippi,120 10,106.7,122.3,1.41
Missouri,120 10,234.2,263.3,1.43
Montana,120 10,30.2,32.0,1.52
Nebraska,120 10,78.5,89.3,1.42
Nevada,120 10,102.7,143.2,1.16
New Hampshire,120 10,50.0,50.4,1.60
New Jersey,120 10,353.1,362.3,1.57
New Mexico,120 10,65.6,95.4,1.11
New York,120 10,608.3,618.3,1.59
North Carolina,120 10,373.8,414.8,1.45
North Dakota,120 10,29.8,29.6,1.63
Ohio,120 10,582.9,590.8,1.59
Oklahoma,120 10,140.9,167.7,1.36
Oregon,120 10,138.3,136.6,1.63
Pennsylvania,120 10,497.4,499.2,1.61
Rhode Island,120 10,39.7,40.6,1.58
South Carolina,120 10,185.4,211.2,1.42
South Dakota,120 10,30.0,33.2,1.46
Tennessee,120 10,273.3,297.8,1.48
Texas,120 10,917.3,1085.9,1.36
Utah,120 10,101.0,123.9,1.32
Vermont,120 10,23.4,23.3,1.62
Virginia,120 10,305.7,328.9,1.50
Washington,120 10,237.7,223.3,1.72
West Virginia,120 10,60.4,60.2,1.62
Wisconsin,120 10,254.7,264.1,1.56
Wyoming,120 10,19.9,24.6,1.31
Alabama,120 25,408.9,462.5,1.43
Alaska,120 25,61.6,41.9,2.37
Arizona,120 25,444.0,643.4,1.11
Arkansas,120 25,220.1,250.1,1.42
California,120 25,2771.2,3564.0,1.25
Colorado,120 25,430.2,595.0,1.17
Connecticut,120 25,333.5,339.7,1.58
Delaware,120 25,67.8,71.6,1.53
District of Columbia,120 25,112.6,120.8,1.50
Florida,120 25,1459.3,1794.5,1.31
Georgia,120 25,844.2,963.7,1.41
Hawaii,120 25,118.3,166.5,1.15
Idaho,120 25,105.3,126.3,1.34
Illinois,120 25,1181.9,1276.2,1.49
Indiana,120 25,670.2,711.2,1.52
Iowa,120 25,289.7,317.7,1.47
Kansas,120 25,266.8,318.6,1.35
Kentucky,120 25,386.7,415.5,1.50
Louisiana,120 25,378.9,444.2,1.38
Maine,120 25,101.4,104.5,1.56
Maryland,120 25,470.1,499.9,1.52
Massachusetts,120 25,590.9,608.0,1.57
Michigan,120 25,933.5,962.8,1.56
Minnesota,120 25,486.2,510.9,1.54
Mississippi,120 25,231.1,265.4,1.41
Missouri,120 25,507.3,579.9,1.41
Montana,120 25,65.4,72.4,1.46
Nebraska,120 25,170.1,197.8,1.39
Nevada,120 25,222.4,317.5,1.13
New Hampshire,120 25,108.4,111.6,1.57
New Jersey,120 25,765.0,797.4,1.55
New Mexico,120 25,142.2,210.1,1.09
New York,120 25,1318.0,1358.5,1.57
North Carolina,120 25,809.8,906.7,1.44
North Dakota,120 25,64.5,65.6,1.59
Ohio,120 25,1262.9,1293.3,1.58
Oklahoma,120 25,305.3,367.2,1.34
Oregon,120 25,299.6,299.8,1.61
Pennsylvania,120 25,1077.7,1096.3,1.59
Rhode Island,120 25,86.1,89.4,1.55
South Carolina,120 25,401.7,461.7,1.40
South Dakota,120 25,65.1,73.9,1.42
Tennessee,120 25,592.1,648.8,1.47
Texas,120 25,1987.5,2340.8,1.37
Utah,120 25,218.9,274.8,1.29
Vermont,120 25,50.7,51.8,1.58
Virginia,120 25,662.3,723.2,1.48
Washington,120 25,515.0,490.4,1.69
West Virginia,120 25,131.0,131.4,1.61
Wisconsin,120 25,551.8,585.1,1.52
Wyoming,120 25,43.1,55.7,1.25
