# File: ctry_AGLU.csv,,,,,,,,,
# Description: Maps countries in all AGLU databases to iso codes,,,,,,,,,
# ----------,,,,,,,,,
FAO_country,iso,GTAP_region,CROSIT_ctry,CROSIT_country_ID,IFA2002_country,IFA_region,IMAGE_region_ID,IMAGE_region_name,FAO2050_reg
Egypt,egy,xnf,EGYP,62,EGYPT,Egypt,7,Northern Africa,sub-Saharan Africa
El Salvador,slv,xca,ELSA,39,EL SALVADOR,Rest of world,4,Rest Central America,Latin America and Caribbean
Equatorial Guinea,gnq,xss,,,,Rest of world,8,Western Africa,sub-Saharan Africa
Eritrea,eri,xss,ERIT,171,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Estonia,est,est,EUN9,196,ESTONIA,EU-27,12,Central Europe,Transition countries
Ethiopia,eth,xss,ETHN,172,ETHIOPIA,Rest of world,9,Eastern Africa,sub-Saharan Africa
Ethiopia PDR,eth,xss,ETHN,172,ETHIOPIA,Rest of world,9,Eastern Africa,sub-Saharan Africa
Falkland Islands (Malvinas),flk,xsm,,,,Rest of world,6,Rest South America,Latin America and Caribbean
Faroe Islands,fro,xer,,,,Rest of world,11,Western Europe,Industrial countries
Fiji,fji,xoc,FIJI,155,FIJI,Rest of world,24,Oceania,South Asia
Finland,fin,fin,EU15,195,FINLAND,EU-27,11,Western Europe,Industrial countries
France,fra,fra,EU15,195,FRANCE,EU-27,11,Western Europe,Industrial countries
French Guiana,guf,xsm,FGUI,140,,Rest of world,6,Rest South America,Latin America and Caribbean
French Polynesia,pyf,xoc,FPOL,156,,Rest of world,24,Oceania,South Asia
Gabon,gab,xss,GABO,23,,Rest of world,8,Western Africa,sub-Saharan Africa
Gambia,gmb,xss,GAMB,5,,Rest of world,8,Western Africa,sub-Saharan Africa
Gambia,gmb,xss,GAMB,5,,Rest of world,8,Western Africa,sub-Saharan Africa
Georgia,geo,xsu,OEEU,197,,Rest of world,16,Russia plus,Transition countries
Germany,deu,deu,EU15,195,GERMANY,EU-27,11,Western Europe,Industrial countries
Ghana,gha,xss,GHAN,6,,Rest of world,8,Western Africa,sub-Saharan Africa
Gibraltar,gib,xer,,,,Rest of world,11,Western Europe,Industrial countries
Greece,grc,grc,EU15,195,GREECE,EU-27,11,Western Europe,Industrial countries
Greenland,grl,xna,,,,Rest of world,25,Greenland,Industrial countries
Grenada,grd,xfa,GREN,141,,Rest of world,4,Rest Central America,Latin America and Caribbean
Guadeloupe,glp,xcb,GUAD,142,,Rest of world,4,Rest Central America,Latin America and Caribbean
Guam,gum,xoc,,,,USA,24,Oceania,South Asia
Guatemala,gtm,xca,GUAT,40,GUATEMALA,Rest of world,4,Rest Central America,Latin America and Caribbean
Guinea,gin,xss,GUIN,7,GUINEA,Rest of world,8,Western Africa,sub-Saharan Africa
Guinea-Bissau,gnb,xss,GUIB,129,,Rest of world,8,Western Africa,sub-Saharan Africa
Guyana,guy,xsm,GUYA,56,,Rest of world,6,Rest South America,Latin America and Caribbean
Haiti,hti,xfa,HAIT,47,,Rest of world,4,Rest Central America,Latin America and Caribbean
Holy See,vat,,,,,,11,Western Europe,Industrial countries
Honduras,hnd,xca,HOND,41,HONDURAS,Rest of world,4,Rest Central America,Latin America and Caribbean
Hungary,hun,hun,EUN9,196,HUNGARY,EU-27,12,Central Europe,Transition countries
Iceland,isl,xef,ICEL,104,,Rest of world,11,Western Europe,Industrial countries
India,ind,ind,INDI,77,INDIA,India,18,South Asia,South Asia
Indonesia,idn,idn,INDO,82,INDONESIA,Indonesia,22,Indonesia plus,South Asia
Iran (Islamic Republic of),irn,xme,IRAN,67,,Iran,17,Middle East,Near East / North Africa
Iraq,irq,xme,IRAQ,68,,Rest of world,17,Middle East,Near East / North Africa
Ireland,irl,irl,EU15,195,IRELAND,EU-27,11,Western Europe,Industrial countries
Isle of Man,imn,,,,,,11,Western Europe,Industrial countries
Israel,isr,xme,ISRA,114,ISRAEL,Rest of world,17,Middle East,Near East / North Africa
Italy,ita,ita,EU15,195,ITALY,EU-27,11,Western Europe,Industrial countries
Jamaica,jam,xfa,JAMA,48,,Rest of world,4,Rest Central America,Latin America and Caribbean
Japan,jpn,jpn,JAPA,115,JAPAN,Rest of world,23,Japan,Industrial countries
Jordan,jor,xme,JORD,69,JORDAN,Rest of world,17,Middle East,Near East / North Africa
Kazakhstan,kaz,xsu,CEAS,198,,Rest of world,15,Asia-Stan,Transition countries
Kenya,ken,xss,KENY,27,KENYA,Rest of world,9,Eastern Africa,sub-Saharan Africa
Kiribati,kir,xoc,KIRI,164,,Rest of world,24,Oceania,South Asia
Kuwait,kwt,xme,KUWA,165,KUWAIT,Rest of world,17,Middle East,Near East / North Africa
Kyrgyzstan,kgz,xsu,CEAS,198,,Rest of world,15,Asia-Stan,Transition countries
Lao Peoples Democratic Republic,lao,xse,LAO,84,LAOS,Rest of world,21,Southeastern Asia,South Asia
Latvia,lva,lva,EUN9,196,LATVIA,EU-27,12,Central Europe,Transition countries
Lebanon,lbn,xme,LEBA,70,LEBANON,Rest of world,17,Middle East,Near East / North Africa
Lesotho,lso,xsc,LESO,130,,Rest of world,10,Southern Africa,sub-Saharan Africa
Liberia,lbr,xss,LIBE,9,,Rest of world,8,Western Africa,sub-Saharan Africa
Libya,lby,xnf,LIBY,63,,Rest of world,7,Northern Africa,sub-Saharan Africa
Liechtenstein,lie,xef,,,,Rest of world,11,Western Europe,Industrial countries
Lithuania,ltu,ltu,EUN9,196,LITHUANIA,EU-27,12,Central Europe,Transition countries
Luxembourg,lux,lux,EU15,195,,EU-27,11,Western Europe,Industrial countries
Madagascar,mdg,mdg,MADA,28,MADAGASCAR,Rest of world,9,Eastern Africa,sub-Saharan Africa
Malawi,mwi,mwi,MALA,29,MALAWI,Rest of world,10,Southern Africa,sub-Saharan Africa
Malaysia,mys,mys,MALY,85,MALAYSIA,Malaysia,21,Southeastern Asia,South Asia
Maldives,mdv,xsa,MALD,151,,Rest of world,18,South Asia,South Asia
Mali,mli,xss,MALI,10,,Rest of world,8,Western Africa,sub-Saharan Africa
Malta,mlt,mlt,EUN9,196,,EU-27,11,Western Europe,Industrial countries
Marshall Islands,mhl,xoc,,,,Rest of world,24,Oceania,South Asia
Martinique,mtq,xcb,MART,143,,Rest of world,4,Rest Central America,Industrial countries
Mauritania,mrt,xss,MAUA,11,MAURITANIA,Rest of world,8,Western Africa,sub-Saharan Africa
Mauritius,mus,xsd,MAUS,30,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Mayotte,myt,xss,,,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Mexico,mex,mex,MEXI,42,MEXICO,Mexico,3,Mexico,Latin America and Caribbean
Micronesia (Federated States of),fsm,xoc,,,,Rest of world,24,Oceania,South Asia
Monaco,mco,xer,,,,Rest of world,11,Western Europe,Industrial countries
Mongolia,mng,xea,MONG,162,,Rest of world,20,China plus,East Asia
Montenegro,mne,xer,,,,,12,Central Europe,Transition countries
Montserrat,msr,xcb,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Morocco,mar,mar,MORO,2,MOROCCO,Morocco,7,Northern Africa,sub-Saharan Africa
Mozambique,moz,moz,MOZA,31,,Rest of world,10,Southern Africa,sub-Saharan Africa
Myanmar,mmr,xse,MYAN,81,MYANMAR,Rest of world,21,Southeastern Asia,South Asia
Namibia,nam,xsc,NAMI,131,,Rest of world,10,Southern Africa,sub-Saharan Africa
Nauru,nru,xoc,,,,Rest of world,24,Oceania,South Asia
Nepal,npl,xsa,NEPA,78,,Rest of world,18,South Asia,South Asia
Netherlands,nld,nld,EU15,195,NETHERLANDS,EU-27,11,Western Europe,Industrial countries
Netherlands Antilles,ant,xcb,NEAN,144,,Rest of world,4,Rest Central America,Latin America and Caribbean
New Caledonia,ncl,xoc,NCAL,157,,Rest of world,24,Oceania,South Asia
New Zealand,nzl,nzl,NEWZ,113,NEW ZEALAND,Rest of world,24,Oceania,Industrial countries
Nicaragua,nic,xca,NICA,43,NICARAGUA,Rest of world,4,Rest Central America,Latin America and Caribbean
Niger,ner,xss,NIGE,12,,Rest of world,8,Western Africa,sub-Saharan Africa
Nigeria,nga,xss,NIGA,13,NIGERIA,Rest of world,8,Western Africa,sub-Saharan Africa
Niue,niu,xoc,,,,Rest of world,24,Oceania,Industrial countries
Norfolk Island,nfk,xoc,,,,Rest of world,24,Oceania,Industrial countries
Northern Mariana Islands,mnp,xoc,,,,Rest of world,24,Oceania,South Asia
Norway,nor,xef,NORW,106,NORWAY,Rest of world,11,Western Europe,Industrial countries
Occupied Palestinian Territory,pse,xme,,,,Rest of world,17,Middle East,Near East / North Africa
Occupied Palestinian Territory,pse,xme,,,,Rest of world,17,Middle East,Near East / North Africa
Occupied Palestinian Territory,pse,xme,,,,Rest of world,17,Middle East,Near East / North Africa
Oman,omn,xme,,,,Rest of world,17,Middle East,Near East / North Africa
Pacific Islands Trust Territory,fsm,xoc,,,,Rest of world,24,Oceania,South Asia
Pakistan,pak,xsa,PAKI,79,PAKISTAN,Pakistan,18,South Asia,South Asia
Palau,plw,xoc,,,,Rest of world,24,Oceania,South Asia
Panama,pan,xca,PANA,44,,Rest of world,4,Rest Central America,Latin America and Caribbean
Papua New Guinea,png,xoc,PAPU,159,,Rest of world,22,Indonesia plus,South Asia
Paraguay,pry,xsm,PARA,57,PARAGUAY,Rest of world,6,Rest South America,Latin America and Caribbean
Peru,per,per,PERU,58,,Rest of world,6,Rest South America,Latin America and Caribbean
Philippines,phl,phl,PHIL,86,PHILIPPINES,Philippines,21,Southeastern Asia,South Asia
Pitcairn Islands,pcn,,,,,,24,Oceania,South Asia
Poland,pol,pol,EUN9,196,POLAND,EU-27,12,Central Europe,Transition countries
Portugal,prt,prt,EU15,195,PORTUGAL,EU-27,11,Western Europe,Industrial countries
Puerto Rico,pri,xfa,,,,Rest of world,4,Rest Central America,Industrial countries
Qatar,qat,xme,,,,Rest of world,17,Middle East,Near East / North Africa
Republic of Korea,kor,kor,ROK,83,"KOREA, REPUBLIC OF",Rest of world,19,Korea,Industrial countries
Republic of Korea,kor,kor,ROK,83,"KOREA, REPUBLIC OF",Rest of world,19,Korea,Industrial countries
Republic of Moldova,mda,xsu,OEEU,197,,Rest of world,14,Ukraine plus,Transition countries
Reunion,reu,xss,REUN,132,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Romania,rom,rom,EUN9,196,,EU-27,12,Central Europe,Transition countries
Russian Federation,rus,rus,RUSS,188,,Russia,16,Russia plus,Transition countries
Rwanda,rwa,xss,RWAN,33,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Saint Helena,shn,xss,,,,Rest of world,8,Western Africa,sub-Saharan Africa
Saint Kitts and Nevis,kna,xfa,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Saint Lucia,lca,xfa,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Saint Pierre and Miquelon,spm,xna,,,,Rest of world,2,USA,Industrial countries
Saint Vincent and the Grenadines,vct,xfa,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Samoa,wsm,xoc,SAMO,161,,Rest of world,24,Oceania,South Asia
San Marino,smr,xer,,,,Rest of world,11,Western Europe,Industrial countries
Sao Tome and Principe,stp,xss,,,,Rest of world,8,Western Africa,sub-Saharan Africa
Saudi Arabia,sau,xme,SAUD,71,SAUDI ARABIA,Rest of world,17,Middle East,Near East / North Africa
Senegal,sen,xss,SENE,14,,Rest of world,8,Western Africa,sub-Saharan Africa
Serbia,srb,xer,,,,,12,Central Europe,Transition countries
Serbia and Montenegro,scg,xer,OEEU,197,,Rest of world,12,Central Europe,Transition countries
Serbia and Montenegro,scg,xer,OEEU,197,,Rest of world,12,Central Europe,Transition countries
Serbia and Montenegro,scg,xer,OEEU,197,,Rest of world,12,Central Europe,Transition countries
Seychelles,syc,xsd,SEYC,163,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Sierra Leone,sle,xss,SIER,15,,Rest of world,8,Western Africa,sub-Saharan Africa
Singapore,sgp,sgp,SING,152,,Rest of world,21,Southeastern Asia,South Asia
Slovakia,svk,svk,EUN9,196,SLOVAKIA,EU-27,12,Central Europe,Transition countries
Slovenia,svn,svn,EUN9,196,,EU-27,12,Central Europe,Transition countries
Solomon Islands,slb,xoc,SOLO,154,,Rest of world,24,Oceania,South Asia
Somalia,som,xss,SOMA,34,,Rest of world,9,Eastern Africa,sub-Saharan Africa
South Africa,zaf,zaf,SOAF,116,SOUTH AFRICA,South Africa,10,Southern Africa,sub-Saharan Africa
South Sudan,sdn,xss,SUDA,64,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Spain,esp,esp,EU15,195,SPAIN,EU-27,11,Western Europe,Industrial countries
Sri Lanka,lka,lka,SRIL,80,SRI LANKA,Rest of world,18,South Asia,South Asia
Sudan,sdn,xss,SUDA,64,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Sudan (former),sdn,xss,SUDA,64,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Suriname,sur,xsm,SURI,59,,Rest of world,6,Rest South America,Latin America and Caribbean
Svalbard and Jan Mayen Islands,sjm,,,,,,11,Western Europe,Industrial countries
Swaziland,swz,xsc,SWAZ,134,,Rest of world,10,Southern Africa,sub-Saharan Africa
Sweden,swe,swe,EU15,195,SWEDEN,EU-27,11,Western Europe,Industrial countries
Switzerland,che,che,SWIT,110,SWITZERLAND,Rest of world,11,Western Europe,Industrial countries
Syrian Arab Republic,syr,xme,SYRI,72,SYRIA,Rest of world,17,Middle East,Near East / North Africa
Taiwan,twn,twn,,,,,20,China plus,South Asia
Tajikistan,tjk,xsu,CEAS,198,,Rest of world,15,Asia-Stan,Transition countries
Thailand,tha,tha,THAI,87,THAILAND,Thailand,21,Southeastern Asia,South Asia
The former Yugoslav Republic of Macedonia,mkd,xer,OEEU,197,,Rest of world,12,Central Europe,Transition countries
Timor-Leste,tls,xse,,,,Rest of world,22,Indonesia plus,South Asia
Togo,tgo,xss,TOGO,16,TOGO,Rest of world,8,Western Africa,sub-Saharan Africa
Tokelau,tkl,xoc,,,,Rest of world,24,Oceania,Industrial countries
Tonga,ton,xoc,TONG,160,,Rest of world,24,Oceania,South Asia
Trinidad and Tobago,tto,xfa,TRIN,49,,Rest of world,4,Rest Central America,Latin America and Caribbean
Tunisia,tun,tun,TUNI,3,,Rest of world,7,Northern Africa,sub-Saharan Africa
Turkey,tur,tur,TURK,73,TURKEY,Turkey,13,Turkey,Industrial countries
Turkmenistan,tkm,xsu,CEAS,198,,Rest of world,15,Asia-Stan,Transition countries
Turks and Caicos Islands,tca,xcb,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Tuvalu,tuv,xoc,,,,Rest of world,24,Oceania,South Asia
Uganda,uga,uga,UGAN,36,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Ukraine,ukr,xsu,OEEU,197,,Rest of world,14,Ukraine plus,Transition countries
United Arab Emirates,are,xme,UAEM,166,,Rest of world,17,Middle East,Near East / North Africa
United Kingdom,gbr,gbr,EU15,195,UK,EU-27,11,Western Europe,Industrial countries
United Republic of Tanzania,tza,tza,TANZ,35,,Rest of world,10,Southern Africa,sub-Saharan Africa
United States of America,usa,usa,USA,92,USA,USA,2,USA,Industrial countries
United States Virgin Islands,vir,xfa,,,,USA,4,Rest Central America,Latin America and Caribbean
Uruguay,ury,ury,URUG,60,URUGUAY,Rest of world,6,Rest South America,Latin America and Caribbean
USSR,arm,xsu,ARME,178,,Rest of world,16,Russia plus,Transition countries
USSR,aze,xsu,CEAS,198,AZERBAIJAN,Rest of world,16,Russia plus,Transition countries
USSR,blr,xsu,OEEU,197,BELARUS,Rest of world,14,Ukraine plus,Transition countries
USSR,est,xsu,EUN9,196,ESTONIA,EU-27,12,Central Europe,Transition countries
USSR,geo,xsu,OEEU,197,,Rest of world,16,Russia plus,Transition countries
USSR,kaz,xsu,CEAS,198,,Rest of world,15,Asia-Stan,Transition countries
USSR,kgz,xsu,CEAS,198,,Rest of world,15,Asia-Stan,Transition countries
USSR,ltu,xsu,EUN9,196,LITHUANIA,EU-27,12,Central Europe,Transition countries
USSR,lva,xsu,EUN9,196,LATVIA,EU-27,12,Central Europe,Transition countries
USSR,mda,xsu,OEEU,197,,Rest of world,14,Ukraine plus,Transition countries
USSR,rus,xsu,RUSS,188,,Russia,16,Russia plus,Transition countries
USSR,tjk,xsu,CEAS,198,,Rest of world,15,Asia-Stan,Transition countries
USSR,tkm,xsu,CEAS,198,,Rest of world,15,Asia-Stan,Transition countries
USSR,ukr,xsu,OEEU,197,,Rest of world,14,Ukraine plus,Transition countries
USSR,uzb,xsu,CEAS,198,UZBEKISTAN,Rest of world,15,Asia-Stan,Transition countries
Uzbekistan,uzb,xsu,CEAS,198,UZBEKISTAN,Rest of world,15,Asia-Stan,Transition countries
Vanuatu,vut,xoc,VANU,158,,Rest of world,24,Oceania,South Asia
Venezuela (Bolivarian Republic of),ven,ven,VENE,61,VENEZUELA,Rest of world,6,Rest South America,Latin America and Caribbean
Viet Nam,vnm,vnm,VIET,90,,Vietnam,21,Southeastern Asia,East Asia
Wallis and Futuna Islands,wlf,xoc,,,,Rest of world,24,Oceania,Industrial countries
Western Sahara,esh,,,,,Rest of world,7,Northern Africa,sub-Saharan Africa
Yemen,yem,xme,YEME,74,,Rest of world,17,Middle East,Near East / North Africa
Yugoslav SFR,bih,xer,,,,,12,Central Europe,Transition countries
Yugoslav SFR,hrv,xer,,,,,12,Central Europe,Transition countries
Yugoslav SFR,mkd,xer,,,,,12,Central Europe,Transition countries
Yugoslav SFR,mne,xer,,,,,12,Central Europe,Transition countries
Yugoslav SFR,srb,xer,,,,,12,Central Europe,Transition countries
Yugoslav SFR,svn,xer,,,,,12,Central Europe,Transition countries
Zambia,zmb,zmb,ZAMB,37,ZAMBIA,Rest of world,10,Southern Africa,sub-Saharan Africa
Zimbabwe,zwe,zwe,ZIMB,32,ZIMBABWE,Rest of world,10,Southern Africa,sub-Saharan Africa
